id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value
2796804487,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-04-06T00:04:29.897Z,2025-04-06T02:20:26Z,,,,,5628207323,30,"8y556fvv7asmfouaica4nbai1, 1jhs3g95t0ah1hx3fwlo14kmi, 6fgxgq77v66va16tcuqvyn6x, 2mxaagzu9rb92z9880yjllbzd, 9hqo1ykdlw9iv4tlo8d3vu9ec, 8gy9wgqywaqi9uy6i31i0q21h, 7ctc1xui7wk89o5v00z8ijqw9, 7ajceczjsu9ci4nqv9gg2860a, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 2dbik29e0m9bil2ofn2yhrget, 9lucpehmfe4z2vdlica1kc9d6, 7vs1eqm82fwwuhwfqodb3dyw9, cywd7q1m77lwe5q2dof7rvf9w, dowfebdy2qnsz8hkj0ilrux62, c4g35kho1qirnu4q420knnl9m, 6bypbwfkdebw240ddjg774ems, 5a6sqqiyle6aj7zh8ozwikqok",5628678499,194,8gy9wgqywaqi9uy6i31i0q21h,5628207339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5628207335,130,13,5628461839,197,18652,5628207343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5628207331,59,"23, 24, 16, 3, 7, 25, 6, 8, 14, 13, 10, 1, 5, 11, 12, 20, 21, 30, 50, 66",5628207327,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2796806139,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-06T00:07:17.197Z,2025-04-06T05:09:42Z,,,,,5628216817,30,"4o2odluv4usimcdtryht04zjd, csx9pmpibyblftludnkd6j36x, 2wj1w4opn7f0jyz1ps6ebvc6i, rtercnq9nn7y0814ghe7wo2x, 16ndalf4kfr7e6rd9mwj7gfmc, 6pqyqf9v6g60ci7jjggalqsq1, khvgxqohya7mawca1qx5q590, 2yflerah2shma2hzhm99msez9, bvmqiuxeyjf68mz3jbm6i295h, 1b9b97pxox77ia41cilqqm4iy, chiwsyjdyk4sn4vxqu9mdr0x6, 97rumgrdtahzassy8weq13dyi, cc7auv8d89ohifqg7qwz62mwa, 2l6v8ab245wzmb1litvkir1ii, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, 1xpjec3sk3ykvgcg67jkxtzo, 7oxivwr2b7bq70t35dgsjloiy",5628461427,197,28243,5628216823,130,13,5628216819,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5628216829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5628216825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5628216827,194,2yflerah2shma2hzhm99msez9,5628216821,59,"1, 11, 24, 14, 5, 6, 3, 80, 99, 8, 72, 16, 22, 27, 31, 37, 71, 83",,,,,,,,,,,,,,,,,,,,,,,,,,
2796850955,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-06T01:07:21.072Z,2025-04-06T01:07:24Z,,,,,5628465689,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796850933,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-04-06T01:07:21.072Z,2025-04-06T01:07:21Z,,,,,5628465595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796850987,3,1,1,0,0,5h878vnmkbuy2ummddprusxgq,1,50.0,50.0,2025-04-06T01:07:21.073Z,2025-04-06T01:07:25Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5628465885,212,6.9,5628465889,279,S,5628465879,56,Back,5628465881,140,44.7,5628465891,278,,5628465887,213,3.77,5628465883,141,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796850997,4,1,1,0,3,5h878vnmkbuy2ummddprusxgq,0,42.4,40.7,2025-04-06T01:07:24.987Z,2025-04-06T03:20:12Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5628787007,141,42.5,5628787013,213,0.23,5628787029,286,,5628787025,233,3,5628465945,56,Back,5628787005,140,47.3,5628787023,236,,5628787011,212,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2796851009,3,74,1,0,3,ck22dnk93ng8ax7wonlff7yms,1,54.6,54.4,2025-04-06T01:07:24.988Z,2025-04-06T03:20:09Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,,5628466021,285,,5628466019,56,Center,5628787035,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796851057,5,1,1,0,6,ck22dnk93ng8ax7wonlff7yms,1,55.7,50.7,2025-04-06T01:07:27.072Z,2025-04-06T01:07:32Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,,5628466311,56,Center,5628466313,140,51.9,5628466315,141,39.8,5628466319,212,8.4,5628466321,213,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796851083,6,1,1,0,11,ck22dnk93ng8ax7wonlff7yms,1,46.5,44.5,2025-04-06T01:07:32.288Z,2025-04-06T01:38:50Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5628466433,140,32.3,5628466435,141,62.0,5628466439,213,2.47,5628466437,212,19.1,5628466431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796851097,7,1,1,0,13,ck22dnk93ng8ax7wonlff7yms,1,32.2,62.3,2025-04-06T01:07:34.631Z,2025-04-06T01:39:30Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5628466557,212,29.0,5628466551,56,Center,5628466559,213,0.39,5628466555,141,78.5,5628466553,140,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
