id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value
2822640813,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-14T22:03:44.362Z,2025-06-14T23:03:16Z,,,,,5771119993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5771119987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5771119995,194,5tyrfuxsp7s9thsmhfqevuoyx,5771119989,59,"56, 7, 91, 4, 34, 22, 80, 6, 26, 9, 8, 1, 2, 5, 10, 11, 19, 36, 62",5771206373,197,29701,5771119997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771119985,30,"ect3pxkbjycux4simxmzp9jze, 6692w96w6qmvgcpo02dehq4iy, 94zkjopy373mgso15ljxmhd04, 14oq6mvlh5e51d9y20nbpok4p, dw8iyfupgsqkt8ogxssmtss4q, 3s1a50dskuehneuuy9b1nxg4, dmbqkvvaray373vy9eiq4l1ck, 5tyrfuxsp7s9thsmhfqevuoyx, caoq1dpq6lz1btrd75s9xuz56, 21y2ogvprtdai47j36w9m22cq, ecjt2cd0xn1qyeyboapqwxbvu, 5htuxrszecd448kld1yguwpas, d8uer29a3oya05ks99q696221, ani26vxlo22iw1u9oexptml05, 1h85rt7bnqep3qovatft86pgq, ax8t5jhq9kz6ff2sji3p90kr8, 5jigl7kp5d2i5ws1602jm7n1m, 5t1wvh34lm993otbc3469uzxm, aur71sievd8d2fnrumu3xf6c",5771119991,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822644155,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-06-14T22:16:00.629Z,2025-06-15T01:27:41Z,,,,,5771137695,194,crhe42indjb3mb7di7yh1zndg,5771137687,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5771137693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5771137689,59,"77, 2, 19, 4, 30, 22, 10, 94, 71, 9, 11, 6, 7, 8, 17, 28, 44, 81",5771207825,197,29725,5771137685,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 38ghqgck8fwnxap6em08avzs9, 984jr9d6sbi5l5vt9ct1b6cph, c7q476j0dkl7e4fhqqlsp5rai, 7i9qesz7fugndupldntvshwd0, 6pqwh2z47uwgr9u9y8n79ppzp, 5r88subg9jy8zg4y97tzwzxm1, 9izknjlz6zunwjpo4u94q855g, dkk3twgai2ldi75eh0xr37hbe, 9blzzcpytqe7o9rdte1s6mw6i, b7pzjfl5fuvivmc2x9defzfmx, 16si0dgkuqvahp0x1bjr37xuc, 3ei1s8oyub83owfxxbsygmsmi, cjn2oln0v5o7x7unmsk305250, 8ecb1shzu9migh6lv1bnku8es, lu2g4n0jcfxk41i8ro05ad5g",5771137697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771137691,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657215,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-14T23:06:20.937Z,2025-06-14T23:06:21Z,,,,,5771209547,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657207,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-06-14T23:06:20.937Z,2025-06-15T16:15:10Z,,,,,5771209517,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657223,3,1,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,50.2,49.9,2025-06-14T23:06:20.938Z,2025-06-14T23:06:24Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5771209589,56,Back,5771209599,279,S,5771209593,141,36.9,5771209595,212,19.1,5771209591,140,34.1,5771209597,213,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657241,4,1,1,0,3,2n3wgr89m7jl8tmioemit2pgq,1,34.1,36.9,2025-06-14T23:06:24.081Z,2025-06-14T23:06:27Z,984jr9d6sbi5l5vt9ct1b6cph,A. Diz,,,5771209693,56,Left,5771209695,140,62.2,5771209691,157,,5771209697,141,86.0,5771209703,1,,5771209699,212,44.6,5771209701,213,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657253,5,1,1,0,6,2n3wgr89m7jl8tmioemit2pgq,0,62.2,86.0,2025-06-14T23:06:26.968Z,2025-06-14T23:06:30Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5771209763,141,78.1,5771209765,212,17.7,5771209757,3,,5771209761,140,78.3,5771209767,213,5.98,5771209759,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657251,3,44,1,0,7,e3k8yw2rbmphyfu5htn4yi5jk,1,18.9,21.0,2025-06-14T23:06:28.516Z,2025-06-15T01:10:37Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5771209753,285,,5771209833,233,6,5771209751,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657263,6,44,1,0,7,2n3wgr89m7jl8tmioemit2pgq,0,81.1,79.0,2025-06-14T23:06:28.517Z,2025-06-15T01:10:37Z,dkk3twgai2ldi75eh0xr37hbe,M. Ngalina,,,5771209837,233,3,5771209795,56,Left,5771209797,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657255,4,1,1,0,7,e3k8yw2rbmphyfu5htn4yi5jk,1,14.2,19.5,2025-06-14T23:06:28.754Z,2025-06-15T16:15:56Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5771209775,141,14.0,5771209773,140,24.2,5772344259,3,,5771209779,213,5.94,5771209771,56,Back,5771209777,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
