id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2803616679,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-04-20T01:51:42.481Z,2025-04-20T02:31:11Z,,,,,5665749703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5665749701,197,3376,5665749699,194,d99eakp27bro9g50wpzti8rca,5665749689,30,"6j9gbfyvpr5lqp6aak54597ca, 2imizu6je16b3ssheijycxjh1, dgpphcc9ql3pv3b4chhchml90, 2giowiodzndu5m2gwn79iiui1, d99eakp27bro9g50wpzti8rca, 5ku33b8dbb20fhqdg8h83rdyi, 1e1wh213cg8q6lsqa3kvbjdka, do5q14naxm61jw8px8qvacn4k, 1d20nyyvmp0doobj6heejkowk, 8svvdqi69pc6it7mnin50q68k, dks0ibq4b4i2w3bcc05v8rhn8, 8td51fzpdl6c1yrz6r0igle22, bw0h202lprp7jzdtp6hv78ixh, 87pe681vhgbb6plpej3tr74oa, 9etod4kwf9f5ye7jzc5ez0e3u, 1o7iht0ow216jvo5qm64akup6, 4r4a2d3piuh8wusw8ftrsh016, 109e64uz1hq4tb3rspek41qll",5665749691,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5665749697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5665749693,59,"99, 47, 2, 15, 91, 14, 26, 6, 9, 22, 21, 4, 5, 10, 17, 19, 31, 8",5665749695,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803617405,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-04-20T01:53:36.702Z,2025-04-20T05:37:34Z,,,,,5665753779,59,"56, 23, 33, 3, 5, 24, 6, 34, 11, 10, 27, 1, 7, 14, 17, 18, 20, 28",5665753783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5665753781,130,13,5665753785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666070263,194,e6gr1t1rp2x7waywgzlrj8yqx,5665825307,197,22474,5665753775,30,"470xuwiwevwy86l2ararrkyga, 4nwnrf33mdxscx5rdaw1529cl, 20z2nx7xh9mgty7qp6xur14yy, 8p3y7tm4lzwp39tojonnohaay, 8i5k1tx7x5hx4kk3qzyvrfj84, 3u22kckqpecmgcw7ee3xrdppm, 9elhnfsovx9efu5f92mkkls7o, a4staqjshva5lhcr0dw744nze, o0a1acp618ig9detdym1m0pg, 65jctzcct9irz3wre08c2v2wa, e6gr1t1rp2x7waywgzlrj8yqx, catp73eq6wn8hxggfcpzks3u2, 613kkjtvfyf7mbvrqt9pcizmd, f3ftrudyp33naykboqmua0jro, 40qi53orb0eur2jevowkvrcb8, a1v4h4gcsepnaknru3jjnwl5g, 7wbwaew3d712kxl54ztdxe87o, 2jxho5va9q638vkklji2n8cx6",5665753777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630579,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-04-20T02:36:14.205Z,2025-04-20T02:36:14Z,,,,,5665824719,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630581,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-04-20T02:36:14.205Z,2025-04-20T02:36:17Z,,,,,5665824729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630597,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,50.2,50.1,2025-04-20T02:36:14.206Z,2025-04-20T02:36:18Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5665824797,213,3.44,5665824791,140,29.0,5665824793,141,40.1,5665824795,212,23.3,5665824789,56,Back,5665824799,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630615,4,1,1,0,2,aj8ytsr2ap33tod0hd8ofzaw9,1,29.0,40.1,2025-04-20T02:36:16.868Z,2025-04-20T02:36:21Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5665824919,1,,5665824907,157,,5665824917,213,0.50,5665824913,141,76.6,5665824911,140,72.5,5665824909,56,Center,5665824915,212,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630623,5,1,1,0,6,aj8ytsr2ap33tod0hd8ofzaw9,0,72.5,76.6,2025-04-20T02:36:21.037Z,2025-04-20T02:36:22Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,,5665824963,168,,5665824967,140,83.0,5665824961,3,,5665824965,56,Left,5665824973,213,0.97,5665824969,141,100.0,5665824971,212,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630683,3,5,1,0,7,7c9knuwazz9k9449u5rnuuy5m,1,16.7,-0.8,2025-04-20T02:36:22.109Z,2025-04-20T05:37:46Z,o0a1acp618ig9detdym1m0pg,C. Pinzón,,,5665825293,347,,5665825291,56,Back,5665825317,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630625,6,5,1,0,7,aj8ytsr2ap33tod0hd8ofzaw9,0,83.3,100.8,2025-04-20T02:36:22.109Z,2025-04-20T05:37:46Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,,5665824979,347,,5665825337,233,3,5665824977,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803630737,4,1,1,0,26,7c9knuwazz9k9449u5rnuuy5m,1,14.5,0.0,2025-04-20T02:36:40.843Z,2025-04-20T02:36:43Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5665825595,56,Back,5665825593,107,,5665825597,140,7.9,5665825601,212,25.4,5665825603,213,1.85,5665825605,1,,5665825599,141,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
