id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value
2803476523,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-19T22:14:11.093Z,2025-04-20T01:58:12Z,,,,5664956901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5664956909,194,1j010cibh247p8kjchww6ny3u,5665088417,197,28468,5664956899,30,"isauuse3yqdwymvfne6ci385, 9ij293r1mbtygl6v3u2s43i3u, f2nxaemhqi8kbtbejnqekgd4a, 9x7teazvqgbnj3pnam6rf2xgp, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, a8ngovgs2qfu5udzb97kelg16, 6d45ccicyo6dregi9cm4ad4kq, 5gc4aouty93b7kbin9cpgrdre, djz5cm1g7ouen2y4o7w35jbl6, 19addig7dyotjybbwgbjkft2h, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 8bwjj53jwbsi0emx370uka5g4, 2ozy3ijlcknjqk0omzwd58x2i, 2m28wyud6xi78nt8e92p9keay, 1vnfc466lc01fdfhyvzt8fhii",5664956907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5664956905,130,8,5664956911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664956903,59,"1, 15, 22, 6, 2, 5, 7, 8, 20, 21, 31, 17, 13, 14, 18, 4, 11, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803482589,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-19T22:26:57.150Z,2025-04-20T03:07:33Z,,,,5664991151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664991141,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5664991147,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5664991145,130,2,5664991139,30,"4o2odluv4usimcdtryht04zjd, 6pqyqf9v6g60ci7jjggalqsq1, 2wj1w4opn7f0jyz1ps6ebvc6i, khvgxqohya7mawca1qx5q590, 16ndalf4kfr7e6rd9mwj7gfmc, 2l6v8ab245wzmb1litvkir1ii, csx9pmpibyblftludnkd6j36x, 2yflerah2shma2hzhm99msez9, bvmqiuxeyjf68mz3jbm6i295h, 1b9b97pxox77ia41cilqqm4iy, chiwsyjdyk4sn4vxqu9mdr0x6, rtercnq9nn7y0814ghe7wo2x, 97rumgrdtahzassy8weq13dyi, 4f03usm5tnljkqleajmz9kmol, cc7auv8d89ohifqg7qwz62mwa, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, 1xpjec3sk3ykvgcg67jkxtzo",5664991149,194,2yflerah2shma2hzhm99msez9,5665089329,197,23268,5664991143,59,"1, 6, 24, 3, 5, 27, 11, 80, 99, 8, 72, 14, 16, 17, 22, 31, 37, 71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500249,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-19T23:07:01.162Z,2025-04-19T23:07:02Z,,,,5665093489,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500245,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-19T23:07:01.162Z,2025-04-19T23:07:03Z,,,,5665093471,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500283,3,1,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,49.7,50.0,2025-04-19T23:07:01.163Z,2025-04-19T23:07:06Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,5665093663,212,21.8,5665093661,141,49.6,5665093657,56,Back,5665093665,213,3.15,5665093667,279,S,5665093659,140,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500307,4,1,1,0,4,ck22dnk93ng8ax7wonlff7yms,1,31.0,53.0,2025-04-19T23:07:06.109Z,2025-04-19T23:07:50Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,5665093807,140,70.4,5665093805,56,Center,5665093811,212,44.0,5665093809,141,75.1,5665093803,157,,5665093813,213,0.35,5665093815,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500313,5,44,1,0,7,ck22dnk93ng8ax7wonlff7yms,1,64.8,77.0,2025-04-19T23:07:08.761Z,2025-04-20T01:54:47Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,5665093839,286,,5665093837,56,Center,5665093875,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500299,3,44,1,0,7,kfq8fhwnmycbtad1u0fyefx0,0,35.2,23.0,2025-04-19T23:07:08.762Z,2025-04-20T01:54:48Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5665093737,56,Back,5665093915,233,5,5665093739,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500327,6,1,1,0,8,ck22dnk93ng8ax7wonlff7yms,0,71.2,76.0,2025-04-19T23:07:09.705Z,2025-04-19T23:55:18Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,5665093951,56,Left,5665093959,212,13.9,5665093957,141,95.0,5665093961,213,1.95,5665093953,140,66.3,5665093949,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500335,4,1,1,0,10,kfq8fhwnmycbtad1u0fyefx0,0,30.6,6.5,2025-04-19T23:07:11.968Z,2025-04-19T23:07:13Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5665093983,213,0.11,5665093985,1,,5665094019,286,,5665093973,157,,5665093981,212,1.8,5665094015,233,7,5665093979,141,6.8,5665094013,236,,5665093977,140,32.3,5665093975,56,Back,,,,,,,,,,,,,,,,,,,,,,,
