id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2822657123,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-14T23:06:00.921Z,2025-06-15T02:32:21Z,,,,,5771209063,194,e6uww9a9ssp0n20ksoolesa8l,5771209059,130,13,5771329291,197,29697,5771209065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771209061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5771209057,59,"57, 27, 2, 43, 3, 13, 8, 17, 9, 10, 19, 4, 6, 7, 20, 21, 25, 77, 1",5771209055,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5771209053,30,"2ig362xub2syd45v3usgymbkk, cbjd834y2hdx5jr3bda1zz6ga, beq6yluq1raxsrvxo77qlrf56, 357vd87hv0jvljqtt2qf4vmz8, 3yd4f60qwxrbs2rch6uobxqsp, 5uv1a9rj5wot3wcgefjoxhkdm, 272w5ezobn1o53b3yxnbgjckq, 9etod4kwf9f5ye7jzc5ez0e3u, 2rsduabh7r8i29f9i6znwbfu1, dglf4uhg5wnc68cg8ijovfmy1, e6uww9a9ssp0n20ksoolesa8l, ece6sffb02drwz4brwndn0rh0, b708ir5u7r34j9oemje8f8z1m, 7drelguz6c1htw10sq7zyxh0q, 9i7vyapra7fjdtv6xd9sms2ne, 7xe0ov84ztwduks4x3utn05ck, 8t6b8q53ovws370a1b27s85jo, ae11j4s1qmv2augwuplxgrtka, dlcxvrsqhiz8ce0nqnh6h6dw5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657363,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-14T23:06:47.235Z,2025-06-15T00:16:49Z,,,,,5771210403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771329677,197,29734,5771365325,194,42hi96pvzz8f69ixlcncn0549,5771210399,59,"1, 15, 13, 32, 5, 4, 17, 27, 9, 25, 7, 2, 3, 8, 16, 23, 24, 30, 80, 83",5771210405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771210401,130,13,5771210395,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 486r7pszrdk085ot7cy2008dm, 35bpd9cmuep6cqczngaqpc19m, 3hb6yji6u8ftefif91lfrbtre, cxscznjyygtsgbajv08q04sq2, cla0i94uyddjw7jzqoyfsplre, 2g5s1bd38e3v7j8h11xq3uo6h, 1xb2wmuzlhgo6vt7f9yl2rnkk, achy1l1rfq2d4ftn6l1esht9m, aj5x0l6jpxl7s8pfmhgc4060a, 5rdtu4wmswu65eqjjw38uao0k, 7hlfdid37wq96tz5jlb96mw44, cf744cscgw47rjb18w08wstuc, 2ekg8ntkxc3szd8d9bnv20npw",5771210397,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680325,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-15T00:06:42.860Z,2025-06-15T00:06:43Z,,,,,5771336657,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680317,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-15T00:06:42.860Z,2025-06-15T00:06:43Z,,,,,5771336599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680337,3,1,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,50.0,50.0,2025-06-15T00:06:42.861Z,2025-06-15T00:06:45Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5771336699,141,48.4,5771336695,56,Back,5771336701,212,25.0,5771336705,279,S,5771336697,140,26.2,5771336703,213,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680347,4,1,1,0,2,83cpn99fh7ulkwe8nezy8a3mx,0,25.8,49.1,2025-06-15T00:06:44.936Z,2025-06-15T01:01:17Z,486r7pszrdk085ot7cy2008dm,E. Davila,,,5771336743,140,76.9,5771336741,56,Right,5771336747,212,60.3,5771336745,141,8.6,5771336739,157,,5771336751,1,,5771336749,213,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680861,15,43,1,0,2,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-15T00:06:45.669Z,2025-06-15T00:15:50Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5771339459,233,10,5771339435,56,Back,5771362155,144,5,5771339437,347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680361,3,12,1,0,5,c9xffml4i7ihblp1qhus9w3fu,1,17.5,86.6,2025-06-15T00:06:48.338Z,2025-06-15T00:06:50Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5771336847,15,,5771336833,212,7.2,5771336831,141,87.5,5771336827,56,Back,5771336829,140,24.3,5771336835,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680401,5,83,1,0,7,83cpn99fh7ulkwe8nezy8a3mx,1,73.5,13.1,2025-06-15T00:06:49.868Z,2025-06-15T00:09:59Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5771345109,399,e6uww9a9ssp0n20ksoolesa8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822680379,4,61,1,0,7,c9xffml4i7ihblp1qhus9w3fu,0,24.3,87.5,2025-06-15T00:06:50.503Z,2025-06-15T00:06:50Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5771336959,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
