id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2803474617,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-04-19T22:10:28.288Z,2025-04-19T23:06:31Z,,,,,5664945163,59,"1, 14, 10, 55, 5, 66, 16, 15, 9, 44, 7, 71, 8, 11, 13, 17, 19, 24, 26, 27",5665091981,197,28571,5665006939,194,9tknltys66s9j8ljchwu5efv9,5664945165,130,11,5664945169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664945159,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 4l0iztasx0cae3j4f15d8gd4a, 6a6bagymcckyt43w6b31irsvd, 9tknltys66s9j8ljchwu5efv9, vg3ha8h2d35wgexer2i6ao0k, ecipfh5r0gqsf0skgvgpu8cbu, 1tsiml56f2xxym8h4tfjmho2c, 4avmtni30rahy4h40ffg89q6t, 8e6kj3506n4gum041dok8v1ex, 6u93ok0drr4byri2lu5g6rq0a, 25yiwywy8abvc42fz2h9p81ec, 7ejohb009byubwiqv36vag5jo, blkq1t8y0wnos6jxb0uwowwk5, 69wq859yz6wzirpbvpnt3n8bt, f21web74a70mly9i28jpa1yvp, 68lho3sxw1cm1acgk4phg9wtm, 18g5ilv70mq7igiooy5yb8sno, 3cj2fww973bv21rfjlnu15yc4, 6jdsh8ubirqphhurw5rr7kz8q",5664945161,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5664945167,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2803475439,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-04-19T22:12:02.933Z,2025-04-20T01:52:45Z,,,,,5665751657,197,22487,5664950347,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5664950349,59,"28, 8, 35, 21, 13, 2, 5, 11, 9, 7, 10, 3, 4, 16, 18, 22, 26, 29, 31, 33",5664950353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664950345,30,"9q3w4j10qfsq94svbmyxa879x, fm9i7pzwi2diu6i18kycmx1x, cefb3xpf94kmg4rk0v1mkk2l0, d539xjkdwt1i77f0czbvo8ull, eqopj1p3a2ehzpwlj90laswoa, 96qlwmkrab9h7xt93jzgl384p, cyignmjprj3whvban361mclm2, 864l8bcr288r74g3tmt1eqfe2, am7umg00yxt40mndzo6e0u3o4, bolmgcfvbdizfyh6n9oz4xjsa, e5nj82ezbq0x6zdzdh4quyxn9, cvi9u3v3krlkbvwcwjqztzvca, 1460tac94fhhy43lmohs4fj3e, bbic10tw6eaf7rgpogt37rgtl, eqge8se9qvv9oqyivp267l016, c14ntw6zvozswy685dztldl1x, bzs1s1yntau3dvzyvn6t7t785, 66mp8cxjrfuyw16t00oh4i8r9, amy6q1u6b1rvlsudoc73mj2ms, 67tm2uozhacktv8pmixqlwsno",5664950351,130,13,5665724577,194,e5nj82ezbq0x6zdzdh4quyxn9,5664950355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2803499971,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-04-19T23:06:35.151Z,2025-04-19T23:06:35Z,,,,,5665092131,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803499977,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-04-19T23:06:35.151Z,2025-04-19T23:06:38Z,,,,,5665092167,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500003,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,50.0,50.0,2025-04-19T23:06:35.152Z,2025-04-19T23:06:39Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5665092295,279,S,5665092293,213,2.47,5665092287,140,41.5,5665092285,56,Back,5665092291,212,11.4,5665092289,141,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500009,4,1,1,0,2,bu5w8wprynlj9mvphvy8sd94f,0,41.5,60.5,2025-04-19T23:06:37.286Z,2025-04-19T23:56:49Z,864l8bcr288r74g3tmt1eqfe2,D. Verón,,,5665092337,213,5.41,5665092329,141,0.0,5665092325,140,75.2,5665092339,1,,5665092321,56,Right,5665092317,196,,5665092315,155,,5665092333,212,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500129,3,5,1,0,3,6597wqy6gmpv3zjx7rp8cdj46,1,24.4,101.4,2025-04-19T23:06:38.983Z,2025-04-20T01:41:34Z,4avmtni30rahy4h40ffg89q6t,O. Anderson,,,5665092911,56,Back,5665092921,233,5,5665092913,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500019,5,5,1,0,3,bu5w8wprynlj9mvphvy8sd94f,0,75.6,-1.4,2025-04-19T23:06:38.983Z,2025-04-20T01:41:35Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5665092929,233,3,5665092355,56,Right,5665092357,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500155,4,1,1,0,14,6597wqy6gmpv3zjx7rp8cdj46,0,23.7,100.0,2025-04-19T23:06:49.742Z,2025-04-19T23:06:52Z,4l0iztasx0cae3j4f15d8gd4a,J. Servania,,,5665093041,1,,5665093033,140,45.4,5665093031,56,Back,5665093029,107,,5665093037,212,24.3,5665093035,141,89.1,5665093039,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500165,6,8,1,0,17,bu5w8wprynlj9mvphvy8sd94f,1,53.6,6.1,2025-04-19T23:06:53.067Z,2025-04-19T23:06:53Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5665093105,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
