id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2823502511,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-20T22:38:13.787Z,2025-06-21T01:44:29Z,,,,,5775969303,194,42hi96pvzz8f69ixlcncn0549,5775969305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775969297,59,"1, 15, 2, 32, 5, 4, 17, 27, 9, 25, 7, 3, 11, 13, 23, 30, 31, 70, 80, 83",5775969293,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, cla0i94uyddjw7jzqoyfsplre, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 486r7pszrdk085ot7cy2008dm, 35bpd9cmuep6cqczngaqpc19m, 3hb6yji6u8ftefif91lfrbtre, cxscznjyygtsgbajv08q04sq2, 2g5s1bd38e3v7j8h11xq3uo6h, bteydgv4om5ylyoznx9vesogl, 7f1q3d59u9n16v9xrskfxqsq1, aj5x0l6jpxl7s8pfmhgc4060a, 7hlfdid37wq96tz5jlb96mw44, 15jb2rb0mvhaz492ii7yqrk6h, 56dgwb24qfzj4coisw4lj4duc, cf744cscgw47rjb18w08wstuc, 2ekg8ntkxc3szd8d9bnv20npw",5775969295,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5775969301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775969299,130,17,5776005471,197,29735,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823502621,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-06-20T22:38:56.812Z,2025-06-20T23:29:50Z,,,,,5775969923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775969919,130,17,5776005483,197,18636,5775969921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5775969917,59,"1, 14, 11, 55, 27, 66, 17, 15, 26, 8, 13, 5, 7, 9, 10, 16, 20, 24, 44",5775969913,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, blkq1t8y0wnos6jxb0uwowwk5, 6a6bagymcckyt43w6b31irsvd, 6jdsh8ubirqphhurw5rr7kz8q, vg3ha8h2d35wgexer2i6ao0k, f21web74a70mly9i28jpa1yvp, 1tsiml56f2xxym8h4tfjmho2c, 3cj2fww973bv21rfjlnu15yc4, 7ejohb009byubwiqv36vag5jo, 69wq859yz6wzirpbvpnt3n8bt, 9tknltys66s9j8ljchwu5efv9, 6u93ok0drr4byri2lu5g6rq0a, 4avmtni30rahy4h40ffg89q6t, 4l0iztasx0cae3j4f15d8gd4a, ecipfh5r0gqsf0skgvgpu8cbu, bjdoqj8tsm1wlxiqaavduwo9h, 18g5ilv70mq7igiooy5yb8sno, 8e6kj3506n4gum041dok8v1ex",5775969915,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5776005481,194,411grh3cytippnnanb767qvsa,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510041,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-20T23:37:05.209Z,2025-06-20T23:37:05Z,,,,,5776011765,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510051,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-06-20T23:37:05.209Z,2025-06-20T23:37:06Z,,,,,5776011809,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510057,3,1,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,50.2,50.0,2025-06-20T23:37:05.210Z,2025-06-20T23:38:23Z,f21web74a70mly9i28jpa1yvp,C. Martin,,,5776011857,279,S,5776011847,56,Back,5776011849,140,28.6,5776011855,213,3.65,5776011851,141,31.3,5776011853,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510059,4,1,1,0,4,6597wqy6gmpv3zjx7rp8cdj46,0,28.6,31.3,2025-06-20T23:37:09.344Z,2025-06-20T23:39:17Z,1tsiml56f2xxym8h4tfjmho2c,M. Maldonado,,,5776011879,141,5.0,5776011885,1,,5776011883,213,5.87,5776011877,140,67.6,5776011875,56,Right,5776013957,155,,5776011881,212,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510063,3,1,1,0,6,83cpn99fh7ulkwe8nezy8a3mx,0,21.4,94.4,2025-06-20T23:37:11.841Z,2025-06-20T23:39:48Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5776011895,56,Left,5776011897,140,51.3,5776014481,3,,5776011903,213,6.25,5776011901,212,31.4,5776011899,141,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510067,5,1,1,0,10,6597wqy6gmpv3zjx7rp8cdj46,1,43.6,10.1,2025-06-20T23:37:15.360Z,2025-06-20T23:37:16Z,vg3ha8h2d35wgexer2i6ao0k,F. Sundstrom,,,5776011923,141,17.4,5776011921,140,48.0,5776011925,212,6.8,5776011919,56,Back,5776011927,213,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510071,6,1,1,0,10,6597wqy6gmpv3zjx7rp8cdj46,0,48.0,17.4,2025-06-20T23:37:16.057Z,2025-06-20T23:37:17Z,f21web74a70mly9i28jpa1yvp,C. Martin,,,5776011957,213,5.93,5776011949,56,Right,5776011955,212,13.9,5776011951,140,60.4,5776011953,141,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823510077,4,4,1,0,17,83cpn99fh7ulkwe8nezy8a3mx,1,37.8,93.8,2025-06-20T23:37:22.249Z,2025-06-21T00:37:37Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5776011981,265,,5776011975,13,,5776011977,56,Back,5776011983,286,,5776012015,233,7,5776011979,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
