id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2816200311,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-18T01:17:29.335Z,2025-05-18T05:15:00Z,,,,5735186683,59,"13, 24, 3, 6, 12, 22, 11, 15, 23, 19, 9, 10, 16, 25, 27, 42, 47, 99, 18",5735186687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5735186681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5735186689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735456611,194,cvdn34vl3zje5uq54nvg77sut,5735186685,130,7,5735391733,197,29742,5735186679,30,"18iz45ww0nara0xdaleg72ort, 52rcg38mijjjusfwqxa2l7hex, 9za3fwnri7qk1dutb4iwmh6g9, 4fbaxgikw7z9sfhuz6vvnfmxh, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, bhzsz7pbe6pbwojtc1mi8m28l, djau5chcmoyiyq28jt9ypzh4a, 1iyhipdn84for8bbxb07kw4x5, caxfn5xu1taewgtxil6ah2rjd, 7b346y8ad54mkc0h1343ybs2x, 3nvijn3ctkplajtt1dd23wycp, 2o86bp6u8hbr8q43mea7srco9, g31cspu8sa8eohwakxm28ne2, akgtib8zyv5lrvh9mxunj2rdg, 85k1701p1ihv5ty1q457tjaqc, 92e2s4yfk06ym5ksu9p8lgc2c, 32fghx5a0volzlf34tov0fkdl, 5i0d3n5jzz85wi8p2sfajdbf8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203323,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-18T01:22:30.782Z,2025-05-18T04:16:22Z,,,,5735391453,197,29751,5735203417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5735203419,59,"1, 3, 23, 19, 5, 20, 7, 4, 10, 6, 17, 9, 11, 13, 14, 21, 24, 28, 31, 33",5735203415,30,"9zolq6c0x4ubmtfusbz2c3xwq, 6o5jqx64vum71hh2olnrb4178, 52qwgcxm3vpgabixc8c2i3aax, f1j8v0figkewc23fmaexubo4p, ds74l5fmanizrflvvfkl42pcl, a2crcglwdookm6m397dxw2qdw, 6kp2pv58u27yf5tnclyhnuoh6, 8sydisziijh84elb8dprtlduy, 1ua1e9ceddhcmq80ywq2ihd6, 3sp46qr51lu5o2213enn5xtjp, 6ydk69km9oe49cg6plrc6u0wk, k3rif7polxoazy70fu2013op, 5nv5d35t6x08kuujy5qptrlec, ersabc33m0ihy01uxccpnon4k, 7d1v02o7kk9guqpn77xzgtvu2, 4eo92l592013pjmwitoxmuyvo, 3461sfmst5pjeiaof78d0efo, 6wjjjmu5dw9m7chorpc4lcnbo, 46nav8x1n8s7c9zrmzo5eobje, 2m8m4aavjwesbh6oea1ta1vys",5735203425,194,ds74l5fmanizrflvvfkl42pcl,5735203427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735203423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735203421,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222647,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-18T02:08:15.787Z,2025-05-18T02:08:18Z,,,,5735312449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222635,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-18T02:08:15.787Z,2025-05-18T02:08:16Z,,,,5735312411,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222671,3,1,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,50.0,50.0,2025-05-18T02:08:15.788Z,2025-05-18T02:08:20Z,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,,5735312539,56,Back,5735312541,140,31.8,5735312543,141,45.8,5735312547,213,3.29,5735312545,212,19.3,5735312549,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222699,4,1,1,0,4,cf5r1qpotp6n5i3vdchsp2en1,1,27.3,47.3,2025-05-18T02:08:20.094Z,2025-05-18T02:08:25Z,9zolq6c0x4ubmtfusbz2c3xwq,C. Shutler,,5735312727,140,83.0,5735312735,1,,5735312723,157,,5735312729,141,82.0,5735312731,212,63.1,5735312725,56,Left,5735312733,213,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222705,5,61,1,0,9,cf5r1qpotp6n5i3vdchsp2en1,0,83.0,82.0,2025-05-18T02:08:25.431Z,2025-05-18T02:08:26Z,6ydk69km9oe49cg6plrc6u0wk,L. MacKinnon,,5735312743,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222725,3,4,1,0,14,bk3zg8yaj5uoqhxzwons3bo8a,1,3.2,13.2,2025-05-18T02:08:30.637Z,2025-05-18T02:08:36Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,5735312921,233,6,5735312911,13,,5735312917,152,,5735312913,294,,5735312915,56,Back,5735312919,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222723,6,4,1,0,14,cf5r1qpotp6n5i3vdchsp2en1,0,96.8,86.8,2025-05-18T02:08:30.638Z,2025-05-18T02:08:35Z,6ydk69km9oe49cg6plrc6u0wk,L. MacKinnon,,5735312901,56,Left,5735312903,152,,5735312943,233,3,5735312905,286,,5735312899,294,,5735312897,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222933,4,1,1,0,47,bk3zg8yaj5uoqhxzwons3bo8a,0,7.2,12.0,2025-05-18T02:09:03.734Z,2025-05-18T02:09:08Z,18iz45ww0nara0xdaleg72ort,K. Shakes,,5735314039,5,,5735314055,1,,5735314051,212,50.7,5735314053,213,6.27,5735314041,157,,5735314043,152,,5735314047,140,55.5,5735314045,56,Right,5735314049,141,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222949,7,44,1,0,51,cf5r1qpotp6n5i3vdchsp2en1,1,40.8,82.5,2025-05-18T02:09:07.637Z,2025-05-18T03:05:24Z,8sydisziijh84elb8dprtlduy,N. Benalcázar,,5735314155,233,5,5735314123,56,Back,5735314127,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222939,5,44,1,0,51,bk3zg8yaj5uoqhxzwons3bo8a,0,59.2,17.5,2025-05-18T02:09:07.638Z,2025-05-18T03:05:24Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,5735314075,56,Right,5735314175,233,7,5735314077,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
