id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2785851477,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-03-09T02:06:34.780Z,2025-03-09T03:22:26Z,,,,,5568101411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5568326869,194,4jq1xl8ott88bxfdo4bjm47hl,5568101419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5568270249,197,10793,5568101421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568101417,130,2,5568101415,59,"1, 26, 2, 6, 33, 5, 11, 12, 45, 10, 14, 4, 7, 22, 48, 50, 60, 88",5568101407,30,"6j38lv6xa3gnzzsn5x2i35rdh, 3apux7dih2628a7b7q0dt6bu2, 69j92vzo1swgodk0g9g2ksqqy, bogxgfao7j28diagxffy0z9ey, 4e47ixpbc8x9qzn7l3aeej0tl, 777irocsl9y6fja05sevniy95, doseo9fbdr1a1srm0jhdqmr55, 4jq1xl8ott88bxfdo4bjm47hl, e0879u9ckqe6xv1h2j8bqto9g, cxnq0rc4u1efzt82nw3xgk355, cqhpjp9q1pl5gy4nfrpd7m3h0, ei30dsbb51ri88sr7aku2t13p, 6g7v93m80xq6x38o9u3t8y3je, 2j9i9ersvndkywcgqx9pzc9ka, 97rzxcaw3u0qqov2uci1m4ges, dcirx0bnhlf1ua9c3lltqpe96, aa8wxd6orgx3wa187n63htjpw, 24r8fdf8ypk7ejch9t86zjwgk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785863817,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-03-09T02:25:32.982Z,2025-03-09T05:47:55Z,,,,,5568270093,197,24407,5568170531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5568170539,130,8,5568170535,59,"1, 2, 13, 6, 5, 4, 7, 19, 9, 14, 23, 35, 24, 30, 31, 33, 8, 10, 15",5568170551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568170529,30,"9zolq6c0x4ubmtfusbz2c3xwq, 26uulzcbbpgdrvnf5msmqidck, ersabc33m0ihy01uxccpnon4k, 3sp46qr51lu5o2213enn5xtjp, ds74l5fmanizrflvvfkl42pcl, 8sydisziijh84elb8dprtlduy, 6kp2pv58u27yf5tnclyhnuoh6, f1j8v0figkewc23fmaexubo4p, k3rif7polxoazy70fu2013op, 7d1v02o7kk9guqpn77xzgtvu2, 52qwgcxm3vpgabixc8c2i3aax, 5yagqw0826fi91s0i8qv8lfkk, 3461sfmst5pjeiaof78d0efo, 66munwmhmpdq06686gawcz9ck, 46nav8x1n8s7c9zrmzo5eobje, 2m8m4aavjwesbh6oea1ta1vys, 7qt4r82kyz05r8kd8cmdh1xqs, 1ua1e9ceddhcmq80ywq2ihd6, bqmln8wgwt0uazirmw682kt4a",5568170543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5568170547,194,ds74l5fmanizrflvvfkl42pcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882829,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-03-09T03:07:54.902Z,2025-03-09T03:07:58Z,,,,,5568279931,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882827,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-03-09T03:07:54.902Z,2025-03-09T03:07:55Z,,,,,5568279929,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882841,3,1,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,49.9,50.0,2025-03-09T03:07:54.903Z,2025-03-09T05:22:47Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5568280029,141,57.6,5568280035,279,S,5568280033,213,2.93,5568280031,212,24.8,5568280025,56,Back,5568280027,140,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882845,4,1,1,0,2,cf5r1qpotp6n5i3vdchsp2en1,0,27.0,54.8,2025-03-09T03:07:57.017Z,2025-03-09T05:16:03Z,8sydisziijh84elb8dprtlduy,N. Benalcázar,,,5568280059,212,47.3,5568280061,213,6.06,5568280051,157,,5568280063,1,,5568280053,56,Center,5568280057,141,39.5,5568280055,140,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882863,3,43,1,0,6,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-03-09T03:08:00.950Z,2025-03-09T03:08:11Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,,5568280161,56,Back,5568280163,285,0,5568280559,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882865,4,1,1,0,6,b5l2e3csycjb8twvq9ek0j5gq,0,30.6,62.6,2025-03-09T03:08:01.214Z,2025-03-09T05:22:31Z,777irocsl9y6fja05sevniy95,C. Riley,,,5568280175,213,0.24,5568280165,3,,5568280171,141,67.3,5568280167,56,Back,5568280173,212,13.2,5568280169,140,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882887,5,1,1,0,9,cf5r1qpotp6n5i3vdchsp2en1,1,58.7,33.1,2025-03-09T03:08:04.272Z,2025-03-09T04:01:33Z,f1j8v0figkewc23fmaexubo4p,K. Partida,,,5568280315,56,Right,5568280317,140,63.9,5568280321,212,14.8,5568280313,3,,5568280319,141,12.9,5568280323,213,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785910279,523,1,1,0,11,cf5r1qpotp6n5i3vdchsp2en1,0,51.1,12.9,2025-03-09T03:08:05.902Z,2025-03-09T04:01:31Z,26uulzcbbpgdrvnf5msmqidck,G. Doody,,,5568423765,213,0.67,5568423763,212,7.1,5568423759,140,56.4,5568423761,141,19.4,5568423757,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882921,5,1,1,0,13,b5l2e3csycjb8twvq9ek0j5gq,0,39.7,76.6,2025-03-09T03:08:07.949Z,2025-03-09T05:22:42Z,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,,,5568280485,141,100.0,5568280487,212,53.4,5568280483,140,88.0,5568280481,56,Left,5568280479,155,,5568280489,213,0.32,5568280491,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882929,6,5,1,0,13,b5l2e3csycjb8twvq9ek0j5gq,0,81.0,101.6,2025-03-09T03:08:08.393Z,2025-03-09T05:19:45Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5568280849,233,7,5568280535,56,Left,5568280537,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785882975,7,5,1,0,13,cf5r1qpotp6n5i3vdchsp2en1,1,19.0,-1.6,2025-03-09T03:08:08.393Z,2025-03-09T05:19:44Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5568280827,233,6,5568280821,56,Back,5568280823,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785883003,8,1,1,0,23,cf5r1qpotp6n5i3vdchsp2en1,1,31.3,0.0,2025-03-09T03:08:18.328Z,2025-03-09T03:08:22Z,26uulzcbbpgdrvnf5msmqidck,G. Doody,,,5568281003,1,,5568280993,56,Back,5568280997,141,19.2,5568280995,140,49.9,5568281001,213,0.62,5568280999,212,24.0,5568280991,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
