id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2821721415,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-08T01:18:48.257Z,2025-06-08T06:29:49Z,,,,,5765975477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765975459,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, cc7jk41tn9qi5px4pb9l4bn8q, bgxiot2ugkc6t5jchxewen4k5, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, 579n2n7oiogy83epzcfrxtd5h, 7y9k549gjh2183ylplvwg2q5l, 23vdzclmewq139wius9oy3m51, do8svqsgqomasmzdwwsgg7qlm, 9lqozbr0ghw2fhep938p8snah, 1ntf3x9ay255qut54al2mt0q, 271x0k4dhjqn4h7ecmt44pzo5, 5g8dr2qbefady0fa5wuwxvt3o, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 9r38gjqqpwb3jue2rna0nwdsl, 6e7vgxyzx00c79hw1wg4d01sk, 2054x8z63k74or3inr9sl0bu1, 113mck575esofosg0reheh7je, t8bq7sttljbcrrspxz5tnm5l",5765975475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766122725,197,23592,5765975463,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5765975467,59,"1, 2, 3, 4, 6, 5, 19, 22, 9, 10, 11, 7, 8, 14, 21, 23, 43, 55, 96, 99, 17",5765975471,130,17,5766121529,194,bgxiot2ugkc6t5jchxewen4k5,,,,,,,,,,,,,,,,,,,,,,,,,,
2821736913,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-06-08T02:19:54.553Z,2025-06-08T06:02:22Z,,,,,5766064733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5766064731,130,17,5766064725,30,"6j9gbfyvpr5lqp6aak54597ca, 64amlcisr3cr924jwy25rjs9h, dgpphcc9ql3pv3b4chhchml90, 8td51fzpdl6c1yrz6r0igle22, d99eakp27bro9g50wpzti8rca, 5ku33b8dbb20fhqdg8h83rdyi, bw0h202lprp7jzdtp6hv78ixh, do5q14naxm61jw8px8qvacn4k, 87pe681vhgbb6plpej3tr74oa, dks0ibq4b4i2w3bcc05v8rhn8, 109e64uz1hq4tb3rspek41qll, ckefp96qi7xs4yt9n329paajt, 8svvdqi69pc6it7mnin50q68k, 1e1wh213cg8q6lsqa3kvbjdka, am6xykrxjymw2qpqli6upysq, 3me8mlpj9tgn82v2mwyibpkb8, 2imizu6je16b3ssheijycxjh1, 441plehxckmdj5gb2mr6y8ne2",5766064727,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5766121513,194,d99eakp27bro9g50wpzti8rca,5766064735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766122985,197,29946,5766064729,59,"99, 12, 2, 4, 91, 14, 5, 6, 10, 21, 8, 7, 22, 26, 35, 39, 47, 37",,,,,,,,,,,,,,,,,,,,,,,,,,
2821747451,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-08T03:10:38.173Z,2025-06-08T03:10:39Z,,,,,5766123781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821747449,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-06-08T03:10:38.173Z,2025-06-08T03:10:38Z,,,,,5766123779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821747459,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,50.0,50.0,2025-06-08T03:10:38.174Z,2025-06-08T03:10:41Z,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,,,5766123801,56,Back,5766123809,213,3.34,5766123803,140,30.4,5766123811,279,S,5766123805,141,44.0,5766123807,212,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821747465,4,1,1,0,2,aj8ytsr2ap33tod0hd8ofzaw9,0,32.6,42.5,2025-06-08T03:10:40.964Z,2025-06-08T03:10:44Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5766123849,213,0.47,5766123841,56,Center,5766123843,140,74.4,5766123847,212,49.1,5766123851,1,,5766123839,157,,5766123845,141,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821747477,3,1,1,0,6,7neuneh44n9rtsfsh6r0sb9no,1,18.9,29.5,2025-06-08T03:10:45.041Z,2025-06-08T06:04:37Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5766123923,3,,5766123925,56,Back,5766123933,213,1.16,5766123927,140,29.8,5766123929,141,68.4,5766123931,212,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821747483,4,44,1,0,9,7neuneh44n9rtsfsh6r0sb9no,1,35.0,58.0,2025-06-08T03:10:47.616Z,2025-06-08T03:10:53Z,9lqozbr0ghw2fhep938p8snah,R. Cicerone,,,5766123955,285,,5766123985,233,5,5766123953,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821747481,5,44,1,0,9,aj8ytsr2ap33tod0hd8ofzaw9,0,65.0,42.0,2025-06-08T03:10:47.617Z,2025-06-08T03:13:52Z,bw0h202lprp7jzdtp6hv78ixh,Marcos Cerato,,,5766123951,286,,5766124003,233,4,5766123949,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821747487,5,1,1,0,9,7neuneh44n9rtsfsh6r0sb9no,0,29.8,68.4,2025-06-08T03:10:47.696Z,2025-06-08T06:04:39Z,9lqozbr0ghw2fhep938p8snah,R. Cicerone,,,5766123979,212,1.1,5766123971,168,,5766123981,213,5.97,5766123969,3,,5766123977,141,67.9,5766123975,140,30.8,5766123973,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
