id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value
2785797547,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-03-09T00:41:50.548Z,2025-03-09T06:04:26Z,,,,,5567990317,197,23308,5567805345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567805339,59,"1, 15, 22, 14, 2, 5, 10, 8, 9, 88, 11, 3, 4, 7, 12, 18, 20, 21",5567805335,30,"isauuse3yqdwymvfne6ci385, 9ij293r1mbtygl6v3u2s43i3u, f2nxaemhqi8kbtbejnqekgd4a, b0zo05bu61v32nw35mriue0yy, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, 9glti6ay2zxkigdtjcxtkj7it, a8ngovgs2qfu5udzb97kelg16, 7d326gljgym4qtmxvx5t5poq2, d2yqubc3u7bjj96yqawjojod0, 2m28wyud6xi78nt8e92p9keay, bnpu23zlwzn5gtr4t8j8qtnh0, 2ozy3ijlcknjqk0omzwd58x2i, ewibb8s7p2l6f5sekvkqu4a5m, bnhjfu5p8tysruk7aep5dr1ex, 8bwjj53jwbsi0emx370uka5g4, 6d45ccicyo6dregi9cm4ad4kq, 5gc4aouty93b7kbin9cpgrdre",5567805337,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5567805343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5567805341,130,7,5568593349,194,1j010cibh247p8kjchww6ny3u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785804393,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-09T00:50:51.540Z,2025-03-09T01:40:56Z,,,,,5567841709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5567841705,59,"1, 23, 94, 10, 21, 3, 8, 18, 17, 70, 9, 5, 7, 11, 13, 14, 22, 51, 55",5567841707,130,4,5567841701,30,"h4nbagq5dsdltn9x62oi0t05, 5ynru0652guk8hl45ltxo0dwq, 61rlxmejof8zjv8uw3sk1l045, zd582wgzhdcz8n6oipywt3vt, 4o1ryjpzoxzpi3ex53cmayui1, ks7omik17xov44i4hhjrldyh, bfdes5ft117ggu7ue5tnu5hm2, bzu3rjr0r2qmxluguyseq5sdl, 4695nvcz8lcrklltxvalcizmd, 8pg5wiwxujx3hnir5wie9xgfe, 2ug51dfg4oerpnbudnkw497je, 371fgwtxyfnnu6m4pmq7s55ud, 4ceaxb019rb6flsigsqo80rca, 4g4zufvyime7qp4ks4badls0k, 57h9hd13z846qsj0bqpdoegb8, 8gxutqok71ycyk3ojmudrqtck, aigpzkjyja6ksrcl8dteylqs5, 86fj5xdkol68mz5bf7hrk4c2c, 1le9ot9v8ql9q57huwmu4vu38",5567991855,197,3383,5567841713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567841703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5567841711,194,ks7omik17xov44i4hhjrldyh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785830435,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-03-09T01:37:17.134Z,2025-03-09T01:37:20Z,,,,,5567988339,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785830427,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-09T01:37:17.134Z,2025-03-09T01:37:17Z,,,,,5567988307,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785844917,165,1,1,0,1,kfq8fhwnmycbtad1u0fyefx0,1,50.1,50.0,2025-03-09T01:37:18.271Z,2025-03-09T01:56:46Z,7d326gljgym4qtmxvx5t5poq2,A. Larsson,,,5568066681,56,Back,5568066683,140,33.9,5568067317,279,S,5568066887,189,,5568066689,213,3.37,5568066685,141,44.3,5568066687,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785845291,166,1,1,0,2,kfq8fhwnmycbtad1u0fyefx0,1,24.4,35.1,2025-03-09T01:37:19.207Z,2025-03-09T01:57:02Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5568068605,56,Back,5568068609,141,66.4,5568068607,140,26.9,5568068613,213,1.45,5568068611,212,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785845539,167,43,1,0,3,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-03-09T01:37:20.848Z,2025-03-09T01:57:21Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5568069711,212,10.7,5568069713,213,4.73,5568069709,141,58.8,5568069705,56,Back,5568069707,140,24.5,5568070059,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785830487,3,1,1,0,7,kfq8fhwnmycbtad1u0fyefx0,1,35.3,64.8,2025-03-09T01:37:24.503Z,2025-03-09T01:37:26Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5567988695,213,4.68,5567988687,56,Back,5567988689,140,34.6,5567988693,212,20.8,5567988691,141,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785830551,4,1,1,0,9,kfq8fhwnmycbtad1u0fyefx0,1,34.4,34.3,2025-03-09T01:37:26.414Z,2025-03-09T01:37:32Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5567989009,140,31.6,5567989007,56,Back,5567989015,213,1.72,5567989011,141,64.0,5567989013,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785830559,5,1,1,0,15,kfq8fhwnmycbtad1u0fyefx0,1,30.4,67.3,2025-03-09T01:37:32.670Z,2025-03-09T01:37:34Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5567989085,212,6.3,5567989087,213,0.77,5567989081,140,34.7,5567989083,141,73.8,5567989079,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
