id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/16/value
2807011529,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-27T12:10:14.226Z,2025-04-27T13:23:38Z,,,,,5684342063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684342061,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, beq1o3wl29kdr4qtahdij1m21, aa40go6nrv6mpdny6zdc1jeg9, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, 7z2gs2b8ccchwf0h92hwx8d90, doxrlp6910n9l5b5zl8ee73ai, 5t58neiqhud2d4h64owu8fwiy, 2yyodldan4gscxb0jjrpkygyy, 59d5otjevb4zussjofufdg4ph, 9c2ajg42wya1u4lh1eeye2jo4, c11fpnugs2ihyqk07ohha54np, 2vvnbkdgeje34aivohozzvm5l, 6bci7uqkdfkqzfyp3kq9lh3pw, be5sv0h649rb9o9gnko9ve2ac, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, dir0a3gwtnslupca6o36sqvis, 6r9gyu0ks64c9z4kfsfjj105w",5684342069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684342067,130,3,5684342073,197,19152,5684342071,194,59d5otjevb4zussjofufdg4ph,5684342065,59,"1, 6, 22, 13, 15, 16, 34, 10, 11, 21, 8, 20, 7, 17, 18, 26, 12, 2, 29, 32",5684342075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807016941,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-04-27T12:14:37.661Z,2025-04-27T14:11:07Z,,,,,5684370165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684370155,59,"1, 15, 12, 44, 40, 24, 19, 28, 10, 7, 26, 9, 11, 20, 21, 6, 25, 2, 3, 30",5684370161,194,d8t6nh7paunxlvadzlfx69xx,5684370163,197,24423,5684370151,30,"dxlvcn8a2lhtne6py7w4tbpw5, bl43lr9kdb35de8gxvuk4xgk4, dlpw0ifxzwotsw2ttopgispka, 19yfn0sushy5fc003vhn0skwl, bpjmwp030jnapyjfii8nyqdhx, 6q0g98fnbdx5sg52lazo2sqac, 4a8qjfagq2xr6wqsv875jth0q, bbdoe533sbua0ikwxa8ldo91x, b0wmozayt7xbjz6ihhdiczq0a, d8t6nh7paunxlvadzlfx69xx, b7x9fczqecsf267ewzcvccmhh, 8do2uv6sab8cz1556kk5o1q1g, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 5rov9d5353qn4to1rokchh250, 9l78gdpk7fx57b8am6to05gfe, 455wfzlw9g457wbrz07i0drtg, d6muts0aeup4vfihqd9sr7310, nxt066bqaqw7grehjw514d7t, ecuwplrj6gv5s67cg9lu342ui",5684370153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684370159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684370157,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807060977,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-04-27T13:00:19.009Z,2025-04-27T13:00:21Z,,,,,5684605047,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807060973,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-04-27T13:00:19.009Z,2025-04-27T13:00:19Z,,,,,5684605029,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807060985,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,49.9,50.3,2025-04-27T13:00:19.086Z,2025-04-27T13:00:24Z,59d5otjevb4zussjofufdg4ph,P. Pennanen,,,5684605089,140,31.3,5684605087,56,Back,5684605095,213,3.04,5684605091,141,53.1,5684605093,212,19.6,5684605097,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807061091,4,1,1,0,4,1c7dv8ays675v9kp6a04sd8pq,0,28.9,48.5,2025-04-27T13:00:23.832Z,2025-04-27T13:00:28Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,,5684605653,1,,5684605647,213,5.75,5684605641,212,44.4,5684605635,141,15.3,5684605619,157,,5684605629,140,65.3,5684605623,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807061129,3,44,1,0,8,3cbke8cbou2ms925872vk6dwx,1,30.6,78.7,2025-04-27T13:00:27.303Z,2025-04-27T14:00:56Z,bbdoe533sbua0ikwxa8ldo91x,A. Kabashi,,,5684605907,233,5,5684605831,285,,5684605829,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807061117,5,44,1,0,8,1c7dv8ays675v9kp6a04sd8pq,0,69.4,21.3,2025-04-27T13:00:27.304Z,2025-04-27T14:00:57Z,2yyodldan4gscxb0jjrpkygyy,J. Luyeye-Lutumba,,,5684605919,233,3,5684605783,56,Center,5684605785,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807061157,4,1,1,0,8,3cbke8cbou2ms925872vk6dwx,1,23.8,67.3,2025-04-27T13:00:27.551Z,2025-04-27T13:08:59Z,bbdoe533sbua0ikwxa8ldo91x,A. Kabashi,,,5684605949,140,23.0,5684605945,3,,5684605947,56,Back,5684605951,141,92.3,5684605953,212,17.0,5684605955,213,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807061169,5,1,1,0,11,3cbke8cbou2ms925872vk6dwx,0,23.0,92.3,2025-04-27T13:00:30.325Z,2025-04-27T13:06:48Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,,5684606373,233,6,5684606371,236,,5684605989,212,5.9,5684605987,141,89.4,5684605983,56,Back,5684606377,286,,5684605985,140,28.3,5684605991,213,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
