id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2808747389,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-02T14:10:49.468Z,2025-05-02T15:09:39Z,,,,,5694105455,194,4y7niu1b8drpeccb84s2e9wwl,5694105449,59,"13, 5, 2, 42, 4, 3, 24, 9, 95, 10, 66, 7, 11, 16, 17, 77, 25, 20, 21, 40",5694105451,130,7,5694105447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5694105459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694105445,30,"66zsjkvxs4cbh9u63hk273t1x, npha09mhy3755go8t6lg3ey2, ewhh39na34kvumaw7zfbh228l, 80115v2kkgjym3ubywmkz654a, 6iaszy97sphbfkhfxdwd93g15, 3cmp95fpjtqoc5njb5p7c9g8a, crqntc3sy05jsblgk90gymhn9, cbceals9gkfqlywg94zzzlgb9, a3elaln9izarzlwqkwc4ynpey, 4y7niu1b8drpeccb84s2e9wwl, d7od1kij5jchngdcwlvls0max, enlu96e156ahwhmdk0482kzfu, 7x14tbg2brvxi5g9jdbovp8gk, 7e8irrii6ddjjaex00kq8cand, 3tghlj82y0zzojxphfc1wrehg, eqyduvucdtgotv6p284g7mal0, a4kgoyzoedberugc14zrtv55h, 3bu3igsdqg8atj5pailbof76c, dtdqh03syykiv1cjstn2lhkvd, 5pa2n5nlvexr6z7nu65uz0qqy",5694105453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694105457,197,26791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808747497,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-02T14:14:10.612Z,2025-05-02T15:03:37Z,,,,,5694106489,59,"1, 30, 4, 19, 3, 15, 7, 66, 8, 10, 18, 9, 17, 64, 11, 21, 12, 2, 5, 16",5694106495,194,7pnmkd2s7cca2p00x7ny98st1,5694106487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5694106491,130,8,5694106493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694106485,30,"5auce3x81f1kwok1aq7m4o2y1, 2fj3f2zy80nbu8p3ryblmioes, 1utcfk5giq7ghp8b2z3u9b27d, 5nhh1n77us1h2z5wvx7mt2gpg, 7pnmkd2s7cca2p00x7ny98st1, eexcxuea18xbokvkko1erdffu, 2kbiramhoa1b8k51wtfk5raei, 818ngmk0u0iqzv4j93yj97aad, 2shgmz0kct6m0wphe28gq04ix, 49br3gmn71y8pd5wqkfkvrbah, amdo0gvq5yaascwon92mhyaga, czl632fkj2mhbgu4jie3bug9h, btxgorlt1vhb8f0yt5jvvwg5x, 5k1kwehh9ck6nlqugcurw1yi1, 7b39qc7x5gi1c8qaznmygdnmx, db7sgfeo2hgb5e2s0fa4ue044, 5ghh71ix7lnta7fz3mp0w0zpx, f2ab1zbzm717i2z80l869obqi, e7cov36din7hwsjxovwr5smlm, d7fbq3piag375ujo9q9njqq6s",5694106497,197,22070,5694106499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750611,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-02T15:02:55.592Z,2025-05-02T18:43:39Z,,,,,5694127639,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750605,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-02T15:02:55.592Z,2025-05-02T15:02:55Z,,,,,5694127607,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750625,3,1,1,0,0,7efqk7uh63928il0yffxijnv7,1,49.6,50.1,2025-05-02T15:02:55.593Z,2025-05-02T15:03:00Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5694127715,212,24.0,5694127711,140,33.0,5694127713,141,74.4,5694127717,213,2.38,5694127719,279,S,5694127709,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750633,4,1,1,0,4,7efqk7uh63928il0yffxijnv7,1,36.0,84.1,2025-05-02T15:03:00.555Z,2025-05-02T15:03:02Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5694127747,140,40.4,5694127753,213,0.88,5694127745,56,Back,5694127751,212,7.2,5694127749,141,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750639,5,1,1,0,6,7efqk7uh63928il0yffxijnv7,1,40.4,92.3,2025-05-02T15:03:02.395Z,2025-05-02T15:03:04Z,ewhh39na34kvumaw7zfbh228l,G. Sotelo,,,5694127783,141,85.3,5694127787,213,5.98,5694127779,56,Left,5694127785,212,16.1,5694127781,140,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750641,6,1,1,0,8,7efqk7uh63928il0yffxijnv7,1,55.0,84.8,2025-05-02T15:03:03.890Z,2025-05-02T15:03:04Z,d7od1kij5jchngdcwlvls0max,S. Kähkönen,,,5694127799,213,2.76,5694127793,140,52.6,5694127797,212,2.7,5694127795,141,86.3,5694127791,56,Left,5694127805,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750647,7,1,1,0,9,7efqk7uh63928il0yffxijnv7,1,52.6,86.3,2025-05-02T15:03:05.314Z,2025-05-02T15:03:07Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5694127819,56,Left,5694127825,212,6.8,5694127821,140,58.1,5694127823,141,81.1,5694127827,213,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750649,8,61,1,0,11,7efqk7uh63928il0yffxijnv7,0,58.7,81.4,2025-05-02T15:03:06.867Z,2025-05-02T15:03:07Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5694127831,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
