id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/12/value
2822486493,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-06-14T10:14:18.435Z,2025-06-14T11:05:33Z,,,,,5770261573,130,8,5770261569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5770261567,30,"5auce3x81f1kwok1aq7m4o2y1, 1utcfk5giq7ghp8b2z3u9b27d, amdo0gvq5yaascwon92mhyaga, 5nhh1n77us1h2z5wvx7mt2gpg, e7cov36din7hwsjxovwr5smlm, 7pnmkd2s7cca2p00x7ny98st1, 2kbiramhoa1b8k51wtfk5raei, 2shgmz0kct6m0wphe28gq04ix, czl632fkj2mhbgu4jie3bug9h, d7fbq3piag375ujo9q9njqq6s, udbewp8no8ut63j1nla34ine, btxgorlt1vhb8f0yt5jvvwg5x, 5k1kwehh9ck6nlqugcurw1yi1, 49br3gmn71y8pd5wqkfkvrbah, bj3hdokfgxfrxo4d5231pj5rd, 5ghh71ix7lnta7fz3mp0w0zpx, f2ab1zbzm717i2z80l869obqi, 2fj3f2zy80nbu8p3ryblmioes, db7sgfeo2hgb5e2s0fa4ue044",5770261579,197,28898,5770261577,194,7pnmkd2s7cca2p00x7ny98st1,5770261571,59,"1, 4, 18, 19, 5, 3, 7, 8, 9, 16, 99, 17, 64, 10, 13, 12, 2, 30, 21",5770261575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5770261581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822486941,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-14T10:17:04.161Z,2025-06-14T10:17:04Z,,,,,5770264055,130,4,5770264051,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5770264049,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, d39zrjj1sao1lkkzief35sctl, 98u2encce9933qd4y2kukej85, 53kd57a8pwjno3l6cou3nexn9, c1f7vp2u7fndbs1q67yhze1hw, c90jak72lerrxc3kpo73cupsk, 50pntfz4g78co2q68kno332z9, bwn0e8pjrikjcpold20o2os2c, 524qf48twiwfk14oxmwsxj2tw, 5fvzbq3mstt7eatkjpodbvpm2, 8g3a6qtlb0xy12ntska7n8phw, 5hkcvpt8l2qjwovhon9wuo0es, 9wpb7yiz7zdsb7bj70ornyfis, 3ajcjogpfwl26hddeqetp75sk, d2tr2mopsk225739f7xlc12ei, 2fw3pz0v22kdbiognam8zsvoq, d34pugygez0vtpx1t8p5bnq0a, 3tsss8xjrpvthouor07alc93o",5770264057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770264059,194,53kd57a8pwjno3l6cou3nexn9,5770264063,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770264061,197,19340,5770264053,59,"1, 5, 2, 10, 16, 3, 28, 17, 9, 23, 6, 11, 18, 26, 25, 12, 4, 22, 24, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822493771,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-06-14T11:02:21.861Z,2025-06-14T11:02:22Z,,,,,5770302057,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822493769,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-14T11:02:21.861Z,2025-06-15T19:22:09Z,,,,,5770302055,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822493781,3,1,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,50.0,50.0,2025-06-14T11:02:21.862Z,2025-06-14T11:02:27Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,,,5770302093,141,49.1,5770302099,279,S,5770302097,213,3.17,5770302089,56,Back,5770302091,140,25.5,5770302095,212,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822493787,4,1,1,0,5,5qxgilg61hlwxzfpdn2nhcayd,0,26.3,49.1,2025-06-14T11:02:27.071Z,2025-06-14T11:02:28Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,,5770302125,56,Center,5770302133,213,0.36,5770302129,141,72.3,5770302127,140,65.9,5770302131,212,44.5,5770302135,1,,5770302123,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822493791,5,79,1,0,7,5qxgilg61hlwxzfpdn2nhcayd,0,0.0,0.0,2025-06-14T11:02:29.413Z,2025-06-14T11:02:29Z,,,,,5770302147,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822913239,882,1,1,0,10,8eab5wbcnttsiosd1o8c71gmk,0,21.5,11.0,2025-06-14T11:02:32.688Z,2025-06-15T19:37:45Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5772633453,140,46.6,5772633459,213,0.25,5772633457,212,27.2,5772633449,157,,5772633451,56,Back,5772633455,141,21.0,5772633461,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822913519,714,1,1,0,12,5qxgilg61hlwxzfpdn2nhcayd,0,53.4,79.0,2025-06-14T11:02:34.688Z,2025-06-15T19:38:22Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5772634903,56,Left,5772634907,141,87.9,5772634909,212,12.9,5772634901,3,,5772634911,213,0.49,5772634905,140,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822913663,883,61,1,0,13,8eab5wbcnttsiosd1o8c71gmk,0,37.0,10.4,2025-06-14T11:02:35.443Z,2025-06-15T19:38:43Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5772635695,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
