id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2820316763,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-31T13:11:25.816Z,2025-05-31T13:11:26Z,,,,,5758058593,197,28657,5758058583,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758058595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758058587,130,4,5758058589,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758058585,59,"1, 6, 3, 10, 5, 28, 18, 8, 9, 11, 7, 17, 19, 21, 70, 33, 80, 2, 16, 67",5758058581,30,"dcv3bj7tkpb8of9xh3br2510q, ag78l8kpc7icq4payr6mgyej8, 2qks3nbpd8o6igkqjl9e4po4q, ayl3txfejfa46xvwnzzd76vze, 17p2jqe16w5j9qh5f8yr80g7o, czynssza36ggpaezb0i14si22, f2qohaex1g5tvz10leo2ia6s, bmbdwons7wudqebn3o3flm19l, dytql3b2co1cst72z5qf879pl, 9tz8pzof2v3ktjwsyt3gl18gk, 7glr1eur910fj5b5fg743job9, 9f9rakq22c75ur58uel80f7ys, ciursygt8i2deeszjdebb28yx, 1coz8r44qcr2aau1u09888i6s, 93961wszqaocy96z45j4a232s, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga, oqudbhzm03z0sfh8tw4qoqhg, 23ngtx061omtotnlvbzlgd3bo, 9ykuo0c905u48vd44wxgb6jth",5758058591,194,7glr1eur910fj5b5fg743job9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820319419,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-31T13:20:15.854Z,2025-05-31T14:24:07Z,,,,,5758073893,130,8,5758073897,194,9rle4eqj5q7d4y7hgu570vgfd,5758073889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758073895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758073887,30,"91fm2241o9p5nxo84p43tedhx, cn6gncw8nbyds83xx6cxbzrpw, 80whrqt5ch885cdrzpzlez85w, 2iff45qvldope3itiwthnvgx6, 9p03mfw1a51fwu8fklock97je, 7r2ifipuieqiar5n00o2j5uj9, anfjghysnr4o03nqnxs98e0ic, 4votdnyh0srvboatz6a20d5p0, j4mqmt0lccgzq4nf87ljkoyy, 9rle4eqj5q7d4y7hgu570vgfd, 61ib1kknf11ab4v4f1magyu39, 18e98agfd0xvy161ax3ru08pg, an77jbrily6wipsqhwliubhsl, a1dhi0sqw2yeffewd34n6z7fu, 4accnmk8l7khcvpzibgdxjl04, cu75ndbeja7m9o2g789b0h34k, 5lx97p0c2ja9g4vjofjr2o5pl, 3ajk1fh1r7rxjmsljdm5zs639, bse78hbpbf32wr6nboc5zds0k, 3tpjeq8mn2sy9v6a8hcesp9wq",5758073899,197,20305,5758073901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758073891,59,"1, 29, 18, 17, 33, 38, 80, 37, 9, 14, 10, 6, 19, 24, 26, 99, 3, 5, 4, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327213,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-31T13:59:59.801Z,2025-05-31T14:00:00Z,,,,,5758118339,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327217,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-31T13:59:59.801Z,2025-05-31T14:00:02Z,,,,,5758118359,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327219,3,1,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,49.9,50.3,2025-05-31T13:59:59.802Z,2025-05-31T14:00:03Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5758118403,279,S,5758118393,56,Back,5758118401,213,3.47,5758118397,141,40.9,5758118395,140,32.1,5758118399,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327227,4,1,1,0,3,cy6zs39z79dcfbr4xzkp38z7q,0,30.6,40.7,2025-05-31T14:00:03.683Z,2025-05-31T14:30:14Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5758118441,1,,5758118439,213,0.69,5758118435,141,91.1,5758118437,212,53.7,5758118433,140,70.0,5758118429,157,,5758118431,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327223,3,44,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,1,26.2,9.1,2025-05-31T14:00:05.923Z,2025-05-31T14:53:07Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5758118423,56,Back,5758118471,233,5,5758118425,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327233,5,44,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,0,73.8,90.9,2025-05-31T14:00:05.924Z,2025-05-31T14:53:07Z,61ib1kknf11ab4v4f1magyu39,D. Barrow,,,5758118449,56,Left,5758118451,286,,5758118453,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327237,6,43,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-05-31T14:00:06.379Z,2025-05-31T14:30:16Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,,5758175637,144,1,5758118485,213,5.82,5758118477,56,Left,5758118481,141,92.0,5758118479,140,72.6,5758118483,212,5.5,5758118475,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327229,4,61,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,1,22.8,12.0,2025-05-31T14:00:06.565Z,2025-05-31T14:54:10Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5758118445,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
