id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2805146609,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-23T15:05:56.502Z,2025-04-23T16:16:01Z,,,,,5674137061,197,18980,5674137055,130,13,5674137063,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674137057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674137059,194,9rle4eqj5q7d4y7hgu570vgfd,5674137051,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674137049,30,"91fm2241o9p5nxo84p43tedhx, 33va022bhya45v496wz8usn6y, cn6gncw8nbyds83xx6cxbzrpw, bse78hbpbf32wr6nboc5zds0k, 7r2ifipuieqiar5n00o2j5uj9, 3ajk1fh1r7rxjmsljdm5zs639, an77jbrily6wipsqhwliubhsl, 4votdnyh0srvboatz6a20d5p0, 7wd41kdu78udzrxi9feh2drhm, 9rle4eqj5q7d4y7hgu570vgfd, 61ib1kknf11ab4v4f1magyu39, 3tpjeq8mn2sy9v6a8hcesp9wq, c9987xq26uc7bq68l76clyxud, 2iff45qvldope3itiwthnvgx6, a1dhi0sqw2yeffewd34n6z7fu, anfjghysnr4o03nqnxs98e0ic, cu75ndbeja7m9o2g789b0h34k, 5lx97p0c2ja9g4vjofjr2o5pl, 80whrqt5ch885cdrzpzlez85w, 9p03mfw1a51fwu8fklock97je",5674137053,59,"1, 16, 29, 4, 38, 5, 19, 37, 7, 14, 10, 22, 8, 17, 24, 80, 99, 3, 18, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805146999,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-23T15:07:08.631Z,2025-04-23T15:58:28Z,,,,,5674139283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674139265,30,"dcv3bj7tkpb8of9xh3br2510q, ag78l8kpc7icq4payr6mgyej8, 2qks3nbpd8o6igkqjl9e4po4q, ayl3txfejfa46xvwnzzd76vze, 3zfwycbtlksz95tsqcog03yp6, czynssza36ggpaezb0i14si22, bmbdwons7wudqebn3o3flm19l, f2qohaex1g5tvz10leo2ia6s, 1coz8r44qcr2aau1u09888i6s, 93961wszqaocy96z45j4a232s, 9tz8pzof2v3ktjwsyt3gl18gk, 7glr1eur910fj5b5fg743job9, ciursygt8i2deeszjdebb28yx, 2tnl1pjxxg2n4564fz9hcdsoa, e9tx4ca2kjj4kj9vm70fv2p04, 6l2pjfuvjdnb6vkv4b0eb8mc4, dssxj3ymyofvhfjgmpg1ftuga, bxd2pse7enn5c11fu8jlqjcwk, dytql3b2co1cst72z5qf879pl",5674139281,197,22108,5674139275,130,4,5674139273,59,"1, 6, 3, 10, 4, 28, 8, 18, 21, 70, 11, 7, 19, 20, 30, 33, 80, 15, 9",5674139269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5674139279,194,bmbdwons7wudqebn3o3flm19l,5674139277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160815,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-23T16:00:13.472Z,2025-04-23T16:00:15Z,,,,,5674221895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160811,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-23T16:00:13.472Z,2025-04-23T16:00:13Z,,,,,5674221863,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160831,3,1,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,50.5,49.6,2025-04-23T16:00:13.473Z,2025-04-23T16:00:36Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5674221967,213,2.77,5674221969,279,S,5674221961,140,34.9,5674221963,141,59.1,5674221959,56,Back,5674221965,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160841,4,1,1,0,5,cy6zs39z79dcfbr4xzkp38z7q,1,34.9,58.8,2025-04-23T16:00:18.965Z,2025-04-23T16:00:20Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,,5674222017,212,42.4,5674222025,1,,5674222005,56,Center,5674222013,141,64.8,5674222003,157,,5674222021,213,0.10,5674222009,140,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160851,5,44,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,1,76.4,67.7,2025-04-23T16:00:19.824Z,2025-04-23T16:00:23Z,7wd41kdu78udzrxi9feh2drhm,M. Ndione,,,5674222075,233,3,5674222071,56,Center,5674222073,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160837,3,44,1,0,6,ea3yd0dgq6uy6pupkpn17j5xg,0,23.6,32.3,2025-04-23T16:00:19.825Z,2025-04-23T16:00:24Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5674221993,285,,5674222093,233,5,5674221991,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160869,6,1,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,1,75.1,64.8,2025-04-23T16:00:20.341Z,2025-04-23T16:00:23Z,7wd41kdu78udzrxi9feh2drhm,M. Ndione,,,5674222165,3,,5674222175,212,21.3,5674222167,168,,5674222169,56,Left,5674222173,141,81.2,5674222177,213,0.55,5674222171,140,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805160881,7,1,1,0,9,cy6zs39z79dcfbr4xzkp38z7q,1,91.7,75.4,2025-04-23T16:00:22.773Z,2025-04-23T16:00:30Z,61ib1kknf11ab4v4f1magyu39,D. Barrow,1.0,,5674222247,140,86.6,5674222249,141,44.3,5674222253,213,4.46,5674222405,154,,5674222251,212,21.8,5674222403,210,13,5674222245,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
