id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/12/value
2808747415,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-02T14:11:30.800Z,2025-05-02T15:05:59Z,,,,,5694105715,130,13,5694105717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5694105711,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5694105721,197,22088,5694105719,194,2ds2jprriwxkden7xw0pvhe51,5694105713,59,"12, 17, 19, 3, 5, 16, 7, 14, 9, 8, 30, 10, 27, 15, 32, 22, 24, 42",5694105723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694105709,30,"a6c8kxkcb77ldh3dpondvd2sq, 7hr8mxix88otsvgitsv184g0k, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, 2ds2jprriwxkden7xw0pvhe51, a30y638aa4uo6vudqgrcjvpat, 74od0bd25ox7cv2sfmebf72s5, 7wysiv77u3wt6pk31uzzl7dre, 8r3xgvgtysw3a026rrhebyxre, 5msckfem6wvr8h2egmxqgn5zo, 6yreepfqr0qh9o2mlglzkri6t, dprt62xpys5habrdk1kg6sbu1, 87xd8a3n7mtk57za6pcc5l5n9, m1q38qwjja97onl2qwscdr10, bt9canh10jbb5pms11dzi1j2t, auivgwfbffghtuzi2i5e9mxw4, cayn625x26mewt9gp2xrmh4ut",,,,,,,,,,,,,,,,,,,,,,,,,,,
2808747457,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-02T14:13:35.114Z,2025-05-02T15:33:36Z,,,,,5694106179,59,"1, 6, 7, 23, 19, 37, 34, 10, 30, 9, 20, 14, 11, 27, 17, 77, 2, 3, 4, 5",5694106181,130,12,5694106187,197,18882,5694106185,194,45kijyqwuvgoc6hx51yueyeol,5694106175,30,"45kijyqwuvgoc6hx51yueyeol, 72d57i3mfqxtbsmm196kdv0fd, eaa9sktij53071abummj4pkwk, 7zztpnbw4cfyw6q231nqy8nv9, 1zud0qdtf6c6wzkgqhz6b94a1, bqc4ov50nt2cguo0rrxw2a02x, 9ka422rjynvrx4kofh5q8ivop, ec7y1s97xpoab87z786zt0r56, 1zdrpi7b401hv9w9mtykzyor9, 6zw6j1zpm7vs8zkx5z6enqpgq, 80mvshlrrlu5vt41gkruwn8fe, 84wint64ygxx3pi5fz3mr12j8, ebhnuikcvtrbmw5e80r1fds2y, 9julhxqc94tmamhicz9gfysyc, bn62iwa6vrs5z6ow9q2kpq590, 6i2n7bcfphn89v0eccet2fop, 63x3zhf3u5z3d3ylx0xjvwd90, di62c8bxsf1t8jrhzu47qb7u2, 1xquqxm7zxe002v8dc2z46sb9, 1wg15zg0fffyoag6owdh35vkk",5694106177,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5694106183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694106189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750181,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-02T15:00:14.241Z,2025-05-02T15:00:16Z,,,,,5694125229,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750179,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-02T15:00:14.241Z,2025-05-02T15:00:14Z,,,,,5694125227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750187,3,1,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,49.9,49.7,2025-05-02T15:00:14.242Z,2025-05-02T15:00:17Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5694125253,140,36.1,5694125259,213,2.98,5694125261,279,S,5694125251,56,Back,5694125257,212,14.7,5694125255,141,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750197,4,1,1,0,3,duspptyvnr5kpx2iko5gerhnz,0,36.2,53.3,2025-05-02T15:00:17.411Z,2025-05-02T15:00:20Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5694125327,213,5.98,5694125325,212,43.4,5694125317,56,Center,5694125315,157,,5694125321,141,34.2,5694125329,1,,5694125319,140,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750199,3,1,1,0,5,2rdnn9p03qrmmv34tyx1nahpa,0,27.1,72.9,2025-05-02T15:00:20.031Z,2025-05-02T15:00:21Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5694125355,212,15.7,5694125353,141,82.3,5694125357,213,0.42,5694125351,140,40.8,5694125347,3,,5694125349,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750203,5,1,1,0,7,duspptyvnr5kpx2iko5gerhnz,0,68.1,25.0,2025-05-02T15:00:22.082Z,2025-05-02T15:00:22Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5694125379,212,5.9,5694125373,56,Center,5694125375,140,73.7,5694125377,141,23.9,5694125369,3,,5694125381,213,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750213,5,1,1,0,9,2rdnn9p03qrmmv34tyx1nahpa,0,41.5,77.3,2025-05-02T15:00:23.510Z,2025-05-02T15:00:27Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5694125405,56,Back,5694125409,141,34.2,5694125407,140,43.9,5694125411,212,29.4,5694125413,213,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808750229,7,1,1,0,15,duspptyvnr5kpx2iko5gerhnz,1,63.5,75.9,2025-05-02T15:00:29.298Z,2025-05-02T15:00:31Z,eaa9sktij53071abummj4pkwk,A. Cicale,,,5694125471,140,41.5,5694125477,213,3.15,5694125475,212,23.1,5694125469,56,Back,5694125473,141,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
