Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Carabantes,Kévin Edenilson Carabantes Rivera,430337,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,GK,GK,100,,0,,0,30.0,1995-03-20,175000,,21,2020,0,0.0,0,0.0,0.62,92.86,El Salvador,['El Salvador'],left,185,75,False,1.16,0.18,75.0,0.4,100.0,0.09,0.16,0.0,0.9400000000000001,1.65,0.04,7,0.31,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,100.0,0.0,0.0,0.0,6.01,0.22,0.04,12.83,82.64,7.04,72.78,0.0,0.0,8.24,97.84,4.5,56.44,32.63,51.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,52.38,0.0,0.0,0.0,0.0,0.0,0.0,3.25,71.23,96.49,5.08,25,1.11,92,4.1,6,72.83,26.06,1.16,1.06,0.047,0.0,0.9400000000000001,0.4,,,,0.0,0,0
M. Jacobo,Mario Alberto Jacobo Segovia,279422,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/3042_120x120.png,Primera Division,"RCB, LCB",RCB,50,LCB,48,,0,29.0,1996-08-02,150000,2026-06-30,21,1992,3,1.45,0,0.04,10.75,55.04,El Salvador,['El Salvador'],,0,0,False,7.32,4.52,72.0,4.61,43.14,0.18,0.28,0.68,3.89,6.07,1.27,4,0.18,0,0.0,0.18,0.14,3,0.14,0.07,1,0.05,5,0.23,80.0,60.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.5,18.18,0.27,0.05,0.0,19.34,0.54,0.27,32.8,86.5,14.55,77.33,1.27,89.29,27.7,91.68,5.06,58.93,21.68,35.43,0.0,0.05,0.05,0.0,0.0,0.0,0.0,2.39,64.15,0.23,20.0,0.27,0.0,0.05,0.0,6.19,62.04,96.56,14.46,0,,0,,0,0.0,0.0,0.0,,,0.9,,4.61,0.0,0.0,0.0,0.0,0,0
F. Amaya,Felipe Enrique Amaya,306752,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,GK,GK,100,,0,,0,37.0,1988-11-03,0,,20,1983,0,0.0,0,0.0,0.8200000000000001,83.33,El Salvador,['El Salvador'],right,190,91,False,1.27,0.14,33.33,0.45,100.0,0.0,0.0,0.0,1.23,1.8900000000000001,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,3.99,0.09,0.27,9.03,81.91,6.13,74.81,0.0,0.0,5.13,97.35,3.86,62.35,33.99,50.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,50.0,0.05,0.0,0.14,33.33,0.05,0.0,2.77,80.33,98.21,2.54,22,1.0,70,3.18,6,68.57,19.63,0.89,-2.37,-0.108,0.0,1.13,0.45,,,,0.0,0,0
J. Portillo,José Isaac Portillo Molina,-208521,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"LDMF, DMF, RDMF",LDMF,29,DMF,21,RDMF,18,26.0,1999-11-14,150000,,22,1955,1,0.66,2,0.28,11.09,51.87,El Salvador,['El Salvador'],right,174,0,False,6.86,4.93,61.68,1.8,38.46,0.78,1.37,0.28,3.04,5.32,1.1,5,0.23,0,0.0,0.6000000000000001,0.05,1,0.05,0.03,1,0.05,17,0.78,29.41,5.882,0.09,0.09,50.0,0.05,0.0,0.05,100.0,0.05,0.51,63.64,3.04,43.94,0.23,0.74,0.0,37.89,0.55,1.1,50.78,87.13,19.01,78.21,6.21,92.59,44.15,90.72,6.54,63.38,19.43,34.74,0.01,0.46,0.0,0.05,0.05,0.0,0.23,10.22,71.62,1.06,56.52,0.32,71.43,0.51,0.05,9.48,81.07,93.13,19.43,0,,0,,0,0.0,0.0,0.0,,,0.37,,1.8,0.09,0.0,0.0,0.0,0,0
Yan,Yan Dos Santos Maciel,474832,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"RDMF, CF, AMF",RDMF,22,CF,19,AMF,17,28.0,1997-03-24,0,,22,1925,6,3.75,6,2.9,18.33,54.85,Brazil,['Brazil'],left,186,75,False,6.12,5.75,65.85,1.78,50.0,0.0,0.0,0.05,2.34,4.0,0.89,0,0.0,0,0.0,2.66,0.28,6,0.28,0.18,0,0.0,34,1.5899999999999999,50.0,17.647,0.28,1.5,37.5,0.89,31.58,0.61,46.15,0.28,1.73,64.86,8.84,49.74,1.3599999999999999,2.34,0.05,32.82,1.6400000000000001,1.78,46.66,86.57,16.64,80.34,7.71,97.58,41.89,89.51,3.37,69.44,17.88,31.73,0.14,1.4,0.14,0.19,0.33,57.14,0.7000000000000001,8.6,81.52,2.76,49.15,0.51,45.45,1.03,0.61,9.4,90.05,89.9,13.42,0,,0,,0,0.0,0.0,0.0,,,0.09,,1.78,0.79,0.19,50.0,2.15,0,0
M. Murillo,Miguel Ángel Murillo Valencia,-473755,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"LB, RCB",LB,54,RCB,36,,0,28.0,1997-12-03,0,,20,1794,1,2.08,0,0.33,17.66,58.81,Colombia,['Colombia'],,0,0,False,10.43,8.08,69.57,3.71,62.16,0.9500000000000001,1.63,0.35000000000000003,3.86,6.6,2.16,9,0.45,1,0.05,0.55,0.05,1,0.05,0.1,1,0.05,14,0.7000000000000001,21.43,7.143,0.0,0.4,37.5,0.30000000000000004,50.0,0.1,0.0,0.05,0.7000000000000001,35.71,3.26,36.92,1.0,0.4,0.05,24.08,0.7000000000000001,1.05,35.42,85.41,16.56,78.18,2.61,92.31,30.25,89.39,4.77,64.21,20.35,38.65,0.02,0.25,0.05,0.05,0.0,0.0,0.1,4.57,68.13,1.0,60.0,0.25,60.0,0.5,0.15,7.53,76.0,93.16,11.74,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,3.71,0.0,0.0,0.0,0.05,0,0
T. Benítez,Tereso Alexi Benítez,-473843,Águila,Águila,https://cdn5.wyscout.com/photos/team/public/3410_120x120.png,Primera Division,RB,RB,79,,0,,0,23.0,2002-03-15,0,,20,1778,2,0.5,2,0.54,15.44,55.41,El Salvador,['El Salvador'],,0,0,False,8.96,7.29,70.14,1.62,37.5,0.0,0.0,0.1,3.85,6.03,1.21,5,0.25,2,0.1,1.87,0.1,2,0.1,0.03,0,0.0,11,0.56,36.36,18.182,0.1,2.43,27.08,0.1,0.0,2.33,28.26,0.46,1.82,52.78,5.21,42.72,0.71,1.47,0.15,21.66,1.21,0.96,34.83,77.18,15.59,73.38,4.71,89.25,28.35,83.75,4.1,60.49,19.0,31.12,0.03,0.46,0.1,0.0,0.05,100.0,0.2,6.58,72.31,2.58,41.18,0.15,33.33,0.30000000000000004,0.86,9.01,75.28,77.22,9.11,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.62,0.0,0.0,0.0,0.1,0,0
Julián Grueso,Julián Andrés Grueso Bravo,-83588,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/3042_120x120.png,Primera Division,"LCB, RCB",LCB,73,RCB,26,,0,26.0,1999-04-12,0,,18,1771,0,0.24,0,0.0,11.84,58.37,Colombia,['Colombia'],right,0,0,False,6.76,5.08,63.0,3.96,58.97,0.25,0.41000000000000003,0.41000000000000003,3.3,5.3,1.22,7,0.36,1,0.05,0.05,0.0,0,0.0,0.01,0,0.0,4,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,34.78,0.30000000000000004,0.71,0.05,23.88,0.97,0.36,36.59,90.28,16.31,83.18,2.29,93.33,32.57,94.85,4.01,53.16,20.67,37.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,3.3,78.46,0.25,20.0,0.1,0.0,0.1,0.0,5.84,73.91,97.43,13.82,0,,0,,0,0.0,0.0,0.0,,,1.78,,3.96,0.0,0.0,0.0,0.0,0,0
D. Corea,Dustin Clifman Corea Garay,166783,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"RAMF, CF, RW",RAMF,28,CF,23,RW,21,33.0,1992-03-21,175000,,22,1754,7,5.24,3,1.5,16.68,44.92,United States,"['United States', 'El Salvador']",left,177,75,False,4.21,3.34,67.69,2.0,43.59,0.36,0.61,0.0,1.5899999999999999,2.7,0.51,2,0.1,0,0.0,3.8,0.36,7,0.36,0.27,1,0.05,52,2.67,38.46,13.462,0.15,2.21,23.26,1.08,28.57,1.13,18.18,0.51,4.21,53.66,9.9,36.27,2.98,2.31,0.26,19.96,1.85,0.77,26.94,72.0,6.26,63.93,6.0,84.62,22.53,77.9,2.31,60.0,16.96,28.07,0.08,0.87,0.05,0.0,0.05,0.0,0.36,2.98,65.52,2.31,33.33,0.36,14.29,0.51,0.56,3.8,79.73,72.13,9.39,0,,0,,0,0.0,0.0,0.0,,,0.05,,2.0,0.51,0.36,42.86,0.67,0,0
N. Orellana,Narciso Oswaldo Orellana Guzman,305864,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/3042_120x120.png,Primera Division,"DMF, RCMF, RDMF",DMF,55,RCMF,20,RDMF,12,30.0,1995-01-28,250000,2026-06-30,19,1725,1,0.23,1,0.19,17.79,58.36,El Salvador,['El Salvador'],,0,0,False,8.92,7.25,59.71,3.29,52.38,0.73,1.16,0.16,3.86,6.13,2.09,6,0.31,0,0.0,0.52,0.05,1,0.05,0.01,0,0.0,16,0.8300000000000001,12.5,6.25,0.05,0.1,50.0,0.0,0.0,0.05,100.0,0.0,0.47000000000000003,77.78,4.85,65.59,0.05,0.73,0.0,36.37,0.26,2.71,52.85,90.13,18.42,82.15,4.33,97.59,46.7,93.3,6.05,66.38,19.93,36.68,0.01,0.21,0.0,0.1,0.0,0.0,0.05,9.34,78.77,0.78,33.33,0.21,0.0,0.31,0.05,9.39,84.44,95.84,22.59,0,,0,,0,0.0,0.0,0.0,,,0.42,,3.29,0.16,0.05,0.0,0.0,0,0
