Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Hammel,Justin Hammel,-75386,Grasshopper,Grasshopper,https://cdn5.wyscout.com/photos/team/public/582_120x120.png,Super League,GK,GK,100,,0,,0,25,2000-12-02,1200000,2027-06-30,27,2639,0,0.0,0,0.0,0.9500000000000001,85.71,Switzerland,['Switzerland'],right,187,85,False,2.52,0.2,50.0,0.34,100.0,0.1,0.14,0.0,2.32,3.08,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,87.5,0.0,0.0,0.0,12.89,0.17,0.44,20.74,78.29,14.97,69.93,0.0,0.0,8.25,96.28,12.48,66.39,38.96,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,58.43,0.17,0.0,0.27,25.0,0.0,0.0,9.58,85.77,100.0,5.49,47,1.6,134,4.57,4,64.93,40.94,1.4,-6.06,-0.20700000000000002,0.0,0.99,0.34,,,,0.0,0,0.0
A. Racioppi,Anthony Racioppi,420758,Sion,Sion,https://cdn5.wyscout.com/photos/team/public/585_120x120.png,Super League,GK,GK,100,,0,,0,27,1998-12-31,1500000,2029-06-30,27,2633,0,0.0,1,0.02,0.85,92.0,Switzerland,"['Switzerland', 'France']",right,189,81,False,1.33,0.17,60.0,0.48,100.0,0.0,0.0,0.0,1.23,1.63,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,18.7,0.14,0.31,28.2,86.42,17.23,79.37,0.0,0.0,15.93,98.5,12.2,71.15,33.17,48.64,0.0,0.03,0.0,0.0,0.0,0.0,0.03,3.49,64.71,0.17,0.0,0.44,30.77,0.0,0.0,9.64,81.56,97.64,10.15,30,1.03,127,4.34,10,76.38,37.15,1.27,7.15,0.244,0.0,1.2,0.48,,,,0.0,0,0.0
N. Hefti,Nias Hefti,521419,Sion,Sion,https://cdn5.wyscout.com/photos/team/public/585_120x120.png,Super League,LB,LB,93,,0,,0,26,1999-09-18,400000,2027-06-30,27,2633,0,0.36,6,5.67,13.84,54.81,Switzerland,['Switzerland'],left,177,70,False,8.17,6.8,61.31,1.81,39.62,0.07,0.09,0.17,3.93,5.2,0.72,2,0.07,0,0.0,3.08,0.0,0,0.0,0.01,0,0.0,10,0.34,10.0,0.0,0.21,4.96,37.93,4.92,37.5,0.03,100.0,0.62,1.78,65.38,4.1,50.83,0.99,1.67,0.24,30.46,1.6400000000000001,0.75,42.18,71.64,16.65,66.12,7.55,91.86,31.99,80.34,5.5,49.69,19.1,33.88,0.19,1.2,0.0,0.03,0.07,0.0,0.65,4.79,62.86,3.69,50.93,0.14,0.0,0.41000000000000003,1.88,10.19,65.44,72.57,9.84,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.81,0.21,0.03,0.0,0.21,0,0.0
P. Loretz,Pascal Loretz,-246247,Luzern,Luzern,https://cdn5.wyscout.com/photos/team/public/584_120x120.png,Super League,GK,GK,100,,0,,0,22,2003-06-01,0,2026-06-30,27,2628,0,0.0,0,0.0,0.55,93.75,Switzerland,['Switzerland'],right,191,81,False,1.82,0.1,100.0,0.34,90.0,0.0,0.0,0.0,1.71,2.36,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34,0.24,0.1,31.64,91.77,13.15,83.59,0.03,100.0,23.6,98.69,7.98,72.1,28.3,45.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,60.0,0.1,0.0,0.24,57.14,0.0,0.0,6.06,77.4,98.23,17.43,51,1.75,136,4.66,4,62.5,43.4,1.49,-7.6,-0.26,0.0,1.58,0.34,,,,0.0,0,0.0
N. Steffen,Niklas Steffen,506084,Thun,Thun,https://cdn5.wyscout.com/photos/team/public/588_120x120.png,Super League,GK,GK,100,,0,,0,25,2001-01-19,200000,2028-06-30,27,2624,0,0.0,1,0.37,0.34,100.0,Switzerland,['Switzerland'],,187,0,False,1.34,0.07,100.0,0.1,100.0,0.03,0.05,0.0,1.23,1.72,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.03,12.11,0.1,0.14,20.65,88.87,9.74,77.46,0.0,0.0,14.1,98.78,6.55,67.54,29.79,48.55,0.01,0.03,0.0,0.0,0.0,0.0,0.03,1.65,62.5,0.07,50.0,0.14,50.0,0.03,0.0,5.18,80.79,99.33,10.29,29,0.99,117,4.01,6,75.21,36.7,1.26,7.7,0.264,0.0,1.1,0.1,,,,0.0,0,0.0
M. Keller,Marvin Keller,-62786,Young Boys,Young Boys,https://cdn5.wyscout.com/photos/team/public/580_120x120.png,Super League,GK,GK,100,,0,,0,23,2002-07-03,2500000,2028-06-30,27,2623,0,0.0,0,0.0,0.41000000000000003,83.33,England,"['England', 'Switzerland']",right,189,87,False,1.44,0.03,100.0,0.17,100.0,0.0,0.0,0.0,1.4100000000000001,2.13,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,60.0,0.0,0.0,0.0,21.58,0.07,0.14,30.95,89.02,14.24,78.07,0.07,100.0,21.48,99.04,9.47,66.3,28.98,41.57,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.74,61.25,0.03,0.0,0.1,33.33,0.0,0.0,7.45,81.57,98.28,15.99,52,1.78,136,4.67,6,61.76,50.28,1.73,-1.72,-0.059000000000000004,0.07,0.65,0.17,,,,0.0,0,0.0
S. Kapino,Stefanos Kapino,154019,Winterthur,Winterthur,https://cdn5.wyscout.com/photos/team/public/1148_120x120.png,Super League,GK,GK,100,,0,,0,31,1994-03-18,400000,2027-06-30,27,2606,0,0.26,0,0.17,0.6900000000000001,85.0,Greece,['Greece'],right,196,85,False,1.6600000000000001,0.21,83.33,0.31,100.0,0.0,0.0,0.0,1.49,1.76,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.0,0.07,0.0,0.0,12.81,0.17,0.1,19.93,88.73,11.47,82.53,0.0,0.0,12.67,97.55,7.25,73.33,32.05,47.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0,1.55,57.78,0.17,0.0,0.14,25.0,0.0,0.0,5.91,83.63,97.41,8.01,77,2.66,203,7.01,0,62.07,66.94,2.31,-10.06,-0.34700000000000003,0.0,1.24,0.31,,,,0.0,0,0.0
K. Letica,Karlo Letica,334071,Lausanne Sport,Lausanne Sport,https://cdn5.wyscout.com/photos/team/public/1146_120x120.png,Super League,GK,GK,100,,0,,0,29,1997-02-11,1000000,2026-06-30,26,2558,0,0.16,0,0.0,0.84,70.83,Croatia,['Croatia'],right,201,90,False,1.27,0.11,33.33,0.46,84.62,0.0,0.0,0.0,1.23,1.73,0.04,4,0.14,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,75.0,0.04,0.0,0.0,7.67,0.07,0.18,12.95,81.25,8.34,73.0,0.0,0.0,7.6,97.22,5.31,58.94,35.94,49.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,51.79,0.18,20.0,0.18,40.0,0.0,0.0,3.98,77.88,96.83,4.43,44,1.55,127,4.47,4,65.35,48.38,1.7000000000000002,4.38,0.154,0.0,0.9500000000000001,0.46,,,,0.0,0,0.0
N. Lavanchy,Numa Lavanchy,126514,Sion,Sion,https://cdn5.wyscout.com/photos/team/public/585_120x120.png,Super League,RB,RB,96,,0,,0,32,1993-08-25,300000,2027-06-30,26,2538,1,0.79,1,3.37,13.9,54.85,Switzerland,['Switzerland'],right,174,73,False,10.25,7.94,65.63,1.52,37.21,0.21,0.28,0.18,4.82,6.38,0.96,4,0.14,0,0.0,2.02,0.04,1,0.04,0.03,0,0.0,9,0.32,33.33,11.111,0.04,3.7199999999999998,34.29,0.0,0.0,3.7199999999999998,34.29,0.5,0.89,68.0,2.66,45.33,1.1,0.6000000000000001,0.14,27.66,2.45,0.6000000000000001,40.71,75.96,17.13,70.19,7.06,94.97,31.77,84.71,5.5,51.61,18.89,33.89,0.12,0.6000000000000001,0.04,0.0,0.04,100.0,0.46,4.89,69.57,2.94,48.19,0.28,62.5,0.46,1.17,10.07,64.08,76.56,9.68,0,,0,,0,0.0,0.0,0.0,,,1.21,,1.52,0.0,0.0,0.0,0.04,0,0.0
J. Kronig,Jan Kronig,466769,Sion,Sion,https://cdn5.wyscout.com/photos/team/public/585_120x120.png,Super League,LCB,LCB,97,,0,,0,25,2000-06-24,300000,2027-06-30,26,2519,1,1.3,0,0.36,9.11,58.43,Switzerland,['Switzerland'],left,186,78,False,7.11,4.82,68.15,2.22,56.45,0.25,0.33,0.32,3.5700000000000003,4.72,0.71,4,0.14,1,0.04,0.36,0.04,1,0.04,0.05,0,0.0,10,0.36,40.0,10.0,0.0,0.32,44.44,0.25,57.14,0.07,0.0,0.07,0.11,66.67,0.86,37.5,0.39,0.54,0.07,26.8,0.39,0.29,39.37,87.39,15.33,76.22,3.07,96.51,33.3,92.92,5.79,58.02,21.61,41.02,0.01,0.21,0.0,0.07,0.0,0.0,0.07,4.89,72.26,0.64,61.11,0.29,37.5,0.36,0.14,7.18,68.66,96.41,16.94,0,,0,,0,0.0,0.0,0.0,,,2.43,,2.22,0.0,0.0,0.0,0.0,0,0.0
