Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Bakhshaly,Mehrac Bakhshaly,-157282,MOIK Baku,MOIK Baku,https://cdn5.wyscout.com/photos/team/public/g186_120x120.png,Birinci Dasta,"RB5, RB, LB",RB5,45,RB,35,LB,18,22.0,2003-06-11,25000,,6,575,0,0.03,0,0.03,24.1,58.44,Azerbaijan,['Azerbaijan'],both,181,64,False,9.7,7.83,62.0,2.5,56.25,0.16,0.25,0.31,4.7,7.5600000000000005,1.72,2,0.31,0,0.0,2.35,0.0,0,0.0,0.0,0,0.0,3,0.47000000000000003,0.0,0.0,0.0,2.9699999999999998,21.05,0.63,0.0,2.35,26.67,0.63,3.76,45.83,10.8,56.52,0.78,1.72,0.47000000000000003,24.26,1.25,3.13,40.07,75.78,17.69,72.57,3.29,90.48,34.12,83.49,2.9699999999999998,42.11,18.33,24.71,0.01,0.63,0.0,0.0,0.0,0.0,0.0,6.26,72.5,3.44,36.36,0.0,0.0,0.47000000000000003,0.63,9.39,78.33,75.0,12.52,0,,0,,0,0.0,0.0,0.0,,,0.16,,2.5,0.47000000000000003,0.16,0.0,0.78,0,0.0
N. Qurbanly,Nihad Qurbanly,-150480,MOIK Baku,MOIK Baku,https://cdn5.wyscout.com/photos/team/public/g186_120x120.png,Birinci Dasta,"RCB, RCB3",RCB,54,RCB3,45,,0,24.0,2001-04-10,50000,,6,575,0,0.38,0,0.02,13.46,63.95,Azerbaijan,['Azerbaijan'],right,184,77,False,5.79,3.6,65.22,5.32,58.82,0.31,0.5,0.63,3.13,5.04,1.57,1,0.16,0,0.0,0.16,0.0,0,0.0,0.06,0,0.0,5,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,25.0,2.19,71.43,0.31,0.78,0.0,23.95,0.78,1.72,36.16,86.58,15.65,76.0,1.25,100.0,31.3,92.0,4.85,51.61,21.4,37.73,0.0,0.16,0.0,0.0,0.0,0.0,0.0,4.7,66.67,0.16,100.0,0.0,0.0,0.16,0.0,6.42,63.41,94.9,15.34,0,,0,,0,0.0,0.0,0.0,,,0.63,,5.32,0.31,0.31,0.0,0.0,0,0.0
R. Seyidov,Rubin Seyidov,427026,Baku Sporting,Baku Sporting,https://cdn5.wyscout.com/photos/team/public/g-20678_120x120.png,Birinci Dasta,RB,RB,92,,0,,0,27.0,1998-05-17,0,,6,573,1,1.29,0,0.30000000000000004,20.58,56.49,Azerbaijan,['Azerbaijan'],,0,0,False,11.15,9.58,60.66,4.4,64.29,0.31,0.46,0.31,5.03,7.38,1.88,1,0.16,0,0.0,2.04,0.16,1,0.16,0.2,0,0.0,10,1.57,20.0,10.0,0.0,1.88,58.33,0.0,0.0,1.88,58.33,0.16,0.9400000000000001,66.67,4.08,38.46,2.04,0.9400000000000001,0.0,15.55,0.63,0.79,27.02,72.67,13.82,69.32,3.61,86.96,20.26,75.19,5.03,65.63,19.0,34.1,0.05,0.47000000000000003,0.0,0.0,0.0,0.0,0.31,4.24,59.26,1.4100000000000001,55.56,0.0,0.0,0.0,1.1,7.54,75.0,69.44,5.65,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,4.4,0.0,0.0,0.0,0.0,0,0.0
F. Mahmudov,Farid Mahmudov,467505,Baku Sporting,Baku Sporting,https://cdn5.wyscout.com/photos/team/public/g-20678_120x120.png,Birinci Dasta,LB,LB,93,,0,,0,25.0,2000-08-22,0,2026-06-30,6,573,0,0.05,1,2.5300000000000002,13.98,55.06,Azerbaijan,['Azerbaijan'],,0,0,False,9.27,7.23,63.04,1.57,50.0,0.31,0.46,0.16,4.4,6.46,0.9400000000000001,1,0.16,0,0.0,2.04,0.0,0,0.0,0.01,0,0.0,3,0.47000000000000003,33.33,0.0,0.16,3.14,40.0,2.83,38.89,0.31,50.0,0.47000000000000003,1.26,50.0,4.08,46.15,0.47000000000000003,1.1,0.16,22.46,1.57,1.26,34.55,61.36,18.38,54.7,3.46,86.36,21.05,70.15,10.52,49.25,25.18,39.88,0.4,2.36,0.0,0.0,0.0,0.0,0.63,8.64,54.55,3.14,50.0,0.16,0.0,0.47000000000000003,1.26,12.88,62.2,68.33,9.42,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.57,3.3,0.0,0.0,2.67,0,0.0
E. Sultanov,Elmaddin Sultanov,515628,Baku Sporting,Baku Sporting,https://cdn5.wyscout.com/photos/team/public/g-20678_120x120.png,Birinci Dasta,GK,GK,100,,0,,0,24.0,2001-05-07,0,2026-06-30,6,573,0,0.0,0,0.0,1.88,100.0,Azerbaijan,['Azerbaijan'],right,0,0,False,1.57,0.0,0.0,1.26,100.0,0.0,0.0,0.0,1.57,2.31,0.0,1,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,8.01,0.47000000000000003,0.79,14.76,82.98,7.7,67.35,0.0,0.0,9.27,98.31,5.5,57.14,32.17,36.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,56.25,100.0,6.44,8,1.26,22,3.46,1,63.64,6.9,1.08,-1.1,-0.17300000000000001,0.0,1.73,1.26,,,,0.0,0,0.0
T. Yaqubov,Tolqar Yaqubov,-110341,Baku Sporting,Baku Sporting,https://cdn5.wyscout.com/photos/team/public/g-20678_120x120.png,Birinci Dasta,"LDMF, RDMF, RCMF",LDMF,33,RDMF,29,RCMF,18,25.0,2000-01-15,0,2026-06-30,6,566,0,0.26,1,0.28,17.49,54.55,Azerbaijan,['Azerbaijan'],right,182,0,False,9.86,7.16,60.0,3.02,63.16,0.16,0.23,0.32,5.41,7.91,0.8,0,0.0,0,0.0,0.9500000000000001,0.0,0,0.0,0.04,0,0.0,4,0.64,0.0,0.0,0.16,0.9500000000000001,33.33,0.48,66.67,0.48,0.0,0.32,0.9500000000000001,66.67,5.25,36.36,0.32,0.8,0.0,22.58,0.8,0.64,44.52,80.71,17.97,66.37,7.47,93.62,35.94,84.96,7.79,65.31,22.31,38.81,0.05,0.48,0.0,0.0,0.0,0.0,0.32,9.06,70.18,1.11,57.14,0.32,50.0,0.32,0.48,12.08,72.37,92.47,14.79,0,,0,,0,0.0,0.0,0.0,,,1.27,,3.02,0.0,0.0,0.0,0.0,0,0.0
S. Fərəcov,Seyxan Fərəcov,-150097,MOIK Baku,MOIK Baku,https://cdn5.wyscout.com/photos/team/public/g186_120x120.png,Birinci Dasta,CF,CF,97,,0,,0,24.0,2001-10-07,0,,6,525,5,4.3,0,0.30000000000000004,26.06,26.32,Azerbaijan,['Azerbaijan'],,0,0,False,4.97,4.46,65.38,8.23,14.58,0.17,0.29,0.0,1.8900000000000001,3.14,1.8900000000000001,1,0.17,0,0.0,2.5700000000000003,0.86,4,0.6900000000000001,0.74,1,0.17,18,3.09,61.11,27.778,0.0,0.17,100.0,0.17,100.0,0.0,0.0,0.0,1.8900000000000001,18.18,9.26,14.81,3.26,1.37,0.34,11.66,1.71,0.51,17.49,77.45,3.26,52.63,6.34,91.89,16.8,78.57,0.51,33.33,14.47,19.41,0.05,0.34,0.0,0.0,0.17,100.0,0.17,1.37,37.5,0.6900000000000001,50.0,0.17,100.0,0.34,0.0,2.06,50.0,73.08,4.46,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.23,0.0,0.0,0.0,0.0,1,100.0
C. Qurbanlı,Cavad Qurbanlı,-184499,Şahdağ,Şahdağ,https://cdn5.wyscout.com/photos/team/public/g188_120x120.png,Birinci Dasta,"CB, LCB",CB,85,LCB,11,,0,23.0,2002-04-17,0,,5,488,0,0.39,0,0.0,15.31,55.42,Azerbaijan,['Azerbaijan'],,0,0,False,9.41,5.9,81.25,8.11,38.64,0.18,0.23,0.74,4.43,5.45,0.92,1,0.18,0,0.0,0.37,0.0,0,0.0,0.07,0,0.0,2,0.37,100.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.0,1.11,0.55,0.0,23.05,0.37,0.0,37.99,83.5,16.23,67.05,3.14,100.0,31.72,89.53,6.09,54.55,22.89,38.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,63.16,0.0,0.0,0.0,0.0,0.37,0.0,7.75,57.14,94.25,16.05,0,,0,,0,0.0,0.0,0.0,,,2.58,,8.11,0.0,0.0,0.0,0.0,0,0.0
K. Kalunqa,Kennet Kalunqa,-764774,Asta Mingachevir,Asta Mingachevir,https://cdn5.wyscout.com/photos/team/public/g10103_120x120.png,Birinci Dasta,"CF, RWF",CF,80,RWF,19,,0,28.0,1997-01-18,0,,5,484,0,1.12,2,1.1,25.48,37.96,Azerbaijan,['Azerbaijan'],unknown,0,0,False,2.79,3.16,64.71,7.8100000000000005,38.1,0.0,0.0,0.19,0.74,1.18,1.67,1,0.19,0,0.0,3.35,0.0,0,0.0,0.21,0,0.0,13,2.42,23.08,0.0,0.37,2.42,61.54,0.74,25.0,1.67,77.78,0.19,2.6,50.0,12.09,32.31,6.14,1.67,0.37,13.02,3.35,1.12,20.45,73.64,4.65,56.0,4.46,91.67,17.11,78.26,1.12,33.33,20.17,26.37,0.2,1.49,0.0,0.0,0.0,0.0,1.12,1.8599999999999999,40.0,2.6,71.43,0.37,0.0,1.12,1.12,2.98,75.0,77.5,7.44,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
R. Cəfərli,Rəhim Cəfərli,-345339,Asta Mingachevir,Asta Mingachevir,https://cdn5.wyscout.com/photos/team/public/g10103_120x120.png,Birinci Dasta,"LB, LCB3, LWB",LB,39,LCB3,36,LWB,23,22.0,2003-10-01,0,,5,484,1,0.30000000000000004,1,1.04,12.64,61.76,Azerbaijan,['Azerbaijan'],unknown,0,0,False,6.69,3.7199999999999998,85.0,4.28,47.83,0.56,0.88,0.0,2.98,4.71,0.37,1,0.19,0,0.0,4.09,0.19,1,0.19,0.06,0,0.0,8,1.49,12.5,12.5,0.19,7.44,45.0,7.44,45.0,0.0,0.0,0.93,0.93,60.0,3.5300000000000002,52.63,1.67,2.6,0.37,31.61,1.12,0.56,45.19,69.14,18.22,62.24,4.28,95.65,28.45,81.05,9.86,52.83,26.43,40.64,0.19,2.05,0.0,0.19,0.0,0.0,1.12,9.86,60.38,7.25,53.85,0.37,50.0,0.93,3.16,12.27,86.36,74.49,18.22,0,,0,,0,0.0,0.0,0.0,,,0.93,,4.28,0.37,0.37,0.0,0.37,0,0.0
