Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Brenet,Maxime Brenet,146823,Bavois,Bavois,https://cdn5.wyscout.com/photos/team/public/g9790_120x120.png,1. Liga Promotion,GK,GK,100,,0,,0,33.0,1992-03-01,0,2026-06-30,15,1453,0,0.0,0,0.0,1.3,90.48,France,"['France', 'Switzerland']",right,182,0,False,2.23,0.06,100.0,1.05,88.24,0.06,0.08,0.0,2.11,2.83,0.06,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.06,0.0,16.1,0.56,0.12,26.45,82.2,19.64,77.29,0.0,0.0,12.2,97.46,14.18,69.43,37.61,49.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,58.82,0.0,0.0,0.12,50.0,0.0,0.0,11.21,80.66,98.06,6.38,19,1.18,64,3.96,3,70.31,18.03,1.12,-0.97,-0.06,0.0,3.22,1.05,,,,0.0,0,0.0
L. Ribeiro Maio,Lucas Ribeiro Maio,-416634,Bavois,Bavois,https://cdn5.wyscout.com/photos/team/public/g9790_120x120.png,1. Liga Promotion,"RCMF3, LCMF, LCMF3",RCMF3,37,LCMF,20,LCMF3,14,22.0,2003-09-18,0,2026-06-30,15,1427,5,2.03,1,2.27,20.12,52.04,Switzerland,"['Switzerland', 'Portugal']",unknown,0,0,False,12.61,10.53,67.07,2.33,29.73,0.6900000000000001,0.93,0.19,4.86,6.49,1.77,1,0.06,0,0.0,2.02,0.32,5,0.32,0.13,0,0.0,47,2.96,31.91,10.638,0.06,0.8200000000000001,46.15,0.38,33.33,0.44,57.14,0.19,1.01,56.25,4.67,35.14,0.88,0.63,0.13,15.26,0.6900000000000001,0.9500000000000001,25.98,72.82,10.91,64.16,3.7800000000000002,91.67,21.25,78.93,3.9699999999999998,46.03,18.85,40.73,0.14,1.2,0.06,0.0,0.13,100.0,0.44,5.05,52.5,1.6400000000000001,57.69,0.63,50.0,0.63,0.38,5.36,67.06,77.68,7.06,0,,0,,0,0.0,0.0,0.0,,,0.5,,2.33,0.8200000000000001,0.13,0.0,1.8900000000000001,0,0.0
Cobel Sow García,Cobel Sow García,-383357,Basel II,Basel II,https://cdn5.wyscout.com/photos/team/public/g8756_120x120.png,1. Liga Promotion,"RCMF, CF, LWF",RCMF,20,CF,18,LWF,12,19.0,2006-11-02,0,,15,1423,5,3.8200000000000003,2,1.6600000000000001,16.13,43.92,Spain,"['Spain', 'Guinea']",left,0,0,False,5.95,3.79,70.0,1.2,21.05,0.19,0.26,0.25,3.1,4.27,0.13,0,0.0,0,0.0,2.66,0.32,4,0.25,0.24,2,0.13,31,1.96,32.26,16.129,0.13,0.8200000000000001,30.77,0.51,37.5,0.32,20.0,0.19,3.48,49.09,9.68,35.95,2.09,2.66,0.63,22.83,0.76,1.2,29.92,84.57,6.64,67.62,7.4,94.87,27.77,88.61,1.45,34.78,16.65,31.63,0.1,0.8200000000000001,0.19,0.0,0.13,50.0,0.38,2.7800000000000002,65.91,1.33,42.86,0.32,40.0,0.63,0.19,2.9699999999999998,68.09,88.27,10.25,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.2,0.7000000000000001,0.13,0.0,1.26,1,100.0
S. Kucani,Sanijel Kucani,434484,Brühl,Brühl,https://cdn5.wyscout.com/photos/team/public/3813_120x120.png,1. Liga Promotion,RB,RB,92,,0,,0,29.0,1996-03-14,100000,,15,1420,1,1.9300000000000002,2,2.12,13.25,56.46,Serbia,"['Serbia', 'Switzerland']",right,173,67,False,9.38,7.04,66.67,1.65,57.69,0.76,1.28,0.51,3.93,6.62,0.44,1,0.06,0,0.0,1.52,0.06,1,0.06,0.12,0,0.0,13,0.8200000000000001,30.77,7.692,0.13,2.15,35.29,0.0,0.0,2.15,35.29,0.44,0.76,66.67,2.73,44.19,1.01,0.51,0.0,27.82,2.09,0.8200000000000001,37.9,78.93,12.17,61.46,10.2,96.89,31.12,87.17,4.69,43.24,19.84,40.13,0.13,1.27,0.13,0.06,0.0,0.0,0.44,5.07,53.75,2.03,50.0,0.5700000000000001,44.44,0.51,0.76,6.59,67.31,86.93,9.7,0,,0,,0,0.0,0.0,0.0,,,1.33,,1.65,0.0,0.0,0.0,0.0,0,0.0
Rafael Devisate,Rafael Pereira Devisate Rodrigues,-483282,Brühl,Brühl,https://cdn5.wyscout.com/photos/team/public/3813_120x120.png,1. Liga Promotion,"RDMF, LCB, RCMF3",RDMF,32,LCB,26,RCMF3,12,20.0,2005-08-02,0,,15,1418,1,0.86,1,0.6900000000000001,18.98,58.53,Brazil,['Brazil'],left,0,0,False,10.98,8.0,73.81,3.55,51.79,0.13,0.21,0.38,4.95,8.33,0.9500000000000001,2,0.13,0,0.0,1.08,0.06,1,0.06,0.05,1,0.06,21,1.33,28.57,4.7620000000000005,0.06,0.19,33.33,0.13,50.0,0.06,0.0,0.13,1.02,62.5,4.95,39.74,0.9500000000000001,1.71,0.13,30.66,0.44,0.9500000000000001,43.6,85.74,14.79,73.39,4.89,92.21,39.54,89.89,3.87,45.9,18.62,37.79,0.04,0.25,0.0,0.06,0.0,0.0,0.06,5.65,66.29,1.02,25.0,0.7000000000000001,9.09,0.44,0.06,5.97,74.47,93.36,19.1,0,,0,,0,0.0,0.0,0.0,,,1.08,,3.55,0.06,0.06,0.0,0.0,0,0.0
S. Raicevic,Stevan Raicevic,-393713,Young Boys II,Young Boys II,https://cdn5.wyscout.com/photos/team/public/g8758_120x120.png,1. Liga Promotion,LCB,LCB,100,,0,,0,18.0,2007-04-10,0,,15,1375,1,0.77,0,0.84,10.28,59.87,Switzerland,['Switzerland'],unknown,0,0,False,8.38,4.12,68.25,2.68,68.29,0.0,0.0,0.52,5.5600000000000005,6.78,0.46,2,0.13,0,0.0,0.13,0.07,1,0.07,0.05,1,0.07,8,0.52,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,33.33,1.57,33.33,0.72,1.18,0.0,33.12,0.07,0.52,47.39,83.43,21.93,71.34,3.73,98.25,41.56,90.08,5.83,35.96,21.53,38.57,0.05,0.2,0.0,0.0,0.0,0.0,0.13,5.96,52.75,0.92,14.29,0.59,22.22,0.13,0.0,8.71,57.14,95.14,18.85,0,,0,,0,0.0,0.0,0.0,,,3.01,,2.68,0.0,0.0,0.0,0.0,0,0.0
Y. Peverelli,Yuri Peverelli,-418835,Lugano II,Lugano II,https://cdn5.wyscout.com/photos/team/public/g11555_120x120.png,1. Liga Promotion,"LWB, RWB",LWB,33,RWB,30,,0,18.0,2007-05-08,0,,15,1365,0,1.37,2,1.26,28.81,42.56,Switzerland,['Switzerland'],unknown,0,0,False,6.92,7.12,66.67,2.7,26.83,0.07,0.07,0.0,2.11,2.39,1.25,2,0.13,0,0.0,6.0,0.0,0,0.0,0.09,0,0.0,20,1.32,30.0,0.0,0.13,6.2,21.28,2.9699999999999998,13.33,3.23,28.57,1.32,8.51,50.39,16.75,34.65,3.23,3.96,0.66,18.92,3.03,0.92,28.22,64.49,8.24,68.0,6.2,82.98,21.1,78.13,1.05,43.75,19.77,33.47,0.08,0.46,0.0,0.07,0.0,0.0,0.2,2.5700000000000003,69.23,3.96,38.33,0.0,0.0,0.46,1.45,5.67,75.58,50.85,7.78,0,,0,,0,0.0,0.0,0.0,,,0.26,,2.7,0.0,0.0,0.0,0.0,0,0.0
B. Roth,Benjamin Roth,-198488,Biel-Bienne,Biel-Bienne,https://cdn5.wyscout.com/photos/team/public/1144_120x120.png,U16 Group B,GK,GK,100,,0,,0,23.0,2002-03-26,0,2026-06-30,14,1354,0,0.0,0,0.0,0.33,40.0,Switzerland,['Switzerland'],,191,86,False,1.73,0.13,0.0,0.13,50.0,0.07,0.09,0.0,1.6600000000000001,2.24,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,20.54,0.66,0.0,32.1,86.54,15.02,72.57,0.0,0.0,21.34,98.13,10.77,63.58,31.09,49.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,40.74,0.33,0.0,0.0,0.0,0.0,0.0,7.18,68.52,99.16,15.89,24,1.6,76,5.05,1,68.42,20.77,1.38,-3.23,-0.215,0.0,0.73,0.13,,,,0.0,0,0.0
C. Heim,Calvin Heim,463003,Brühl,Brühl,https://cdn5.wyscout.com/photos/team/public/3813_120x120.png,1. Liga Promotion,GK,GK,100,,0,,0,25.0,2000-09-18,75000,,14,1345,0,0.0,0,0.0,0.2,100.0,Switzerland,['Switzerland'],right,193,75,False,1.6099999999999999,0.0,0.0,0.2,100.0,0.0,0.0,0.0,1.6099999999999999,2.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28,0.33,0.0,30.91,80.52,17.2,68.48,0.0,0.0,18.2,97.79,12.65,56.08,34.52,52.37,0.0,0.0,0.07,0.0,0.0,0.0,0.0,6.29,54.26,0.4,16.67,0.6000000000000001,55.56,0.13,0.0,9.77,69.18,96.35,12.85,16,1.07,45,3.01,6,64.44,12.33,0.8300000000000001,-3.67,-0.246,0.0,1.07,0.2,,,,0.0,0,0.0
N. Stucki,Nico Stucki,-267322,Cham,Cham,https://cdn5.wyscout.com/photos/team/public/g8600_120x120.png,1. Liga Promotion,GK,GK,100,,0,,0,24.0,2001-06-29,0,,14,1343,0,0.0,0,0.0,0.4,83.33,Switzerland,['Switzerland'],unknown,182,0,False,1.81,0.2,66.67,0.13,100.0,0.0,0.0,0.0,1.6800000000000002,2.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,21.51,0.13,0.0,32.3,87.76,13.6,77.83,0.07,0.0,22.85,97.36,9.45,64.54,30.15,46.74,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.34,45.0,0.13,0.0,0.07,0.0,0.0,0.0,6.84,68.63,95.51,17.89,24,1.6099999999999999,62,4.15,1,61.29,19.75,1.32,-4.25,-0.28500000000000003,0.0,1.01,0.13,,,,0.0,0,0.0
