Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Ben Cherifia,Moez Ben Cherifia,138338,AS Soliman,AS Soliman,https://cdn5.wyscout.com/photos/team/public/g17074_120x120.png,Ligue 1,GK,GK,100,,0,,0,34.0,1991-06-24,500000,,14,1446,0,0.0,0,0.0,1.0,93.75,Tunisia,['Tunisia'],right,182,83,False,1.24,0.0,0.0,0.56,100.0,0.0,0.0,0.0,1.24,1.88,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,85.71,0.0,0.0,0.0,5.6,0.12,0.62,11.02,79.66,6.04,65.98,0.0,0.0,6.66,98.13,4.29,52.17,37.7,50.18,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.56,52.0,0.19,33.33,0.12,0.0,0.06,0.0,2.3,70.27,97.4,4.79,13,0.81,63,3.92,4,79.37,17.18,1.07,4.18,0.26,0.0,2.24,0.56,,,,0.0,0,0.0
S. Ghedamsi,Salaheddine Ghedamsi,-138127,Etoile du Sahel,Etoile du Sahel,https://cdn5.wyscout.com/photos/team/public/710_120x120.png,Ligue 1,"RB, RCB, RCB3",RB,64,RCB,11,RCB3,10,27.0,1998-08-26,0,,14,1356,0,2.18,0,1.17,13.27,63.5,Tunisia,['Tunisia'],right,185,0,False,8.36,5.77,75.86,3.58,53.7,0.8,1.73,0.53,3.19,6.92,1.0,2,0.13,0,0.0,2.26,0.0,0,0.0,0.14,0,0.0,10,0.66,30.0,0.0,0.0,3.32,38.0,0.07,0.0,3.25,38.78,0.4,1.33,60.0,2.7199999999999998,58.54,1.33,1.06,0.07,19.25,1.53,0.8,28.54,69.3,14.4,63.13,1.92,86.21,20.11,80.86,5.31,46.25,24.62,41.28,0.08,0.86,0.0,0.0,0.0,0.0,0.46,4.85,54.79,3.12,42.55,0.13,100.0,0.46,1.06,8.23,68.55,79.14,9.23,0,,0,,0,0.0,0.0,0.0,,,0.27,,3.58,0.07,0.0,0.0,0.0,0,0.0
S. Ben Hsan,Sabri Ben Hsan,319072,Etoile du Sahel,Etoile du Sahel,https://cdn5.wyscout.com/photos/team/public/710_120x120.png,Ligue 1,GK,GK,100,,0,,0,29.0,1996-06-13,0,,13,1334,0,0.0,0,0.0,0.47000000000000003,71.43,Tunisia,['Tunisia'],right,189,0,False,1.21,0.13,50.0,0.2,66.67,0.0,0.0,0.0,1.15,2.48,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,4.72,0.13,0.13,10.39,84.42,4.99,71.62,0.0,0.0,7.49,96.4,2.9,53.49,30.7,43.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,38.46,0.0,0.0,0.0,0.0,0.0,0.0,1.82,62.96,95.95,4.99,11,0.74,47,3.17,6,76.6,12.77,0.86,1.77,0.11900000000000001,0.0,1.15,0.2,,,,0.0,0,0.0
H. Ben Abda,Hamza Ben Abda,504757,Club Africain,Club Africain,https://cdn5.wyscout.com/photos/team/public/g3479_120x120.png,Ligue 1,LCB,LCB,99,,0,,0,30.0,1995-03-14,650000,2027-06-30,13,1333,0,0.62,0,0.41000000000000003,8.64,62.5,Tunisia,['Tunisia'],left,189,0,False,4.19,1.96,72.41,3.44,54.9,0.27,0.5700000000000001,0.2,2.5,5.24,0.81,3,0.2,0,0.0,0.14,0.0,0,0.0,0.04,0,0.0,4,0.27,0.0,0.0,0.0,0.2,33.33,0.2,33.33,0.0,0.0,0.0,0.07,100.0,0.74,63.64,0.47000000000000003,0.2,0.0,19.65,0.27,0.9500000000000001,34.1,84.36,15.46,73.8,1.42,95.24,26.8,91.94,7.09,57.14,23.5,38.18,0.03,0.14,0.0,0.0,0.0,0.0,0.0,4.93,61.64,0.61,22.22,0.2,33.33,0.14,0.14,7.9,71.79,95.19,14.04,0,,0,,0,0.0,0.0,0.0,,,1.15,,3.44,0.0,0.0,0.0,0.0,0,0.0
H. Baccar,Hichem Baccar,-184988,CS Sfaxien,CS Sfaxien,https://cdn5.wyscout.com/photos/team/public/2950_120x120.png,Ligue 1,"LB, LCB, LCB3",LB,60,LCB,27,LCB3,11,24.0,2001-05-23,0,2028-06-30,13,1330,5,4.33,1,0.54,13.26,55.1,Tunisia,['Tunisia'],left,184,0,False,6.5600000000000005,5.35,69.62,3.45,45.1,0.14,0.26,0.2,2.71,5.13,0.68,3,0.2,0,0.0,1.29,0.34,0,0.0,0.29,0,0.0,11,0.74,45.45,45.455,0.07,1.69,40.0,1.62,41.67,0.07,0.0,0.14,0.74,36.36,2.91,41.86,0.68,1.42,0.07,21.25,0.61,1.42,31.94,79.66,14.14,71.77,3.65,96.3,23.62,89.4,6.83,54.46,22.84,38.15,0.04,0.34,0.0,0.0,0.0,0.0,0.14,4.8,70.42,1.76,53.85,0.07,100.0,0.47000000000000003,0.68,7.98,67.8,84.67,10.15,0,,0,,0,0.0,0.0,0.0,,,0.74,,3.45,0.2,0.0,0.0,0.14,5,100.0
N. Farhati,Noureddine Farhati,-143325,Stade Tunisien,Stade Tunisien,https://cdn5.wyscout.com/photos/team/public/3415_120x120.png,Ligue 1,GK,GK,100,,0,,0,25.0,2000-09-14,250000,,13,1329,0,0.0,0,0.0,0.88,100.0,Tunisia,['Tunisia'],right,188,0,False,1.56,0.07,100.0,0.34,100.0,0.0,0.0,0.0,1.49,3.14,0.0,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.41000000000000003,100.0,0.0,0.0,0.0,7.99,0.14,0.54,15.1,88.34,7.11,79.05,0.0,0.0,10.56,98.08,4.47,66.67,32.21,51.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,66.67,0.2,66.67,0.0,0.0,0.14,0.0,3.66,72.22,98.15,7.31,3,0.2,31,2.1,10,90.32,7.7,0.52,4.7,0.318,0.0,1.96,0.34,,,,0.0,0,0.0
Y. Soltani,Yassine Soltani,-730456,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,LB,LB,82,,0,,0,23.0,2002-08-07,0,,13,1328,0,0.36,0,0.06,14.77,52.29,Tunisia,['Tunisia'],unknown,180,0,False,9.62,5.83,65.12,5.02,39.19,0.0,0.0,0.47000000000000003,5.83,9.02,0.68,2,0.14,0,0.0,0.9500000000000001,0.0,0,0.0,0.02,0,0.0,9,0.61,33.33,0.0,0.0,2.1,19.35,1.76,23.08,0.27,0.0,0.41000000000000003,0.34,100.0,2.03,53.33,0.61,0.41000000000000003,0.07,11.66,1.02,0.9500000000000001,22.5,56.33,13.08,53.89,1.22,94.44,13.55,72.0,6.84,36.63,24.16,36.23,0.0,0.34,0.0,0.0,0.0,0.0,0.14,5.02,44.59,2.1,29.03,0.14,0.0,0.0,0.41000000000000003,7.93,54.7,49.35,5.22,0,,0,,0,0.0,0.0,0.0,,,0.07,,5.02,0.34,0.14,50.0,0.47000000000000003,0,0.0
H. Ben Chrifia,Hamza Ben Cherifia,319090,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,GK,GK,100,,0,,0,29.0,1996-07-17,0,,13,1328,0,0.0,0,0.0,1.42,95.24,Tunisia,['Tunisia'],right,181,0,False,1.08,0.07,0.0,0.88,100.0,0.0,0.0,0.0,1.08,1.6800000000000002,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,4.95,0.0,0.68,10.64,73.25,7.25,63.55,0.0,0.0,5.35,96.2,5.29,50.0,42.18,56.96,0.0,0.0,0.0,0.07,0.0,0.0,0.0,2.98,50.0,0.34,20.0,0.14,50.0,0.07,0.0,3.46,74.51,95.56,3.05,11,0.75,52,3.52,6,78.85,13.1,0.89,2.1,0.14200000000000002,0.0,1.42,0.88,,,,0.0,0,0.0
A. Hallaoui,Abdessalem Hallaoui,485073,Monastir,Monastir,https://cdn5.wyscout.com/photos/team/public/g3490_120x120.png,Ligue 1,GK,GK,100,,0,,0,36.0,1989-06-28,100000,,13,1320,0,0.0,0,0.0,1.16,100.0,Tunisia,['Tunisia'],,0,0,False,1.16,0.0,0.0,0.48,100.0,0.0,0.0,0.0,1.16,2.06,0.0,2,0.14,0,0.0,0.14,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.55,100.0,0.0,0.0,0.0,6.48,0.48,0.68,13.3,84.1,6.55,69.79,0.0,0.0,9.34,94.89,3.95,58.62,30.68,46.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,21.43,0.14,0.0,0.07,0.0,0.0,0.0,2.8,65.85,97.59,5.66,9,0.61,36,2.45,6,75.0,10.24,0.7000000000000001,1.24,0.085,0.0,1.09,0.48,,,,0.0,0,0.0
F. Meskini,Fares Meskini,403645,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,RCB,RCB,83,,0,,0,29.0,1996-05-03,0,,13,1315,0,0.42,0,0.0,12.32,63.89,Tunisia,['Tunisia'],,0,0,False,8.08,3.56,75.0,5.82,57.65,0.0,0.0,0.27,5.41,8.32,0.68,1,0.07,0,0.0,0.21,0.0,0,0.0,0.03,0,0.0,4,0.27,50.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.14,50.0,0.8200000000000001,75.0,0.41000000000000003,0.27,0.0,9.17,0.0,1.16,23.54,72.38,13.83,63.37,1.37,95.0,16.7,80.74,6.78,52.53,24.09,37.25,0.0,0.0,0.07,0.07,0.0,0.0,0.0,4.11,61.67,0.48,57.14,0.34,40.0,0.27,0.0,6.57,57.29,86.87,6.78,0,,0,,0,0.0,0.0,0.0,,,0.75,,5.82,0.07,0.0,0.0,0.0,0,0.0
