Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
David Raya,David Raya Martin,330279,Arsenal,Arsenal,https://cdn5.wyscout.com/photos/team/public/21_120x120.png,Premier League,GK,GK,100,,0,,0,30,1995-09-15,35000000,2028-06-30,19,1918,0,0.0,0,0.0,0.61,92.31,Spain,['Spain'],right,183,80,False,1.4100000000000001,0.0,0.0,0.38,100.0,0.0,0.0,0.0,1.4100000000000001,2.22,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,17.17,0.33,0.19,24.49,86.4,15.58,80.42,0.0,0.0,15.81,97.63,8.68,65.95,31.09,50.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,62.37,0.23,20.0,0.14,0.0,0.0,0.0,6.99,79.19,96.61,8.31,12,0.56,45,2.11,9,73.33,14.42,0.68,2.42,0.114,0.0,1.13,0.38,,,,0.0,0,0.0
B. Verbruggen,Bart Verbruggen,-136986,Brighton,Brighton,https://cdn5.wyscout.com/photos/team/public/1169_120x120.png,Premier League,GK,GK,100,,0,,0,23,2002-08-18,18000000,2028-06-30,19,1918,0,0.0,0,0.0,0.56,91.67,Netherlands,['Netherlands'],right,194,75,False,1.31,0.14,66.67,0.28,100.0,0.0,0.0,0.0,1.22,1.73,0.05,3,0.14,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.14,100.0,0.0,0.0,0.0,21.87,0.42,0.05,31.39,88.49,14.83,76.9,0.0,0.0,24.4,99.04,6.99,51.68,27.34,49.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,44.93,0.38,25.0,0.19,50.0,0.05,0.0,4.83,68.93,99.01,14.26,27,1.27,86,4.04,4,68.6,25.77,1.21,-1.23,-0.058,0.0,1.17,0.28,,,,0.0,0,0.0
D. Petrović,Djordje Petrovic,463402,Bournemouth,Bournemouth,https://cdn5.wyscout.com/photos/team/public/1173_120x120.png,Premier League,GK,GK,100,,0,,0,26,1999-10-08,20000000,2030-06-30,19,1916,0,0.0,0,0.0,0.66,85.71,Serbia,['Serbia'],right,194,89,False,1.6,0.14,33.33,0.47000000000000003,100.0,0.0,0.0,0.0,1.55,2.23,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85,0.38,0.05,16.77,82.35,8.64,69.02,0.0,0.0,10.99,97.86,5.78,52.85,30.77,47.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,33.33,0.09,0.0,0.19,25.0,0.0,0.0,3.71,70.89,97.44,7.33,35,1.6400000000000001,95,4.46,5,63.16,31.57,1.48,-3.43,-0.161,0.0,1.88,0.47000000000000003,,,,0.0,0,0.0
M. Dúbravka,Martin Dúbravka,35439,Burnley,Burnley,https://cdn5.wyscout.com/photos/team/public/318_120x120.png,Premier League,GK,GK,100,,0,,0,36,1989-01-15,1000000,2026-06-30,19,1909,0,0.0,0,0.0,1.23,65.38,Slovakia,['Slovakia'],right,190,83,False,1.04,0.0,0.0,1.08,69.57,0.0,0.0,0.0,1.04,1.17,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.05,0.0,18.39,85.64,11.31,78.75,0.0,0.0,10.61,96.89,7.78,70.3,32.02,48.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,77.78,0.05,100.0,0.14,33.33,0.05,0.0,6.13,78.46,96.38,6.51,37,1.74,109,5.14,3,66.06,36.45,1.72,-0.55,-0.026000000000000002,0.0,2.45,1.08,,,,0.0,0,0.0
J. Bowen,Jarrod Bowen,331388,West Ham United,West Ham United,https://cdn5.wyscout.com/photos/team/public/27_120x120.png,Premier League,"RW, CF, RAMF",RW,28,CF,27,RAMF,27,29,1996-12-20,50000000,2030-06-30,19,1906,6,5.12,1,1.56,18.46,42.71,England,"['England', 'Wales']",left,175,70,False,4.01,3.45,54.79,2.17,26.09,0.28,0.32,0.05,1.8399999999999999,2.1,0.52,2,0.09,0,0.0,4.63,0.28,6,0.28,0.24,1,0.05,47,2.22,42.55,12.766,0.05,2.5,22.64,0.24,20.0,2.27,22.92,0.28,5.48,56.03,10.77,44.74,3.92,2.83,0.33,14.4,1.13,1.32,18.84,72.43,3.7800000000000002,61.25,4.86,95.15,15.87,81.25,0.66,35.71,17.78,14.74,0.07,0.42,0.05,0.0,0.09,50.0,0.28,0.85,72.22,1.98,42.86,0.14,33.33,0.61,0.52,2.36,68.0,63.96,5.24,0,,0,,0,0.0,0.0,0.0,,,0.38,,2.17,0.05,0.05,0.0,0.5700000000000001,0,0.0
E. Anderson,Elliott Anderson,414655,Nottingham Forest,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/1113_120x120.png,Premier League,"LDMF, RDMF",LDMF,75,RDMF,10,,0,23,2002-11-06,0,2029-06-30,19,1882,1,1.8399999999999999,1,2.62,21.62,50.44,England,"['England', 'Scotland']",right,179,63,False,9.09,7.65,61.88,2.44,45.1,0.19,0.25,0.24,4.16,5.46,1.29,4,0.19,0,0.0,2.01,0.05,0,0.0,0.09,0,0.0,16,0.77,37.5,6.25,0.05,2.01,45.24,1.0,42.86,0.96,50.0,0.14,1.63,44.12,8.85,43.24,1.43,1.24,0.05,43.57,0.62,2.1,61.12,87.01,19.75,76.27,10.66,98.65,54.99,91.22,4.26,50.56,17.73,38.59,0.13,1.24,0.05,0.05,0.19,50.0,0.29,9.47,78.79,3.11,49.23,0.5700000000000001,25.0,0.62,0.86,8.75,80.87,90.05,19.7,0,,0,,0,0.0,0.0,0.0,,,1.1,,2.44,0.62,0.05,0.0,2.58,1,100.0
N. Milenković,Nikola Milenković,440930,Nottingham Forest,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/1113_120x120.png,Premier League,RCB,RCB,91,,0,,0,28,1997-10-12,15000000,2029-06-30,19,1882,0,0.96,0,0.98,12.0,66.53,Serbia,['Serbia'],right,195,90,False,6.79,3.4,71.83,4.26,59.55,0.14,0.19,1.1,4.21,5.52,0.38,4,0.19,0,0.0,0.05,0.0,0,0.0,0.05,0,0.0,9,0.43,11.11,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.81,47.06,0.5700000000000001,0.43,0.0,27.16,0.24,0.72,41.8,90.27,14.63,79.08,3.11,93.85,36.82,94.42,4.88,60.78,20.39,38.01,0.05,0.1,0.0,0.0,0.0,0.0,0.05,4.97,75.0,0.29,50.0,0.19,75.0,0.19,0.0,5.83,72.95,97.77,19.32,0,,0,,0,0.0,0.0,0.0,,,1.9100000000000001,,4.26,0.0,0.0,0.0,0.0,0,0.0
N. Williams,Neco Williams,459370,Nottingham Forest,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/1113_120x120.png,Premier League,"LB, RB",LB,73,RB,18,,0,24,2001-04-13,17000000,2029-06-30,19,1882,1,1.28,1,1.8900000000000001,18.17,57.89,Wales,['Wales'],right,183,72,False,9.85,8.08,60.95,2.2,63.04,0.53,0.6900000000000001,0.5700000000000001,4.4,5.77,0.77,4,0.19,0,0.0,3.68,0.05,1,0.05,0.06,0,0.0,20,0.96,50.0,5.0,0.05,3.35,38.57,1.63,23.53,1.72,52.78,0.53,2.92,63.93,6.26,55.73,1.48,1.63,0.29,28.36,0.91,1.58,38.4,82.07,13.29,75.54,6.84,96.5,31.28,89.76,3.83,57.5,18.36,33.62,0.09,0.72,0.0,0.05,0.05,100.0,0.5700000000000001,4.64,75.26,2.96,46.77,0.48,70.0,0.38,1.29,7.51,70.7,81.11,10.38,0,,0,,0,0.0,0.0,0.0,,,0.29,,2.2,0.14,0.1,50.0,0.14,0,0.0
J. Pickford,Jordan Pickford,160405,Everton,Everton,https://cdn5.wyscout.com/photos/team/public/37_120x120.png,Premier League,GK,GK,100,,0,,0,31,1994-03-07,22000000,2029-06-30,19,1879,0,0.0,0,0.0,0.81,64.71,England,['England'],left,185,77,False,2.06,0.14,66.67,0.48,80.0,0.0,0.0,0.0,1.96,2.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,16.29,0.24,0.1,22.8,80.04,14.85,70.97,0.0,0.0,10.92,97.81,11.88,63.71,37.1,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,58.26,0.62,15.38,0.62,7.69,0.14,0.0,8.05,82.14,96.86,7.62,20,0.96,78,3.74,8,74.36,22.4,1.07,2.4,0.115,0.0,1.2,0.48,,,,0.0,0,0.0
J. Tarkowski,James  Tarkowski,170333,Everton,Everton,https://cdn5.wyscout.com/photos/team/public/37_120x120.png,Premier League,RCB,RCB,99,,0,,0,33,1992-11-19,13000000,2028-06-30,19,1879,0,0.96,1,0.63,13.17,60.0,England,"['England', 'Poland']",right,185,81,False,8.86,3.59,68.0,5.27,63.64,0.34,0.38,1.1,6.08,6.95,0.81,4,0.19,0,0.0,0.29,0.0,0,0.0,0.05,0,0.0,5,0.24,20.0,0.0,0.05,0.29,66.67,0.0,0.0,0.29,66.67,0.05,0.1,50.0,1.3900000000000001,37.93,0.81,0.67,0.05,23.61,0.14,0.5700000000000001,36.79,83.07,16.62,73.2,2.44,96.08,30.56,89.18,5.94,52.42,21.82,40.34,0.03,0.24,0.0,0.0,0.0,0.0,0.14,6.61,63.04,1.01,33.33,1.15,45.83,0.62,0.19,8.33,72.99,94.59,14.18,0,,0,,0,0.0,0.0,0.0,,,1.96,,5.27,0.0,0.0,0.0,0.0,0,0.0
