Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Afonso Silva,Afonso Rodrigues Silva,-306336,Felgueiras 1932,Felgueiras 1932,https://cdn5.wyscout.com/photos/team/public/g25119_120x120.png,Segunda Liga,"LCB, RCB",LCB,50,RCB,36,,0,21.0,2004-04-28,0,2026-06-30,20,2034,0,1.6,0,0.31,14.16,62.19,Portugal,['Portugal'],left,176,69,False,9.03,4.96,76.79,4.47,52.48,0.44,0.78,0.49,4.78,8.37,1.15,3,0.13,0,0.0,0.44,0.0,0,0.0,0.07,0,0.0,14,0.62,28.57,0.0,0.0,0.27,16.67,0.18,25.0,0.04,0.0,0.09,0.31,71.43,2.17,61.22,1.28,0.75,0.0,17.65,0.09,1.55,29.56,84.28,14.87,75.89,0.97,95.45,24.51,90.61,4.78,55.56,22.91,41.19,0.01,0.27,0.0,0.0,0.0,0.0,0.04,5.8,66.41,0.35000000000000003,12.5,0.27,0.0,0.09,0.04,7.52,76.47,95.4,11.55,0,,0,,0,0.0,0.0,0.0,,,0.62,,4.47,0.0,0.0,0.0,0.0,0,0.0
Javi Vázquez,Javier María Vázquez López,460192,Torreense,Torreense,https://cdn5.wyscout.com/photos/team/public/g1734_120x120.png,Segunda Liga,LB,LB,91,,0,,0,25.0,2000-09-24,200000,2027-06-30,20,1984,1,1.24,5,3.74,12.57,56.68,Spain,['Spain'],left,178,70,False,6.26,4.76,66.67,2.04,44.44,0.27,0.37,0.0,2.81,3.81,0.59,1,0.05,0,0.0,3.67,0.05,1,0.05,0.06,0,0.0,20,0.91,25.0,5.0,0.23,5.17,32.46,5.08,31.25,0.05,100.0,0.36,2.49,69.09,4.31,54.74,1.18,0.68,0.05,24.95,2.27,0.77,33.57,68.11,13.06,64.24,5.17,92.98,22.59,81.93,6.03,45.11,23.62,40.89,0.17,1.63,0.0,0.05,0.09,50.0,0.54,6.03,57.89,5.31,47.01,0.5,27.27,0.9500000000000001,1.8599999999999999,9.71,71.03,64.91,10.34,0,,0,,0,0.0,0.0,0.0,,,0.64,,2.04,1.5899999999999999,0.23,20.0,1.63,0,0.0
Frederico Namora,Nuno Frederico Melo Machado Cerejeira Namora,495004,UD Oliveirense,UD Oliveirense,https://cdn5.wyscout.com/photos/team/public/g1740_120x120.png,Segunda Liga,"LCB3, RCB3",LCB3,47,RCB3,29,,0,27.0,1998-02-12,0,,20,1964,0,0.33,2,0.29,10.54,54.78,Portugal,['Portugal'],left,178,73,False,8.57,4.45,69.07,3.16,37.68,0.14,0.2,0.5,5.36,7.71,0.55,3,0.14,0,0.0,0.64,0.0,0,0.0,0.01,0,0.0,6,0.27,16.67,0.0,0.09,0.23,60.0,0.18,50.0,0.0,0.0,0.0,0.37,87.5,1.1,62.5,0.18,0.64,0.09,21.63,0.14,0.5,39.96,81.31,21.17,72.08,3.02,90.91,33.68,86.53,6.05,53.03,22.84,39.12,0.01,0.23,0.05,0.0,0.14,100.0,0.14,5.87,60.16,1.01,50.0,0.64,35.71,0.32,0.14,9.71,67.45,93.59,12.88,0,,0,,0,0.0,0.0,0.0,,,2.06,,3.16,0.0,0.0,0.0,0.0,0,0.0
S. Messeguem,Soufiane Messeguem,-54246,Academico Viseu,Academico Viseu,https://cdn5.wyscout.com/photos/team/public/g1737_120x120.png,Segunda Liga,"LDMF, LCMF",LDMF,54,LCMF,28,,0,24.0,2001-02-05,550000,2028-06-30,20,1960,1,2.41,7,3.6,15.02,46.79,Germany,"['Germany', 'Algeria']",left,180,72,False,7.85,6.34,57.97,1.29,32.14,0.37,0.56,0.37,3.81,5.79,1.42,3,0.14,0,0.0,1.7000000000000002,0.05,1,0.05,0.11,0,0.0,27,1.24,29.63,3.7039999999999997,0.32,1.15,48.0,0.8300000000000001,38.89,0.32,71.43,0.23,1.74,42.11,5.5600000000000005,41.32,0.8300000000000001,0.6900000000000001,0.18,18.87,0.51,1.7000000000000002,28.88,76.79,10.42,60.79,5.5600000000000005,94.21,24.47,81.99,3.35,46.58,19.63,38.18,0.17,1.15,0.09,0.0,0.14,33.33,0.41000000000000003,4.68,53.92,2.11,45.65,0.37,25.0,0.51,0.55,5.5600000000000005,71.9,83.25,9.32,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.29,0.96,0.18,50.0,1.56,0,0.0
Samú Silva,Samuel António Silva,-66838,Marítimo,Marítimo,https://cdn5.wyscout.com/photos/team/public/162_120x120.png,Segunda Liga,GK,GK,100,,0,,0,26.0,1999-05-12,450000,2026-06-30,20,1939,0,0.0,0,0.0,0.65,92.86,France,"['France', 'Portugal']",right,193,90,False,1.9500000000000002,0.05,100.0,0.42,88.89,0.05,0.09,0.0,1.8599999999999999,3.49,0.09,2,0.09,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.14,100.0,0.0,0.0,0.0,12.3,0.14,0.14,18.06,84.06,10.3,73.87,0.0,0.0,11.42,98.78,6.59,59.15,33.03,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,58.54,0.46,30.0,0.19,25.0,0.09,0.0,4.83,77.88,99.32,6.82,15,0.7000000000000001,76,3.5300000000000002,9,80.26,17.87,0.8300000000000001,2.87,0.133,0.0,0.88,0.42,,,,0.0,0,0.0
Antonio Gomís,Antonio Gomís Alemañ,-289357,Vizela,Vizela,https://cdn5.wyscout.com/photos/team/public/1547_120x120.png,Segunda Liga,GK,GK,100,,0,,0,22.0,2003-05-20,0,2027-06-30,19,1915,0,0.0,0,0.17,0.89,94.74,Spain,['Spain'],left,186,80,False,1.74,0.05,100.0,0.56,100.0,0.0,0.0,0.0,1.69,2.85,0.0,3,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.0,13.3,0.19,0.28,20.3,84.49,11.7,73.49,0.0,0.0,14.19,97.68,6.11,53.85,29.21,50.96,0.01,0.05,0.0,0.0,0.0,0.0,0.05,1.97,38.1,0.28,0.0,0.23,20.0,0.0,0.0,4.18,68.54,99.39,7.71,18,0.85,77,3.62,6,76.62,17.19,0.81,-0.81,-0.038,0.0,1.69,0.56,,,,0.0,0,0.0
Joan Femenías,Joan Femenías del Salto,282236,Penafiel,Penafiel,https://cdn5.wyscout.com/photos/team/public/1964_120x120.png,Segunda Liga,GK,GK,100,,0,,0,29.0,1996-08-19,600000,2026-06-30,19,1908,0,0.0,0,0.0,0.52,90.91,Spain,['Spain'],right,189,79,False,1.46,0.09,100.0,0.14,100.0,0.0,0.0,0.0,1.37,1.88,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,9.06,0.05,0.33,15.42,80.73,8.63,71.04,0.0,0.0,8.11,97.09,7.26,62.99,34.49,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,43.48,0.14,0.0,0.05,0.0,0.0,0.0,5.0,73.58,95.28,5.99,20,0.9400000000000001,101,4.76,8,80.2,27.64,1.3,7.64,0.36,0.0,1.42,0.14,,,,0.0,0,0.0
Ricardo Ribeiro,Ricardo Abreu Ribeiro,140284,UD Oliveirense,UD Oliveirense,https://cdn5.wyscout.com/photos/team/public/g1740_120x120.png,Segunda Liga,GK,GK,100,,0,,0,36.0,1990-01-27,50000,2026-06-30,19,1898,0,0.0,0,0.0,0.66,100.0,Portugal,['Portugal'],right,184,75,False,1.9,0.24,100.0,0.33,100.0,0.0,0.0,0.0,1.6600000000000001,2.44,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,9.58,0.24,0.28,15.6,84.5,9.25,74.36,0.0,0.0,8.96,99.47,6.64,64.29,34.45,50.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,54.35,0.14,33.33,0.0,0.0,0.0,0.0,4.93,77.88,99.19,5.83,23,1.09,99,4.69,7,76.77,23.42,1.11,0.42,0.02,0.0,1.04,0.33,,,,0.0,0,0.0
Andre Clóvis,André Clóvis Silva Filho,434152,Academico Viseu,Academico Viseu,https://cdn5.wyscout.com/photos/team/public/g1737_120x120.png,Segunda Liga,CF,CF,94,,0,,0,28.0,1997-11-21,1300000,2028-06-30,20,1897,15,13.22,2,0.8200000000000001,18.6,33.42,Brazil,['Brazil'],right,186,78,False,2.61,2.18,56.52,4.84,34.31,0.0,0.0,0.09,1.38,2.09,1.6099999999999999,2,0.09,0,0.0,2.32,0.71,13,0.62,0.63,2,0.09,72,3.42,45.83,20.833,0.09,0.38,62.5,0.14,66.67,0.24,60.0,0.0,1.33,35.71,7.26,26.14,4.22,0.66,0.05,5.84,1.47,1.23,9.11,63.54,2.2800000000000002,37.5,2.7,82.46,7.92,67.66,0.81,23.53,17.3,20.72,0.04,0.47000000000000003,0.05,0.0,0.09,50.0,0.28,1.38,44.83,0.9,42.11,0.19,25.0,0.28,0.24,1.57,66.67,58.14,2.04,0,,0,,0,0.0,0.0,0.0,,,0.14,,4.84,0.0,0.0,0.0,0.0,2,100.0
Pedro Rosas,Pedro Silva Rosas,-107804,Felgueiras 1932,Felgueiras 1932,https://cdn5.wyscout.com/photos/team/public/g25119_120x120.png,Segunda Liga,LB,LB,83,,0,,0,25.0,2000-11-28,125000,2026-06-30,19,1872,3,1.81,1,1.5,12.88,45.52,Portugal,['Portugal'],left,189,82,False,7.07,5.0,50.96,3.17,56.06,0.34,0.6000000000000001,0.24,4.18,7.48,1.83,4,0.19,1,0.05,1.88,0.14,3,0.14,0.09,1,0.05,16,0.77,37.5,18.75,0.05,3.41,36.62,3.22,35.82,0.14,66.67,0.63,0.96,35.0,2.36,22.45,1.44,1.15,0.43,18.46,1.54,0.58,28.65,74.83,10.91,70.04,5.63,94.87,21.49,84.56,3.89,53.09,21.13,33.5,0.07,0.77,0.0,0.0,0.0,0.0,0.53,4.38,69.23,3.03,44.44,0.1,50.0,0.58,1.06,8.13,78.11,73.33,8.65,0,,0,,0,0.0,0.0,0.0,,,0.53,,3.17,0.1,0.05,0.0,0.1,0,0.0
