Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Zobel,Tristan Zobel,-199879,Erzgebirge Aue,Erzgebirge Aue,https://cdn5.wyscout.com/photos/team/public/346_120x120.png,3. Liga,"LCB, LCB3",LCB,82,LCB3,12,,0,22.0,2003-10-04,50000,2028-06-30,26,2578,1,1.4100000000000001,0,0.29,16.44,62.0,Germany,['Germany'],unknown,192,0,True,9.88,6.95,75.38,4.05,47.41,0.07,0.1,0.73,4.57,6.23,0.66,5,0.17,0,0.0,0.31,0.03,1,0.03,0.05,1,0.03,10,0.35000000000000003,40.0,10.0,0.0,0.07,50.0,0.07,50.0,0.0,0.0,0.0,0.21,66.67,2.06,45.76,0.8,0.49,0.0,26.71,0.52,0.42,40.57,90.19,15.71,80.67,3.98,97.37,37.18,93.43,3.32,54.74,20.68,39.49,0.01,0.14,0.0,0.0,0.0,0.0,0.03,4.5,72.87,0.17,40.0,0.03,100.0,0.17,0.03,6.42,73.37,97.55,17.07,0,,0,,0,0.0,0.0,0.0,,,3.11,,4.05,0.0,0.0,0.0,0.0,0,0.0
J. Ríos Alonso,José Enrique Ríos Alonso,454400,Rot-Weiss Essen,Rot-Weiss Essen,https://cdn5.wyscout.com/photos/team/public/3725_120x120.png,3. Liga,"RCB3, RCB, LCB",RCB3,43,RCB,32,LCB,21,25.0,2000-08-13,300000,2027-06-30,26,2575,4,3.18,1,0.7000000000000001,13.49,60.62,Germany,"['Germany', 'Spain']",right,182,77,False,9.47,5.31,66.45,3.6,55.34,0.1,0.15,0.84,5.84,8.13,0.52,4,0.14,0,0.0,0.66,0.14,3,0.1,0.11,1,0.03,18,0.63,55.56,22.222,0.03,0.1,33.33,0.0,0.0,0.1,33.33,0.0,0.31,77.78,1.85,58.49,1.12,0.77,0.03,31.88,0.28,1.15,49.04,88.38,17.44,74.95,5.03,95.83,44.88,91.43,4.05,56.03,19.27,34.19,0.02,0.38,0.03,0.03,0.03,100.0,0.1,6.22,74.72,0.73,33.33,0.31,33.33,0.42,0.03,7.83,68.75,96.94,20.59,0,,0,,0,0.0,0.0,0.0,,,2.55,,3.6,0.0,0.0,0.0,0.0,1,100.0
B. Uphoff,Benjamin Uphoff,200298,Hansa Rostock,Hansa Rostock,https://cdn5.wyscout.com/photos/team/public/4_120x120.png,3. Liga,GK,GK,100,,0,,0,32.0,1993-08-08,300000,2026-06-30,26,2574,0,0.0,0,0.18,0.38,72.73,Germany,['Germany'],right,192,90,False,0.98,0.07,50.0,0.21,83.33,0.0,0.0,0.0,0.9400000000000001,1.43,0.07,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,20.03,0.28,0.03,28.43,89.18,16.36,83.55,0.03,100.0,19.55,96.96,8.88,72.05,27.73,44.74,0.01,0.03,0.0,0.0,0.0,0.0,0.03,2.17,62.9,0.07,50.0,0.17,40.0,0.07,0.0,7.62,79.82,97.73,10.8,30,1.05,109,3.81,9,72.48,35.16,1.23,5.16,0.18,0.03,1.4,0.21,,,,0.0,0,0.0
M. Schuster,Marco Schuster,261058,Hansa Rostock,Hansa Rostock,https://cdn5.wyscout.com/photos/team/public/4_120x120.png,3. Liga,"DMF, LCMF, RCMF",DMF,50,LCMF,17,RCMF,10,30.0,1995-10-10,550000,2027-06-30,26,2565,2,1.1400000000000001,4,6.11,11.19,55.17,Germany,['Germany'],right,179,77,False,7.96,5.51,64.33,1.79,56.86,0.39,0.59,0.46,4.04,6.14,0.6000000000000001,3,0.11,0,0.0,1.02,0.07,2,0.07,0.04,0,0.0,18,0.63,44.44,11.111,0.14,0.98,50.0,0.35000000000000003,40.0,0.56,50.0,0.18,0.46,53.85,2.46,44.29,0.46,0.7000000000000001,0.04,30.11,0.21,0.53,46.42,86.7,13.09,72.39,8.07,95.65,41.96,90.47,3.47,51.52,16.99,27.88,0.21,2.0,0.04,0.0,0.0,0.0,0.28,5.61,75.0,1.26,55.56,0.21,50.0,0.28,0.53,5.47,63.46,93.95,16.81,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,1.79,1.9300000000000002,0.14,0.0,4.39,0,0.0
P. Schulze,Philipp Schulze,-91656,Verl,Verl,https://cdn5.wyscout.com/photos/team/public/2680_120x120.png,3. Liga,GK,GK,100,,0,,0,23.0,2003-01-29,225000,2027-06-30,26,2565,0,0.0,0,0.0,0.84,83.33,Germany,['Germany'],right,190,81,False,1.37,0.07,100.0,0.67,89.47,0.0,0.0,0.0,1.3,2.43,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,25.79,0.28,0.11,34.91,91.76,16.39,85.22,0.0,0.0,29.47,98.21,5.4,57.14,23.43,42.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,45.0,0.11,0.0,0.04,0.0,0.0,0.0,4.67,63.91,98.09,16.49,38,1.33,110,3.86,5,65.45,28.68,1.01,-9.32,-0.327,0.0,1.26,0.67,,,,0.0,0,0.0
L. Jonsson,Lukas Jonsson,134412,Osnabrück,Osnabrück,https://cdn5.wyscout.com/photos/team/public/344_120x120.png,3. Liga,GK,GK,100,,0,,0,33.0,1992-10-21,100000,2027-06-30,26,2532,0,0.0,0,0.0,0.5700000000000001,93.75,Sweden,['Sweden'],right,191,92,False,1.49,0.0,0.0,0.43,91.67,0.0,0.0,0.0,1.49,1.88,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,11.55,0.11,0.07,18.2,76.76,13.65,69.53,0.04,100.0,8.42,95.78,9.7,60.81,36.04,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,46.15,0.14,0.0,0.11,66.67,0.0,0.0,7.93,71.3,100.0,4.05,25,0.89,89,3.16,13,71.91,24.65,0.88,-0.35000000000000003,-0.012,0.0,1.24,0.43,,,,0.0,0,0.0
J. Scholz,Jonas Scholz,454040,Ingolstadt,Ingolstadt,https://cdn5.wyscout.com/photos/team/public/1116_120x120.png,3. Liga,"LCB, LCB3",LCB,61,LCB3,37,,0,27.0,1999-01-24,150000,2027-06-30,26,2524,2,2.9,0,0.47000000000000003,17.4,61.89,Germany,['Germany'],left,189,85,False,9.73,6.35,69.66,5.88,61.82,0.36,0.46,0.68,4.96,6.38,0.96,4,0.14,0,0.0,0.64,0.07,2,0.07,0.1,1,0.04,19,0.68,47.37,10.526,0.0,0.18,80.0,0.18,80.0,0.0,0.0,0.0,0.21,83.33,1.71,50.0,1.03,0.5700000000000001,0.0,29.6,0.14,0.86,45.75,85.35,19.08,74.77,4.24,94.12,38.83,91.28,6.77,51.58,21.79,42.57,0.02,0.14,0.0,0.04,0.0,0.0,0.07,6.1,64.33,0.75,47.62,0.68,36.84,0.46,0.14,8.81,67.21,94.85,18.01,0,,0,,0,0.0,0.0,0.0,,,3.0,,5.88,0.0,0.0,0.0,0.0,0,0.0
A. Borgmann,Axel Borgmann,260504,Energie Cottbus,Energie Cottbus,https://cdn5.wyscout.com/photos/team/public/12_120x120.png,3. Liga,"LB, LCMF3, LAMF",LB,34,LCMF3,33,LAMF,10,31.0,1994-07-08,150000,2026-06-30,26,2489,2,1.5,3,2.76,14.9,49.03,Germany,['Germany'],left,178,75,False,9.0,5.53,65.36,2.1,41.38,0.07,0.1,0.61,5.32,7.17,0.65,2,0.07,0,0.0,2.35,0.07,2,0.07,0.05,1,0.04,25,0.9,28.0,8.0,0.11,3.0,34.94,2.89,35.0,0.07,0.0,0.36,2.02,50.0,6.04,38.32,1.74,1.37,0.33,21.26,1.34,0.87,31.75,74.15,11.79,65.95,5.46,92.05,25.6,81.5,3.22,50.56,18.34,32.62,0.1,0.8300000000000001,0.0,0.04,0.11,33.33,0.58,3.54,73.47,2.6,52.78,0.22,50.0,0.61,1.05,6.26,67.63,74.65,7.85,0,,0,,0,0.0,0.0,0.0,,,0.29,,2.1,0.0,0.0,0.0,0.04,0,0.0
F. Gebhardt,Felix Gebhardt,-75385,Jahn Regensburg,Jahn Regensburg,https://cdn5.wyscout.com/photos/team/public/1127_120x120.png,3. Liga,GK,GK,100,,0,,0,24.0,2002-03-01,700000,2026-06-30,25,2481,0,0.0,0,0.0,0.62,76.47,Germany,['Germany'],right,189,83,False,1.27,0.15,25.0,0.4,90.91,0.04,0.05,0.0,1.2,1.53,0.0,2,0.07,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.07,100.0,0.0,0.0,0.0,16.54,0.29,0.07,23.87,86.63,12.52,77.39,0.0,0.0,15.74,97.24,8.13,66.07,29.59,47.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,61.4,0.18,60.0,0.11,66.67,0.0,0.0,6.49,73.74,97.12,10.08,37,1.34,104,3.77,7,64.42,35.65,1.29,-1.35,-0.049,0.0,1.23,0.4,,,,0.0,0,0.0
S. Lorenz,Simon Lorenz,358775,Ingolstadt,Ingolstadt,https://cdn5.wyscout.com/photos/team/public/1116_120x120.png,3. Liga,"RCB, CB",RCB,63,CB,28,,0,28.0,1997-03-30,550000,2026-06-30,25,2479,3,1.9300000000000002,0,0.0,15.03,61.35,Germany,['Germany'],right,191,91,False,9.15,5.3,71.23,6.1,60.12,0.11,0.14,1.05,5.26,6.83,0.98,3,0.11,0,0.0,0.33,0.11,3,0.11,0.07,3,0.11,16,0.58,37.5,18.75,0.0,0.15,25.0,0.04,0.0,0.11,33.33,0.04,0.15,50.0,1.31,44.44,0.84,0.18,0.0,30.61,0.18,0.84,45.09,86.88,16.81,73.65,3.34,94.57,40.3,92.07,4.68,43.41,20.06,41.28,0.0,0.0,0.04,0.0,0.04,0.0,0.0,4.1,63.72,0.65,44.44,0.25,42.86,0.22,0.04,7.26,66.0,96.11,19.6,0,,0,,0,0.0,0.0,0.0,,,2.58,,6.1,0.0,0.0,0.0,0.0,0,0.0
