Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Focşa,Maxim Focşa,208568,Dacia-Buiucani,Dacia-Buiucani,https://cdn5.wyscout.com/photos/team/public/g11313_120x120.png,Super Liga,"RCB3, RCB",RCB3,71,RCB,21,,0,33.0,1992-04-21,100000,,19,1852,1,0.61,0,0.9,9.33,62.5,Moldova,['Moldova'],right,186,0,False,6.95,3.4,71.43,3.26,50.75,0.15,0.18,0.53,4.37,5.45,0.39,2,0.1,0,0.0,0.39,0.05,1,0.05,0.03,0,0.0,9,0.44,33.33,11.111,0.0,0.63,30.77,0.0,0.0,0.63,30.77,0.0,0.1,0.0,1.65,70.59,0.58,1.85,0.0,34.89,0.44,1.31,50.83,83.08,25.12,74.08,3.64,93.33,40.77,90.58,9.43,54.12,24.14,42.51,0.04,0.34,0.05,0.0,0.05,100.0,0.05,7.92,62.58,1.56,43.75,0.73,53.33,0.58,0.19,12.68,73.56,92.76,17.45,0,,0,,0,0.0,0.0,0.0,,,1.75,,3.26,0.19,0.1,0.0,0.0,0,0
A. Rusnac,Andrei Rusnac,262293,CSF Bălți,CSF Bălți,https://cdn5.wyscout.com/photos/team/public/g-12757_120x120.png,Super Liga,"CB, RCB, LCB",CB,64,RCB,12,LCB,10,29.0,1996-09-22,100000,,18,1746,0,2.11,0,0.53,8.97,62.64,Moldova,['Moldova'],both,0,0,False,6.55,2.94,66.67,3.71,62.5,0.05,0.07,0.72,4.54,5.76,0.62,2,0.1,0,0.0,0.31,0.0,0,0.0,0.11,0,0.0,10,0.52,40.0,0.0,0.0,0.1,100.0,0.05,100.0,0.05,100.0,0.05,0.1,0.0,0.67,23.08,0.62,0.77,0.0,30.93,0.15,0.77,47.53,88.83,21.6,79.95,1.96,97.37,41.39,93.4,6.03,57.26,20.71,34.58,0.03,0.21,0.0,0.0,0.0,0.0,0.1,3.81,71.62,0.52,40.0,0.15,33.33,0.15,0.1,8.97,68.39,96.97,18.71,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,3.71,0.1,0.05,0.0,0.0,1,0
M. Ștefan,Mihail Ștefan,-127045,Zimbru,Zimbru,https://cdn5.wyscout.com/photos/team/public/3413_120x120.png,Super Liga,"LCB, RCB, LCB3",LCB,48,RCB,20,LCB3,17,24.0,2001-08-07,0,,18,1726,0,1.42,1,1.45,11.11,62.44,Moldova,['Moldova'],,0,0,False,8.76,4.54,71.26,4.48,55.81,0.16,0.23,0.26,5.37,7.76,0.68,3,0.16,0,0.0,0.47000000000000003,0.0,0,0.0,0.07,0,0.0,13,0.68,30.77,0.0,0.05,0.1,50.0,0.0,0.0,0.1,50.0,0.05,0.21,100.0,0.73,71.43,1.04,0.78,0.05,37.54,0.42,0.31,55.32,83.6,21.07,69.8,2.87,90.91,46.46,90.91,8.76,45.24,24.34,44.37,0.08,0.31,0.0,0.0,0.05,0.0,0.16,8.45,48.77,1.15,36.36,0.8300000000000001,25.0,0.47000000000000003,0.05,8.97,70.35,94.85,26.33,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,4.48,0.0,0.0,0.0,0.0,0,0
Rai,Rai Lopes De Oliveira,-163314,Sheriff,Sheriff,https://cdn5.wyscout.com/photos/team/public/1979_120x120.png,Super Liga,LB,LB,100,,0,,0,25.0,2000-03-28,200000,,18,1683,2,1.03,2,2.64,16.63,54.34,Brazil,['Brazil'],left,182,0,False,7.59,5.61,64.76,3.48,64.62,0.37,0.65,0.0,3.58,6.18,1.28,3,0.16,0,0.0,3.96,0.11,2,0.11,0.06,0,0.0,18,0.96,27.78,11.111,0.11,4.12,50.65,4.06,51.32,0.05,0.0,0.48,2.89,55.56,6.36,41.18,1.28,2.89,0.43,35.45,1.55,0.48,48.07,77.2,22.25,69.23,5.67,94.34,36.58,86.55,7.7,45.14,21.41,37.82,0.14,1.23,0.11,0.0,0.0,0.0,0.48,11.12,65.87,4.71,50.0,0.7000000000000001,15.38,0.64,2.09,13.9,81.92,79.15,13.85,0,,0,,0,0.0,0.0,0.0,,,0.43,,3.48,0.0,0.0,0.0,0.32,0,0
Ş. Efros,Ştefan Efros,411029,Dacia-Buiucani,Dacia-Buiucani,https://cdn5.wyscout.com/photos/team/public/g11313_120x120.png,Super Liga,CB,CB,79,,0,,0,35.0,1990-05-08,75000,,18,1677,1,0.65,0,0.0,10.95,67.16,Moldova,['Moldova'],right,195,84,False,7.57,4.08,72.37,4.24,68.35,0.16,0.2,1.13,4.45,5.46,0.75,4,0.21,0,0.0,0.05,0.05,1,0.05,0.03,0,0.0,5,0.27,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,47.37,0.38,0.0,0.0,18.52,0.0,0.75,31.07,87.74,8.48,67.09,2.04,94.74,28.71,91.4,2.36,43.18,20.49,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,48.48,0.11,50.0,0.05,0.0,0.05,0.0,4.03,52.0,96.74,18.09,0,,0,,0,0.0,0.0,0.0,,,1.13,,4.24,0.0,0.0,0.0,0.0,0,0
I. Jardan,Ion Jardan,39522,Petrocub,Petrocub,https://cdn5.wyscout.com/photos/team/public/g9135_120x120.png,Super Liga,"RB5, RCB3, LCB3",RB5,46,RCB3,18,LCB3,10,35.0,1990-01-10,200000,,18,1666,2,4.12,6,3.86,11.34,51.43,Moldova,['Moldova'],right,183,74,False,5.4,3.7800000000000002,64.29,2.9699999999999998,45.45,0.16,0.22,0.16,2.81,3.88,1.13,4,0.22,0,0.0,2.86,0.11,2,0.11,0.22,1,0.05,20,1.08,20.0,10.0,0.32,3.51,50.77,0.11,50.0,3.4,50.79,0.7000000000000001,1.35,60.0,2.86,47.17,2.43,1.57,0.16,33.93,1.73,0.7000000000000001,45.11,79.76,14.75,68.5,7.13,93.18,36.25,86.29,5.67,53.33,20.26,36.18,0.21,1.3,0.0,0.11,0.11,50.0,0.76,7.73,63.64,3.84,50.7,0.81,46.67,0.81,1.62,10.37,79.69,85.25,18.31,0,,0,,0,0.0,0.0,0.0,,,0.97,,2.9699999999999998,0.0,0.0,0.0,0.0,0,0
I. Bors,Ion Bors,-77872,Petrocub,Petrocub,https://cdn5.wyscout.com/photos/team/public/g9135_120x120.png,Super Liga,"RCB3, LCB3, RCMF3",RCB3,25,LCB3,20,RCMF3,15,23.0,2002-07-25,0,,19,1661,0,1.12,0,0.44,17.72,53.82,Moldova,['Moldova'],right,0,0,False,10.4,6.45,70.59,4.61,47.06,0.49,0.67,0.27,5.36,7.39,1.19,2,0.11,0,0.0,1.52,0.0,0,0.0,0.06,0,0.0,14,0.76,28.57,0.0,0.0,1.9500000000000002,27.78,0.7000000000000001,38.46,1.25,21.74,0.11,1.35,52.0,3.96,39.73,1.03,2.22,0.33,29.91,1.46,0.98,44.32,81.42,15.44,74.04,5.69,87.62,38.52,86.78,3.9,54.17,19.32,31.94,0.02,0.33,0.0,0.11,0.16,33.33,0.11,6.45,69.75,2.49,30.43,0.22,0.0,0.65,0.49,7.97,79.59,83.39,16.96,0,,0,,0,0.0,0.0,0.0,,,1.35,,4.61,0.0,0.0,0.0,0.0,0,0
R. Dumenco,Roman Dumenco,-289229,Dacia-Buiucani,Dacia-Buiucani,https://cdn5.wyscout.com/photos/team/public/g11313_120x120.png,Super Liga,GK,GK,100,,0,,0,21.0,2004-07-30,0,,17,1659,0,0.0,0,0.0,0.65,91.67,Moldova,"['Moldova', 'Russia']",left,185,76,False,1.8399999999999999,0.11,100.0,0.33,83.33,0.0,0.0,0.0,1.74,2.22,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,12.1,0.0,0.22,23.16,83.14,11.34,69.38,0.0,0.0,15.35,97.17,7.76,55.94,31.18,47.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,40.0,0.05,0.0,0.16,0.0,0.0,0.0,6.4,60.17,96.57,11.07,29,1.57,82,4.45,2,64.63,25.82,1.4,-3.18,-0.17300000000000001,0.0,1.52,0.33,,,,0.0,0,0
M. Căruntu,Marin Căruntu,297931,Dacia-Buiucani,Dacia-Buiucani,https://cdn5.wyscout.com/photos/team/public/g11313_120x120.png,Super Liga,CF,CF,78,,0,,0,27.0,1997-11-28,250000,,18,1653,6,6.8,1,0.71,15.84,40.21,Moldova,['Moldova'],right,178,72,False,3.16,1.9100000000000001,68.57,5.01,35.87,0.22,0.27,0.11,1.63,2.02,1.1400000000000001,3,0.16,0,0.0,2.01,0.33,3,0.16,0.37,0,0.0,37,2.01,40.54,16.216,0.05,1.47,25.93,0.33,50.0,1.09,20.0,0.38,1.74,46.88,6.53,37.5,2.83,1.1400000000000001,0.22,9.64,2.7199999999999998,1.69,11.71,67.91,2.4,56.82,3.1,82.46,9.8,73.89,0.44,75.0,17.76,15.24,0.04,0.33,0.11,0.0,0.0,0.0,0.11,0.93,47.06,1.25,47.83,0.05,0.0,0.27,0.44,1.52,67.86,68.66,3.65,0,,0,,0,0.0,0.0,0.0,,,0.05,,5.01,0.22,0.16,33.33,0.0,3,100
Alvaro Bely,Álvaro Bely Medina,450768,CSF Bălți,CSF Bălți,https://cdn5.wyscout.com/photos/team/public/g-12757_120x120.png,Super Liga,"RCMF, LCB, RCMF3",RCMF,32,LCB,16,RCMF3,12,31.0,1994-03-21,250000,,18,1647,1,0.91,1,0.67,12.08,59.73,Argentina,['Argentina'],right,180,79,False,6.78,4.26,58.97,4.75,62.07,0.38,0.49,0.87,3.88,5.01,0.77,0,0.0,0,0.0,0.6000000000000001,0.05,1,0.05,0.05,0,0.0,10,0.55,40.0,10.0,0.05,0.38,57.14,0.11,50.0,0.27,60.0,0.11,0.33,50.0,1.09,45.0,0.71,0.49,0.0,25.96,0.6000000000000001,0.33,40.49,80.16,18.85,66.38,3.7199999999999998,97.06,32.46,88.89,7.65,44.29,22.09,37.8,0.04,0.33,0.05,0.0,0.0,0.0,0.11,7.7,51.77,1.09,25.0,0.71,30.77,0.22,0.22,8.69,70.44,93.05,14.15,0,,0,,0,0.0,0.0,0.0,,,0.93,,4.75,0.05,0.05,100.0,0.0,0,0
