Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Espinoza,Greta Alejandra Espinoza Casas,241952,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/g-8735_120x120.png,Liga MX Femenil,LCB,LCB,92,,0,,0,30.0,1995-06-05,0,,32,3173,0,2.4,2,0.75,7.23,60.39,Mexico,['Mexico'],,170,62,False,4.99,3.09,70.64,2.33,63.41,0.0,0.0,0.65,2.81,4.37,0.28,1,0.03,0,0.0,0.51,0.0,0,0.0,0.07,0,0.0,15,0.43,26.67,0.0,0.06,0.31,36.36,0.31,36.36,0.0,0.0,0.0,0.37,76.92,1.05,37.84,0.74,1.3900000000000001,0.14,29.64,0.4,0.09,39.88,85.49,16.48,71.94,1.76,96.77,33.75,93.95,5.8100000000000005,39.02,22.03,36.68,0.02,0.14,0.0,0.03,0.0,0.0,0.06,5.73,61.39,0.85,30.0,0.26,22.22,0.17,0.09,6.72,74.26,95.83,18.38,0,,0,,0,0.0,0.0,0.0,,,1.02,,2.33,0.03,0.0,0.0,0.0,0,0.0
A. Godínez,Alejandría Godínez Herrera,-86246,Cruz Azul,Cruz Azul,https://cdn5.wyscout.com/photos/team/public/g-8723_120x120.png,Liga MX Femenil,GK,GK,100,,0,,0,32.0,1994-02-24,0,,31,3146,0,0.0,0,0.0,0.86,73.33,Mexico,['Mexico'],,170,68,False,1.92,0.06,0.0,0.63,90.91,0.0,0.0,0.0,1.92,2.61,0.03,4,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.11,25.0,0.0,0.0,0.0,16.31,0.26,0.06,27.98,79.24,16.74,70.6,0.0,0.0,16.22,93.47,11.7,59.9,31.04,41.73,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.2,46.75,0.09,0.0,0.17,0.0,0.0,0.0,8.87,64.52,93.11,10.38,47,1.34,176,5.03,6,73.3,47.11,1.35,0.11,0.003,0.0,2.09,0.63,,,,0.0,0,0.0
D. Ordonez,Diana Ordonez,521409,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/g-8735_120x120.png,Liga MX Femenil,CF,CF,98,,0,,0,24.0,2001-09-26,0,,32,2913,26,23.72,4,6.13,17.86,35.47,United States,"['United States', 'Mexico']",,181,0,False,3.8,3.49,58.41,3.37,33.03,0.12,0.19,0.06,1.6400000000000001,2.55,1.3,5,0.15,0,0.0,2.94,0.8,25,0.77,0.73,7,0.22,119,3.68,44.54,21.849,0.12,0.65,47.62,0.09,33.33,0.43,57.14,0.09,2.38,41.56,9.49,29.32,5.96,1.33,0.15,14.71,2.04,1.1400000000000001,18.23,76.1,2.7800000000000002,57.78,5.04,89.57,16.96,78.14,0.65,52.38,15.96,17.39,0.19,1.3,0.03,0.03,0.03,0.0,0.59,1.54,58.0,1.11,47.22,0.15,20.0,1.17,0.34,1.45,59.57,78.65,5.93,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.37,0.0,0.0,0.0,0.0,1,100.0
Jenni Hermoso,Jennifer Hermoso,155448,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/g-8735_120x120.png,Liga MX Femenil,"LCMF, AMF, CF",LCMF,31,AMF,29,CF,17,35.0,1990-05-09,0,,30,2858,16,12.36,3,3.5,20.66,44.21,Spain,['Spain'],,174,0,False,5.04,4.57,60.69,1.13,47.22,0.25,0.39,0.13,2.02,3.16,0.85,4,0.13,0,0.0,2.36,0.5,11,0.35000000000000003,0.39,2,0.06,68,2.14,50.0,23.529,0.09,0.6900000000000001,31.82,0.44,14.29,0.22,57.14,0.06,1.73,54.55,13.16,37.56,2.58,1.67,0.09,37.25,1.54,2.02,52.05,81.61,19.34,71.82,8.06,88.67,48.4,84.78,2.99,41.05,16.34,33.04,0.11,0.98,0.13,0.0,0.38,33.33,0.31,9.13,71.38,3.46,49.09,0.85,33.33,1.76,0.25,7.84,81.93,89.98,15.4,0,,0,,0,0.0,0.0,0.0,,,0.03,,1.13,0.35000000000000003,0.09,33.33,0.38,5,100.0
L. Fernandez,Liliana Fernandez,-238873,Toluca,Toluca,https://cdn5.wyscout.com/photos/team/public/g-8731_120x120.png,Liga MX Femenil,"RCB, CB",RCB,67,CB,10,,0,24.0,2001-04-10,0,,29,2832,1,1.26,1,0.91,8.01,59.52,United States,['United States'],,170,0,False,7.34,3.85,71.07,1.72,46.3,0.29,0.39,0.48,4.32,5.96,0.29,0,0.0,0,0.0,0.54,0.03,1,0.03,0.04,0,0.0,11,0.35000000000000003,27.27,9.091,0.03,0.25,37.5,0.1,0.0,0.16,60.0,0.03,0.44,78.57,1.62,47.06,0.51,0.7000000000000001,0.06,24.12,0.29,0.25,38.14,80.5,17.99,69.08,2.38,96.0,31.53,88.31,6.36,43.5,21.66,37.85,0.03,0.32,0.0,0.0,0.0,0.0,0.16,5.12,54.04,0.67,38.1,0.44,21.43,0.29,0.1,8.04,66.4,93.43,15.0,0,,0,,0,0.0,0.0,0.0,,,1.62,,1.72,0.54,0.0,0.0,0.22,0,0.0
Y. Franco,Yamile Azenek Franco Tirado,-86953,Guadalajara,Guadalajara,https://cdn5.wyscout.com/photos/team/public/g-8733_120x120.png,Liga MX Femenil,"LDMF, LCMF, RDMF",LDMF,35,LCMF,21,RDMF,20,33.0,1992-07-07,0,,29,2828,0,0.77,3,2.87,11.78,50.81,Mexico,['Mexico'],,163,55,False,7.16,5.57,64.57,1.46,41.3,0.03,0.05,0.16,3.5300000000000002,5.2,0.86,4,0.13,0,0.0,1.02,0.0,0,0.0,0.02,0,0.0,16,0.51,25.0,0.0,0.1,0.9500000000000001,33.33,0.48,40.0,0.48,26.67,0.13,0.86,59.26,3.44,33.33,0.48,0.92,0.03,26.51,0.51,0.54,42.1,77.85,16.96,66.04,5.12,94.41,34.88,83.94,6.27,50.76,18.92,32.38,0.09,0.76,0.1,0.03,0.1,66.67,0.22,9.04,67.25,2.64,39.76,1.11,42.86,0.9500000000000001,0.32,8.34,78.63,85.11,14.32,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.46,0.64,0.0,0.0,1.4,0,0.0
A. Cervantes,Alicia Cervantes Herrera,-86230,Guadalajara,Guadalajara,https://cdn5.wyscout.com/photos/team/public/g-8733_120x120.png,Liga MX Femenil,CF,CF,92,,0,,0,32.0,1994-01-24,0,,29,2783,16,18.71,3,3.79,20.28,34.13,Mexico,['Mexico'],,163,61,False,3.1,2.75,58.82,3.17,29.59,0.13,0.19,0.06,1.3599999999999999,1.98,0.9400000000000001,4,0.13,0,0.0,3.07,0.52,14,0.45,0.6000000000000001,7,0.23,98,3.17,43.88,16.327,0.1,1.26,25.64,0.26,12.5,0.91,28.57,0.19,2.94,45.05,12.29,30.0,4.69,1.55,0.23,14.13,3.01,1.3599999999999999,20.7,67.5,4.75,53.74,4.24,86.26,18.63,71.18,0.9400000000000001,48.28,15.73,19.09,0.12,0.91,0.03,0.03,0.06,50.0,0.45,1.88,56.9,1.8399999999999999,42.11,0.19,33.33,1.16,0.32,2.36,73.97,65.98,6.27,0,,0,,0,0.0,0.0,0.0,,,0.06,,3.17,0.0,0.0,0.0,0.0,5,40.0
A. Henry,Amandine Henry,19707,Toluca,Toluca,https://cdn5.wyscout.com/photos/team/public/g-8731_120x120.png,Liga MX Femenil,"RCMF, RDMF, LCMF",RCMF,50,RDMF,15,LCMF,10,36.0,1989-09-28,0,,28,2776,4,5.9,2,2.8,18.61,51.57,France,['France'],left,171,64,False,7.26,4.8,66.22,4.96,62.75,0.45,0.63,0.13,3.63,5.0,1.3900000000000001,7,0.23,2,0.06,2.11,0.13,4,0.13,0.19,2,0.06,66,2.14,19.7,6.061,0.06,2.04,36.51,0.42,76.92,1.56,27.08,0.23,1.5899999999999999,57.14,6.0,37.3,2.46,1.88,0.29,24.61,1.52,1.2,39.03,76.58,13.62,68.1,6.61,95.59,32.58,83.88,4.47,40.58,19.66,37.06,0.09,0.91,0.03,0.0,0.06,50.0,0.68,7.75,62.34,2.69,45.78,0.84,30.77,0.84,0.75,7.75,78.24,75.37,13.29,0,,0,,0,0.0,0.0,0.0,,,0.23,,4.96,0.23,0.19,16.67,0.0,0,0.0
E. Alvarado,Emily Sofia Alvarado Natividad,333701,FC Juárez,FC Juárez,https://cdn5.wyscout.com/photos/team/public/g-10491_120x120.png,Liga MX Femenil,GK,GK,100,,0,,0,27.0,1998-06-09,0,,27,2744,0,0.0,0,0.0,0.43,92.31,United States,"['United States', 'Mexico']",,176,0,False,1.31,0.03,0.0,0.39,100.0,0.0,0.0,0.0,1.31,1.85,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43,0.1,0.1,14.53,86.23,6.43,75.0,0.0,0.0,10.69,96.32,3.8,58.62,27.4,39.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,26.67,0.03,0.0,0.03,0.0,0.0,0.0,2.5300000000000002,54.55,96.38,7.25,29,0.9500000000000001,117,3.84,12,75.21,31.41,1.03,2.41,0.079,0.0,1.44,0.39,,,,0.0,0,0.0
A. Santiago,Aurora Cecilia Santiago Cisneros,110488,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/g-8735_120x120.png,Liga MX Femenil,GK,GK,100,,0,,0,31.0,1994-10-19,0,,27,2743,0,0.0,0,0.0,0.8200000000000001,88.0,Mexico,['Mexico'],,175,76,False,1.4100000000000001,0.07,50.0,0.62,94.74,0.0,0.0,0.0,1.38,2.16,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,6.99,0.07,0.16,16.7,88.21,8.14,76.21,0.0,0.0,12.34,97.61,4.36,61.65,26.24,40.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,27.27,0.0,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,57.0,99.57,7.61,23,0.75,120,3.94,12,80.83,27.92,0.92,4.92,0.161,0.0,1.9,0.62,,,,0.0,0,0.0
