Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Marques Rosa,Anthony Marques Rosa,-523585,Lancy,Lancy,https://cdn5.wyscout.com/photos/team/public/g24538_120x120.png,1. Liga Classic,"LCMF, LDMF, RCMF",LCMF,62,LDMF,14,RCMF,13,23.0,2001-11-17,0,2026-06-30,13,1261,0,0.11,0,0.03,14.92,60.77,Portugal,['Portugal'],unknown,0,0,False,10.13,7.99,66.07,1.0,57.14,0.43,0.53,0.29,4.43,5.44,1.71,3,0.21,0,0.0,0.64,0.0,0,0.0,0.01,0,0.0,4,0.29,50.0,0.0,0.0,0.43,33.33,0.29,25.0,0.14,50.0,0.0,0.5700000000000001,62.5,3.71,55.77,0.14,0.71,0.07,15.42,0.36,1.3599999999999999,25.48,78.71,9.35,66.41,3.35,97.87,21.7,82.57,3.35,59.57,21.28,40.32,0.0,0.21,0.0,0.0,0.0,0.0,0.07,5.42,68.42,0.5700000000000001,0.0,0.36,20.0,0.0,0.07,5.28,71.62,84.96,9.49,0,,0,,0,0.0,0.0,0.0,,,0.36,,1.0,0.0,0.0,0.0,0.0,0,0.0
V. Bütler,Valentino  Bütler,-734087,Buochs,Buochs,https://cdn5.wyscout.com/photos/team/public/g11549_120x120.png,1. Liga Classic,"LCB, LB, LCB3",LCB,65,LB,22,LCB3,11,24.0,2001-06-04,0,,13,1260,0,1.43,1,0.0,16.36,61.57,Switzerland,['Switzerland'],unknown,0,0,False,11.36,6.29,72.73,4.93,59.42,0.5700000000000001,0.66,0.93,6.21,7.23,1.0,4,0.29,0,0.0,0.5700000000000001,0.0,0,0.0,0.1,0,0.0,11,0.79,36.36,0.0,0.07,0.07,100.0,0.0,0.0,0.07,100.0,0.0,0.79,18.18,2.71,47.37,0.86,0.71,0.14,13.14,0.43,2.21,27.0,75.66,15.14,63.21,1.8599999999999999,100.0,21.5,83.72,5.43,43.42,22.89,35.99,0.0,0.0,0.0,0.0,0.07,100.0,0.0,3.5,38.78,0.5700000000000001,25.0,0.14,50.0,0.0,0.07,6.43,55.56,92.37,8.43,0,,0,,0,0.0,0.0,0.0,,,1.07,,4.93,0.0,0.0,0.0,0.0,0,0.0
F. Ivanaj,Federico Ivanaj,-151258,Taverne,Taverne,https://cdn5.wyscout.com/photos/team/public/g15792_120x120.png,1. Liga Classic,"CB, RCB",CB,85,RCB,12,,0,19.0,2006-02-05,0,,13,1255,2,0.58,1,0.47000000000000003,18.29,72.55,Italy,['Italy'],,0,0,False,12.98,8.46,83.05,5.09,64.79,0.07,0.1,0.65,5.88,8.45,0.29,1,0.07,0,0.0,0.79,0.14,2,0.14,0.04,1,0.07,4,0.29,50.0,50.0,0.07,0.22,33.33,0.14,50.0,0.07,0.0,0.07,0.86,66.67,2.94,60.98,0.79,1.22,0.14,38.37,0.22,0.86,56.73,88.5,23.24,79.94,2.22,90.32,49.77,92.22,6.8100000000000005,62.11,20.83,36.25,0.03,0.22,0.0,0.0,0.0,0.0,0.07,5.24,73.97,0.22,33.33,0.36,60.0,0.0,0.07,10.76,74.0,96.56,27.11,0,,0,,0,0.0,0.0,0.0,,,1.22,,5.09,0.0,0.0,0.0,0.0,0,0.0
F. Hornung,Felix Hornung,408261,Solothurn,Solothurn,https://cdn5.wyscout.com/photos/team/public/g2955_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,29.0,1996-10-10,125000,,13,1250,0,0.0,0,0.0,1.08,73.33,Switzerland,['Switzerland'],right,184,81,False,1.22,0.14,50.0,0.58,75.0,0.0,0.0,0.0,1.15,1.5899999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,66.67,0.0,0.0,0.0,15.91,0.22,0.07,25.78,84.64,13.32,73.51,0.0,0.0,18.07,98.41,7.7,52.34,27.65,41.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6600000000000001,34.78,0.07,0.0,0.07,0.0,0.0,0.0,5.62,58.97,96.03,10.87,16,1.15,66,4.75,2,75.76,20.5,1.48,4.5,0.324,0.0,1.87,0.58,,,,0.0,0,0.0
D. Spaqi,Dominik Spaqi,-416857,Prishtina Bern,Prishtina Bern,https://cdn5.wyscout.com/photos/team/public/g36681_120x120.png,1. Liga Classic,LCB,LCB,88,,0,,0,22.0,2003-01-10,0,2026-06-30,13,1245,0,0.24,0,0.12,17.64,57.38,Switzerland,['Switzerland'],unknown,0,0,False,10.92,7.45,64.08,2.96,63.41,0.36,0.48,1.16,5.78,7.64,1.81,3,0.22,0,0.0,1.73,0.0,0,0.0,0.02,0,0.0,8,0.58,25.0,0.0,0.0,0.43,33.33,0.36,40.0,0.07,0.0,0.22,1.73,83.33,5.28,50.68,0.65,1.9500000000000002,0.36,31.73,0.43,1.08,47.93,84.16,19.59,71.96,2.1,96.55,41.35,88.81,6.22,56.98,22.38,45.32,0.01,0.14,0.0,0.0,0.0,0.0,0.07,6.87,64.21,0.9400000000000001,23.08,0.14,50.0,0.36,0.07,9.47,67.18,93.6,21.47,0,,0,,0,0.0,0.0,0.0,,,1.08,,2.96,0.0,0.0,0.0,0.0,0,0.0
E. Vogel,Elia Vogel,-153270,Buochs,Buochs,https://cdn5.wyscout.com/photos/team/public/g11549_120x120.png,1. Liga Classic,"RDMF, LDMF, RCMF3",RDMF,37,LDMF,27,RCMF3,10,21.0,2004-06-01,0,,13,1245,0,0.42,2,0.75,17.93,47.98,Switzerland,['Switzerland'],right,0,0,False,7.8100000000000005,7.8100000000000005,62.04,3.4,31.91,0.0,0.0,0.22,2.96,3.43,1.01,2,0.14,0,0.0,0.43,0.0,0,0.0,0.03,0,0.0,10,0.72,10.0,0.0,0.14,0.72,0.0,0.14,0.0,0.58,0.0,0.0,0.9400000000000001,38.46,4.05,32.14,0.9400000000000001,0.36,0.0,10.34,0.22,0.87,18.65,71.71,7.37,64.71,1.9500000000000002,92.59,16.77,77.16,1.16,37.5,17.55,23.2,0.05,0.29,0.0,0.0,0.07,0.0,0.22,2.67,64.86,0.72,30.0,0.07,0.0,0.43,0.0,3.69,60.78,75.0,6.07,0,,0,,0,0.0,0.0,0.0,,,0.07,,3.4,0.0,0.0,0.0,0.0,0,0.0
Y. Arezki,Yanis  Arezki,-468995,Stade Payerne,Stade Payerne,https://cdn5.wyscout.com/photos/team/public/g29189_120x120.png,1. Liga Classic,"LCMF, LDMF",LCMF,57,LDMF,25,,0,28.0,1997-02-17,0,,13,1235,0,0.13,1,0.65,14.43,57.07,France,['France'],unknown,0,0,False,9.55,7.43,67.65,2.26,54.84,0.15,0.18,0.22,4.37,5.54,1.75,3,0.22,0,0.0,0.73,0.0,0,0.0,0.01,0,0.0,3,0.22,33.33,0.0,0.07,0.44,66.67,0.22,66.67,0.22,66.67,0.07,0.51,71.43,2.84,38.46,0.44,0.36,0.0,28.71,0.44,0.29,46.2,82.33,18.0,68.83,5.39,95.95,39.43,87.43,6.34,51.72,19.41,38.12,0.05,0.44,0.0,0.0,0.0,0.0,0.07,8.09,61.26,1.6800000000000002,39.13,1.17,31.25,0.58,0.29,7.36,79.21,90.0,18.22,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.26,0.15,0.0,0.0,0.29,0,0.0
G. Monti,Gilles Monti,-376798,La Chaux-de-Fonds,La Chaux-de-Fonds,https://cdn5.wyscout.com/photos/team/public/1150_120x120.png,1. Liga Classic,GK,GK,100,,0,,0,25.0,2000-02-28,0,,13,1234,0,0.0,0,0.30000000000000004,0.88,75.0,Switzerland,"['Switzerland', 'France']",right,189,0,False,1.75,0.15,50.0,0.29,75.0,0.0,0.0,0.0,1.6800000000000002,1.9,0.0,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.15,100.0,0.0,0.0,0.0,11.6,0.15,0.22,22.61,83.87,12.25,71.43,0.0,0.0,14.37,97.97,8.24,59.29,30.9,47.29,0.02,0.07,0.0,0.0,0.0,0.0,0.07,2.55,45.71,0.44,0.0,0.15,50.0,0.07,0.0,5.98,69.51,98.37,8.97,24,1.75,81,5.91,3,70.37,23.33,1.7000000000000002,-0.67,-0.049,0.0,1.31,0.29,,,,0.0,0,0.0
Massimo Nardo,Massimo Nardo,-416067,Höngg,Höngg,https://cdn5.wyscout.com/photos/team/public/g11015_120x120.png,1. Liga Classic,"RCMF, RDMF, DMF",RCMF,26,RDMF,25,DMF,15,29.0,1996-06-16,0,,13,1227,0,0.13,1,0.44,12.03,51.22,Switzerland,"['Switzerland', 'Italy']",both,178,0,False,11.81,5.79,54.43,1.83,40.0,0.07,0.1,0.51,8.58,11.66,0.9500000000000001,3,0.22,0,0.0,0.88,0.0,0,0.0,0.01,0,0.0,6,0.44,33.33,0.0,0.07,0.73,50.0,0.15,0.0,0.59,62.5,0.29,0.51,71.43,2.64,41.67,0.0,0.37,0.0,29.34,0.29,0.81,49.36,82.47,16.58,66.81,9.76,92.48,45.18,86.36,3.52,39.58,17.97,32.66,0.03,0.29,0.07,0.0,0.0,0.0,0.07,5.65,64.94,1.76,33.33,0.44,33.33,0.29,0.29,6.89,67.02,90.41,16.06,0,,0,,0,0.0,0.0,0.0,,,2.05,,1.83,0.07,0.0,0.0,0.07,0,0.0
J. Sabbatini,Jonathan Maximiliano Sabbatini Perfecto,173077,Taverne,Taverne,https://cdn5.wyscout.com/photos/team/public/g15792_120x120.png,1. Liga Classic,"RCMF, CF, LCMF",RCMF,29,CF,19,LCMF,18,37.0,1988-03-31,100000,,13,1220,3,2.61,2,2.24,17.7,51.25,Uruguay,"['Uruguay', 'Italy']",right,175,72,False,9.3,6.12,68.67,3.61,59.18,0.66,0.97,0.0,4.43,6.47,1.33,1,0.07,0,0.0,1.33,0.22,3,0.22,0.19,1,0.07,19,1.4,36.84,15.789,0.15,1.11,33.33,0.59,25.0,0.44,50.0,0.44,0.81,45.45,5.75,34.62,2.58,1.25,0.15,35.34,1.62,1.18,48.17,81.32,12.17,64.24,11.36,91.56,43.16,85.3,3.91,50.94,17.02,40.81,0.17,1.03,0.07,0.0,0.15,50.0,0.52,6.12,65.06,2.95,47.5,0.44,16.67,1.03,0.44,6.79,59.78,87.16,16.08,0,,0,,0,0.0,0.0,0.0,,,0.59,,3.61,0.0,0.0,0.0,0.0,0,0.0
