Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Obregón,Juan Carlos Obregón,-46522,Westchester SC,Westchester SC,https://cdn5.wyscout.com/photos/team/public/g-23289_120x120.png,USL League 1,CF,CF,95,,0,,0,27.0,1997-10-29,150000,,30,3005,18,18.95,1,1.94,19.53,37.42,United States,"['United States', 'Honduras']",right,175,68,False,2.1,1.92,53.13,4.82,33.54,0.0,0.0,0.18,1.08,1.6600000000000001,1.2,8,0.24,0,0.0,2.46,0.54,13,0.39,0.5700000000000001,3,0.09,105,3.14,43.81,17.143,0.03,0.66,31.82,0.21,14.29,0.45,40.0,0.06,2.04,39.71,9.52,37.74,3.35,0.81,0.12,13.12,1.56,3.14,17.49,78.77,3.38,60.18,5.6,91.44,15.27,83.73,1.62,50.0,17.5,35.29,0.06,0.6000000000000001,0.09,0.0,0.12,50.0,0.21,1.77,50.85,1.08,50.0,0.27,44.44,0.54,0.15,1.62,79.63,76.88,5.18,0,,0,,0,0.0,0.0,0.0,,,0.36,,4.82,0.5700000000000001,0.33,36.36,0.12,8,62.5
B. Evans,Brecc Evans,498657,Naples,Naples,https://cdn5.wyscout.com/photos/team/public/g-22288_120x120.png,USL League 1,LCB,LCB,85,,0,,0,26.0,1999-09-06,175000,,30,2998,1,0.78,0,0.73,8.86,59.66,United States,['United States'],,193,0,False,7.87,3.75,70.4,3.66,53.28,0.30000000000000004,0.38,0.33,4.92,6.21,0.33,5,0.15,0,0.0,0.09,0.03,1,0.03,0.02,1,0.03,7,0.21,42.86,14.286,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.33,27.27,0.42,0.6000000000000001,0.0,25.61,0.24,0.27,40.29,82.19,21.31,72.25,1.5899999999999999,94.34,31.31,90.99,8.95,51.68,24.62,43.17,0.02,0.12,0.0,0.0,0.0,0.0,0.03,6.36,62.26,0.6000000000000001,20.0,0.39,23.08,0.27,0.0,10.03,71.26,94.8,14.44,0,,0,,0,0.0,0.0,0.0,,,1.11,,3.66,0.0,0.0,0.0,0.0,0,0.0
C. Dimick,Clay Dimick,-128293,Charlotte Independence,Charlotte Independence,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,"RB, RCB3",RB,73,RCB3,22,,0,30.0,1994-12-07,175000,,30,2990,1,1.21,3,3.15,6.98,49.57,United States,['United States'],right,183,75,False,4.09,3.16,60.95,2.05,44.12,0.09,0.11,0.24,2.08,2.61,0.45,3,0.09,0,0.0,1.2,0.03,1,0.03,0.04,1,0.03,12,0.36,25.0,8.333,0.09,2.32,45.45,0.06,0.0,2.2,46.58,0.24,0.15,40.0,1.02,35.29,1.32,0.5700000000000001,0.0,25.92,2.32,0.30000000000000004,32.42,85.24,10.32,76.68,6.17,96.1,26.94,91.84,3.22,57.01,19.25,39.48,0.09,0.72,0.0,0.0,0.03,0.0,0.45,3.25,67.59,2.08,55.07,0.12,0.0,0.51,0.99,6.47,78.14,85.6,10.87,0,,0,,0,0.0,0.0,0.0,,,0.51,,2.05,0.03,0.03,100.0,0.0,0,0.0
N. Spielman,Nicholas Spielman,484119,Charlotte Independence,Charlotte Independence,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,"RCB, CB, LCB",RCB,58,CB,16,LCB,15,29.0,1996-08-02,0,,30,2986,1,1.6800000000000002,0,0.27,8.32,60.51,United States,['United States'],,0,0,False,5.73,3.35,66.67,3.1,63.11,0.06,0.08,0.5700000000000001,3.44,4.32,0.66,8,0.24,0,0.0,0.27,0.03,0,0.0,0.05,0,0.0,11,0.33,27.27,9.091,0.0,0.12,50.0,0.03,100.0,0.09,33.33,0.0,0.21,57.14,0.66,36.36,0.54,1.05,0.0,28.97,0.54,0.21,42.26,91.23,16.91,83.6,1.81,98.33,37.13,95.05,5.0,63.86,21.04,40.44,0.01,0.06,0.03,0.0,0.0,0.0,0.0,4.43,69.39,0.51,29.41,0.33,36.36,0.15,0.06,6.8100000000000005,80.09,97.06,19.5,0,,0,,0,0.0,0.0,0.0,,,0.99,,3.1,0.03,0.0,0.0,0.0,1,100.0
B. Fricke,Brandon Fricke,297266,Greenville Triumph,Greenville Triumph,https://cdn5.wyscout.com/photos/team/public/g-9622_120x120.png,USL League 1,"LCB, RCB, CB",LCB,57,RCB,25,CB,17,33.0,1992-03-22,150000,,30,2976,0,0.99,0,0.05,13.64,60.75,United States,['United States'],,185,82,False,8.53,5.11,72.19,6.17,57.35,0.27,0.4,0.5700000000000001,4.57,6.68,0.67,6,0.18,0,0.0,0.06,0.0,0,0.0,0.03,0,0.0,8,0.24,25.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,26.32,0.64,0.6000000000000001,0.03,30.54,0.21,0.27,46.63,87.29,17.03,74.25,2.24,97.3,40.58,92.25,6.02,54.27,22.81,40.14,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.66,61.04,0.45,26.67,0.24,37.5,0.21,0.0,7.41,64.9,95.43,24.5,0,,0,,0,0.0,0.0,0.0,,,1.8399999999999999,,6.17,0.0,0.0,0.0,0.0,0,0.0
S. Fitch,Simon Fitch,476978,Richmond Kickers,Richmond Kickers,https://cdn5.wyscout.com/photos/team/public/g3196_120x120.png,USL League 1,"RB, RWB",RB,82,RWB,10,,0,26.0,1999-02-26,175000,,30,2927,0,1.52,5,2.65,10.64,55.49,United States,['United States'],,185,79,False,6.03,5.38,61.14,1.6,57.69,0.06,0.08,0.22,2.68,3.48,0.74,3,0.09,0,0.0,1.78,0.0,0,0.0,0.05,0,0.0,13,0.4,30.77,0.0,0.15,2.55,37.35,0.06,50.0,2.49,37.04,0.31,1.05,64.71,2.71,39.77,1.17,1.17,0.25,23.34,2.03,0.43,33.42,78.66,14.36,71.09,5.6,96.7,26.97,88.14,4.03,41.22,21.23,40.07,0.08,0.86,0.0,0.03,0.03,100.0,0.34,5.44,58.76,3.14,45.1,0.31,30.0,0.74,0.9500000000000001,8.36,74.63,78.97,8.92,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.6,0.03,0.0,0.0,0.74,0,0.0
J. Crull,Jacob Crull,-185874,Forward Madison,Forward Madison,https://cdn5.wyscout.com/photos/team/public/g-9621_120x120.png,USL League 1,"LCB3, LB",LCB3,78,LB,15,,0,28.0,1997-10-03,175000,,29,2908,1,2.01,1,2.4,12.78,62.23,United States,['United States'],left,185,77,False,8.29,5.48,72.32,3.62,62.39,0.06,0.09,0.46,4.27,6.53,0.5,2,0.06,0,0.0,0.96,0.03,1,0.03,0.06,0,0.0,22,0.68,13.64,4.545,0.03,1.76,35.09,1.67,35.19,0.09,33.33,0.12,0.62,40.0,2.04,48.48,0.62,1.3599999999999999,0.12,40.85,1.3,0.56,54.07,81.8,25.75,73.68,4.86,94.9,45.4,89.5,7.06,42.98,20.8,39.06,0.07,0.5,0.03,0.0,0.0,0.0,0.15,7.64,66.4,1.98,43.75,0.31,20.0,0.34,0.56,10.93,69.69,91.5,17.49,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.62,0.31,0.06,50.0,0.71,0,0.0
C. Evans,Connor Evans,522139,Greenville Triumph,Greenville Triumph,https://cdn5.wyscout.com/photos/team/public/g-9622_120x120.png,USL League 1,"RB, RDMF",RB,25,RDMF,24,,0,23.0,2002-03-24,0,,30,2907,2,3.5300000000000002,5,6.44,15.05,49.79,United States,['United States'],,175,70,False,6.63,5.7,65.22,2.35,27.63,0.19,0.27,0.28,2.7199999999999998,3.96,0.84,7,0.22,0,0.0,2.29,0.06,2,0.06,0.11,0,0.0,45,1.3900000000000001,13.33,4.444,0.15,2.48,42.5,0.53,41.18,1.9500000000000002,42.86,0.5,1.8900000000000001,54.1,5.26,45.29,1.3900000000000001,1.3,0.09,22.35,0.96,1.46,32.41,72.21,12.07,59.49,6.16,92.46,22.82,81.95,7.37,51.68,22.97,39.71,0.2,1.83,0.06,0.0,0.06,50.0,0.34,7.43,60.83,3.62,41.03,0.9,24.14,0.68,1.15,7.59,77.96,77.04,9.85,0,,0,,0,0.0,0.0,0.0,,,0.37,,2.35,2.5700000000000003,0.15,0.0,2.9699999999999998,0,0.0
N. Messer,Nathan Igor Messer,-421702,Portland Hearts of Pine,Portland Hearts of Pine,https://cdn5.wyscout.com/photos/team/public/g-22932_120x120.png,USL League 1,LB,LB,93,,0,,0,24.0,2001-07-06,0,,30,2890,6,3.45,4,5.7,16.51,52.64,England,"['England', 'France']",left,183,77,False,8.25,5.23,61.9,3.43,48.18,0.34,0.49,0.19,4.67,6.64,0.84,7,0.22,0,0.0,3.83,0.19,6,0.19,0.11,0,0.0,34,1.06,29.41,17.647,0.12,5.17,37.35,4.8,37.66,0.37,33.33,0.78,2.87,55.43,5.89,47.62,1.46,3.05,0.31,28.46,1.34,0.75,40.98,74.16,16.51,68.49,5.98,94.27,30.43,85.47,5.57,45.25,20.73,37.86,0.18,1.25,0.06,0.03,0.0,0.0,0.47000000000000003,5.26,63.31,4.58,46.26,0.22,28.57,0.4,1.99,10.09,72.22,68.35,11.12,0,,0,,0,0.0,0.0,0.0,,,0.34,,3.43,0.6900000000000001,0.22,42.86,1.62,0,0.0
E. Delgado,Edward Delgado,445269,Naples,Naples,https://cdn5.wyscout.com/photos/team/public/g-22288_120x120.png,USL League 1,GK,GK,100,,0,,0,27.0,1998-01-23,150000,2025-11-30,29,2886,0,0.0,0,0.0,0.53,70.59,United States,['United States'],,190,0,False,1.09,0.06,50.0,0.34,81.82,0.03,0.04,0.0,1.03,1.3,0.03,4,0.12,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.36,0.22,0.12,14.16,89.43,6.74,80.56,0.03,100.0,10.42,99.1,3.71,63.03,28.06,46.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,41.94,0.06,0.0,0.09,66.67,0.0,0.0,2.7800000000000002,74.16,97.92,5.99,30,0.9400000000000001,89,2.7800000000000002,8,66.29,23.63,0.74,-6.37,-0.199,0.0,1.03,0.34,,,,0.0,0,0.0
