Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Nõmm,Ott Nõmm,-248712,Pärnu JK Vaprus,Pärnu JK Vaprus,https://cdn5.wyscout.com/photos/team/public/g38284_120x120.png,A.LeCoq Premium Liiga,GK,GK,100,,0,,0,20.0,2004-10-23,0,,26,2531,0,0.0,0,0.03,0.55,80.0,Estonia,['Estonia'],right,0,0,False,1.63,0.07,100.0,0.37,70.0,0.0,0.0,0.0,1.55,1.9300000000000002,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.11,100.0,0.0,0.0,0.0,14.49,0.22,0.0,21.82,82.2,12.9,72.78,0.0,0.0,11.94,97.83,9.87,63.3,34.88,46.38,0.0,0.04,0.0,0.0,0.0,0.0,0.04,1.77,45.83,0.18,40.0,0.11,0.0,0.07,0.0,7.03,65.79,95.71,8.62,33,1.22,114,4.22,7,71.05,32.24,1.19,-0.76,-0.028,0.0,1.29,0.37,,,,0.0,0,0.0
K. Nõmm,Karl-Romet Nõmm,286998,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,GK,GK,100,,0,,0,27.0,1998-01-04,0,,26,2515,0,0.0,0,0.0,0.62,75.0,Estonia,['Estonia'],right,199,89,False,1.32,0.0,0.0,0.39,90.0,0.0,0.0,0.0,1.32,1.35,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,75.0,0.0,0.0,0.0,10.01,0.16,0.12,17.77,82.53,8.81,68.28,0.0,0.0,10.94,96.1,6.71,61.27,34.24,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,45.61,0.12,0.0,0.04,0.0,0.0,0.0,4.77,74.8,96.8,8.5,51,1.98,178,6.91,3,71.35,55.9,2.17,4.9,0.19,0.0,2.1,0.39,,,,0.0,0,0.0
R. Siht,Rommi Siht,-347417,Nõmme Kalju,Nõmme Kalju,https://cdn5.wyscout.com/photos/team/public/2924_120x120.png,A.LeCoq Premium Liiga,"RB5, RCMF3",RB5,18,RCMF3,15,,0,19.0,2006-06-30,0,,26,2485,9,5.68,1,1.06,14.38,52.39,Estonia,['Estonia'],unknown,0,0,False,8.04,6.41,62.71,3.26,56.67,0.04,0.05,0.25,3.98,5.59,0.6900000000000001,4,0.14,0,0.0,1.4100000000000001,0.33,9,0.33,0.21,2,0.07,49,1.77,40.82,18.367,0.04,0.65,33.33,0.07,100.0,0.58,25.0,0.07,0.47000000000000003,76.92,2.61,34.72,1.96,0.6900000000000001,0.0,23.76,0.91,0.58,33.79,83.28,11.59,73.13,6.27,92.49,28.58,87.71,4.5600000000000005,62.7,18.97,34.66,0.04,0.58,0.0,0.04,0.14,75.0,0.14,6.08,69.64,1.63,53.33,0.51,50.0,0.8,0.22,6.19,77.78,87.3,11.12,0,,0,,0,0.0,0.0,0.0,,,0.51,,3.26,0.07,0.04,100.0,0.0,0,0.0
A. Iljin,Aleksander Iljin,-144255,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,"LAMF, LW",LAMF,66,LW,27,,0,23.0,2002-09-05,0,,27,2445,5,3.75,0,3.0,15.64,51.47,Estonia,['Estonia'],,0,0,False,7.78,5.52,64.58,2.3,45.0,0.42,0.45,0.23,3.79,4.01,0.73,1,0.04,0,0.0,3.64,0.18,5,0.19,0.14,0,0.0,60,2.3,43.33,8.333,0.0,2.34,39.34,1.8,38.3,0.5,38.46,0.42,3.1,55.56,5.83,42.76,1.6099999999999999,1.46,0.23,19.09,1.92,0.65,28.79,71.24,9.54,55.42,5.86,88.89,23.3,78.29,3.26,44.71,18.26,34.4,0.11,1.26,0.08,0.0,0.04,0.0,0.27,4.02,60.0,3.1,40.74,0.34,33.33,0.84,0.92,5.9,62.34,75.81,8.24,0,,0,,0,0.0,0.0,0.0,,,0.19,,2.3,1.15,0.11,66.67,3.68,0,0.0
I. Baturins,Ivans Baturins,335240,Harju JK,Harju JK,https://cdn5.wyscout.com/photos/team/public/g33677_120x120.png,A.LeCoq Premium Liiga,GK,GK,100,,0,,0,28.0,1997-06-25,175000,,25,2431,0,0.0,0,0.0,0.78,85.71,Latvia,['Latvia'],right,192,77,False,1.7000000000000002,0.07,100.0,0.44,100.0,0.04,0.04,0.0,1.5899999999999999,1.87,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,11.66,0.26,0.07,22.99,81.96,11.51,68.81,0.0,0.0,15.48,94.98,7.48,55.45,30.3,46.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,44.9,0.07,0.0,0.30000000000000004,75.0,0.04,0.0,5.11,59.42,95.33,11.11,52,1.9300000000000002,149,5.52,1,65.1,40.64,1.5,-11.36,-0.421,0.0,1.96,0.44,,,,0.0,0,0.0
P. Veelma,Patrick Genro Veelma,-97065,Tartu Tammeka,Tartu Tammeka,https://cdn5.wyscout.com/photos/team/public/3529_120x120.png,A.LeCoq Premium Liiga,"LB, RW, RAMF",LB,36,RW,28,RAMF,10,23.0,2002-04-15,175000,,26,2428,4,3.33,1,2.99,17.72,50.21,Estonia,['Estonia'],,0,0,False,8.01,6.75,57.14,1.26,44.12,0.15,0.17,0.15,4.0,4.57,0.89,5,0.19,0,0.0,2.34,0.15,2,0.07,0.12,0,0.0,27,1.0,29.63,14.815,0.04,1.67,28.89,0.7000000000000001,36.84,0.96,23.08,0.22,2.8200000000000003,55.26,7.45,46.77,1.26,1.63,0.22,17.5,0.8200000000000001,1.96,28.13,69.3,13.9,61.6,3.37,91.21,20.65,78.64,5.86,47.47,19.65,31.9,0.11,0.74,0.04,0.04,0.0,0.0,0.30000000000000004,4.78,59.69,2.52,52.94,0.52,35.71,1.07,0.48,8.01,63.89,74.6,7.01,0,,0,,0,0.0,0.0,0.0,,,0.19,,1.26,0.78,0.19,0.0,1.5899999999999999,2,100.0
R. Sappinen,Rauno Sappinen,212668,Flora,Flora,https://cdn5.wyscout.com/photos/team/public/897_120x120.png,A.LeCoq Premium Liiga,CF,CF,98,,0,,0,29.0,1996-01-23,0,,26,2427,13,17.06,1,1.32,25.11,30.87,Estonia,['Estonia'],right,177,73,False,2.63,2.93,53.16,2.52,29.41,0.07,0.11,0.04,1.0,1.46,1.37,1,0.04,0,0.0,2.26,0.48,13,0.48,0.63,2,0.07,64,2.37,48.44,20.313,0.04,0.8200000000000001,18.18,0.30000000000000004,50.0,0.37,0.0,0.19,1.5899999999999999,58.14,14.46,25.9,6.16,1.11,0.26,13.79,1.11,1.4100000000000001,23.7,78.09,5.01,62.22,5.49,87.84,22.1,81.71,0.78,38.1,15.18,21.51,0.05,0.59,0.07,0.0,0.15,25.0,0.26,2.11,70.18,1.78,60.42,0.19,20.0,1.67,0.15,1.9300000000000002,80.77,79.49,7.23,0,,0,,0,0.0,0.0,0.0,,,0.04,,2.52,0.04,0.0,0.0,0.0,3,0.0
T. Usta,Taaniel Usta,-124319,Tallinna Kalev,Tallinna Kalev,https://cdn5.wyscout.com/photos/team/public/g3380_120x120.png,A.LeCoq Premium Liiga,"CF, LAMF",CF,71,LAMF,10,,0,22.0,2003-02-17,0,,27,2423,12,13.52,1,0.59,22.06,40.07,Estonia,['Estonia'],right,187,78,False,5.05,4.31,63.79,5.68,39.22,0.04,0.04,0.22,2.27,2.59,0.93,3,0.11,0,0.0,2.45,0.45,8,0.30000000000000004,0.5,1,0.04,73,2.71,46.58,16.438,0.04,1.0,25.93,0.45,33.33,0.56,20.0,0.11,1.82,48.98,7.58,29.9,3.12,0.97,0.22,9.69,2.08,1.23,15.86,62.06,4.61,45.97,3.9699999999999998,85.98,12.74,69.39,2.12,35.09,19.93,30.0,0.02,0.45,0.04,0.07,0.11,33.33,0.15,2.6,45.71,1.45,35.9,0.33,22.22,0.48,0.26,2.49,56.72,58.2,4.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.68,0.0,0.0,0.0,0.0,5,80.0
M. Pajunurm,Märten Pajunurm,180160,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,LCB,LCB,87,,0,,0,32.0,1993-04-29,100000,,25,2422,7,6.98,1,0.34,11.59,60.26,Estonia,['Estonia'],,187,80,False,10.37,5.54,75.17,3.08,44.58,0.41000000000000003,0.43,1.23,5.8,6.09,0.67,4,0.15,0,0.0,0.63,0.26,1,0.04,0.26,0,0.0,17,0.63,52.94,41.176,0.04,0.33,44.44,0.26,42.86,0.04,100.0,0.0,0.22,66.67,0.74,55.0,0.85,0.48,0.0,18.88,0.11,0.26,31.29,75.42,16.16,64.14,1.97,92.45,21.52,86.18,9.44,51.97,24.48,41.65,0.01,0.22,0.04,0.0,0.0,0.0,0.15,6.21,57.49,0.78,38.1,0.56,46.67,0.26,0.19,7.8,62.38,89.13,10.26,0,,0,,0,0.0,0.0,0.0,,,1.34,,3.08,0.26,0.15,25.0,0.11,8,75.0
J. Saliste,Joseph Saliste,199570,Paide,Paide,https://cdn5.wyscout.com/photos/team/public/3627_120x120.png,A.LeCoq Premium Liiga,LB,LB,88,,0,,0,30.0,1995-04-10,0,,26,2419,0,0.2,3,3.2800000000000002,13.62,51.64,Estonia,['Estonia'],left,174,68,False,8.26,5.66,67.11,1.8599999999999999,48.0,0.07,0.13,0.11,4.39,7.52,0.71,2,0.07,1,0.04,2.05,0.0,0,0.0,0.01,0,0.0,6,0.22,16.67,0.0,0.11,3.79,42.16,3.68,42.42,0.04,0.0,0.48,0.8200000000000001,50.0,3.5,39.36,1.49,1.9,0.37,48.07,2.05,0.89,64.55,84.44,26.64,79.33,10.57,94.72,54.58,91.14,6.18,51.2,20.06,33.2,0.12,0.93,0.07,0.0,0.04,0.0,0.33,11.46,78.9,4.39,53.39,0.56,26.67,1.0,1.6,13.65,80.38,87.45,19.87,0,,0,,0,0.0,0.0,0.0,,,2.83,,1.8599999999999999,0.07,0.0,0.0,0.67,0,0.0
