Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Watt,Evan Watt,-359853,Old Dominion Monarchs,Old Dominion Monarchs,https://cdn5.wyscout.com/photos/team/public/g27626_120x120.png,NCAA D1 Non-conference matches,RCB,RCB,96,,0,,0,,,0,,10,1147,0,0.62,0,0.79,9.81,58.4,England,['England'],unknown,0,0,False,5.65,2.67,52.94,5.96,56.58,0.08,0.09,0.16,4.16,4.88,0.24,1,0.08,0,0.0,0.71,0.0,0,0.0,0.05,0,0.0,15,1.18,46.67,0.0,0.0,0.24,33.33,0.0,0.0,0.24,33.33,0.0,0.08,100.0,0.47000000000000003,83.33,0.86,0.71,0.0,16.79,0.16,0.63,29.66,76.46,15.61,64.32,0.86,100.0,21.66,85.14,7.77,53.54,24.65,41.46,0.06,0.86,0.0,0.0,0.0,0.0,0.08,6.43,53.66,1.18,20.0,0.31,25.0,0.39,0.08,8.55,66.06,92.65,10.67,0,,0,,0,0.0,0.0,0.0,,,0.63,,5.96,0.47000000000000003,0.47000000000000003,50.0,0.0,0,0
M. Statham,Michael Statham,-353142,Old Dominion Monarchs,Old Dominion Monarchs,https://cdn5.wyscout.com/photos/team/public/g27626_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,10,1147,0,0.0,0,0.0,0.55,100.0,England,['England'],unknown,195,86,False,1.4100000000000001,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.4100000000000001,1.6600000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,0.08,0.08,16.4,79.9,11.85,75.5,0.0,0.0,6.36,97.53,10.04,68.75,38.2,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,60.29,0.47000000000000003,50.0,0.08,100.0,0.24,0.0,7.06,86.67,96.15,4.08,15,1.18,58,4.55,1,74.14,13.47,1.06,-1.53,-0.12,0.0,1.49,0.47000000000000003,,,,0.0,0,0
T. Dunne,Teagan Dunne,-278844,Old Dominion Monarchs,Old Dominion Monarchs,https://cdn5.wyscout.com/photos/team/public/g27626_120x120.png,NCAA D1 Non-conference matches,LB,LB,96,,0,,0,,,0,,10,1147,0,0.01,2,0.53,12.95,60.61,United States,['United States'],unknown,181,66,False,9.57,7.3,68.82,2.75,51.43,0.31,0.37,0.08,4.24,4.97,1.18,1,0.08,0,0.0,0.55,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.16,0.55,71.43,0.55,71.43,0.0,0.0,0.08,0.24,66.67,1.65,47.62,0.0,0.31,0.0,14.59,0.47000000000000003,1.26,26.52,77.22,14.44,72.83,2.75,91.43,20.32,81.47,5.65,62.5,19.31,32.56,0.04,0.39,0.0,0.0,0.0,0.0,0.24,5.1,69.23,0.78,60.0,0.24,66.67,0.31,0.39,7.61,67.01,82.93,6.43,0,,0,,0,0.0,0.0,0.0,,,0.78,,2.75,0.0,0.0,0.0,0.0,0,0
P. Davis,Pierson Davis,-271015,Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,https://cdn5.wyscout.com/photos/team/public/g-2425_120x120.png,NCAA D1 Non-conference matches,"RCB3, LCB, LB",RCB3,54,LCB,19,LB,12,,,0,,10,1117,0,0.0,0,0.0,9.59,62.18,United States,['United States'],unknown,182,74,False,9.1,5.8,68.06,1.6099999999999999,45.0,0.56,0.58,0.24,4.59,4.72,0.56,0,0.0,0,0.0,0.24,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.24,100.0,0.97,58.33,0.0,0.32,0.08,18.61,0.4,0.48,29.49,82.51,12.17,68.21,2.42,100.0,25.46,88.61,3.87,45.83,22.39,36.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,65.38,0.32,0.0,0.24,0.0,0.0,0.0,5.88,53.42,93.83,13.05,0,,0,,0,0.0,0.0,0.0,,,1.53,,1.6099999999999999,0.0,0.0,0.0,0.0,0,0
M. Bonnaire,Marc Bonnaire,-215287,West Virginia Mountaineers,West Virginia Mountaineers,https://cdn5.wyscout.com/photos/team/public/g-2374_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,10,1113,0,0.0,0,0.0,0.5700000000000001,100.0,United States,['United States'],unknown,190,79,False,0.81,0.0,0.0,0.32,100.0,0.0,0.0,0.0,0.81,1.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,5.58,0.16,0.16,10.75,89.47,4.85,80.0,0.16,50.0,8.17,99.01,2.51,61.29,24.63,47.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,33.33,0.0,0.0,0.0,0.0,0.0,0.0,2.02,72.0,98.28,4.69,8,0.65,28,2.26,4,71.43,7.72,0.62,-0.28,-0.023,0.08,0.97,0.32,,,,0.0,0,0
L. Klaasen,Loed Klaasen,-167659,Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,https://cdn5.wyscout.com/photos/team/public/g-2425_120x120.png,NCAA D1 Non-conference matches,"RW, CF",RW,35,CF,34,,0,21.0,2004-03-29,0,,10,1110,3,2.08,2,1.81,32.68,41.44,Netherlands,['Netherlands'],,185,72,False,8.35,7.05,56.32,4.46,41.82,0.41000000000000003,0.42,0.32,3.9699999999999998,4.08,1.46,4,0.32,0,0.0,3.16,0.24,3,0.24,0.17,0,0.0,19,1.54,52.63,15.789,0.16,0.97,16.67,0.16,0.0,0.73,11.11,0.16,4.86,45.0,17.27,31.46,1.54,2.51,0.73,13.78,0.5700000000000001,3.24,22.54,74.46,7.78,60.42,4.78,96.61,20.27,80.0,1.38,29.41,17.49,35.53,0.15,1.1400000000000001,0.08,0.0,0.0,0.0,0.24,3.0,54.05,1.54,47.37,0.24,33.33,0.89,0.24,3.41,64.29,79.1,5.43,0,,0,,0,0.0,0.0,0.0,,,0.16,,4.46,2.19,0.08,100.0,2.03,0,0
S. Conlon,Sebastian Conlon,-127567,Kentucky Wildcats,Kentucky Wildcats,https://cdn5.wyscout.com/photos/team/public/g-2310_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,22.0,2003-06-02,0,,10,1109,0,0.0,0,0.0,0.89,90.91,United States,['United States'],,189,81,False,2.27,0.0,0.0,0.5700000000000001,100.0,0.0,0.0,0.0,2.27,3.62,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,11.61,0.08,0.24,20.05,92.31,10.39,85.16,0.0,0.0,14.61,99.44,5.44,73.13,28.28,48.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,81.63,100.0,8.6,9,0.73,41,3.33,5,78.05,10.83,0.88,1.83,0.149,0.0,1.46,0.5700000000000001,,,,0.0,0,0
N. Kovalcik,Nate Kovalcik,-739789,Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,https://cdn5.wyscout.com/photos/team/public/g-2425_120x120.png,NCAA D1 Non-conference matches,"LCB3, DMF",LCB3,49,DMF,21,,0,,,0,,10,1106,1,0.24,0,0.0,10.58,60.77,United States,['United States'],unknown,190,84,False,8.46,6.18,69.74,1.71,28.57,0.16,0.17,0.49,3.99,4.07,1.1400000000000001,3,0.24,0,0.0,0.5700000000000001,0.08,1,0.08,0.02,0,0.0,1,0.08,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,85.71,1.63,60.0,0.33,0.08,0.0,14.97,0.16,0.5700000000000001,24.74,76.64,12.37,65.13,1.71,90.48,19.12,85.11,5.61,47.83,20.59,29.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,53.49,0.0,0.0,0.08,100.0,0.08,0.0,6.43,55.7,89.72,8.71,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.71,0.0,0.0,0.0,0.0,0,0
J. Aktan,Jett Aktan,-601126,Old Dominion Monarchs,Old Dominion Monarchs,https://cdn5.wyscout.com/photos/team/public/g27626_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,96,,0,,0,,,0,,10,1087,0,0.15,0,0.04,12.25,63.51,United States,['United States'],unknown,195,81,False,8.45,3.81,82.61,5.71,56.52,0.17,0.19,0.25,5.13,5.85,0.5,0,0.0,0,0.0,0.08,0.0,0,0.0,0.01,0,0.0,2,0.17,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,50.0,0.25,0.25,0.0,15.23,0.25,0.58,28.56,83.77,12.59,69.74,1.4100000000000001,88.24,24.76,87.96,3.81,56.52,20.15,35.29,0.0,0.08,0.0,0.0,0.0,0.0,0.0,2.24,44.44,0.0,0.0,0.08,100.0,0.08,0.0,3.64,54.55,95.1,11.84,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,5.71,0.0,0.0,0.0,0.0,0,0
G. Degorce,Gwendal Degorce,-205199,UCF Knights,UCF Knights,https://cdn5.wyscout.com/photos/team/public/g-2356_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,99,,0,,0,,,0,,10,1081,0,0.15,0,0.02,6.41,59.74,France,['France'],,0,0,False,4.16,2.16,69.23,3.08,62.16,0.0,0.0,0.33,2.66,3.58,0.33,1,0.08,0,0.0,0.08,0.0,0,0.0,0.01,0,0.0,1,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.8300000000000001,30.0,0.08,1.25,0.17,50.54,0.17,0.25,66.11,91.56,27.39,83.59,3.66,100.0,60.69,95.2,5.41,50.77,20.89,34.2,0.0,0.08,0.17,0.08,0.0,0.0,0.0,6.49,75.64,0.42,20.0,0.17,50.0,0.08,0.0,12.74,79.74,97.87,31.3,0,,0,,0,0.0,0.0,0.0,,,3.08,,3.08,0.0,0.0,0.0,0.0,0,0
