Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Carlson,Dirk Carlson,387285,St. Pölten,St. Pölten,https://cdn5.wyscout.com/photos/team/public/1356_120x120.png,2. Liga,"LB, LWB",LB,73,LWB,19,,0,27,1998-04-01,250000,2026-06-30,13,1256,0,0.24,1,0.39,11.18,58.33,United States,"['United States', 'Luxembourg']",left,185,80,False,5.88,3.8,66.04,2.87,70.0,0.07,0.12,0.14,3.3,5.73,0.43,1,0.07,0,0.0,0.86,0.0,0,0.0,0.02,0,0.0,4,0.29,25.0,0.0,0.07,2.15,26.67,2.15,26.67,0.0,0.0,0.07,0.43,50.0,2.94,43.9,0.72,1.65,0.14,28.3,1.72,0.64,38.69,81.11,9.96,61.15,9.96,97.12,33.46,88.22,3.37,42.55,19.71,39.27,0.03,0.43,0.07,0.0,0.07,0.0,0.21,3.37,42.55,1.9300000000000002,40.74,0.07,0.0,0.43,0.43,6.09,63.53,81.94,11.11,0,,0,,0,0.0,0.0,0.0,,,1.15,,2.87,0.0,0.0,0.0,0.0,0,0
S. Nesler-Täubl,Simon Nesler-Täubl,-348619,Austria Salzburg,Austria Salzburg,https://cdn5.wyscout.com/photos/team/public/g13336_120x120.png,2. Liga,GK,GK,100,,0,,0,20,2005-01-04,0,2026-06-30,13,1256,0,0.0,0,0.0,1.0,71.43,Austria,['Austria'],left,187,0,True,2.29,0.29,75.0,0.5,71.43,0.0,0.0,0.0,2.08,3.22,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.0,0.0,0.0,0.0,17.41,0.29,0.21,28.59,86.22,13.76,73.96,0.0,0.0,20.78,96.55,7.8100000000000005,58.72,28.61,47.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,48.57,0.29,0.0,0.07,0.0,0.0,0.0,6.09,70.59,97.73,12.61,27,1.9300000000000002,67,4.8,2,59.7,24.18,1.73,-2.8200000000000003,-0.202,0.0,1.9300000000000002,0.5,,,,0.0,0,0
N. Szerencsi,Niklas Szerencsi,488424,First Vienna,First Vienna,https://cdn5.wyscout.com/photos/team/public/2104_120x120.png,2. Liga,RCB,RCB,84,,0,,0,25,2000-06-08,250000,2027-06-30,13,1254,0,1.72,0,0.0,13.35,64.52,Austria,['Austria'],,0,0,False,8.76,5.24,71.23,5.45,65.79,0.29,0.42,0.22,4.74,6.85,1.08,2,0.14,0,0.0,0.14,0.0,0,0.0,0.12,0,0.0,8,0.5700000000000001,12.5,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.07,100.0,0.65,66.67,0.65,0.5700000000000001,0.0,29.43,0.14,0.29,46.72,84.33,20.67,72.22,2.15,100.0,37.39,91.55,9.26,55.81,23.62,39.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,69.3,0.43,16.67,0.43,33.33,0.29,0.0,10.84,68.21,94.83,20.81,0,,0,,0,0.0,0.0,0.0,,,1.79,,5.45,0.07,0.0,0.0,0.0,0,0
J. Kirchmayr,Juri Kirchmayr,-286855,Floridsdorfer AC,Floridsdorfer AC,https://cdn5.wyscout.com/photos/team/public/g8722_120x120.png,2. Liga,GK,GK,100,,0,,0,19,2005-11-12,0,,13,1250,0,0.0,0,0.0,0.79,90.91,Austria,['Austria'],,0,0,True,1.22,0.07,0.0,0.65,100.0,0.0,0.0,0.0,1.22,1.62,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,16.56,0.22,0.07,22.9,76.73,11.38,57.59,0.0,0.0,13.75,95.29,9.14,48.82,36.36,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,34.78,0.07,0.0,0.0,0.0,0.0,0.0,6.05,61.9,95.57,11.38,8,0.58,32,2.3,7,75.0,8.63,0.62,0.63,0.045,0.0,1.44,0.65,,,,0.0,0,0
Flavio,Flavio Dos Santos Dias,334472,Floridsdorfer AC,Floridsdorfer AC,https://cdn5.wyscout.com/photos/team/public/g8722_120x120.png,2. Liga,"LWB, LB",LWB,57,LB,23,,0,29,1995-12-16,250000,,13,1250,1,2.29,1,2.2800000000000002,14.26,43.94,Cape Verde Islands,['Cape Verde Islands'],right,173,70,False,4.97,2.88,65.0,1.6600000000000001,30.43,0.07,0.1,0.0,3.02,4.0,0.22,1,0.07,0,0.0,3.02,0.07,1,0.07,0.16,0,0.0,15,1.08,20.0,6.667,0.07,2.16,46.67,1.94,44.44,0.07,100.0,0.22,3.24,48.89,8.06,41.07,1.8,1.44,0.22,19.87,2.23,1.58,30.38,79.62,7.63,63.21,9.65,95.52,25.92,85.0,2.3,50.0,18.11,33.91,0.16,0.9400000000000001,0.0,0.0,0.22,100.0,0.43,2.74,57.89,2.66,51.35,0.43,66.67,0.58,1.01,5.33,67.57,78.81,8.5,0,,0,,0,0.0,0.0,0.0,,,0.29,,1.6600000000000001,0.0,0.0,0.0,0.0,0,0
D. Schierl,Domenik Schierl,191473,Austria Lustenau,Austria Lustenau,https://cdn5.wyscout.com/photos/team/public/611_120x120.png,2. Liga,GK,GK,100,,0,,0,31,1994-07-20,400000,,13,1249,0,0.0,0,0.0,0.5,71.43,Austria,['Austria'],right,185,82,False,1.01,0.0,0.0,0.5,71.43,0.0,0.0,0.0,1.01,1.48,0.0,3,0.22,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.22,0.14,30.34,85.75,16.79,75.54,0.0,0.0,17.15,99.16,13.11,68.68,34.98,50.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,67.65,0.14,50.0,0.14,50.0,0.22,0.0,10.3,81.12,98.89,12.97,14,1.01,46,3.31,4,69.57,15.58,1.12,1.58,0.114,0.0,1.51,0.5,,,,0.0,0,0
M. Gantschnig,Marco Sebastian Gantschnig,335832,Austria Klagenfurt,Austria Klagenfurt,https://cdn5.wyscout.com/photos/team/public/g15756_120x120.png,2. Liga,"CB, RCB",CB,65,RCB,23,,0,28,1997-10-08,350000,2026-06-30,13,1242,1,0.7000000000000001,1,0.42,12.03,63.25,Austria,['Austria'],right,182,77,True,9.64,4.49,80.65,2.83,58.97,0.58,0.7000000000000001,0.43,5.43,6.54,0.58,4,0.29,0,0.0,0.36,0.07,1,0.07,0.05,1,0.07,4,0.29,50.0,25.0,0.07,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.36,60.0,2.17,46.67,0.8,0.51,0.0,28.04,0.07,0.87,46.09,80.66,21.38,66.1,2.75,97.37,36.16,90.58,9.78,45.19,24.25,43.6,0.03,0.07,0.0,0.0,0.0,0.0,0.14,7.97,50.0,1.3,5.5600000000000005,0.43,0.0,0.14,0.0,10.29,73.24,95.62,18.19,0,,0,,0,0.0,0.0,0.0,,,2.17,,2.83,0.22,0.0,0.0,0.0,0,0
D. Marceta,Dragan Marceta,-79304,Bregenz,Bregenz,https://cdn5.wyscout.com/photos/team/public/g8740_120x120.png,2. Liga,"LCB, RCB, RCMF",LCB,32,RCB,29,RCMF,11,25,2000-03-03,200000,,13,1242,2,0.7000000000000001,0,0.07,12.68,62.29,Austria,['Austria'],both,184,76,False,10.43,5.07,68.57,5.65,64.1,0.51,0.63,0.65,6.45,8.07,0.51,2,0.14,0,0.0,0.65,0.14,2,0.14,0.05,0,0.0,5,0.36,60.0,40.0,0.0,0.43,16.67,0.07,0.0,0.36,20.0,0.07,0.43,66.67,1.01,42.86,0.8,0.36,0.0,26.16,0.51,0.07,41.96,82.73,20.51,73.14,3.84,94.34,34.2,90.89,7.39,49.02,23.0,39.59,0.01,0.22,0.0,0.0,0.07,100.0,0.07,5.8,62.5,1.09,13.33,0.22,33.33,0.22,0.07,10.58,69.86,92.82,14.13,0,,0,,0,0.0,0.0,0.0,,,2.39,,5.65,0.0,0.0,0.0,0.0,0,0
K. Jusic,Kenan Jusic,-153436,Austria Wien II,Austria Wien II,https://cdn5.wyscout.com/photos/team/public/g4515_120x120.png,2. Liga,GK,GK,100,,0,,0,20,2005-05-10,0,,13,1240,0,0.0,0,0.0,0.65,88.89,Austria,['Austria'],left,0,0,False,2.47,0.07,100.0,0.44,100.0,0.0,0.0,0.07,2.4,3.14,0.0,3,0.22,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,22.94,0.22,0.15,34.98,78.63,19.31,63.16,0.0,0.0,18.51,99.22,16.26,56.25,35.75,50.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,40.79,0.87,16.67,0.8,18.18,0.15,0.0,10.31,70.42,98.47,14.23,19,1.38,64,4.65,3,70.31,16.35,1.19,-2.65,-0.192,0.0,1.02,0.44,,,,0.0,0,0
J. Turi,Julian Turi,518286,Kapfenberger SV,Kapfenberger SV,https://cdn5.wyscout.com/photos/team/public/613_120x120.png,2. Liga,"RCB, RCB3",RCB,71,RCB3,22,,0,24,2001-07-03,250000,,13,1234,1,1.37,0,0.24,15.97,50.68,Austria,['Austria'],right,187,86,False,8.97,4.45,70.49,7.8,47.66,0.0,0.0,0.73,5.83,7.89,0.88,2,0.15,0,0.0,0.36,0.07,1,0.07,0.1,1,0.07,5,0.36,20.0,20.0,0.0,0.44,33.33,0.15,0.0,0.29,50.0,0.0,0.15,100.0,1.09,20.0,1.02,0.29,0.0,22.39,0.15,0.29,38.29,83.43,17.43,71.55,3.14,97.67,30.41,92.09,7.51,51.46,26.01,45.94,0.02,0.07,0.0,0.0,0.0,0.0,0.07,6.2,56.47,0.88,33.33,0.15,0.0,0.29,0.15,7.66,71.43,95.26,15.39,0,,0,,0,0.0,0.0,0.0,,,2.55,,7.8,0.07,0.0,0.0,0.0,1,0
