Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Salas,Youstin Delfin Salas Gómez,279658,Brisbane Roar,Brisbane Roar,https://cdn5.wyscout.com/photos/team/public/2336_120x120.png,A-League,"RB, RB5, RWB",RB,66,RB5,19,RWB,12,29.0,1996-06-17,400000,2027-06-30,21,2111,0,0.08,0,1.18,16.93,56.42,Costa Rica,['Costa Rica'],right,173,67,False,11.68,8.06,68.78,2.77,44.62,1.49,1.9300000000000002,0.09,4.65,6.0,0.77,4,0.17,0,0.0,1.6600000000000001,0.0,0,0.0,0.0,0,0.0,7,0.30000000000000004,14.29,0.0,0.0,2.3,35.19,0.0,0.0,2.3,35.19,0.17,1.32,61.29,4.01,45.74,0.43,1.07,0.09,20.08,2.73,1.3599999999999999,31.55,67.97,13.34,55.27,4.95,93.97,25.07,76.7,4.18,33.67,19.3,32.23,0.05,0.81,0.0,0.04,0.04,0.0,0.13,4.99,51.28,2.86,43.28,0.81,15.79,0.64,0.77,6.99,63.41,73.71,9.08,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.77,0.0,0.0,0.0,0.0,0,0
J. Delianov,James Delianov,424437,Newcastle Jets,Newcastle Jets,https://cdn5.wyscout.com/photos/team/public/2335_120x120.png,A-League,GK,GK,100,,0,,0,26.0,1999-10-20,250000,2027-06-30,21,2083,0,0.0,0,0.0,1.43,78.79,Australia,"['Australia', 'North Macedonia']",right,188,87,False,2.16,0.09,100.0,1.12,88.46,0.0,0.0,0.0,2.07,2.7800000000000002,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,19.83,0.13,0.04,30.63,88.01,12.96,74.0,0.0,0.0,24.11,98.75,6.48,48.67,26.76,47.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,33.33,0.17,0.0,0.22,40.0,0.0,0.0,3.93,60.44,98.37,15.9,32,1.38,109,4.71,4,70.64,33.82,1.46,1.82,0.079,0.0,2.38,1.12,,,,0.0,0,0
S. Wootton,Scott Wootton,157043,Perth Glory,Perth Glory,https://cdn5.wyscout.com/photos/team/public/2329_120x120.png,A-League,LCB,LCB,88,,0,,0,34.0,1991-09-12,300000,2027-06-30,21,2081,0,0.8300000000000001,1,0.4,9.86,57.89,England,['England'],right,188,78,False,6.36,3.89,57.78,4.41,64.71,0.04,0.05,0.74,4.07,4.74,0.43,4,0.17,0,0.0,0.13,0.0,0,0.0,0.04,0,0.0,6,0.26,33.33,0.0,0.04,0.09,50.0,0.09,50.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.6900000000000001,0.09,0.0,38.23,0.30000000000000004,0.09,51.34,89.05,23.18,80.78,1.8599999999999999,88.37,43.77,94.27,7.48,58.96,21.31,42.24,0.02,0.17,0.0,0.04,0.0,0.0,0.13,6.83,64.56,0.9500000000000001,45.45,0.6900000000000001,31.25,0.35000000000000003,0.04,9.43,78.9,96.91,22.4,0,,0,,0,0.0,0.0,0.0,,,1.25,,4.41,0.0,0.0,0.0,0.0,0,0
M. Sutton,Matthew Sutton,522644,Perth Glory,Perth Glory,https://cdn5.wyscout.com/photos/team/public/2329_120x120.png,A-League,GK,GK,100,,0,,0,26.0,2000-03-07,200000,2028-06-30,21,2081,0,0.0,0,0.0,0.6900000000000001,81.25,Australia,['Australia'],right,194,73,False,1.56,0.13,66.67,0.39,88.89,0.04,0.05,0.0,1.43,1.6600000000000001,0.04,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,17.6,0.09,0.04,23.27,88.29,8.52,73.6,0.0,0.0,17.47,98.02,5.71,59.85,26.21,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,31.43,0.09,0.0,0.09,0.0,0.0,0.0,3.16,63.01,97.41,13.36,34,1.47,107,4.63,3,68.22,28.64,1.24,-5.36,-0.232,0.0,0.99,0.39,,,,0.0,0,0
L. Thomas,Lawrence  Thomas,180909,Western Sydney Wanderers,Western Sydney Wanderers,https://cdn5.wyscout.com/photos/team/public/g21585_120x120.png,A-League,GK,GK,100,,0,,0,33.0,1992-05-09,450000,2027-06-30,21,2078,0,0.29,0,0.0,0.39,88.89,Australia,"['Australia', 'Italy']",right,191,91,False,1.0,0.04,0.0,0.26,100.0,0.0,0.0,0.0,1.0,1.28,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.01,0,0.0,1,0.04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,0.0,0.0,15.77,0.22,0.04,23.04,90.6,9.14,78.67,0.0,0.0,17.93,99.03,5.11,61.02,25.73,41.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,57.33,98.32,12.86,30,1.3,101,4.37,5,70.3,32.92,1.43,2.92,0.126,0.0,1.56,0.26,,,,0.0,0,0
F. De Vries,Francis De Vries,217899,Auckland FC,Auckland FC,https://cdn5.wyscout.com/photos/team/public/g-21927_120x120.png,A-League,"LB, LWB",LB,79,LWB,11,,0,31.0,1994-11-28,375000,2029-06-30,21,2068,1,2.4,5,5.32,13.93,55.31,New Zealand,"['New Zealand', 'Switzerland']",left,188,80,False,7.79,5.83,65.67,2.7,70.97,0.04,0.06,0.39,3.92,5.59,0.91,2,0.09,0,0.0,2.83,0.04,1,0.04,0.1,0,0.0,15,0.65,26.67,6.667,0.22,3.7,48.24,3.48,46.25,0.17,100.0,0.61,1.35,61.29,3.22,41.89,0.91,1.3900000000000001,0.22,29.03,1.65,0.13,42.52,71.75,20.54,63.56,6.53,94.0,31.55,81.79,7.4,39.41,20.48,39.58,0.23,1.74,0.17,0.17,0.04,100.0,0.7000000000000001,8.05,52.97,4.31,55.56,0.39,44.44,0.74,1.9100000000000001,11.14,68.75,70.05,9.44,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.7,1.6099999999999999,0.13,33.33,1.9100000000000001,1,0
H. Devenish-Meares,Harrison Devenish-Meares,-195063,Sydney,Sydney,https://cdn5.wyscout.com/photos/team/public/2328_120x120.png,A-League,GK,GK,100,,0,,0,29.0,1996-10-27,25000,2027-06-30,21,2064,0,0.0,0,0.0,0.87,90.0,Australia,['Australia'],right,190,0,False,1.48,0.0,0.0,0.5700000000000001,100.0,0.0,0.0,0.0,1.48,2.06,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,16.44,0.13,0.31,24.24,86.33,9.77,71.88,0.0,0.0,18.01,98.55,6.15,51.77,26.65,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,38.46,0.26,0.0,0.17,25.0,0.0,0.0,4.19,60.42,96.84,12.43,21,0.92,109,4.75,8,80.73,26.36,1.15,5.36,0.234,0.0,2.18,0.5700000000000001,,,,0.0,0,0
R. Grant,Rhyan Grant,69302,Sydney,Sydney,https://cdn5.wyscout.com/photos/team/public/2328_120x120.png,A-League,RB,RB,94,,0,,0,35.0,1991-02-26,500000,2027-06-30,21,2064,0,2.29,1,2.2800000000000002,13.34,46.41,Australia,['Australia'],right,176,79,False,7.76,5.63,57.36,2.9699999999999998,39.71,0.22,0.30000000000000004,0.44,4.32,6.0,0.61,4,0.17,0,0.0,0.7000000000000001,0.0,0,0.0,0.1,0,0.0,15,0.65,13.33,0.0,0.04,0.96,50.0,0.04,0.0,0.92,52.38,0.17,0.35000000000000003,37.5,2.31,30.19,1.92,0.5700000000000001,0.22,29.96,1.09,0.48,40.9,86.99,16.05,79.89,5.76,96.97,37.98,89.9,1.96,48.89,15.85,30.91,0.1,0.61,0.04,0.0,0.0,0.0,0.31,4.75,74.31,1.48,50.0,0.44,40.0,0.65,0.48,6.85,71.34,88.0,10.9,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,2.9699999999999998,0.0,0.0,0.0,0.0,0,0
J. Smits,Joshua Smits,149369,Adelaide United,Adelaide United,https://cdn5.wyscout.com/photos/team/public/2330_120x120.png,A-League,GK,GK,100,,0,,0,33.0,1992-11-06,450000,2027-06-30,21,2063,0,0.0,0,0.0,0.61,92.86,Netherlands,['Netherlands'],right,190,77,False,1.53,0.04,0.0,0.44,100.0,0.0,0.0,0.0,1.53,2.13,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,21.07,0.31,0.13,30.67,81.22,18.5,69.58,0.0,0.0,19.63,99.11,10.95,49.8,29.96,50.11,0.0,0.0,0.04,0.04,0.0,0.0,0.0,3.18,38.36,0.35000000000000003,12.5,0.48,45.45,0.09,0.0,7.15,64.63,99.57,10.25,30,1.31,116,5.06,3,74.14,35.46,1.55,5.46,0.23800000000000002,0.0,1.27,0.44,,,,0.0,0,0
D. Bouzanis,Dean Bouzanis,97595,Brisbane Roar,Brisbane Roar,https://cdn5.wyscout.com/photos/team/public/2336_120x120.png,A-League,GK,GK,100,,0,,0,35.0,1990-10-02,125000,2026-06-30,21,2060,0,0.0,1,0.0,0.7000000000000001,75.0,Australia,"['Australia', 'Greece']",right,189,84,False,2.01,0.04,0.0,0.44,90.0,0.04,0.06,0.0,1.97,2.54,0.04,4,0.17,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.17,50.0,0.0,0.04,0.0,23.68,0.13,0.09,32.16,77.45,18.0,62.38,0.04,100.0,15.77,96.95,16.17,59.46,37.59,51.43,0.0,0.0,0.0,0.04,0.0,0.0,0.04,7.82,48.04,1.0,17.39,0.87,35.0,0.13,0.0,10.66,75.41,97.01,13.15,27,1.18,74,3.23,6,63.51,21.61,0.9400000000000001,-5.39,-0.23500000000000001,0.04,1.6600000000000001,0.44,,,,0.0,0,0
