Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Aleksovski,Igor Aleksovski,272868,Flamurtari Vlorë,Flamurtari Vlorë,https://cdn5.wyscout.com/photos/team/public/2641_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,30.0,1995-02-24,300000,,13,1308,0,0.0,0,0.0,0.34,100.0,North Macedonia,['North Macedonia'],left,186,74,False,1.72,0.0,0.0,0.07,100.0,0.0,0.0,0.0,1.72,2.83,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,10.11,0.41000000000000003,0.21,16.38,87.82,8.39,80.33,0.0,0.0,11.22,96.32,5.16,69.33,29.57,41.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,36.36,0.07,0.0,0.07,0.0,0.0,0.0,3.99,81.03,95.24,7.22,17,1.17,55,3.7800000000000002,2,69.09,16.35,1.13,-0.65,-0.045,0.0,0.48,0.07,,,,0.0,0,0
M. Janáček,Martin Janáček,-105662,AF Elbasani,AF Elbasani,https://cdn5.wyscout.com/photos/team/public/g-20768_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,25.0,2000-09-22,250000,,13,1299,0,0.0,0,0.0,0.76,90.91,Czech Republic,['Czech Republic'],left,197,94,False,0.9,0.07,100.0,0.42,83.33,0.0,0.0,0.0,0.8300000000000001,1.3,0.07,3,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,0.0,0.0,0.0,10.81,0.28,0.35000000000000003,15.45,85.2,7.55,75.23,0.0,0.0,9.77,97.16,5.68,64.63,31.88,49.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,63.64,0.07,0.0,0.0,0.0,0.0,0.0,4.43,73.44,94.23,7.21,7,0.48,34,2.36,7,79.41,9.02,0.63,2.02,0.14,0.0,1.18,0.42,,,,0.0,0,0
G. Selmani,Gentian Selmani,382357,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,27.0,1998-03-09,225000,,13,1299,0,0.0,0,0.0,0.97,85.71,Albania,['Albania'],right,186,78,False,1.52,0.14,100.0,0.48,85.71,0.0,0.0,0.0,1.3900000000000001,2.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,75.0,0.0,0.0,0.0,14.34,0.14,0.42,21.41,86.08,11.09,75.0,0.0,0.0,12.82,98.38,8.59,67.74,31.48,45.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,50.0,0.14,0.0,0.14,50.0,0.0,0.0,6.72,72.16,97.89,9.84,8,0.55,30,2.08,8,73.33,7.75,0.54,-0.25,-0.017,0.0,1.3900000000000001,0.48,,,,0.0,0,0
F. Përgjoni,Florjan Përgjoni,463905,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,LB,LB,100,,0,,0,28.0,1997-06-22,300000,,13,1294,0,0.31,0,0.09,15.51,60.54,Albania,['Albania'],left,185,0,False,9.32,7.16,66.99,2.85,80.49,0.7000000000000001,1.1,0.21,3.83,6.04,1.53,3,0.21,0,0.0,0.7000000000000001,0.0,0,0.0,0.02,0,0.0,6,0.42,16.67,0.0,0.0,1.18,23.53,1.18,23.53,0.0,0.0,0.07,0.42,66.67,4.1,45.76,0.63,1.11,0.21,20.45,0.97,1.25,31.99,78.26,14.47,71.63,6.4,92.39,26.64,85.9,4.24,44.26,19.31,39.08,0.01,0.14,0.0,0.0,0.07,100.0,0.14,4.73,58.82,1.74,44.0,0.56,37.5,0.42,0.28,7.3,64.76,79.78,6.19,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,2.85,0.28,0.14,0.0,0.0,0,0
M. Dajsinani,Mario Dajsinani,380845,Egnatia Rrogozhinë,Egnatia Rrogozhinë,https://cdn5.wyscout.com/photos/team/public/g3061_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,26.0,1998-12-23,275000,,13,1292,0,0.0,0,0.43,0.98,92.86,Albania,['Albania'],right,193,80,False,0.7000000000000001,0.0,0.0,0.91,100.0,0.0,0.0,0.0,0.7000000000000001,1.16,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,24.94,0.56,0.14,32.53,90.79,15.6,82.14,0.0,0.0,24.73,99.72,7.8,62.5,25.18,45.61,0.03,0.07,0.0,0.0,0.0,0.0,0.07,1.18,35.29,0.0,0.0,0.28,25.0,0.07,0.0,5.71,71.95,98.62,15.19,8,0.56,33,2.3,7,75.76,10.27,0.72,2.27,0.158,0.0,1.74,0.91,,,,0.0,0,0
D. Shehi,Dajan Shehi,395112,Vora,Vora,https://cdn5.wyscout.com/photos/team/public/g22735_120x120.png,Abissnet Superiore,RCB,RCB,98,,0,,0,28.0,1997-03-19,100000,,13,1291,0,0.2,0,0.0,11.78,64.5,Albania,['Albania'],right,191,0,False,9.83,5.51,69.62,5.02,66.67,0.63,0.9,1.12,5.37,7.67,1.3900000000000001,3,0.21,0,0.0,0.07,0.0,0,0.0,0.01,0,0.0,3,0.21,33.33,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.28,25.0,0.42,0.28,0.0,15.89,0.35000000000000003,0.0,26.42,82.06,12.9,71.89,1.9500000000000002,92.86,21.82,88.18,4.53,53.85,21.45,34.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,54.35,0.56,37.5,0.07,0.0,0.28,0.0,5.65,58.02,95.12,8.57,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,5.02,0.0,0.0,0.0,0.0,0,0
B. Balaj,Bekim Balaj,83012,Vllaznia Shkodër,Vllaznia Shkodër,https://cdn5.wyscout.com/photos/team/public/1274_120x120.png,Abissnet Superiore,CF,CF,99,,0,,0,34.0,1991-01-11,200000,,13,1288,7,5.33,1,0.43,20.61,45.08,Albania,['Albania'],right,188,78,False,3.14,2.1,63.33,9.43,51.85,0.0,0.0,0.0,1.82,3.02,1.8900000000000001,2,0.14,0,0.0,0.77,0.49,3,0.21,0.37,1,0.07,22,1.54,50.0,31.818,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.21,0.0,4.05,36.21,2.17,0.35000000000000003,0.14,8.8,1.6099999999999999,1.8900000000000001,13.56,73.2,3.14,57.78,3.2800000000000002,91.49,13.07,74.87,0.42,33.33,13.8,13.35,0.03,0.56,0.0,0.0,0.0,0.0,0.07,1.19,58.82,0.98,28.57,0.0,0.0,0.49,0.0,0.91,61.54,71.43,3.42,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.43,0.14,0.14,0.0,0.0,5,80
A. Teqja,Aldo Teqja,155951,Dinamo City,Dinamo City,https://cdn5.wyscout.com/photos/team/public/1526_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,30.0,1995-05-04,100000,,13,1288,0,0.0,0,0.0,0.63,77.78,Albania,['Albania'],right,196,87,False,1.05,0.0,0.0,0.21,100.0,0.0,0.0,0.0,1.05,1.72,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.35000000000000003,60.0,0.0,0.0,0.0,7.27,0.28,0.21,13.98,92.0,6.15,82.95,0.0,0.0,9.85,100.0,4.12,72.88,27.17,41.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,62.5,0.0,0.0,0.0,0.0,0.0,0.0,2.8,75.0,99.06,7.41,6,0.42,46,3.21,7,86.96,12.14,0.85,6.14,0.429,0.0,1.75,0.21,,,,0.0,0,0
A. Tafas,Angelo Tafas,-610849,Tirana,Tirana,https://cdn5.wyscout.com/photos/team/public/1573_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,25.0,2000-07-05,0,,13,1278,0,0.0,0,0.0,0.77,100.0,Albania,"['Albania', 'Greece']",unknown,185,0,False,1.55,0.14,100.0,0.56,100.0,0.0,0.0,0.07,1.4100000000000001,1.99,0.0,3,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,11.34,0.21,0.35000000000000003,18.73,87.22,9.23,76.34,0.0,0.0,12.61,99.44,6.13,62.07,30.84,49.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,38.46,0.07,0.0,0.35000000000000003,20.0,0.0,0.0,4.37,83.87,97.62,8.87,21,1.48,62,4.37,3,66.13,20.36,1.43,-0.64,-0.045,0.0,1.76,0.56,,,,0.0,0,0
I. Kasalla,Irgi Kasalla,-556200,Vora,Vora,https://cdn5.wyscout.com/photos/team/public/g22735_120x120.png,Abissnet Superiore,"AMF, LAMF, CF",AMF,51,LAMF,16,CF,10,23.0,2002-08-03,0,,13,1275,2,2.13,1,0.62,22.59,39.69,Albania,['Albania'],unknown,0,0,False,6.14,4.8,51.47,2.75,46.15,0.21,0.30000000000000004,0.0,3.46,4.93,1.55,3,0.21,0,0.0,2.26,0.14,1,0.07,0.15,0,0.0,5,0.35000000000000003,80.0,40.0,0.07,0.92,38.46,0.49,42.86,0.35000000000000003,20.0,0.14,2.89,51.22,13.2,34.22,1.4100000000000001,1.13,0.07,10.59,0.92,3.11,19.62,76.26,6.0,72.94,4.16,86.44,16.87,81.17,1.8399999999999999,50.0,18.05,35.2,0.04,0.49,0.0,0.07,0.14,100.0,0.14,2.68,76.32,1.34,47.37,0.14,50.0,0.35000000000000003,0.21,3.46,63.27,71.79,5.51,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.75,0.0,0.0,0.0,0.0,1,100
