Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. van Overeem,Joris van Overeem,161307,Heerenveen,Heerenveen,https://cdn5.wyscout.com/photos/team/public/144_120x120.png,Eredivisie,"RCB, LDMF, RDMF",RCB,29,LDMF,28,RDMF,20,31.0,1994-06-01,800000,,14,1414,1,0.71,1,1.6800000000000002,12.73,56.5,Netherlands,['Netherlands'],right,181,71,False,8.27,4.96,62.82,1.78,60.71,0.13,0.18,0.19,5.03,6.95,1.46,3,0.19,0,0.0,1.34,0.06,1,0.06,0.05,0,0.0,7,0.45,14.29,14.286,0.06,1.21,47.37,0.5700000000000001,66.67,0.5700000000000001,33.33,0.0,0.9500000000000001,66.67,3.37,43.4,1.27,1.21,0.06,32.33,0.38,0.8300000000000001,48.56,81.13,20.81,72.17,3.76,96.61,40.35,87.22,7.0,51.82,20.21,36.71,0.11,0.8300000000000001,0.06,0.0,0.19,33.33,0.32,10.44,70.73,2.99,57.45,1.02,37.5,1.08,0.5700000000000001,10.25,80.75,89.13,17.57,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.78,0.06,0.0,0.0,0.13,0,0
J. De Busser,Jari De Busser,451008,Go Ahead Eagles,Go Ahead Eagles,https://cdn5.wyscout.com/photos/team/public/854_120x120.png,Eredivisie,GK,GK,100,,0,,0,26.0,1999-10-21,500000,2027-06-30,14,1388,0,0.0,0,0.0,0.98,92.86,Belgium,['Belgium'],right,190,78,False,0.98,0.0,0.0,0.7000000000000001,100.0,0.0,0.0,0.0,0.98,1.28,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,66.67,0.0,0.0,0.0,21.92,0.42,0.14,31.98,81.44,20.88,72.58,0.0,0.0,18.5,98.87,13.48,57.51,33.64,51.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,52.83,0.28,25.0,0.35000000000000003,40.0,0.07,0.0,10.4,69.13,97.99,10.4,22,1.54,77,5.38,3,71.43,23.41,1.63,1.4100000000000001,0.098,0.0,1.54,0.7000000000000001,,,,0.0,0,0
J. Kramer,Joris Kramer,402051,Go Ahead Eagles,Go Ahead Eagles,https://cdn5.wyscout.com/photos/team/public/854_120x120.png,Eredivisie,LCB,LCB,95,,0,,0,29.0,1996-08-02,1200000,2028-06-30,14,1388,0,0.67,2,0.97,9.99,62.34,Netherlands,['Netherlands'],left,187,76,False,7.78,3.24,70.0,3.31,50.98,0.0,0.0,0.65,5.51,7.29,0.19,0,0.0,0,0.0,0.91,0.0,0,0.0,0.04,0,0.0,6,0.39,33.33,0.0,0.13,1.04,62.5,0.78,58.33,0.19,66.67,0.19,0.19,66.67,0.78,33.33,0.52,1.49,0.06,41.82,0.39,0.19,57.58,88.85,20.94,80.19,6.42,96.97,49.54,93.85,7.0,57.41,21.22,37.83,0.06,0.65,0.0,0.13,0.0,0.0,0.32,8.3,75.78,2.2,64.71,0.58,33.33,0.52,0.65,11.02,71.18,95.09,25.09,0,,0,,0,0.0,0.0,0.0,,,3.31,,3.31,0.0,0.0,0.0,0.0,0,0
M. Deijl,Mats Deijl,402457,Go Ahead Eagles,Go Ahead Eagles,https://cdn5.wyscout.com/photos/team/public/854_120x120.png,Eredivisie,RB,RB,95,,0,,0,28.0,1997-07-15,1200000,,14,1388,1,2.35,2,1.67,13.49,61.54,Netherlands,['Netherlands'],right,181,72,False,6.42,5.12,56.96,3.76,60.34,0.06,0.09,0.65,3.44,4.54,0.65,3,0.19,0,0.0,1.56,0.06,0,0.0,0.15,0,0.0,10,0.65,50.0,10.0,0.13,2.07,31.25,0.0,0.0,2.01,32.26,0.26,0.58,100.0,2.33,72.22,2.07,0.58,0.06,28.79,2.4,1.82,38.32,82.4,13.94,71.63,7.46,93.91,30.99,91.42,5.25,49.38,21.76,42.16,0.11,0.65,0.13,0.0,0.0,0.0,0.26,6.1,64.89,2.85,47.73,0.84,38.46,0.84,0.71,7.65,77.12,87.15,11.61,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,3.76,0.0,0.0,0.0,0.0,2,50
S. Graves,Simon Graves Jensen,-44615,PEC Zwolle,PEC Zwolle,https://cdn5.wyscout.com/photos/team/public/848_120x120.png,Eredivisie,RCB,RCB,98,,0,,0,26.0,1999-05-22,750000,2027-06-30,14,1387,0,0.08,0,0.0,9.93,57.52,Denmark,['Denmark'],right,191,80,False,8.95,3.11,70.83,3.83,47.46,0.13,0.14,0.97,6.62,7.32,0.65,3,0.19,0,0.0,0.13,0.0,0,0.0,0.01,0,0.0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,66.67,1.1,70.59,0.06,0.91,0.0,30.56,0.13,0.52,46.46,83.52,21.87,69.44,2.98,97.83,40.56,89.28,5.9,43.96,21.09,40.31,0.0,0.0,0.0,0.0,0.13,0.0,0.0,6.42,53.54,1.04,18.75,0.71,9.09,0.26,0.0,9.08,59.29,98.48,17.13,0,,0,,0,0.0,0.0,0.0,,,2.08,,3.83,0.0,0.0,0.0,0.0,0,0
V. Zagaritis,Vasilios Zagaritis,-118060,Heerenveen,Heerenveen,https://cdn5.wyscout.com/photos/team/public/144_120x120.png,Eredivisie,LB,LB,90,,0,,0,24.0,2001-05-04,400000,2026-06-30,14,1384,0,0.32,1,1.46,19.51,49.33,Greece,['Greece'],left,178,68,False,9.04,6.31,56.7,4.23,53.85,0.33,0.45,0.07,5.14,7.03,0.98,4,0.26,0,0.0,2.41,0.0,0,0.0,0.02,0,0.0,7,0.46,14.29,0.0,0.07,4.1,30.16,3.51,29.63,0.39,33.33,0.52,2.08,53.13,7.41,40.35,1.9500000000000002,3.06,0.33,27.9,1.17,1.11,39.67,80.98,14.44,77.03,8.0,95.93,33.29,89.26,2.6,50.0,18.39,34.64,0.09,0.78,0.0,0.0,0.0,0.0,0.39,4.75,72.6,3.12,43.75,0.26,50.0,0.78,1.11,7.02,68.52,77.11,10.79,0,,0,,0,0.0,0.0,0.0,,,1.17,,4.23,0.0,0.0,0.0,0.13,0,0
G. Crettaz,Gonzalo Alejandro Crettaz,-106476,NEC,NEC,https://cdn5.wyscout.com/photos/team/public/152_120x120.png,Eredivisie,GK,GK,100,,0,,0,25.0,2000-02-28,500000,,14,1376,0,0.0,0,0.0,0.72,54.55,Argentina,"['Argentina', 'Spain']",right,184,78,False,2.68,0.39,66.67,0.07,100.0,0.0,0.0,0.0,2.42,3.84,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,28.78,0.33,0.0,39.18,79.97,27.93,73.54,0.0,0.0,17.99,96.73,21.13,65.94,36.97,51.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,50.79,0.52,25.0,0.98,26.67,0.26,0.0,15.37,83.83,95.39,9.94,23,1.5,71,4.64,3,67.61,20.49,1.34,-2.51,-0.164,0.0,0.85,0.07,,,,0.0,0,0
K. Sano,Kodai  Sano,-322719,NEC,NEC,https://cdn5.wyscout.com/photos/team/public/152_120x120.png,Eredivisie,"RCMF, LCMF, CB",RCMF,39,LCMF,18,CB,13,22.0,2003-09-25,4000000,2028-06-30,14,1376,1,0.54,1,1.35,19.49,50.67,Japan,['Japan'],right,176,68,False,10.33,6.74,67.96,1.77,37.04,0.33,0.52,0.13,5.43,8.62,0.92,1,0.07,0,0.0,1.83,0.07,1,0.07,0.04,0,0.0,11,0.72,18.18,9.091,0.07,1.24,42.11,0.59,33.33,0.65,50.0,0.26,1.9,58.62,7.72,40.68,0.78,1.11,0.0,28.71,0.33,1.31,47.62,85.58,16.09,73.98,8.18,95.2,42.91,90.4,3.6,43.64,18.13,35.89,0.09,0.72,0.13,0.07,0.2,33.33,0.26,5.89,76.67,2.81,51.16,0.46,42.86,1.05,0.52,7.39,69.03,89.8,16.02,0,,0,,0,0.0,0.0,0.0,,,2.42,,1.77,0.39,0.0,0.0,0.78,0,0
G. Offerhaus,Guus Offerhaus,-193880,Telstar,Telstar,https://cdn5.wyscout.com/photos/team/public/858_120x120.png,Eredivisie,"CB, RCMF",CB,80,RCMF,12,,0,24.0,2001-01-03,0,2026-06-30,14,1373,0,0.22,2,2.01,13.18,55.72,Netherlands,['Netherlands'],right,0,0,False,9.64,6.75,73.79,2.29,40.0,0.13,0.15,0.39,4.52,5.23,1.31,3,0.2,0,0.0,0.39,0.0,0,0.0,0.01,0,0.0,7,0.46,28.57,0.0,0.13,0.59,22.22,0.13,0.0,0.46,28.57,0.07,0.46,28.57,1.9,27.59,0.33,1.05,0.2,23.14,0.33,0.07,37.95,84.8,11.41,70.69,4.65,94.37,33.56,90.43,3.8,44.83,21.06,39.66,0.13,0.92,0.0,0.0,0.07,0.0,0.26,4.85,67.57,0.85,46.15,0.26,25.0,0.46,0.07,6.55,61.0,92.75,18.09,0,,0,,0,0.0,0.0,0.0,,,1.97,,2.29,0.92,0.07,0.0,2.03,0,0
R. Koeman,Ronald Koeman,262099,Telstar,Telstar,https://cdn5.wyscout.com/photos/team/public/858_120x120.png,Eredivisie,GK,GK,100,,0,,0,30.0,1995-05-23,275000,2026-06-30,14,1373,0,0.0,0,0.0,0.52,75.0,Spain,"['Spain', 'Netherlands']",right,180,87,False,1.05,0.07,100.0,0.26,50.0,0.0,0.0,0.0,0.98,1.1400000000000001,0.0,1,0.07,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.2,100.0,0.0,0.0,0.07,22.42,0.33,0.13,33.04,80.36,24.84,74.67,0.0,0.0,14.68,97.32,18.22,67.27,37.89,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,57.14,0.52,12.5,0.66,40.0,0.07,0.0,13.18,79.1,98.32,7.8,24,1.57,84,5.51,2,71.43,23.43,1.54,-0.5700000000000001,-0.037,0.0,1.11,0.26,,,,0.0,0,0
