Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Yamazaki,Kosuke Yamazaki,-75710,Júbilo Iwata,Júbilo Iwata,https://cdn5.wyscout.com/photos/team/public/1259_120x120.png,J2/J3 100 Year Vision League,"RCB, CB",RCB,72,CB,27,,0,30.0,1995-12-30,700000,,11,1090,0,0.75,0,0.0,13.54,65.24,Japan,['Japan'],right,182,80,False,8.59,5.86,71.83,4.46,57.41,0.08,0.12,1.24,4.29,6.07,0.66,1,0.08,0,0.0,0.08,0.0,0,0.0,0.06,0,0.0,6,0.5,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,50.0,0.58,0.41000000000000003,0.0,26.09,0.0,0.5,42.11,83.33,16.18,65.82,1.49,100.0,35.26,90.63,6.85,45.78,20.26,33.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,59.52,0.08,0.0,0.25,33.33,0.0,0.0,7.51,50.55,95.82,19.73,0,,0,,0,0.0,0.0,0.0,,,1.16,,4.46,0.0,0.0,0.0,0.0,0,0
E. Kawashima,Eiji Kawashima,5440,Júbilo Iwata,Júbilo Iwata,https://cdn5.wyscout.com/photos/team/public/1259_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,43.0,1983-03-20,75000,,11,1090,0,0.0,0,0.0,0.41000000000000003,100.0,Japan,['Japan'],right,185,82,False,1.24,0.0,0.0,0.17,100.0,0.0,0.0,0.0,1.24,1.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,11.48,0.17,0.25,17.83,79.63,9.99,67.77,0.0,0.0,9.08,96.36,8.67,62.86,35.94,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,50.0,0.25,0.0,0.25,33.33,0.0,0.0,6.94,72.62,95.12,6.77,13,1.07,45,3.7199999999999998,3,71.11,13.75,1.1400000000000001,0.75,0.062,0.0,1.07,0.17,,,,0.0,0,0
R. Nishio,Ryuya Nishio,-159912,RB Omiya Ardija,RB Omiya Ardija,https://cdn5.wyscout.com/photos/team/public/1700_120x120.png,J2/J3 100 Year Vision League,"LCB, RCB",LCB,71,RCB,28,,0,24.0,2001-05-16,700000,,11,1086,0,0.72,0,0.11,15.66,63.49,Japan,['Japan'],right,180,77,False,9.45,5.06,85.25,5.88,49.3,0.17,0.31,0.58,4.97,9.33,0.5,1,0.08,0,0.0,0.0,0.0,0,0.0,0.06,0,0.0,5,0.41000000000000003,0.0,0.0,0.0,0.33,0.0,0.08,0.0,0.25,0.0,0.0,0.0,0.0,0.99,25.0,1.08,0.41000000000000003,0.0,35.3,0.25,0.66,54.86,86.25,20.72,75.2,2.8200000000000003,97.06,48.9,91.86,5.72,42.03,20.88,40.0,0.01,0.17,0.0,0.0,0.08,0.0,0.08,6.8,57.32,0.5,33.33,0.5,33.33,0.17,0.0,7.62,65.22,94.77,25.36,0,,0,,0,0.0,0.0,0.0,,,1.6600000000000001,,5.88,0.0,0.0,0.0,0.0,0,0
G. Yamada,Genki Yamada,287192,Blaublitz Akita,Blaublitz Akita,https://cdn5.wyscout.com/photos/team/public/g8346_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,31.0,1994-12-16,50000,,11,1085,0,0.0,0,0.0,0.41000000000000003,100.0,Japan,['Japan'],right,187,81,False,0.75,0.08,100.0,0.25,100.0,0.0,0.0,0.0,0.66,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,4.73,0.17,0.17,9.54,72.17,9.04,71.56,0.0,0.0,1.0,91.67,8.54,69.9,49.52,52.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,59.09,0.17,0.0,0.0,0.0,0.0,0.0,6.8,85.37,83.33,0.5,10,0.8300000000000001,36,2.99,5,72.22,11.08,0.92,1.08,0.09,0.0,1.0,0.25,,,,0.0,0,0
M. Sasaki,Masato Sasaki,-115837,Iwaki,Iwaki,https://cdn5.wyscout.com/photos/team/public/g39010_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,23.0,2002-05-01,150000,2027-06-30,11,1082,0,0.0,0,0.02,0.8300000000000001,90.0,Japan,['Japan'],left,184,75,False,2.25,0.08,100.0,0.58,100.0,0.0,0.0,0.0,2.16,3.8200000000000003,0.0,2,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.17,50.0,0.0,0.0,0.0,7.65,0.08,0.17,13.72,78.79,9.15,70.0,0.0,0.0,6.4,96.1,7.32,63.64,36.31,49.68,0.0,0.08,0.0,0.0,0.0,0.0,0.0,2.99,66.67,0.08,0.0,0.08,100.0,0.0,0.0,5.41,80.0,96.0,4.16,9,0.75,23,1.9100000000000001,5,60.87,7.12,0.59,-1.88,-0.156,0.0,1.4100000000000001,0.58,,,,0.0,0,0
K. Sugiyama,Koji  Sugiyama,-322711,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,RCB,RCB,96,,0,,0,28.0,1998-04-19,0,,11,1082,0,0.76,1,0.0,14.14,59.41,Japan,['Japan'],right,180,0,False,7.57,4.91,64.41,6.07,63.01,0.17,0.25,0.91,4.24,6.3,1.0,0,0.0,0,0.0,0.25,0.0,0,0.0,0.06,0,0.0,7,0.58,14.29,0.0,0.08,0.17,50.0,0.0,0.0,0.17,50.0,0.0,0.17,50.0,0.75,22.22,0.75,0.67,0.0,30.11,0.33,0.25,43.0,84.14,20.55,74.09,1.58,94.74,37.51,89.8,5.32,45.31,19.74,38.19,0.0,0.0,0.08,0.08,0.0,0.0,0.08,5.74,60.87,0.25,33.33,0.17,0.0,0.08,0.08,8.23,57.58,93.64,14.39,0,,0,,0,0.0,0.0,0.0,,,1.25,,6.07,0.0,0.0,0.0,0.0,0,0
Y. Hakamata,Yutaro  Hakamata,-112645,Shonan Bellmare,Shonan Bellmare,https://cdn5.wyscout.com/photos/team/public/2465_120x120.png,J2/J3 100 Year Vision League,"CB, LCB3",CB,67,LCB3,22,,0,29.0,1996-06-24,350000,,11,1081,1,0.45,0,0.28,12.9,63.23,Japan,['Japan'],left,183,77,False,9.49,4.0,70.83,6.91,61.45,0.08,0.13,0.8300000000000001,6.58,10.39,0.67,1,0.08,0,0.0,0.42,0.08,1,0.08,0.04,1,0.08,3,0.25,100.0,33.333,0.0,0.25,66.67,0.25,66.67,0.0,0.0,0.0,0.0,0.0,0.33,25.0,0.33,0.67,0.08,28.14,0.0,0.42,43.88,85.2,19.15,74.78,2.0,83.33,38.38,90.89,5.33,45.31,19.55,37.4,0.02,0.08,0.0,0.0,0.0,0.0,0.08,5.25,65.08,0.33,50.0,0.42,40.0,0.08,0.08,7.91,57.89,95.28,17.65,0,,0,,0,0.0,0.0,0.0,,,0.67,,6.91,0.0,0.0,0.0,0.0,0,0
S. Takeda,Shohei Takeda,475632,Shonan Bellmare,Shonan Bellmare,https://cdn5.wyscout.com/photos/team/public/2465_120x120.png,J2/J3 100 Year Vision League,LCMF,LCMF,86,,0,,0,32.0,1994-04-04,500000,,11,1081,0,0.04,0,0.27,11.99,56.25,Japan,['Japan'],left,181,73,False,7.66,3.91,70.21,3.91,57.45,0.08,0.13,0.42,4.83,7.63,0.8300000000000001,2,0.17,0,0.0,0.25,0.0,0,0.0,0.0,0,0.0,2,0.17,0.0,0.0,0.0,0.17,50.0,0.17,50.0,0.0,0.0,0.0,0.25,66.67,2.5,36.67,0.08,0.33,0.08,30.97,0.08,0.8300000000000001,48.46,82.65,17.32,68.27,8.24,92.93,42.88,87.57,5.49,45.45,17.48,37.53,0.02,0.25,0.0,0.17,0.0,0.0,0.08,7.83,67.02,1.0,41.67,0.42,40.0,0.5,0.0,7.16,67.44,91.3,13.4,0,,0,,0,0.0,0.0,0.0,,,0.75,,3.91,0.5,0.0,0.0,0.58,0,0
K. Haneda,Kento Haneda,-124600,Gifu,Gifu,https://cdn5.wyscout.com/photos/team/public/g8347_120x120.png,J2/J3 100 Year Vision League,RCB,RCB,98,,0,,0,28.0,1997-07-07,200000,,11,1081,0,0.28,0,0.0,11.24,63.7,Japan,['Japan'],right,186,80,False,7.41,3.08,75.68,4.58,60.0,0.0,0.0,0.58,5.08,6.5600000000000005,0.33,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1.33,43.75,0.5,0.17,0.0,27.22,0.25,0.33,43.54,86.04,20.48,77.64,1.67,100.0,39.55,90.53,4.0,41.67,18.04,34.14,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.58,63.64,0.5,16.67,0.33,50.0,0.08,0.0,7.16,58.14,92.35,15.24,0,,0,,0,0.0,0.0,0.0,,,0.75,,4.58,0.0,0.0,0.0,0.0,0,0
Serantes,Jon Ander Serantes Simon,61498,Gifu,Gifu,https://cdn5.wyscout.com/photos/team/public/g8347_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,36.0,1989-10-24,100000,,11,1081,0,0.0,0,0.0,0.75,100.0,Spain,['Spain'],right,184,74,False,2.25,0.17,100.0,0.08,100.0,0.0,0.0,0.0,2.08,2.69,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,10.32,0.17,0.5,17.57,75.83,11.16,64.18,0.0,0.0,8.91,96.26,8.66,54.81,35.04,49.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,0.42,0.0,0.42,0.0,0.0,0.0,4.91,66.1,95.31,5.33,13,1.08,32,2.66,2,59.38,10.21,0.85,-2.79,-0.232,0.0,1.17,0.08,,,,0.0,0,0
Y. Fukazawa,Yuta Fukazawa,-418940,Matsumoto Yamaga,Matsumoto Yamaga,https://cdn5.wyscout.com/photos/team/public/g12592_120x120.png,J2/J3 100 Year Vision League,DMF,DMF,93,,0,,0,25.0,2000-08-15,0,,11,1081,0,0.02,0,1.47,16.32,55.61,Japan,['Japan'],unknown,0,0,False,12.24,7.08,72.94,2.33,50.0,0.5,0.66,0.58,6.58,8.68,0.8300000000000001,0,0.0,0,0.0,0.5,0.0,0,0.0,0.0,0,0.0,3,0.25,0.0,0.0,0.0,0.58,28.57,0.33,25.0,0.17,0.0,0.0,0.75,33.33,4.25,33.33,0.25,0.42,0.0,16.57,0.08,0.67,37.22,75.39,16.73,64.68,3.16,94.74,30.31,81.59,6.33,50.0,18.65,35.27,0.12,0.8300000000000001,0.0,0.08,0.08,100.0,0.33,6.91,66.27,1.83,59.09,0.75,55.56,0.92,0.17,8.16,63.27,87.5,11.32,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.33,0.08,0.0,0.0,0.33,0,0
T. Shirai,Tatsuya Shirai,-189662,Matsumoto Yamaga,Matsumoto Yamaga,https://cdn5.wyscout.com/photos/team/public/g12592_120x120.png,J2/J3 100 Year Vision League,RCB3,RCB3,90,,0,,0,29.0,1997-04-05,75000,,11,1081,1,1.48,0,0.26,14.32,61.63,Japan,['Japan'],right,180,73,False,9.41,6.58,72.15,5.41,47.69,0.17,0.22,0.42,4.5,5.93,0.58,1,0.08,0,0.0,0.8300000000000001,0.08,1,0.08,0.12,0,0.0,5,0.42,60.0,20.0,0.0,0.33,100.0,0.0,0.0,0.33,100.0,0.0,0.25,100.0,1.17,85.71,0.75,0.17,0.0,11.82,0.08,0.67,25.14,74.17,12.74,63.4,1.83,81.82,20.73,81.53,4.25,37.25,20.27,39.48,0.02,0.42,0.0,0.08,0.0,0.0,0.25,3.25,43.59,0.58,57.14,0.08,0.0,0.17,0.25,6.08,52.05,85.06,7.24,0,,0,,0,0.0,0.0,0.0,,,0.67,,5.41,0.0,0.0,0.0,0.0,0,0
R. Maeda,Ryosuke Maeda,-189668,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,"RDMF, LDMF",RDMF,67,LDMF,20,,0,28.0,1998-03-02,400000,,11,1080,0,0.30000000000000004,0,3.02,15.33,53.8,Japan,['Japan'],right,171,64,False,10.5,6.5,65.38,2.5,50.0,0.25,0.37,0.25,6.0,8.89,0.8300000000000001,1,0.08,0,0.0,1.33,0.0,0,0.0,0.02,0,0.0,9,0.75,44.44,0.0,0.0,1.17,35.71,0.67,50.0,0.42,20.0,0.25,1.0,58.33,4.58,43.64,1.0,1.0,0.17,49.83,0.25,1.0,67.17,85.73,24.92,75.92,10.08,96.69,60.42,89.93,5.58,50.75,15.18,31.2,0.25,2.25,0.25,0.17,0.08,0.0,0.42,11.17,76.12,3.08,51.35,1.0,41.67,1.08,0.42,9.33,68.75,90.31,16.33,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.5,1.67,0.08,0.0,5.58,0,0
K. Kawakami,Kohei Kawakami,-562191,Kagoshima United,Kagoshima United,https://cdn5.wyscout.com/photos/team/public/g26869_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,24.0,2001-04-24,0,2026-06-30,11,1079,0,0.0,0,0.02,0.58,71.43,Japan,['Japan'],unknown,187,0,True,2.0,0.25,66.67,0.33,75.0,0.0,0.0,0.0,1.8399999999999999,2.41,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,7.67,0.17,0.08,13.76,61.82,12.68,58.55,0.0,0.0,1.8399999999999999,95.45,11.76,57.45,49.26,53.46,0.0,0.08,0.0,0.0,0.0,0.0,0.0,6.26,57.33,0.42,0.0,0.67,37.5,0.0,0.0,8.09,83.51,100.0,0.8300000000000001,8,0.67,21,1.75,6,61.9,5.82,0.49,-2.18,-0.182,0.0,1.58,0.33,,,,0.0,0,0
