Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Chanis,Emanuel Raphael Chanis Muñoz,409592,CD Universitario,CD Universitario,https://cdn5.wyscout.com/photos/team/public/g-8835_120x120.png,LPF,"RCB, LCB",RCB,87,LCB,11,,0,26.0,1998-12-21,125000,,24,2277,2,1.12,1,0.5700000000000001,11.5,62.89,Panama,['Panama'],,174,76,False,8.5,5.45,70.29,4.11,57.69,0.59,0.89,0.59,4.07,6.14,0.71,5,0.2,0,0.0,0.32,0.08,2,0.08,0.04,1,0.04,23,0.91,17.39,8.696,0.04,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.16,100.0,0.8300000000000001,61.9,0.79,0.28,0.04,20.12,0.36,0.24,34.43,84.16,15.49,73.98,1.94,93.88,26.48,90.6,7.87,63.32,25.9,42.54,0.02,0.12,0.0,0.0,0.0,0.0,0.04,4.11,54.81,0.4,40.0,0.16,75.0,0.2,0.0,8.42,71.83,94.75,15.06,0,,0,,0,0.0,0.0,0.0,,,1.5,,4.11,0.32,0.32,25.0,0.0,0,0.0
A. Machado,Adolfo Abdiel Machado,73169,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/g8128_120x120.png,LPF,"RCB, LCB",RCB,81,LCB,14,,0,40.0,1985-02-14,25000,2025-12-31,23,2266,0,0.08,0,1.17,9.49,59.41,Panama,['Panama'],right,181,71,False,7.86,3.85,69.07,3.5700000000000003,54.44,0.2,0.26,0.52,5.0,6.43,0.52,5,0.2,0,0.0,0.24,0.0,0,0.0,0.0,0,0.0,2,0.08,0.0,0.0,0.0,0.36,66.67,0.16,100.0,0.2,40.0,0.04,0.0,0.0,0.6000000000000001,26.67,0.08,0.16,0.0,11.6,0.12,0.36,24.9,77.99,14.38,69.61,0.91,95.65,18.07,84.4,6.51,60.37,24.78,35.27,0.05,0.9500000000000001,0.04,0.0,0.0,0.0,0.12,3.81,64.58,0.32,62.5,0.2,60.0,0.08,0.2,7.39,70.43,91.9,8.34,0,,0,,0,0.0,0.0,0.0,,,0.68,,3.5700000000000003,0.36,0.0,0.0,0.0,0,0.0
J. Guerra,José Carlos Guerra,350067,Tauro,Tauro,https://cdn5.wyscout.com/photos/team/public/3946_120x120.png,LPF,GK,GK,100,,0,,0,31.0,1994-09-12,125000,,23,2256,0,0.0,0,0.0,0.68,88.24,Panama,['Panama'],,185,68,False,1.56,0.08,50.0,0.32,87.5,0.0,0.0,0.0,1.52,2.2800000000000002,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,13.2,0.2,0.16,22.42,87.9,11.85,79.46,0.0,0.0,15.6,98.98,6.78,62.94,32.45,51.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,66.67,0.04,0.0,0.28,71.43,0.0,0.0,5.23,80.15,97.64,10.13,30,1.2,115,4.59,5,73.91,34.24,1.37,4.24,0.169,0.0,1.28,0.32,,,,0.0,0,0.0
J. Emmons,Jeremy Josue Emmons Villalba,-597008,Veraguas,Veraguas,https://cdn5.wyscout.com/photos/team/public/g26728_120x120.png,LPF,"LCB, RCB",LCB,57,RCB,36,,0,23.0,2002-08-14,0,,23,2174,2,0.78,0,0.0,14.94,55.96,Panama,['Panama'],unknown,0,0,False,10.06,7.41,61.45,4.14,57.0,0.08,0.11,0.91,5.42,7.2,1.82,8,0.33,0,0.0,0.12,0.08,2,0.08,0.03,2,0.08,9,0.37,22.22,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,20.0,1.28,45.16,0.54,0.12,0.0,10.85,0.37,0.66,23.97,79.27,13.74,71.69,0.75,88.89,18.59,87.31,5.38,51.54,21.37,33.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,53.23,0.37,0.0,0.12,0.0,0.0,0.0,5.63,58.09,90.53,7.0,0,,0,,0,0.0,0.0,0.0,,,0.58,,4.14,0.0,0.0,0.0,0.0,0,0.0
Rodrigo Tello,Rodrigo Tello Valor,-336843,Sporting San Miguelito,Sporting San Miguelito,https://cdn5.wyscout.com/photos/team/public/g8135_120x120.png,LPF,"DMF, RDMF, RCMF",DMF,27,RDMF,17,RCMF,15,22.0,2003-08-18,0,,22,2140,5,2.45,1,0.91,14.17,53.41,Panama,['Panama'],unknown,0,0,False,6.1,4.79,64.91,2.36,41.07,0.13,0.19,0.34,2.86,4.24,0.93,5,0.21,0,0.0,1.3900000000000001,0.21,5,0.21,0.1,2,0.08,31,1.3,35.48,16.129,0.04,0.63,40.0,0.17,25.0,0.42,50.0,0.0,1.05,60.0,5.68,48.89,0.5,1.1400000000000001,0.04,22.88,0.34,1.6400000000000001,35.75,76.0,17.2,65.77,2.44,84.48,27.42,84.51,7.7,48.63,21.18,37.6,0.04,0.55,0.0,0.0,0.34,12.5,0.38,9.63,61.14,2.48,44.07,1.72,31.71,0.88,0.25,9.17,80.73,88.06,11.27,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.36,0.46,0.0,0.0,0.0,0,0.0
A. Palmezano,Andrés David Palmezano Andrade,-115461,UMECIT,UMECIT,https://cdn5.wyscout.com/photos/team/public/g-17435_120x120.png,LPF,"RB, RWB",RB,58,RWB,16,,0,26.0,1999-04-05,100000,,22,2126,0,0.14,2,2.18,12.23,52.6,Colombia,['Colombia'],right,173,0,False,5.38,5.12,60.33,0.68,18.75,0.13,0.2,0.21,2.16,3.36,1.31,4,0.17,1,0.04,1.69,0.0,0,0.0,0.01,0,0.0,7,0.30000000000000004,0.0,0.0,0.08,2.2,36.54,0.08,50.0,2.12,36.0,0.25,1.44,61.76,5.16,50.82,0.30000000000000004,0.97,0.17,21.93,1.23,1.82,30.14,82.87,11.9,77.94,4.66,97.27,23.49,90.99,4.7,61.26,20.4,38.48,0.09,0.72,0.0,0.0,0.04,0.0,0.42,3.98,72.34,2.07,40.82,0.21,60.0,0.30000000000000004,0.8,7.2,81.18,82.11,9.23,0,,0,,0,0.0,0.0,0.0,,,0.34,,0.68,0.08,0.0,0.0,0.04,0,0.0
R. Rodríguez,Rodolfo Rodríguez de los Rìos,-106448,Tauro,Tauro,https://cdn5.wyscout.com/photos/team/public/3946_120x120.png,LPF,"RCB, RB, RCB3",RCB,59,RB,26,RCB3,10,26.0,1999-03-18,125000,,23,2118,0,1.35,0,0.28,12.41,52.74,Panama,['Panama'],right,180,72,False,8.33,5.74,62.22,2.9699999999999998,44.29,0.25,0.36,0.59,4.5,6.33,0.93,3,0.13,0,0.0,0.47000000000000003,0.0,0,0.0,0.06,0,0.0,7,0.30000000000000004,42.86,0.0,0.0,0.59,35.71,0.0,0.0,0.59,35.71,0.0,0.25,50.0,2.04,41.67,0.55,0.93,0.04,25.54,0.76,0.68,38.84,83.37,17.42,73.9,2.85,100.0,32.59,90.09,5.69,49.25,21.47,34.95,0.01,0.17,0.0,0.0,0.04,0.0,0.0,4.63,52.29,0.98,34.78,0.38,22.22,0.25,0.21,7.82,71.2,93.16,14.92,0,,0,,0,0.0,0.0,0.0,,,1.44,,2.9699999999999998,0.0,0.0,0.0,0.0,0,0.0
J. Vargas,Jan Carlos Vargas Campo,282238,Tauro,Tauro,https://cdn5.wyscout.com/photos/team/public/3946_120x120.png,LPF,"LCB, RCB, CB",LCB,57,RCB,27,CB,14,30.0,1994-09-27,175000,,22,2107,0,1.02,0,0.02,11.83,62.82,Panama,['Panama'],right,182,81,False,8.29,3.84,71.11,6.02,63.12,0.09,0.12,0.73,5.47,7.66,0.56,0,0.0,0,0.0,0.38,0.0,0,0.0,0.04,0,0.0,10,0.43,40.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.21,100.0,0.9,57.14,0.6000000000000001,0.17,0.0,22.9,0.17,0.56,37.63,86.61,18.54,77.88,1.67,87.18,31.35,92.64,6.24,56.85,23.24,37.2,0.0,0.09,0.0,0.09,0.0,0.0,0.0,4.06,62.11,0.26,33.33,0.21,40.0,0.09,0.0,7.73,73.48,97.21,15.33,0,,0,,0,0.0,0.0,0.0,,,1.15,,6.02,0.0,0.0,0.0,0.0,0,0.0
M. Casazola,Michael Casazola Alvarado,276675,CD Universitario,CD Universitario,https://cdn5.wyscout.com/photos/team/public/g-8835_120x120.png,LPF,RB,RB,98,,0,,0,32.0,1993-04-27,75000,,24,2103,0,0.44,2,1.44,14.72,50.87,Panama,['Panama'],,168,74,False,7.79,6.68,58.97,1.67,41.03,0.21,0.32,0.30000000000000004,3.64,5.37,0.98,7,0.30000000000000004,0,0.0,1.5,0.0,0,0.0,0.02,0,0.0,10,0.43,30.0,0.0,0.09,2.87,32.84,0.0,0.0,2.87,32.84,0.39,1.03,41.67,3.85,45.56,0.6000000000000001,1.37,0.30000000000000004,19.9,2.44,1.28,30.21,72.8,13.61,69.18,3.47,92.59,23.54,82.18,3.89,43.96,20.59,36.96,0.06,0.73,0.0,0.04,0.0,0.0,0.34,4.88,62.28,2.4,48.21,0.26,33.33,0.43,0.9400000000000001,8.43,73.1,76.12,8.6,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.67,0.0,0.0,0.0,0.0,0,0.0
R. Blackburn,Rolando Manrique Blackburn Ortega,116041,San Francisco,San Francisco,https://cdn5.wyscout.com/photos/team/public/3803_120x120.png,LPF,CF,CF,100,,0,,0,35.0,1990-01-09,100000,,25,2079,12,10.15,1,1.06,17.92,39.86,Panama,['Panama'],right,180,76,False,1.82,1.08,64.0,6.75,53.21,0.04,0.07,0.04,1.08,1.76,0.87,5,0.22,0,0.0,1.77,0.52,11,0.48,0.44,4,0.17,71,3.07,52.11,16.901,0.04,0.09,0.0,0.04,0.0,0.04,0.0,0.0,0.39,44.44,6.84,28.48,3.38,0.13,0.0,8.96,1.8599999999999999,1.56,13.72,80.13,2.47,64.91,4.24,92.86,13.03,81.73,0.61,57.14,14.43,13.93,0.05,0.61,0.09,0.0,0.04,0.0,0.17,1.34,51.61,0.61,64.29,0.04,0.0,0.61,0.0,1.08,64.0,79.8,4.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.75,0.48,0.48,27.27,0.0,1,100.0
