Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Monreal,Antonny Adrián Monreal de la Cruz,408485,Municipal Liberia,Municipal Liberia,https://cdn5.wyscout.com/photos/team/public/g5042_120x120.png,Primera División,GK,GK,100,,0,,0,30.0,1994-10-14,175000,2025-12-31,11,1111,0,0.0,0,0.0,0.5700000000000001,85.71,Mexico,['Mexico'],right,187,84,False,0.97,0.08,0.0,0.32,100.0,0.0,0.0,0.0,0.97,1.3,0.08,3,0.24,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,4.29,0.16,0.16,10.61,80.15,6.8,70.24,0.0,0.0,6.72,96.39,3.81,53.19,35.08,55.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,33.33,0.08,100.0,0.08,100.0,0.0,0.0,2.84,71.43,97.73,3.56,11,0.89,40,3.24,4,72.5,12.34,1.0,1.34,0.109,0.0,1.38,0.32,,,,0.0,0,0
E. Alvarado,Esteban Alvarado Brown,89223,Deportivo Saprissa,Deportivo Saprissa,https://cdn5.wyscout.com/photos/team/public/671_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1989-04-28,100000,,11,1108,0,0.0,0,0.0,0.16,0.0,Costa Rica,['Costa Rica'],right,193,89,False,1.06,0.08,0.0,0.0,0.0,0.08,0.14,0.0,0.97,1.6400000000000001,0.08,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69,0.24,0.0,14.13,85.63,8.94,79.09,0.0,0.0,9.02,98.2,5.12,63.49,32.0,47.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,46.67,0.0,0.0,0.0,0.0,0.0,0.0,3.9,75.0,98.28,4.71,14,1.1400000000000001,38,3.09,4,63.16,12.11,0.98,-1.8900000000000001,-0.154,0.0,0.49,0.0,,,,0.0,0,0
L. Moreira,Leonel Moreira Ledezma,104803,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,GK,GK,100,,0,,0,35.0,1990-04-02,200000,,11,1098,0,0.0,0,0.0,0.5700000000000001,71.43,Costa Rica,['Costa Rica'],right,179,74,False,0.98,0.0,0.0,0.25,66.67,0.0,0.0,0.0,0.98,1.3900000000000001,0.08,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,66.67,0.0,0.0,0.0,9.02,0.16,0.25,17.54,85.51,10.16,75.81,0.0,0.0,11.31,97.1,6.23,64.47,34.2,53.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,56.52,0.08,0.0,0.0,0.0,0.08,0.0,5.25,78.13,98.82,6.97,14,1.15,36,2.95,3,61.11,11.35,0.93,-2.65,-0.217,0.0,1.72,0.25,,,,0.0,0,0
M. Hernández,Marcel Hernández Campanioni,162704,Herediano,Herediano,https://cdn5.wyscout.com/photos/team/public/666_120x120.png,Primera División,CF,CF,100,,0,,0,36.0,1989-07-11,275000,2025-12-31,11,1085,5,5.74,1,0.28,17.83,33.49,Cuba,['Cuba'],right,186,74,False,2.24,1.33,75.0,7.63,40.22,0.0,0.0,0.0,1.24,2.1,0.41000000000000003,3,0.25,0,0.0,1.82,0.41000000000000003,4,0.33,0.48,3,0.25,29,2.41,48.28,17.241,0.08,0.5,16.67,0.33,25.0,0.17,0.0,0.0,1.33,43.75,6.97,22.62,3.4,0.25,0.0,12.61,2.65,0.8300000000000001,17.42,74.76,3.65,54.55,4.8100000000000005,87.93,16.59,76.0,0.33,100.0,15.47,10.85,0.02,0.41000000000000003,0.0,0.0,0.0,0.0,0.17,1.82,72.73,1.33,62.5,0.0,0.0,1.16,0.08,1.74,85.71,82.81,5.31,0,,0,,0,0.0,0.0,0.0,,,0.08,,7.63,0.08,0.08,0.0,0.0,2,50
J. Agüero,Jean Carlo Agüero Duarte,281851,San Carlos,San Carlos,https://cdn5.wyscout.com/photos/team/public/669_120x120.png,Primera División,"RCB, LCB",RCB,65,LCB,18,,0,32.0,1993-07-06,200000,,11,1051,0,0.02,0,0.0,9.85,58.26,Costa Rica,['Costa Rica'],right,178,70,False,7.45,4.2,71.43,2.4,46.43,0.17,0.26,0.51,4.28,6.44,0.6000000000000001,2,0.17,1,0.09,0.09,0.0,0,0.0,0.0,0,0.0,1,0.09,100.0,0.0,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.9400000000000001,9.09,0.34,0.51,0.0,35.28,0.6000000000000001,0.09,52.75,88.31,23.12,81.11,3.68,88.37,46.24,92.22,6.42,61.33,21.76,42.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,75.36,0.26,33.33,0.09,0.0,0.17,0.0,10.7,66.4,96.25,20.55,0,,0,,0,0.0,0.0,0.0,,,1.97,,2.4,0.0,0.0,0.0,0.0,0,0
J. Cortés,Johan Enrique Cortés Alfaro,-104956,Municipal Liberia,Municipal Liberia,https://cdn5.wyscout.com/photos/team/public/g5042_120x120.png,Primera División,"LCB, LCB3",LCB,50,LCB3,47,,0,25.0,1999-12-05,150000,,11,1035,0,0.25,1,0.54,12.0,63.04,Costa Rica,['Costa Rica'],left,0,0,False,8.17,6.09,64.29,3.48,60.0,0.7000000000000001,0.93,0.43,3.5700000000000003,4.75,1.83,2,0.17,0,0.0,0.17,0.0,0,0.0,0.02,0,0.0,3,0.26,0.0,0.0,0.09,0.09,100.0,0.09,100.0,0.0,0.0,0.09,0.17,50.0,1.04,50.0,0.17,1.57,0.0,25.3,0.26,0.61,38.78,81.84,20.61,71.31,1.04,91.67,32.52,89.57,6.17,40.85,22.26,39.41,0.05,0.17,0.0,0.0,0.0,0.0,0.09,6.96,55.0,0.96,27.27,0.78,33.33,0.35000000000000003,0.09,8.61,70.71,95.24,14.61,0,,0,,0,0.0,0.0,0.0,,,0.26,,3.48,0.09,0.0,0.0,0.0,0,0
K. Carvajal,Kenneth Alejandro Carvajal Mondragón,451487,Guadalupe,Guadalupe,https://cdn5.wyscout.com/photos/team/public/g39490_120x120.png,Primera División,"RB5, RB",RB5,67,RB,15,,0,28.0,1997-07-22,0,,11,1026,0,0.06,1,0.68,18.25,41.35,Costa Rica,['Costa Rica'],right,181,76,False,7.98,7.8100000000000005,56.18,3.42,28.21,0.79,1.02,0.26,2.81,3.62,0.96,2,0.18,0,0.0,2.02,0.0,0,0.0,0.01,0,0.0,4,0.35000000000000003,25.0,0.0,0.09,1.67,52.63,0.18,100.0,1.49,47.06,0.18,2.63,40.0,5.35,31.15,0.53,0.53,0.0,13.42,1.05,0.61,21.4,76.23,7.46,60.0,3.68,95.24,15.79,86.11,4.04,45.65,20.48,33.57,0.06,0.53,0.0,0.0,0.09,0.0,0.35000000000000003,3.77,67.44,1.4,50.0,0.09,0.0,0.35000000000000003,0.79,5.0,73.68,80.56,6.32,0,,0,,0,0.0,0.0,0.0,,,0.61,,3.42,0.0,0.0,0.0,0.0,0,0
W. Ortega,Washington Jesús Ortega Olivera,361561,Alajuelense,Alajuelense,https://cdn5.wyscout.com/photos/team/public/665_120x120.png,Primera División,GK,GK,100,,0,,0,30.0,1994-11-13,700000,,10,1015,0,0.25,0,0.0,0.44,100.0,Uruguay,['Uruguay'],left,182,78,False,0.89,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,0.89,1.49,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,9.13,0.0,0.09,15.96,87.22,8.87,78.0,0.0,0.0,11.53,99.23,4.43,56.0,32.16,54.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,54.55,0.09,0.0,0.0,0.0,0.0,0.0,3.1,82.86,98.53,6.03,6,0.53,42,3.7199999999999998,6,85.71,9.58,0.85,3.58,0.317,0.0,1.06,0.35000000000000003,,,,0.0,0,0
K. Briceño,Kevin Andres Briceño Toruño,167593,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,GK,GK,100,,0,,0,33.0,1991-10-21,225000,2026-06-30,10,1015,0,0.0,0,0.0,0.8,88.89,Costa Rica,['Costa Rica'],right,186,81,False,1.33,0.0,0.0,0.44,80.0,0.0,0.0,0.0,1.33,1.74,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,8.16,0.27,0.27,14.1,78.62,8.69,68.37,0.0,0.0,7.8,94.32,6.3,59.15,39.03,56.59,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.75,64.52,0.0,0.0,0.09,0.0,0.0,0.0,5.32,70.0,94.92,5.23,4,0.35000000000000003,38,3.37,7,89.47,9.49,0.84,5.49,0.487,0.0,2.13,0.44,,,,0.0,0,0
F. Escobar,Fidel Escobar Mendieta,294835,Deportivo Saprissa,Deportivo Saprissa,https://cdn5.wyscout.com/photos/team/public/671_120x120.png,Primera División,"LCB, RDMF, LCMF",LCB,35,RDMF,24,LCMF,21,30.0,1995-01-09,375000,2026-12-31,10,1012,0,0.81,1,0.6000000000000001,14.85,56.89,Panama,['Panama'],right,184,74,False,9.43,4.8,66.67,5.51,58.06,0.18,0.30000000000000004,0.27,6.05,10.25,0.98,2,0.18,0,0.0,1.42,0.0,0,0.0,0.07,0,0.0,16,1.42,18.75,0.0,0.09,0.98,45.45,0.53,33.33,0.44,60.0,0.0,0.8,88.89,2.85,46.88,0.98,0.53,0.0,30.33,1.07,0.62,47.49,82.21,19.48,71.23,3.74,90.48,38.33,89.33,8.18,53.26,23.21,41.76,0.05,0.44,0.18,0.0,0.0,0.0,0.36,8.18,71.74,2.31,26.92,0.36,0.0,0.44,0.53,10.05,76.11,92.07,20.19,0,,0,,0,0.0,0.0,0.0,,,0.71,,5.51,0.0,0.0,0.0,0.0,0,0
