Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Sigurjonsson,Vilhelm Thrainn Sigurjonsson,509669,ÍR,ÍR,https://cdn5.wyscout.com/photos/team/public/4069_120x120.png,1. Deild,GK,GK,100,,0,,0,23.0,2002-05-17,25000,,18,1765,0,0.0,0,0.0,0.51,90.0,Iceland,['Iceland'],,193,88,False,3.52,0.1,100.0,0.25,100.0,0.0,0.0,0.05,3.42,4.35,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,10.45,0.05,0.0,22.54,77.15,14.99,68.03,0.0,0.0,12.14,95.8,10.3,55.94,36.78,50.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,47.83,0.41000000000000003,25.0,0.36,0.0,0.05,0.0,7.9,70.32,95.65,7.04,19,0.97,75,3.8200000000000003,6,74.67,17.93,0.91,-1.07,-0.055,0.0,1.53,0.25,,,,0.0,0,0.0
Þ. Guðmundsson,Thórhallur Ísak Gudmundsson,-338488,Thróttur Reykjavík,Thróttur Reykjavík,https://cdn5.wyscout.com/photos/team/public/4116_120x120.png,1. Deild,GK,GK,100,,0,,0,25.0,1999-11-12,0,,18,1759,0,0.0,0,0.0,1.07,80.95,Iceland,['Iceland'],unknown,0,0,False,2.05,0.15,100.0,0.77,80.0,0.05,0.07,0.0,1.8399999999999999,2.58,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,18.21,0.2,0.2,30.24,82.91,15.45,71.19,0.05,0.0,20.57,97.01,9.62,53.19,31.85,53.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,3.74,36.99,0.36,0.0,0.15,33.33,0.0,0.0,7.16,70.0,95.24,13.97,28,1.43,89,4.55,2,68.54,22.71,1.16,-5.29,-0.271,0.0,2.71,0.77,,,,0.0,0,0.0
E. Blöndal,Eiríkur Thorsteinsson Blöndal,-254828,Thróttur Reykjavík,Thróttur Reykjavík,https://cdn5.wyscout.com/photos/team/public/4116_120x120.png,1. Deild,"LWB, RWB, LB5",LWB,47,RWB,18,LB5,18,23.0,2001-09-11,50000,,18,1759,3,1.71,3,3.04,17.96,55.27,Iceland,['Iceland'],unknown,0,0,False,12.28,7.06,65.22,2.0,46.15,1.23,1.72,0.36,6.45,9.02,0.56,3,0.15,0,0.0,4.25,0.15,3,0.15,0.09,0,0.0,23,1.18,52.17,13.043,0.15,4.2,29.27,2.9699999999999998,31.03,1.23,25.0,0.77,3.99,60.26,6.8100000000000005,48.87,1.8900000000000001,2.4,0.41000000000000003,25.43,3.63,0.97,37.81,70.5,12.02,61.28,5.78,94.69,27.58,80.89,6.19,52.07,21.82,36.83,0.16,0.97,0.05,0.05,0.0,0.0,0.56,5.22,64.71,4.71,42.39,0.77,53.33,1.28,1.38,10.64,70.67,70.31,14.99,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.0,0.05,0.0,0.0,0.0,0,0.0
A. Stefánsson,Aron Birkir Stefánsson,404184,Thór,Thór,https://cdn5.wyscout.com/photos/team/public/3581_120x120.png,1. Deild,GK,GK,100,,0,,0,26.0,1999-01-01,50000,2026-12-31,18,1759,0,0.0,0,0.0,0.67,92.31,Iceland,['Iceland'],right,0,0,False,1.33,0.0,0.0,0.61,91.67,0.0,0.0,0.0,1.33,1.76,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.2,0.1,23.02,80.22,15.86,73.87,0.05,0.0,11.77,96.52,11.0,63.72,37.03,51.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,52.7,0.31,16.67,0.2,50.0,0.05,0.0,8.8,77.33,96.06,6.5,23,1.18,75,3.84,5,69.33,20.45,1.05,-2.55,-0.13,0.0,1.69,0.61,,,,0.0,0,0.0
R. Błąkała,Robert Błąkała,298565,Selfoss,Selfoss,https://cdn5.wyscout.com/photos/team/public/2943_120x120.png,1. Deild,GK,GK,100,,0,,0,31.0,1994-01-12,0,2025-12-31,18,1755,0,0.0,0,0.0,0.87,76.47,Poland,['Poland'],right,190,78,False,2.05,0.15,33.33,0.56,81.82,0.05,0.06,0.0,1.9500000000000002,2.36,0.0,3,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,7.69,0.21,0.26,15.79,76.62,11.54,69.33,0.0,0.0,6.05,96.61,9.74,64.21,37.61,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,60.0,0.15,0.0,0.05,0.0,0.0,0.0,7.54,78.23,95.71,3.59,32,1.6400000000000001,91,4.67,4,64.84,25.94,1.33,-6.06,-0.311,0.0,2.1,0.56,,,,0.0,0,0.0
R. Ragnarsson,Ragnar Óli Ragnarsson,-282866,Thór,Thór,https://cdn5.wyscout.com/photos/team/public/3581_120x120.png,1. Deild,RCB,RCB,97,,0,,0,22.0,2003-02-28,0,,18,1750,1,1.62,0,0.71,11.67,61.23,Iceland,['Iceland'],unknown,0,0,False,6.89,4.22,67.07,4.47,57.47,0.1,0.14,0.72,3.96,5.24,1.23,3,0.15,0,0.0,0.93,0.05,1,0.05,0.08,0,0.0,13,0.67,30.77,7.692,0.0,0.51,40.0,0.05,0.0,0.46,44.44,0.05,0.62,83.33,1.34,69.23,1.03,0.51,0.0,24.17,0.36,0.41000000000000003,37.59,85.91,17.9,79.02,2.52,95.92,30.03,92.29,7.15,62.59,23.3,41.53,0.04,0.1,0.05,0.1,0.0,0.0,0.05,6.74,70.99,1.03,45.0,0.46,66.67,0.51,0.1,9.05,81.82,92.49,15.07,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,4.47,0.1,0.0,0.0,0.0,0,0.0
M. Niemelä,Matias Niemelä,-92069,Grindavík,Grindavík,https://cdn5.wyscout.com/photos/team/public/2940_120x120.png,1. Deild,GK,GK,100,,0,,0,23.0,2002-03-15,50000,,18,1747,0,0.0,0,0.0,0.88,82.35,Finland,['Finland'],left,190,82,True,2.32,0.05,100.0,0.5700000000000001,72.73,0.0,0.0,0.0,2.27,2.59,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.21,100.0,0.0,0.0,0.0,13.39,0.36,0.21,24.63,82.22,13.96,72.69,0.0,0.0,13.86,97.4,10.72,62.98,32.37,48.36,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.96,36.84,0.15,0.0,0.15,0.0,0.0,0.0,8.09,73.25,95.4,8.96,51,2.63,135,6.95,0,62.22,43.68,2.25,-7.32,-0.377,0.0,1.96,0.5700000000000001,,,,0.0,0,0.0
Dennis Nieblas,Dennis  Nieblas Moreno,306824,Grindavík,Grindavík,https://cdn5.wyscout.com/photos/team/public/2940_120x120.png,1. Deild,RCB,RCB,98,,0,,0,34.0,1990-10-16,0,,18,1722,1,0.24,0,0.17,11.81,54.87,Spain,['Spain'],right,189,82,False,8.94,4.49,63.95,4.34,45.78,0.16,0.18,1.46,5.91,6.75,1.05,2,0.1,0,0.0,0.21,0.05,1,0.05,0.01,1,0.05,4,0.21,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.68,53.85,0.63,0.52,0.0,22.84,0.16,0.21,34.49,81.36,16.83,69.25,2.93,98.21,26.86,89.49,7.63,52.74,23.85,38.16,0.01,0.1,0.0,0.05,0.05,0.0,0.0,4.65,59.55,0.42,0.0,0.31,16.67,0.05,0.0,8.78,66.07,94.89,12.28,0,,0,,0,0.0,0.0,0.0,,,2.4,,4.34,0.0,0.0,0.0,0.0,0,0.0
E. Sverrisson,Eysteinn Ernir Sverrisson,-340107,Selfoss,Selfoss,https://cdn5.wyscout.com/photos/team/public/2943_120x120.png,1. Deild,LB,LB,94,,0,,0,18.0,2007-06-06,0,,18,1706,0,0.03,0,1.25,17.3,52.13,Iceland,['Iceland'],unknown,0,0,False,9.44,8.86,59.52,1.74,27.27,0.47000000000000003,0.58,0.11,3.69,4.49,0.58,1,0.05,0,0.0,1.9,0.0,0,0.0,0.0,0,0.0,2,0.11,0.0,0.0,0.0,2.22,38.1,2.0,36.84,0.16,33.33,0.32,1.6400000000000001,61.29,4.11,56.41,0.26,1.74,0.16,22.0,0.84,1.21,31.86,72.02,12.77,57.85,4.96,90.43,22.79,84.72,6.86,40.77,21.72,37.61,0.07,0.53,0.0,0.0,0.05,100.0,0.11,5.28,57.0,2.37,42.22,0.58,36.36,0.32,0.79,8.39,62.26,78.95,10.02,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.74,0.42,0.0,0.0,0.79,0,0.0
A. Magnússon,Ásgeir Páll Magnússon,450217,Keflavík,Keflavík,https://cdn5.wyscout.com/photos/team/public/2936_120x120.png,1. Deild,LB,LB,96,,0,,0,24.0,2000-09-07,25000,,18,1691,2,1.73,1,1.62,23.63,59.46,Iceland,['Iceland'],,180,0,False,12.29,8.78,71.52,4.1,61.04,0.21,0.27,0.59,5.8,7.38,0.96,0,0.0,0,0.0,4.15,0.11,2,0.11,0.09,1,0.05,18,0.96,33.33,11.111,0.05,3.46,33.85,3.46,33.85,0.0,0.0,0.9,3.83,68.06,9.05,53.53,1.8599999999999999,3.73,0.32,37.74,1.22,1.44,51.47,76.84,22.14,69.95,4.95,89.25,40.93,85.44,7.34,48.55,20.68,38.43,0.09,1.01,0.0,0.0,0.11,50.0,0.48,9.21,64.74,3.94,45.95,0.8,26.67,0.9,1.06,11.98,70.22,82.63,17.78,0,,0,,0,0.0,0.0,0.0,,,0.59,,4.1,0.11,0.11,50.0,0.0,0,0.0
