Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Pirić,Kenan Pirić,249226,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/899_120x120.png,Premyer Liqa,GK,GK,100,,0,,0,31.0,1994-07-07,800000,2026-06-30,7,689,0,0.0,0,0.0,0.0,0.0,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,192,89,False,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.07,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.26,0.0,13.85,87.74,8.36,79.69,0.0,0.0,8.88,100.0,4.96,65.79,30.61,50.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,57.14,0.0,0.0,0.13,0.0,0.0,0.0,4.44,82.35,100.0,4.18,4,0.52,19,2.48,4,78.95,4.42,0.58,0.42,0.055,0.0,0.39,0.0,,,,0.0,0,0
Tiago Silva,Tiago Fernando Penela Silva,-40355,Zira,Zira,https://cdn5.wyscout.com/photos/team/public/g31325_120x120.png,Premyer Liqa,GK,GK,100,,0,,0,25.0,2000-03-28,600000,,7,681,0,0.0,0,0.0,0.26,100.0,Portugal,['Portugal'],right,185,79,False,1.72,0.0,0.0,0.13,100.0,0.0,0.0,0.0,1.72,2.98,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,10.7,0.13,0.13,15.73,85.71,10.97,79.52,0.0,0.0,9.65,98.63,6.08,65.22,29.07,44.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,71.43,0.0,0.0,0.0,0.0,0.0,0.0,4.63,68.57,100.0,4.23,7,0.93,28,3.7,1,75.0,8.21,1.08,1.21,0.16,0.0,0.79,0.13,,,,0.0,0,0
Q. Aliyev,Qismat Aliyev,393238,Zira,Zira,https://cdn5.wyscout.com/photos/team/public/g31325_120x120.png,Premyer Liqa,"RB, LB",RB,85,LB,11,,0,28.0,1996-10-24,900000,2026-06-30,7,681,1,0.04,1,1.34,13.35,54.46,Azerbaijan,['Azerbaijan'],right,175,70,False,9.65,6.21,74.47,1.06,50.0,0.26,0.46,0.0,4.76,8.24,0.66,2,0.26,0,0.0,2.7800000000000002,0.13,1,0.13,0.01,0,0.0,3,0.4,33.33,33.333,0.13,5.02,39.47,0.66,20.0,4.36,42.42,0.4,1.19,55.56,3.96,30.0,0.79,1.72,0.26,29.6,1.5899999999999999,0.66,39.38,83.56,11.37,76.74,9.12,100.0,32.25,92.62,2.38,50.0,18.96,39.8,0.18,1.72,0.0,0.0,0.0,0.0,0.53,3.83,72.41,4.49,41.18,0.13,0.0,0.26,1.85,6.48,79.59,75.86,11.5,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.06,1.98,0.4,33.33,1.45,0,0
Ruan Renato,Ruan Renato Bonifacio Augusto,395280,Zira,Zira,https://cdn5.wyscout.com/photos/team/public/g31325_120x120.png,Premyer Liqa,LCB,LCB,97,,0,,0,31.0,1994-01-14,750000,,7,681,2,2.23,0,0.0,10.7,54.32,Brazil,['Brazil'],left,188,80,False,6.87,4.76,63.89,2.64,55.0,0.13,0.23,0.26,3.7,6.41,1.5899999999999999,2,0.26,0,0.0,0.66,0.26,0,0.0,0.29,0,0.0,7,0.93,57.14,28.571,0.0,0.13,100.0,0.13,100.0,0.0,0.0,0.0,0.0,0.0,1.45,18.18,0.66,1.5899999999999999,0.0,50.75,0.4,0.26,63.57,91.48,25.51,84.46,1.19,100.0,57.22,95.15,6.21,57.45,21.49,34.61,0.0,0.0,0.13,0.0,0.0,0.0,0.0,6.87,78.85,0.79,83.33,0.4,66.67,0.4,0.13,9.91,77.33,96.75,32.51,0,,0,,0,0.0,0.0,0.0,,,1.06,,2.64,0.0,0.0,0.0,0.0,2,100
David Santos,David Thomaz dos Santos Oliveira,-168636,Shamakhi FK,Shamakhi FK,https://cdn5.wyscout.com/photos/team/public/1837_120x120.png,Premyer Liqa,"CB, RCB",CB,85,RCB,14,,0,23.0,2001-10-14,0,2026-06-30,7,680,0,0.17,0,0.0,7.41,71.43,Brazil,['Brazil'],right,191,84,False,7.15,2.51,78.95,2.91,68.18,0.0,0.0,0.66,5.16,5.39,0.53,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,1.06,75.0,0.4,0.13,0.0,18.4,0.0,0.79,31.5,83.19,11.91,65.56,1.06,100.0,27.13,90.24,4.37,39.39,23.36,45.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7800000000000002,23.81,0.4,33.33,0.4,0.0,0.13,0.0,5.5600000000000005,61.9,96.8,16.54,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.91,0.0,0.0,0.0,0.0,0,0
Ricardo Fernandes,Ricardo José da Silva Fernandes,255702,Shamakhi FK,Shamakhi FK,https://cdn5.wyscout.com/photos/team/public/1837_120x120.png,Premyer Liqa,GK,GK,100,,0,,0,30.0,1994-10-28,125000,,7,680,0,0.0,0,0.0,0.4,33.33,Portugal,['Portugal'],right,193,85,False,1.72,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.72,1.8,0.13,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.26,0.13,10.46,72.15,7.01,60.38,0.0,0.0,5.29,97.5,5.16,46.15,39.74,54.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,41.18,0.0,0.0,0.13,0.0,0.0,0.0,3.71,60.71,95.65,3.04,7,0.93,33,4.37,2,78.79,7.79,1.03,0.79,0.105,0.0,0.93,0.0,,,,0.0,0,0
S. Ağayev,Salahat Ağayev,89319,Qabala,Qabala,https://cdn5.wyscout.com/photos/team/public/1843_120x120.png,Premyer Liqa,GK,GK,100,,0,,0,34.0,1991-01-04,250000,,7,678,0,0.0,0,0.0,0.27,100.0,Azerbaijan,['Azerbaijan'],right,190,83,False,1.8599999999999999,0.0,0.0,0.27,100.0,0.0,0.0,0.13,1.8599999999999999,2.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.13,0.0,13.54,85.29,5.18,64.1,0.0,0.0,11.02,95.18,2.52,42.11,27.63,39.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,33.33,0.13,0.0,0.27,0.0,0.0,0.0,2.65,35.0,98.11,7.04,9,1.19,31,4.12,1,70.97,8.6,1.1400000000000001,-0.4,-0.053,0.0,1.5899999999999999,0.27,,,,0.0,0,0
I. Gomis,Iron Gomis,-118842,Zira,Zira,https://cdn5.wyscout.com/photos/team/public/g31325_120x120.png,Premyer Liqa,"RDMF, RCMF, LDMF",RDMF,72,RCMF,13,LDMF,11,25.0,1999-11-09,900000,2026-06-30,7,677,0,0.21,0,0.07,18.88,61.27,France,"['France', 'Senegal']",right,182,78,False,8.38,7.58,70.18,2.79,71.43,0.0,0.0,0.27,3.06,5.31,1.46,3,0.4,1,0.13,0.8,0.0,0,0.0,0.03,0,0.0,2,0.27,0.0,0.0,0.0,1.06,37.5,0.53,25.0,0.53,50.0,0.13,0.93,42.86,6.12,47.83,1.06,2.79,0.0,50.92,0.8,1.6,63.41,91.82,18.61,88.57,10.24,97.4,58.76,94.57,3.59,62.96,17.9,41.22,0.01,0.27,0.0,0.0,0.0,0.0,0.0,9.17,85.51,1.06,62.5,0.0,0.0,0.4,0.4,8.77,84.85,92.11,25.26,0,,0,,0,0.0,0.0,0.0,,,1.2,,2.79,0.0,0.0,0.0,0.0,0,0
C. Avram,Cristian Avram,160239,Araz,Araz,https://cdn5.wyscout.com/photos/team/public/g24399_120x120.png,Premyer Liqa,GK,GK,100,,0,,0,31.0,1994-07-27,400000,2026-06-30,7,675,0,0.0,0,0.0,1.33,70.0,Moldova,['Moldova'],right,193,82,False,2.0,0.4,66.67,0.8,66.67,0.0,0.0,0.0,1.73,2.64,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,9.6,0.27,0.13,13.6,80.39,7.07,66.04,0.0,0.0,8.8,96.97,4.8,50.0,28.36,38.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,40.0,0.13,0.0,0.0,0.0,0.0,0.0,3.87,44.83,95.0,5.33,9,1.2,27,3.6,2,66.67,7.42,0.99,-1.58,-0.211,0.0,0.8,0.8,,,,0.0,0,0
O. Doyeni,Olawale Doyeni,-733743,Karvan,Karvan,https://cdn5.wyscout.com/photos/team/public/g3066_120x120.png,Premyer Liqa,"RB5, RCB3, RB",RB5,30,RCB3,28,RB,13,21.0,2004-08-04,0,,7,674,0,0.15,0,0.01,11.08,57.83,Nigeria,['Nigeria'],right,183,0,False,7.34,4.54,70.59,3.2,33.33,0.13,0.17,0.53,4.01,5.11,0.93,0,0.0,0,0.0,0.27,0.0,0,0.0,0.02,0,0.0,2,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,66.67,1.87,71.43,0.27,0.53,0.0,22.83,0.4,1.07,33.52,84.46,16.56,75.81,2.94,90.91,28.04,89.52,5.47,58.54,20.96,37.56,0.0,0.13,0.0,0.0,0.0,0.0,0.0,4.41,69.7,0.13,0.0,0.27,0.0,0.27,0.0,6.94,63.46,94.94,10.55,0,,0,,0,0.0,0.0,0.0,,,0.93,,3.2,0.0,0.0,0.0,0.0,0,0
