Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Gundel-Takács,Bence Gundel-Takács,423673,Zalaegerszegi TE,Zalaegerszegi TE,https://cdn5.wyscout.com/photos/team/public/354_120x120.png,NB I,GK,GK,100,,0,,0,27.0,1998-04-06,150000,2026-06-30,13,1289,0,0.0,0,0.0,0.84,83.33,Hungary,['Hungary'],left,193,75,False,1.54,0.14,50.0,0.56,100.0,0.0,0.0,0.0,1.47,2.01,0.0,3,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,11.66,0.14,0.14,21.09,83.77,12.99,75.27,0.0,0.0,15.08,96.3,6.0,52.33,30.71,53.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,36.36,0.07,0.0,0.14,50.0,0.0,0.0,5.03,61.11,97.35,7.89,22,1.54,72,5.03,2,69.44,24.31,1.7000000000000002,2.31,0.161,0.0,2.44,0.56,,,,0.0,0,0.0
Á. Varga,Ádám Varga,400654,Debrecen,Debrecen,https://cdn5.wyscout.com/photos/team/public/350_120x120.png,NB I,GK,GK,100,,0,,0,26.0,1999-02-12,350000,,13,1266,0,0.0,0,0.0,0.5700000000000001,100.0,Hungary,['Hungary'],right,191,78,True,1.78,0.0,0.0,0.5,100.0,0.0,0.0,0.0,1.78,2.25,0.0,2,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,10.52,0.14,0.07,17.13,85.89,10.09,76.76,0.0,0.0,10.38,99.32,6.75,65.26,31.87,47.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,29.41,0.07,0.0,0.07,0.0,0.0,0.0,5.26,75.68,98.97,6.9,18,1.28,70,4.98,3,74.29,20.86,1.48,2.86,0.203,0.0,1.78,0.5,,,,0.0,0,0.0
Q. Maceiras,Quentin Maceiras,446339,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,RB,RB,99,,0,,0,30.0,1995-10-10,500000,,13,1254,0,0.01,2,0.98,19.88,54.51,Switzerland,"['Switzerland', 'Spain']",right,180,75,False,9.55,8.83,62.6,2.94,41.46,0.14,0.19,0.43,3.88,5.09,1.87,4,0.29,0,0.0,2.44,0.0,0,0.0,0.0,0,0.0,2,0.14,0.0,0.0,0.14,2.3,40.63,0.0,0.0,2.22,41.94,0.14,2.15,70.0,5.96,50.6,0.65,1.87,0.72,25.91,1.29,1.3599999999999999,39.47,79.09,17.3,70.12,7.54,96.19,31.36,87.41,5.89,48.78,18.57,32.97,0.07,0.79,0.0,0.14,0.07,0.0,0.43,6.67,75.27,3.09,58.14,0.79,45.45,1.08,1.0,9.98,71.94,81.2,9.55,0,,0,,0,0.0,0.0,0.0,,,1.0,,2.94,0.0,0.0,0.0,0.0,0,0.0
P. Demjén,Patrik Demjén,316278,MTK,MTK,https://cdn5.wyscout.com/photos/team/public/349_120x120.png,NB I,GK,GK,100,,0,,0,27.0,1998-03-22,600000,2026-06-30,13,1253,0,0.0,0,0.0,0.65,66.67,Hungary,['Hungary'],right,185,83,False,1.3599999999999999,0.07,0.0,0.5,71.43,0.0,0.0,0.0,1.3599999999999999,1.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,0.22,0.0,23.34,77.54,14.94,66.35,0.0,0.0,13.29,98.38,9.98,50.36,33.23,46.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,23.08,0.07,0.0,0.22,33.33,0.0,0.0,7.76,62.04,98.15,7.76,22,1.58,67,4.8100000000000005,4,67.16,20.83,1.5,-1.17,-0.084,0.0,1.72,0.5,,,,0.0,0,0.0
A. Matko,Aljoša Matko,439054,Újpest,Újpest,https://cdn5.wyscout.com/photos/team/public/351_120x120.png,NB I,"RAMF, RW",RAMF,45,RW,33,,0,25.0,2000-03-29,1000000,2026-06-30,13,1223,7,4.15,0,1.0,12.73,45.66,Slovenia,['Slovenia'],right,177,70,False,3.31,3.39,58.7,2.06,42.86,0.0,0.0,0.07,1.32,1.94,0.96,1,0.07,0,0.0,2.13,0.52,7,0.52,0.31,1,0.07,25,1.8399999999999999,48.0,28.0,0.0,0.81,27.27,0.07,100.0,0.74,20.0,0.15,1.55,66.67,5.59,43.42,3.83,1.1,0.15,11.04,2.35,1.55,12.44,69.82,2.7199999999999998,54.05,3.16,86.05,10.96,74.5,0.74,40.0,15.54,27.11,0.07,0.59,0.0,0.0,0.0,0.0,0.29,0.66,55.56,0.52,71.43,0.0,0.0,0.66,0.15,2.13,48.28,72.73,3.24,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.06,0.0,0.0,0.0,0.0,0,0.0
T. Szűcs,Tamás Szűcs,-272269,Debrecen,Debrecen,https://cdn5.wyscout.com/photos/team/public/350_120x120.png,NB I,"LDMF, LCMF",LDMF,50,LCMF,23,,0,20.0,2005-01-16,0,2027-06-30,13,1216,2,0.5,0,1.02,17.69,57.32,Hungary,['Hungary'],right,170,62,False,9.4,5.77,74.36,2.07,46.43,0.74,0.93,0.22,4.37,5.48,0.96,3,0.22,0,0.0,2.52,0.15,2,0.15,0.04,0,0.0,19,1.4100000000000001,26.32,10.526,0.0,1.04,14.29,0.37,0.0,0.67,22.22,0.07,2.81,63.16,7.33,52.53,1.04,1.7000000000000002,0.30000000000000004,20.43,0.59,2.52,31.9,77.73,11.18,68.21,5.7,94.81,28.05,83.11,2.89,46.15,16.53,22.78,0.08,0.67,0.0,0.0,0.37,60.0,0.22,4.59,67.74,1.63,68.18,0.59,50.0,1.26,0.15,5.7,62.34,81.9,8.59,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.07,0.07,0.07,100.0,0.07,0,0.0
W. Golla,Wojciech Golla,162027,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,RCB,RCB,99,,0,,0,33.0,1992-01-12,500000,,13,1198,1,0.62,1,0.28,16.3,58.99,Poland,['Poland'],right,186,80,False,9.69,5.78,71.43,7.06,56.38,0.6000000000000001,0.78,0.68,4.96,6.47,1.28,3,0.23,0,0.0,0.8300000000000001,0.08,1,0.08,0.05,0,0.0,8,0.6000000000000001,37.5,12.5,0.08,0.6000000000000001,50.0,0.15,50.0,0.45,50.0,0.15,0.38,80.0,1.13,46.67,1.28,0.8300000000000001,0.0,32.45,0.38,0.23,46.05,87.93,16.23,74.07,1.9500000000000002,88.46,39.44,93.9,6.09,53.09,20.69,36.02,0.02,0.08,0.08,0.08,0.0,0.0,0.08,5.86,67.95,1.2,56.25,0.8300000000000001,36.36,0.53,0.30000000000000004,7.66,64.71,98.36,22.91,0,,0,,0,0.0,0.0,0.0,,,1.5,,7.06,0.0,0.0,0.0,0.0,0,0.0
M. Kata,Mihály Kata,-101342,MTK,MTK,https://cdn5.wyscout.com/photos/team/public/349_120x120.png,NB I,"RDMF, LDMF, DMF",RDMF,30,LDMF,20,DMF,20,23.0,2002-04-13,1000000,2026-06-30,13,1186,1,0.87,0,0.27,21.32,54.09,Hungary,['Hungary'],right,176,75,False,8.88,8.42,55.86,2.73,44.44,0.38,0.49,0.61,3.79,4.92,2.2800000000000002,4,0.30000000000000004,0,0.0,0.91,0.08,1,0.08,0.07,0,0.0,11,0.8300000000000001,27.27,9.091,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.8300000000000001,81.82,6.75,58.43,1.1400000000000001,0.68,0.08,28.08,0.08,2.5,44.17,89.86,11.69,75.32,7.66,97.03,40.3,92.66,3.79,62.0,18.13,38.28,0.02,0.68,0.0,0.08,0.0,0.0,0.08,6.53,77.91,0.61,75.0,0.15,0.0,0.46,0.0,5.92,75.64,94.83,17.61,0,,0,,0,0.0,0.0,0.0,,,0.91,,2.73,0.0,0.0,0.0,0.0,0,0.0
Á. Kovácsik,Ádám Kovácsik,90731,Paksi FC,Paksi FC,https://cdn5.wyscout.com/photos/team/public/360_120x120.png,NB I,GK,GK,100,,0,,0,34.0,1991-04-04,150000,,12,1178,0,0.0,0,0.0,0.61,87.5,Hungary,['Hungary'],right,193,84,False,1.15,0.15,50.0,0.31,100.0,0.0,0.0,0.08,1.07,1.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,7.11,0.0,0.23,12.3,78.88,10.08,75.76,0.0,0.0,4.13,96.3,8.1,70.75,43.2,51.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,70.59,0.0,0.0,0.38,0.0,0.0,0.0,6.65,87.36,96.43,2.14,17,1.3,61,4.66,2,72.13,17.68,1.35,0.68,0.052000000000000005,0.0,1.3,0.31,,,,0.0,0,0.0
B. Várkonyi,Bence Várkonyi,-149173,Zalaegerszegi TE,Zalaegerszegi TE,https://cdn5.wyscout.com/photos/team/public/354_120x120.png,NB I,"RCB, CB, LCB",RCB,57,CB,25,LCB,17,23.0,2002-03-18,0,2026-06-30,12,1177,0,0.9500000000000001,0,0.28,11.7,58.17,Hungary,['Hungary'],right,187,74,False,8.79,6.04,72.15,3.21,40.48,0.0,0.0,0.84,4.44,6.11,0.6900000000000001,3,0.23,1,0.08,0.0,0.0,0,0.0,0.07,0,0.0,6,0.46,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,41.18,0.61,0.08,0.0,28.75,0.54,0.38,39.3,90.66,14.07,80.43,1.6800000000000002,95.45,35.17,95.65,4.05,49.06,20.77,42.33,0.02,0.08,0.0,0.0,0.0,0.0,0.08,2.45,62.5,0.08,100.0,0.31,25.0,0.08,0.0,5.51,62.5,97.73,20.19,0,,0,,0,0.0,0.0,0.0,,,1.15,,3.21,0.0,0.0,0.0,0.0,0,0.0
