Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Koubek,Tomáš Koubek,146310,Slovan Liberec,Slovan Liberec,https://cdn5.wyscout.com/photos/team/public/762_120x120.png,Chance Liga,GK,GK,100,,0,,0,33.0,1992-08-26,800000,2027-06-30,24,2353,0,0.0,0,0.0,0.76,95.0,Czech Republic,['Czech Republic'],right,197,98,False,1.3,0.08,100.0,0.5,92.31,0.0,0.0,0.0,1.22,1.9,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,13.88,0.23,0.11,23.22,85.17,13.2,77.39,0.0,0.0,14.88,96.92,8.26,64.81,32.21,48.4,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.29,55.0,0.11,33.33,0.15,50.0,0.04,0.0,6.46,68.64,96.36,9.45,24,0.92,93,3.56,9,74.19,25.63,0.98,1.63,0.062,0.0,1.22,0.5,,,,0.0,0,0
M. Trmal,Matouš Trmal,519784,Teplice,Teplice,https://cdn5.wyscout.com/photos/team/public/761_120x120.png,Chance Liga,GK,GK,100,,0,,0,27.0,1998-10-02,400000,2026-06-30,24,2350,0,0.0,0,0.0,0.77,85.0,Czech Republic,['Czech Republic'],right,191,85,False,1.88,0.11,66.67,0.34,88.89,0.0,0.0,0.0,1.8,2.27,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.0,0.0,0.0,10.65,0.11,0.27,18.92,84.62,10.65,74.82,0.0,0.0,10.84,97.17,8.08,67.77,35.14,51.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,52.24,0.23,0.0,0.15,25.0,0.0,0.0,6.17,82.61,97.99,7.62,30,1.15,111,4.25,9,72.97,31.58,1.21,1.58,0.061,0.0,1.72,0.34,,,,0.0,0,0
S. Dostál,Stanislav Dostál,66314,Zlín,Zlín,https://cdn5.wyscout.com/photos/team/public/g536_120x120.png,Chance Liga,GK,GK,100,,0,,0,34.0,1991-06-20,250000,2027-06-30,24,2342,0,0.0,0,0.0,1.04,77.78,Czech Republic,['Czech Republic'],right,185,82,False,1.88,0.15,100.0,0.54,92.86,0.04,0.05,0.0,1.69,2.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.23,66.67,0.0,0.0,0.0,11.87,0.12,0.23,18.02,84.65,12.57,80.12,0.12,33.33,8.72,95.15,9.26,75.1,36.62,47.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,70.83,0.15,25.0,0.12,66.67,0.04,0.0,8.19,82.63,97.01,5.15,29,1.11,108,4.15,8,73.15,29.83,1.15,0.8300000000000001,0.032,0.0,2.08,0.54,,,,0.0,0,0
A. Zadražil,Adam Zadražil,492988,Hradec Králové,Hradec Králové,https://cdn5.wyscout.com/photos/team/public/2613_120x120.png,Chance Liga,GK,GK,100,,0,,0,25.0,2000-08-06,550000,2026-06-30,24,2339,0,0.0,0,0.0,1.04,88.89,Czech Republic,['Czech Republic'],right,193,85,False,1.92,0.12,100.0,0.58,100.0,0.0,0.0,0.0,1.81,2.24,0.0,1,0.04,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.23,66.67,0.0,0.0,0.04,12.81,0.35000000000000003,0.15,21.82,85.19,14.7,79.58,0.04,100.0,10.93,98.24,10.77,72.5,35.93,48.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,66.23,0.04,0.0,0.15,0.0,0.0,0.0,9.08,82.2,98.18,6.35,29,1.12,116,4.46,8,75.0,32.87,1.26,3.87,0.149,0.0,2.04,0.58,,,,0.0,0,0
N. Tekijaški,Nemanja Tekijaški,-74918,Jablonec,Jablonec,https://cdn5.wyscout.com/photos/team/public/766_120x120.png,Chance Liga,"CB, RCB",CB,84,RCB,11,,0,28.0,1997-03-02,550000,,23,2264,2,2.35,0,0.17,13.52,67.06,Serbia,['Serbia'],right,186,80,False,7.75,4.37,80.0,5.25,62.88,0.08,0.11,0.6000000000000001,4.17,5.65,0.64,4,0.16,0,0.0,0.6000000000000001,0.08,2,0.08,0.09,0,0.0,16,0.64,68.75,12.5,0.0,0.12,33.33,0.08,50.0,0.04,0.0,0.0,0.32,37.5,1.43,69.44,0.91,0.48,0.24,25.92,0.24,1.15,41.58,87.09,14.27,74.09,1.75,88.64,35.74,92.88,5.72,52.08,21.79,36.32,0.01,0.08,0.0,0.0,0.0,0.0,0.0,3.7,66.67,0.48,58.33,0.4,40.0,0.24,0.04,6.52,57.93,96.49,21.55,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,5.25,0.0,0.0,0.0,0.0,0,0
D. Krčík,Dávid Krčík,-182917,Viktoria Plzeň,Viktoria Plzeň,https://cdn5.wyscout.com/photos/team/public/764_120x120.png,Chance Liga,"LCB, RCB, CB",LCB,55,RCB,23,CB,16,26.0,1999-06-28,200000,2029-06-30,23,2250,8,4.07,1,0.51,13.44,65.48,Slovakia,['Slovakia'],right,189,86,False,9.2,5.72,73.43,4.84,66.94,0.08,0.13,0.64,4.92,7.82,1.16,2,0.08,0,0.0,0.72,0.32,5,0.2,0.16,3,0.12,17,0.68,52.94,47.059,0.04,0.52,53.85,0.2,20.0,0.32,75.0,0.12,0.08,50.0,0.76,36.84,0.96,0.96,0.12,35.8,0.36,0.36,51.84,89.35,19.52,78.07,3.2800000000000002,100.0,44.44,94.6,6.92,58.38,23.13,41.9,0.02,0.36,0.12,0.04,0.04,100.0,0.16,6.16,72.08,0.68,41.18,0.52,46.15,0.16,0.32,9.84,75.2,96.92,25.96,0,,0,,0,0.0,0.0,0.0,,,2.7199999999999998,,4.84,0.04,0.0,0.0,0.0,3,100
L. Hůlka,Lukáš  Hůlka,214329,Bohemians 1905,Bohemians 1905,https://cdn5.wyscout.com/photos/team/public/1952_120x120.png,Chance Liga,"RCB, RCB3",RCB,75,RCB3,12,,0,30.0,1995-03-31,375000,2026-06-30,23,2250,2,1.71,0,0.9400000000000001,12.84,61.68,Czech Republic,['Czech Republic'],right,182,74,False,8.16,5.0,74.4,4.04,52.48,0.04,0.06,0.64,4.4,6.1,0.72,1,0.04,0,0.0,0.6000000000000001,0.08,2,0.08,0.07,2,0.08,12,0.48,41.67,16.667,0.0,0.56,57.14,0.16,25.0,0.4,70.0,0.04,0.16,50.0,1.3599999999999999,47.06,0.88,0.52,0.0,21.72,0.56,0.8,36.8,81.74,16.8,71.43,2.4,98.33,29.96,88.12,6.36,53.46,22.46,39.42,0.04,0.16,0.0,0.0,0.04,0.0,0.08,6.04,63.58,0.88,54.55,0.28,28.57,0.32,0.32,7.08,64.41,92.09,14.16,0,,0,,0,0.0,0.0,0.0,,,1.6,,4.04,0.08,0.08,50.0,0.0,0,0
L. Červ,Lukáš Červ,-142623,Viktoria Plzeň,Viktoria Plzeň,https://cdn5.wyscout.com/photos/team/public/764_120x120.png,Chance Liga,"RCMF, LCMF, RDMF",RCMF,27,LCMF,26,RDMF,20,24.0,2001-04-10,0,2027-06-30,24,2226,1,2.69,1,0.9,13.14,59.08,Czech Republic,['Czech Republic'],right,182,74,False,6.91,4.0,59.6,3.03,64.0,0.61,1.03,0.32,3.92,6.67,0.81,3,0.12,0,0.0,1.33,0.04,1,0.04,0.11,0,0.0,39,1.58,20.51,2.564,0.04,0.85,33.33,0.32,25.0,0.44,36.36,0.16,0.97,75.0,3.92,63.92,1.46,0.61,0.0,22.04,0.32,2.43,34.93,82.06,11.64,73.26,4.85,95.0,31.13,86.49,2.99,48.65,17.44,32.97,0.04,0.65,0.04,0.04,0.0,0.0,0.28,6.02,75.84,1.25,58.06,0.24,50.0,0.65,0.32,5.38,73.68,87.77,12.9,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,3.03,0.0,0.0,0.0,0.0,0,0
V. Tchanturishvili,Vakhtang Chanturishvili,202877,Jablonec,Jablonec,https://cdn5.wyscout.com/photos/team/public/766_120x120.png,Chance Liga,"RWB, LWB, RB5",RWB,31,LWB,31,RB5,13,32.0,1993-08-05,300000,2027-06-30,23,2224,1,1.08,1,2.62,12.26,50.17,Georgia,['Georgia'],left,173,64,False,7.53,4.94,63.93,1.62,50.0,0.45,0.61,0.2,3.93,5.34,0.93,5,0.2,0,0.0,1.98,0.04,1,0.04,0.04,0,0.0,21,0.85,19.05,4.7620000000000005,0.04,2.39,37.29,0.5700000000000001,42.86,1.78,36.36,0.32,1.82,48.89,4.33,37.38,0.65,1.34,0.28,26.59,1.29,0.6900000000000001,36.66,79.25,15.13,71.12,5.79,93.01,28.53,87.94,5.87,53.1,19.73,33.52,0.11,0.73,0.04,0.08,0.04,100.0,0.45,5.22,65.89,3.08,52.63,0.24,66.67,0.77,0.89,9.39,69.4,82.73,10.08,0,,0,,0,0.0,0.0,0.0,,,0.45,,1.62,0.04,0.0,0.0,0.0,0,0
J. Koutny,Jan Koutny,-127871,Sigma Olomouc,Sigma Olomouc,https://cdn5.wyscout.com/photos/team/public/538_120x120.png,Chance Liga,GK,GK,100,,0,,0,21.0,2004-10-14,0,2028-06-30,23,2181,0,0.0,0,0.0,0.66,87.5,Czech Republic,['Czech Republic'],,0,0,False,1.32,0.08,100.0,0.33,100.0,0.0,0.0,0.0,1.24,1.8399999999999999,0.04,0,0.0,1,0.04,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,0.0,0.0,0.0,13.37,0.08,0.08,19.06,83.12,10.98,72.18,0.0,0.0,9.9,97.08,9.12,68.33,35.38,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,45.1,0.17,0.0,0.25,50.0,0.0,0.0,6.97,85.21,98.32,7.39,21,0.87,88,3.63,9,76.14,23.11,0.9500000000000001,2.11,0.08700000000000001,0.0,1.16,0.33,,,,0.0,0,0
J. Lapeš,Jakub  Lapeš,-110766,Karviná,Karviná,https://cdn5.wyscout.com/photos/team/public/g2784_120x120.png,Chance Liga,GK,GK,100,,0,,0,26.0,1999-07-04,100000,2028-06-30,22,2164,0,0.0,0,0.0,0.71,70.59,Czech Republic,['Czech Republic'],right,188,91,False,1.25,0.0,0.0,0.37,88.89,0.0,0.0,0.0,1.25,1.97,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,60.0,0.0,0.0,0.0,22.54,0.17,0.12,32.56,87.1,17.13,75.97,0.04,100.0,20.63,98.59,11.94,67.25,30.25,46.25,0.0,0.0,0.0,0.04,0.0,0.0,0.0,4.33,59.62,0.33,12.5,0.42,60.0,0.0,0.0,8.15,83.16,99.4,13.85,37,1.54,104,4.33,3,64.42,32.36,1.35,-4.64,-0.193,0.04,1.5,0.37,,,,0.0,0,0
M. Beran,Michal Beran,-128740,Sigma Olomouc,Sigma Olomouc,https://cdn5.wyscout.com/photos/team/public/538_120x120.png,Chance Liga,"LDMF, RCMF, RDMF",LDMF,28,RCMF,25,RDMF,23,25.0,2000-08-22,400000,2030-06-30,23,2163,0,0.6000000000000001,1,0.49,10.65,47.66,Czech Republic,['Czech Republic'],right,167,58,False,6.66,4.16,61.0,1.08,26.92,0.37,0.54,0.25,3.74,5.37,0.79,2,0.08,0,0.0,1.17,0.0,0,0.0,0.03,0,0.0,10,0.42,40.0,0.0,0.04,0.87,38.1,0.42,40.0,0.42,30.0,0.08,0.96,65.22,3.45,46.99,0.21,0.75,0.04,25.3,0.08,1.04,40.32,78.02,16.85,62.22,4.99,97.5,30.5,87.86,8.99,48.15,21.3,36.26,0.02,0.33,0.08,0.0,0.17,25.0,0.17,9.11,62.56,1.79,27.91,0.87,52.38,0.29,0.29,8.49,73.53,87.93,13.44,0,,0,,0,0.0,0.0,0.0,,,0.75,,1.08,0.29,0.0,0.0,0.21,0,0
M. Králik,Martin Králik,213574,Mladá Boleslav,Mladá Boleslav,https://cdn5.wyscout.com/photos/team/public/715_120x120.png,Chance Liga,"LCB, CB",LCB,58,CB,28,,0,30.0,1995-04-03,325000,,23,2162,0,0.76,0,0.13,11.82,55.63,Slovakia,['Slovakia'],left,186,76,False,8.87,3.95,65.26,3.75,48.89,0.08,0.13,0.92,6.2,9.72,0.58,4,0.17,0,0.0,0.25,0.0,0,0.0,0.03,0,0.0,4,0.17,25.0,0.0,0.0,0.08,100.0,0.04,100.0,0.0,0.0,0.0,0.12,100.0,1.29,41.94,0.67,0.96,0.04,30.64,0.21,0.29,49.0,84.45,23.31,74.82,2.33,91.07,40.17,91.3,8.74,52.86,21.96,40.95,0.01,0.17,0.08,0.0,0.0,0.0,0.0,7.28,59.43,0.71,52.94,0.54,23.08,0.42,0.08,10.03,70.95,94.58,18.44,0,,0,,0,0.0,0.0,0.0,,,1.71,,3.75,0.0,0.0,0.0,0.0,0,0
D. Halinský,Denis Halinský,-269445,Teplice,Teplice,https://cdn5.wyscout.com/photos/team/public/761_120x120.png,Chance Liga,"CB, RCB",CB,47,RCB,46,,0,22.0,2003-07-13,750000,2030-06-30,22,2158,0,0.8300000000000001,2,0.14,18.39,63.27,Czech Republic,['Czech Republic'],right,185,77,True,10.3,4.96,74.79,6.13,65.31,0.38,0.48,0.88,6.21,7.91,0.92,4,0.17,0,0.0,0.54,0.0,0,0.0,0.03,0,0.0,8,0.33,0.0,0.0,0.08,0.17,75.0,0.0,0.0,0.17,75.0,0.0,0.67,62.5,3.71,46.07,0.29,1.0,0.25,19.31,0.08,1.63,35.32,77.33,16.27,61.28,2.17,96.15,27.19,86.5,7.97,46.07,24.1,40.28,0.01,0.21,0.0,0.04,0.04,0.0,0.13,5.84,45.71,1.08,30.77,0.42,40.0,0.17,0.13,8.13,57.95,91.84,14.3,0,,0,,0,0.0,0.0,0.0,,,1.63,,6.13,0.0,0.0,0.0,0.0,0,0
