Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Gianniotis,Andreas Gianniotis,219921,Kasımpaşa,Kasımpaşa,https://cdn5.wyscout.com/photos/team/public/1252_120x120.png,Süper Lig,GK,GK,100,,0,,0,33.0,1992-12-18,500000,2027-06-30,19,1892,0,0.0,0,0.05,0.25,60.0,Greece,['Greece'],right,190,80,False,1.3,0.15,33.33,0.1,100.0,0.0,0.0,0.0,1.25,1.6,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,14.69,0.15,0.05,22.71,87.64,11.38,77.53,0.0,0.0,14.49,98.62,8.22,68.29,32.11,49.78,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.51,54.0,0.15,33.33,0.25,40.0,0.1,0.0,6.27,80.0,97.65,10.68,24,1.2,77,3.86,5,68.83,26.21,1.31,2.21,0.111,0.0,0.7000000000000001,0.1,,,,0.0,0,0
N. Opoku,Nicholas Opoku,436104,Kasımpaşa,Kasımpaşa,https://cdn5.wyscout.com/photos/team/public/1252_120x120.png,Süper Lig,"RCB, CB, LCB",RCB,66,CB,18,LCB,10,28.0,1997-08-11,900000,2026-06-30,19,1892,0,0.72,0,0.11,10.43,56.25,Ghana,['Ghana'],right,190,87,False,9.18,4.8100000000000005,61.46,3.41,52.94,0.1,0.13,0.55,6.12,7.8,0.65,3,0.14,0,0.0,0.15,0.0,0,0.0,0.04,0,0.0,5,0.25,20.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.05,0.1,100.0,0.85,47.06,0.30000000000000004,0.45,0.0,21.71,0.25,0.6000000000000001,39.16,87.71,14.69,78.16,3.36,95.52,34.3,91.96,4.76,58.95,21.25,37.26,0.01,0.15,0.1,0.05,0.05,0.0,0.05,4.11,69.51,0.30000000000000004,16.67,0.25,20.0,0.1,0.05,7.37,66.67,95.63,17.2,0,,0,,0,0.0,0.0,0.0,,,2.61,,3.41,0.0,0.0,0.0,0.0,0,0
D. Goutas,Dimitrios Goutas,262361,Gençlerbirliği,Gençlerbirliği,https://cdn5.wyscout.com/photos/team/public/825_120x120.png,Süper Lig,"RCB, LCB, CB",RCB,72,LCB,15,CB,11,31.0,1994-04-04,2800000,2027-06-30,19,1885,2,2.08,0,0.0,9.17,67.19,Greece,['Greece'],right,189,81,False,7.88,2.7199999999999998,71.93,4.44,64.52,0.14,0.18,0.86,5.78,7.1,0.48,2,0.1,0,0.0,0.19,0.1,2,0.1,0.1,1,0.05,9,0.43,22.22,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,0.53,81.82,0.53,0.14,0.0,20.39,0.29,0.43,33.33,84.1,14.66,74.59,2.24,97.87,27.79,91.07,5.54,49.14,23.01,40.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,56.1,0.24,40.0,0.19,50.0,0.1,0.0,6.88,63.19,92.64,14.28,0,,0,,0,0.0,0.0,0.0,,,1.72,,4.44,0.0,0.0,0.0,0.0,0,0
M. Lis,Mateusz Lis,408090,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,GK,GK,100,,0,,0,28.0,1997-02-27,1600000,2027-06-30,19,1884,0,0.0,0,0.0,1.0,80.95,Poland,['Poland'],right,192,83,False,1.58,0.05,0.0,0.81,88.24,0.0,0.0,0.0,1.58,1.92,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.05,0.0,8.12,0.19,0.19,13.66,74.13,12.18,72.55,0.05,100.0,2.8200000000000003,91.53,10.75,70.22,46.98,52.85,0.0,0.05,0.0,0.05,0.0,0.0,0.0,7.31,67.32,0.48,40.0,0.29,33.33,0.19,0.0,8.22,88.37,92.31,1.24,11,0.53,67,3.2,11,83.58,16.81,0.8,5.8100000000000005,0.278,0.0,1.77,0.81,,,,0.0,0,0
I. Grbić,Ivo Grbić,273290,Fatih Karagümrük,Fatih Karagümrük,https://cdn5.wyscout.com/photos/team/public/g3014_120x120.png,Süper Lig,GK,GK,100,,0,,0,30.0,1996-01-18,3500000,2027-06-30,19,1881,0,0.0,0,0.0,0.86,94.44,Croatia,['Croatia'],right,195,83,True,2.39,0.29,100.0,0.48,90.0,0.0,0.0,0.0,2.11,2.71,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,14.5,0.1,0.1,24.31,89.17,11.96,81.2,0.1,100.0,18.85,96.7,5.45,63.16,26.29,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,39.13,0.05,0.0,0.19,0.0,0.0,0.0,4.16,64.37,97.37,10.91,37,1.77,117,5.6,1,68.38,32.77,1.57,-4.23,-0.202,0.0,1.53,0.48,,,,0.0,0,0
O. Koçuk,Okan Koçuk,214799,Samsunspor,Samsunspor,https://cdn5.wyscout.com/photos/team/public/1343_120x120.png,Süper Lig,GK,GK,100,,0,,0,30.0,1995-07-27,1000000,2028-06-30,19,1878,0,0.0,0,0.0,0.43,66.67,Türkiye,['Türkiye'],right,187,76,False,1.05,0.1,100.0,0.24,60.0,0.0,0.0,0.0,0.96,1.32,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,11.55,0.34,0.05,17.06,84.83,8.91,73.66,0.05,100.0,11.41,95.38,5.65,63.56,30.45,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,40.0,0.1,0.0,0.0,0.0,0.0,0.0,4.98,68.27,96.67,7.19,21,1.01,64,3.07,5,67.19,18.37,0.88,-2.63,-0.126,0.0,0.96,0.24,,,,0.0,0,0
E. Taşkıran,Ertuğrul  Taşkıran,88385,Alanyaspor,Alanyaspor,https://cdn5.wyscout.com/photos/team/public/g7285_120x120.png,Süper Lig,GK,GK,100,,0,,0,36.0,1989-11-05,75000,2026-06-30,19,1877,0,0.0,0,0.0,0.67,85.71,Türkiye,['Türkiye'],right,191,83,False,1.34,0.14,100.0,0.34,85.71,0.0,0.0,0.0,1.2,1.5,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,0.0,0.0,0.0,8.77,0.19,0.19,15.01,85.62,8.06,76.79,0.0,0.0,9.97,96.63,4.99,63.46,27.98,35.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,33.33,0.0,0.0,0.05,100.0,0.0,0.0,3.93,57.32,96.38,6.62,19,0.91,73,3.5,7,73.97,22.13,1.06,3.13,0.15,0.0,1.15,0.34,,,,0.0,0,0
A. Bardakcı,Abdülkerim Bardakcı,207946,Galatasaray,Galatasaray,https://cdn5.wyscout.com/photos/team/public/469_120x120.png,Süper Lig,LCB,LCB,94,,0,,0,31.0,1994-09-07,9000000,2027-06-30,19,1845,0,1.35,1,1.21,11.12,62.72,Türkiye,['Türkiye'],left,187,81,False,6.1,3.46,78.87,4.05,60.24,0.1,0.18,0.68,3.27,5.88,0.39,2,0.1,0,0.0,0.63,0.0,0,0.0,0.07,0,0.0,12,0.59,8.33,0.0,0.05,0.8300000000000001,52.94,0.8300000000000001,52.94,0.0,0.0,0.05,0.29,50.0,1.46,43.33,0.49,1.8,0.05,44.73,0.39,0.68,57.37,90.14,23.32,82.43,3.61,98.65,50.2,94.85,6.34,57.69,20.56,38.74,0.06,0.39,0.0,0.05,0.0,0.0,0.2,8.2,76.79,1.6600000000000001,47.06,0.49,40.0,0.39,0.44,9.32,85.34,95.54,24.05,0,,0,,0,0.0,0.0,0.0,,,1.76,,4.05,0.0,0.0,0.0,0.0,0,0
A. Cherni,Mohamed Amin Cherni,-241756,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,"LWB, LB5",LWB,60,LB5,33,,0,24.0,2001-07-07,0,2028-06-30,19,1829,0,0.2,3,1.63,14.96,47.37,France,"['France', 'Tunisia']",left,183,77,False,6.89,5.71,54.31,2.66,55.56,0.05,0.06,0.0,3.74,4.5,1.67,0,0.0,0,0.0,3.4,0.0,0,0.0,0.01,0,0.0,11,0.54,9.09,0.0,0.15,4.82,36.73,4.82,36.73,0.0,0.0,0.49,3.1,50.79,5.31,39.81,0.34,1.53,0.30000000000000004,15.65,1.23,0.49,23.62,64.38,9.2,57.75,4.92,90.0,14.22,78.2,4.77,50.52,23.05,36.51,0.08,0.84,0.0,0.0,0.0,0.0,0.34,4.18,56.47,4.58,37.63,0.49,30.0,0.39,1.72,6.74,75.18,53.28,6.74,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.66,0.0,0.0,0.0,1.08,0,0
U. Nayir,Umut Nayir,274219,Konyaspor,Konyaspor,https://cdn5.wyscout.com/photos/team/public/828_120x120.png,Süper Lig,CF,CF,100,,0,,0,32.0,1993-06-28,900000,2026-06-30,19,1815,8,8.38,2,0.92,18.94,42.41,Türkiye,['Türkiye'],right,191,75,False,2.68,1.9300000000000002,48.72,7.93,54.37,0.15,0.22,0.30000000000000004,1.5899999999999999,2.35,0.79,1,0.05,0,0.0,1.19,0.4,7,0.35000000000000003,0.42,4,0.2,41,2.03,41.46,19.512,0.1,0.35000000000000003,42.86,0.1,100.0,0.25,20.0,0.0,0.45,44.44,5.01,24.75,3.52,0.25,0.0,9.72,1.69,1.74,13.79,77.34,2.23,55.56,5.21,88.57,13.19,78.57,0.30000000000000004,50.0,13.82,11.11,0.05,0.6900000000000001,0.05,0.0,0.0,0.0,0.1,0.6900000000000001,64.29,0.6900000000000001,64.29,0.0,0.0,0.5,0.15,0.99,50.0,71.43,3.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.93,0.0,0.0,0.0,0.0,1,100
