Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Troelsgaard,Sanne Troelsgaard-Nielsen,14076,Midtjylland,Midtjylland,https://cdn5.wyscout.com/photos/team/public/g-23210_120x120.png,A-Liga Women,"RCB, LCB, CB",RCB,33,LCB,23,CB,12,37.0,1988-08-15,0,,14,1350,1,1.87,0,0.8,15.47,54.31,Denmark,['Denmark'],right,176,0,False,10.73,5.53,65.06,2.67,65.0,0.13,0.15,0.4,7.0,7.65,1.87,1,0.07,0,0.0,0.93,0.07,1,0.07,0.12,1,0.07,15,1.0,13.33,6.667,0.0,0.47000000000000003,42.86,0.07,0.0,0.4,50.0,0.07,0.87,69.23,4.53,42.65,1.2,0.67,0.0,20.47,0.6000000000000001,1.07,39.93,71.95,19.87,57.38,2.5300000000000002,89.47,29.4,82.77,10.07,41.72,23.42,41.56,0.05,0.33,0.13,0.0,0.07,0.0,0.07,9.4,43.26,1.33,30.0,1.2,22.22,0.4,0.27,8.0,64.17,88.41,13.8,0,,0,,0,0.0,0.0,0.0,,,1.2,,2.67,0.07,0.0,0.0,0.0,0,0
T. Peltonen,Tiia Katariina Peltonen,174047,Fortuna Hjørring,Fortuna Hjørring,https://cdn5.wyscout.com/photos/team/public/g5328_120x120.png,A-Liga Women,RCB,RCB,100,,0,,0,30.0,1995-06-08,0,,14,1344,0,0.0,0,0.08,5.5600000000000005,68.67,Finland,['Finland'],,171,0,False,6.29,3.01,71.11,1.54,65.22,0.07,0.08,0.8,4.08,4.59,0.0,0,0.0,0,0.0,0.27,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.27,50.0,0.27,50.0,0.0,0.0,0.0,0.13,100.0,0.47000000000000003,57.14,0.0,0.07,0.0,41.12,0.07,0.2,55.58,95.06,20.36,90.46,3.01,95.56,53.77,96.39,1.54,56.52,18.49,25.34,0.01,0.07,0.0,0.0,0.0,0.0,0.07,2.68,97.5,0.4,50.0,0.13,0.0,0.0,0.2,6.43,69.79,98.81,28.06,0,,0,,0,0.0,0.0,0.0,,,2.08,,1.54,0.0,0.0,0.0,0.0,0,0
L. Frank,Laura Frank,385009,Fortuna Hjørring,Fortuna Hjørring,https://cdn5.wyscout.com/photos/team/public/g5328_120x120.png,A-Liga Women,LCB,LCB,100,,0,,0,27.0,1998-08-03,0,,14,1344,0,0.7000000000000001,0,0.28,9.64,62.5,Denmark,['Denmark'],,0,0,False,9.91,4.75,77.46,2.34,48.57,0.0,0.0,0.47000000000000003,6.23,6.99,0.27,0,0.0,0,0.0,0.2,0.0,0,0.0,0.05,0,0.0,6,0.4,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.27,75.0,1.67,52.0,0.54,1.07,0.0,45.47,0.13,0.27,64.02,87.34,29.67,78.56,3.01,93.33,55.65,92.42,8.3,54.03,20.2,36.09,0.02,0.2,0.07,0.0,0.0,0.0,0.13,8.1,70.25,0.67,40.0,0.4,16.67,0.2,0.0,13.59,73.4,95.95,26.45,0,,0,,0,0.0,0.0,0.0,,,1.74,,2.34,0.0,0.0,0.0,0.0,0,0
S. Nielsen-Grøn,Sofie Harrit Nielsen-Grøn,-193577,Kolding IF,Kolding IF,https://cdn5.wyscout.com/photos/team/public/g8708_120x120.png,A-Liga Women,GK,GK,100,,0,,0,22.0,2003-03-18,0,,14,1342,0,0.0,0,0.0,1.01,73.33,Denmark,['Denmark'],,0,0,False,3.02,0.2,33.33,0.4,100.0,0.13,0.13,0.0,2.8200000000000003,2.83,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,0.07,0.07,19.85,79.39,10.06,64.0,0.0,0.0,13.08,95.38,6.77,48.51,27.19,39.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,44.09,94.66,8.79,32,2.15,92,6.17,1,65.22,29.35,1.97,-2.65,-0.178,0.0,1.74,0.4,,,,0.0,0,0
R. Dybdahl,Rikke Dybdahl,270033,Midtjylland,Midtjylland,https://cdn5.wyscout.com/photos/team/public/g-23210_120x120.png,A-Liga Women,"CF, AMF",CF,72,AMF,14,,0,28.0,1997-06-21,0,,14,1323,4,5.5600000000000005,0,0.93,16.53,38.27,Denmark,['Denmark'],,0,0,False,3.27,3.67,59.26,1.09,31.25,0.0,0.0,0.0,1.09,1.2,0.34,0,0.0,0,0.0,2.18,0.27,4,0.27,0.38,0,0.0,32,2.18,34.38,12.5,0.0,1.22,44.44,0.68,40.0,0.54,50.0,0.41000000000000003,2.38,37.14,10.07,29.73,2.79,1.56,0.0,13.67,2.38,1.43,21.29,71.88,5.51,51.85,5.1,94.67,19.73,74.48,0.34,20.0,15.66,7.48,0.06,0.68,0.0,0.0,0.0,0.0,0.14,2.31,64.71,1.9,28.57,0.07,0.0,0.41000000000000003,0.61,3.88,54.39,73.96,6.53,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.09,0.0,0.0,0.0,0.0,0,0
J. Tompkins,Jalen Tompkins,-190231,Brøndby,Brøndby,https://cdn5.wyscout.com/photos/team/public/g5327_120x120.png,A-Liga Women,GK,GK,100,,0,,0,28.0,1997-02-14,0,,14,1323,0,0.0,0,0.0,0.61,77.78,United States,['United States'],unknown,170,56,False,1.97,0.07,100.0,0.41000000000000003,66.67,0.0,0.0,0.0,1.9,2.36,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.07,0.0,0.0,18.91,0.14,0.07,28.03,83.74,14.56,73.83,0.07,100.0,17.07,96.41,10.88,64.38,27.93,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,42.86,0.0,0.0,0.0,0.0,0.0,0.0,7.35,60.19,95.71,11.09,11,0.75,59,4.01,6,81.36,14.73,1.0,3.73,0.254,0.0,1.56,0.41000000000000003,,,,0.0,0,0
J. Poulsen,Julie Nonbol Poulsen,-275332,Kolding IF,Kolding IF,https://cdn5.wyscout.com/photos/team/public/g8708_120x120.png,A-Liga Women,LCB3,LCB3,94,,0,,0,21.0,2004-08-19,0,,14,1317,0,0.6900000000000001,0,0.17,15.38,57.78,Denmark,['Denmark'],,0,0,False,11.14,8.34,66.39,3.2800000000000002,50.0,0.07,0.07,0.14,5.54,5.5600000000000005,1.16,0,0.0,0,0.0,0.62,0.0,0,0.0,0.05,0,0.0,4,0.27,25.0,0.0,0.0,0.68,20.0,0.41000000000000003,16.67,0.27,25.0,0.0,0.48,85.71,1.78,46.15,0.48,0.14,0.0,20.98,0.68,0.55,37.18,72.06,20.23,61.82,2.73,92.5,28.7,78.57,7.79,52.63,20.26,33.36,0.01,0.21,0.0,0.0,0.0,0.0,0.14,5.67,45.78,0.89,30.77,0.48,42.86,0.34,0.07,9.7,56.34,86.39,10.05,0,,0,,0,0.0,0.0,0.0,,,0.68,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0
K. Linnebjerg,Karen Linnebjerg Knudsen,-253199,Nordsjælland,Nordsjælland,https://cdn5.wyscout.com/photos/team/public/g-10553_120x120.png,A-Liga Women,LCB,LCB,85,,0,,0,22.0,2003-08-21,0,,14,1310,0,0.29,0,0.01,14.29,57.69,Denmark,['Denmark'],,0,0,False,8.73,4.88,70.42,1.1,43.75,0.41000000000000003,0.7000000000000001,0.62,4.88,8.32,0.96,4,0.27,0,0.0,1.1,0.0,0,0.0,0.02,0,0.0,3,0.21,33.33,0.0,0.0,0.07,100.0,0.07,100.0,0.0,0.0,0.0,1.37,70.0,5.77,48.81,0.07,1.17,0.07,64.31,0.27,1.51,87.6,88.78,33.18,81.37,7.49,96.33,78.6,93.36,8.93,48.46,19.81,41.45,0.0,0.07,0.0,0.0,0.0,0.0,0.07,13.19,74.48,0.8200000000000001,25.0,0.34,40.0,0.07,0.07,16.21,77.97,93.31,36.96,0,,0,,0,0.0,0.0,0.0,,,4.6,,1.1,0.0,0.0,0.0,0.0,0,0
M. Holmgaard Andersen,Marie Holmgaard Andersen,-434929,OB,OB,https://cdn5.wyscout.com/photos/team/public/g5330_120x120.png,A-Liga Women,"LB, LB5, RB",LB,60,LB5,15,RB,12,23.0,2002-05-29,0,,14,1306,0,0.6900000000000001,0,0.32,18.74,51.84,Denmark,['Denmark'],unknown,0,0,False,11.58,7.86,61.4,2.21,53.13,0.34,0.36,0.28,6.41,6.67,0.62,2,0.14,0,0.0,1.24,0.0,0,0.0,0.05,0,0.0,9,0.62,44.44,0.0,0.0,0.55,25.0,0.41000000000000003,16.67,0.14,50.0,0.07,1.8599999999999999,44.44,7.51,42.2,0.34,1.58,0.07,16.68,1.24,1.1,29.15,68.32,12.89,55.61,4.27,91.94,24.81,75.28,3.79,29.09,18.44,38.59,0.02,0.21,0.0,0.0,0.0,0.0,0.0,3.03,43.18,1.03,26.67,0.34,0.0,0.14,0.21,6.62,37.5,70.64,7.51,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,2.21,0.0,0.0,0.0,0.0,0,0
J. Mathiasen,Julie Mathiasen,-358786,AGF,AGF,https://cdn5.wyscout.com/photos/team/public/g-12677_120x120.png,A-Liga Women,RCB3,RCB3,98,,0,,0,21.0,2004-09-06,0,,14,1305,0,0.34,0,0.13,13.38,68.04,Denmark,['Denmark'],unknown,0,0,False,11.52,7.52,80.73,1.79,57.69,0.07,0.07,0.28,5.38,5.84,0.07,0,0.0,0,0.0,0.62,0.0,0,0.0,0.02,0,0.0,2,0.14,50.0,0.0,0.0,0.41000000000000003,50.0,0.0,0.0,0.41000000000000003,50.0,0.0,0.55,62.5,2.41,51.43,0.14,1.03,0.0,39.59,0.14,0.34,55.45,83.46,31.24,78.15,3.38,93.88,48.62,88.09,6.41,50.54,18.34,33.38,0.01,0.21,0.0,0.14,0.0,0.0,0.07,7.52,72.48,0.55,37.5,0.14,50.0,0.07,0.21,13.52,66.33,90.78,14.97,0,,0,,0,0.0,0.0,0.0,,,1.52,,1.79,0.07,0.0,0.0,0.0,0,0
