Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Fantoni,Gian Marco Fantoni,-140025,Prato,Prato,https://cdn5.wyscout.com/photos/team/public/392_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,21.0,2004-01-24,75000,2026-06-30,8,786,0,0.05,0,0.0,0.23,100.0,Italy,['Italy'],left,0,0,False,1.03,0.0,0.0,0.11,100.0,0.0,0.0,0.0,1.03,1.71,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,6.87,0.11,0.23,14.08,85.37,7.1,75.81,0.0,0.0,10.42,95.6,3.66,56.25,29.2,45.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,37.5,0.11,0.0,0.0,0.0,0.0,0.0,3.09,66.67,94.44,6.18,10,1.15,32,3.66,2,68.75,9.01,1.03,-0.99,-0.113,0.0,1.03,0.11,,,,0.0,0,0
G. Risaliti,Giacomo Risaliti,341429,Prato,Prato,https://cdn5.wyscout.com/photos/team/public/392_120x120.png,Serie D - Girone E,"RCB, CB",RCB,63,CB,36,,0,30.0,1995-04-24,0,,8,786,0,1.25,0,0.13,10.99,66.67,Italy,['Italy'],right,185,78,False,6.3,4.92,79.07,3.55,54.84,0.0,0.0,0.34,2.4,3.99,0.92,0,0.0,0,0.0,0.46,0.0,0,0.0,0.14,0,0.0,6,0.6900000000000001,33.33,0.0,0.0,0.23,50.0,0.0,0.0,0.23,50.0,0.11,0.11,100.0,0.34,33.33,1.37,0.8,0.0,23.13,0.34,0.5700000000000001,39.85,90.52,16.03,83.57,1.49,100.0,32.4,95.05,7.21,71.43,24.67,41.39,0.01,0.11,0.0,0.0,0.0,0.0,0.0,5.95,73.08,0.6900000000000001,66.67,0.0,0.0,0.5700000000000001,0.11,7.33,84.38,95.65,21.07,0,,0,,0,0.0,0.0,0.0,,,1.26,,3.55,0.0,0.0,0.0,0.0,0,0
F. Pacini,Francesco Pacini,341425,Follonica Gavorrano,Follonica Gavorrano,https://cdn5.wyscout.com/photos/team/public/1447_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,30.0,1995-01-07,75000,2026-06-30,8,785,0,0.0,0,0.0,0.34,100.0,Italy,['Italy'],right,191,83,False,1.15,0.0,0.0,0.23,100.0,0.0,0.0,0.0,1.15,1.63,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,9.52,0.46,0.11,16.85,82.31,9.29,67.9,0.0,0.0,9.63,98.81,7.22,60.32,35.13,50.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,62.5,0.11,100.0,0.0,0.0,0.0,0.0,5.62,67.35,100.0,6.99,10,1.15,37,4.24,0,72.97,9.18,1.05,-0.8200000000000001,-0.094,0.0,1.38,0.23,,,,0.0,0,0
M. Bonifacio,Matteo Bonifacio,-146868,Sporting Trestina,Sporting Trestina,https://cdn5.wyscout.com/photos/team/public/3883_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,19.0,2006-05-17,0,2026-06-30,8,779,0,0.0,0,0.0,0.58,100.0,Italy,['Italy'],,0,0,False,0.81,0.0,0.0,0.46,100.0,0.0,0.0,0.0,0.81,1.24,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,7.05,0.12,0.23,18.37,84.28,12.59,79.82,0.0,0.0,7.97,98.55,10.28,74.16,31.84,41.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,54.55,0.0,0.0,0.0,0.0,0.0,0.0,7.39,75.0,97.56,4.74,7,0.81,27,3.12,2,74.07,8.27,0.9500000000000001,1.27,0.147,0.0,1.62,0.46,,,,0.0,0,0
M. Bertini,Matteo Bertini,-254883,Poggibonsi,Poggibonsi,https://cdn5.wyscout.com/photos/team/public/390_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,20.0,2005-09-07,0,,8,779,0,0.0,0,0.0,1.27,63.64,Italy,['Italy'],,0,0,False,3.23,0.12,0.0,0.46,75.0,0.0,0.0,0.0,3.23,4.22,0.12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,8.9,0.35000000000000003,0.35000000000000003,18.25,74.68,12.25,63.21,0.0,0.0,9.47,98.78,8.78,48.68,35.39,52.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,46.15,0.35000000000000003,0.0,0.35000000000000003,33.33,0.0,0.0,5.55,72.92,100.0,4.39,15,1.73,51,5.89,0,70.59,14.59,1.69,-0.41000000000000003,-0.047,0.0,2.08,0.46,,,,0.0,0,0
T. Tampucci,Tomas Tampucci,-146507,San Donato Tavarnelle,San Donato Tavarnelle,https://cdn5.wyscout.com/photos/team/public/g31129_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,20.0,2005-04-21,0,2026-06-30,8,779,0,0.0,0,0.0,0.6900000000000001,100.0,Italy,['Italy'],,194,82,False,1.85,0.12,100.0,0.46,100.0,0.0,0.0,0.0,1.73,2.62,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,9.94,0.12,0.35000000000000003,21.03,81.32,13.17,73.68,0.0,0.0,9.59,98.8,11.44,66.67,36.63,51.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,55.56,0.35000000000000003,0.0,0.12,100.0,0.0,0.0,7.86,86.76,92.98,6.59,8,0.92,23,2.66,2,65.22,4.51,0.52,-3.49,-0.403,0.0,2.31,0.46,,,,0.0,0,0
J. Pagnini,Jacopo Pagnini,454204,Terranuova Traiana,Terranuova Traiana,https://cdn5.wyscout.com/photos/team/public/g-16634_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,28.0,1997-02-09,50000,,8,778,0,0.0,0,0.0,0.81,85.71,Italy,['Italy'],right,189,76,False,1.3900000000000001,0.12,100.0,0.23,100.0,0.0,0.0,0.0,1.27,1.74,0.0,2,0.23,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,5.32,0.12,0.23,13.88,74.17,9.83,65.88,0.0,0.0,6.59,98.25,7.17,53.23,37.41,53.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,39.13,0.12,0.0,0.23,0.0,0.0,0.0,5.21,71.11,96.43,3.24,9,1.04,24,2.7800000000000002,2,62.5,10.64,1.23,1.6400000000000001,0.19,0.0,1.62,0.23,,,,0.0,0,0
A. Marini,Alberto Marini,470898,Terranuova Traiana,Terranuova Traiana,https://cdn5.wyscout.com/photos/team/public/g-16634_120x120.png,Serie D - Girone E,"RW, RCMF3, LW",RW,32,RCMF3,16,LW,10,26.0,1999-03-17,0,2026-06-30,8,778,0,0.38,0,0.89,19.43,55.36,Italy,['Italy'],right,0,0,False,8.1,7.29,68.25,1.27,45.45,0.0,0.0,0.46,3.12,4.26,0.6900000000000001,1,0.12,0,0.0,4.63,0.0,0,0.0,0.04,0,0.0,9,1.04,33.33,0.0,0.0,3.47,30.0,1.27,36.36,2.08,22.22,0.6900000000000001,5.09,63.64,9.49,50.0,1.97,1.27,0.12,15.85,1.3900000000000001,0.93,24.99,64.35,7.75,55.22,4.05,82.86,20.48,70.06,1.16,60.0,16.6,16.54,0.1,0.81,0.0,0.0,0.35000000000000003,0.0,0.12,1.97,47.06,3.59,35.48,0.35000000000000003,33.33,0.6900000000000001,1.04,4.86,57.14,50.0,5.78,0,,0,,0,0.0,0.0,0.0,,,0.12,,1.27,0.23,0.0,0.0,0.6900000000000001,0,0
M. Cabella,Matteo Cabella,-166790,Tau Altopascio,Tau Altopascio,https://cdn5.wyscout.com/photos/team/public/g-16739_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,19.0,2006-04-08,0,2026-06-30,8,776,0,0.0,0,0.0,0.7000000000000001,100.0,Italy,['Italy'],right,0,0,False,0.81,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,0.81,0.96,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,4.76,0.46,0.35000000000000003,11.25,80.41,5.91,64.71,0.0,0.0,6.73,94.83,4.52,58.97,30.9,49.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,33.33,0.0,0.0,0.0,0.0,0.0,0.0,2.7800000000000002,75.0,96.88,3.71,9,1.04,36,4.18,4,75.0,11.36,1.32,2.36,0.274,0.0,1.04,0.35000000000000003,,,,0.0,0,0
T. Mannucci,Tommaso Mannucci,-40768,Seravezza,Seravezza,https://cdn5.wyscout.com/photos/team/public/g40201_120x120.png,Serie D - Girone E,"RCB, CB, LCB",RCB,45,CB,43,LCB,10,26.0,1999-10-04,100000,2026-06-30,8,776,0,0.37,0,0.0,13.69,66.1,Italy,['Italy'],right,180,73,False,7.07,4.29,75.68,4.41,68.42,0.35000000000000003,0.55,0.46,3.48,5.45,1.3900000000000001,2,0.23,0,0.0,0.0,0.0,0,0.0,0.04,0,0.0,5,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,66.67,0.81,1.3900000000000001,0.0,32.94,1.16,1.04,46.62,85.07,22.62,73.85,1.97,100.0,38.62,90.99,8.0,56.52,25.92,43.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65,54.55,1.62,42.86,0.35000000000000003,33.33,0.7000000000000001,0.0,12.87,79.28,96.55,20.18,0,,0,,0,0.0,0.0,0.0,,,1.74,,4.41,0.12,0.0,0.0,0.0,0,0
