Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Casella,Francesco Casella,-90502,USD Palmese,USD Palmese,https://cdn5.wyscout.com/photos/team/public/g-16741_120x120.png,Serie D - Girone G,"RCB3, RCB",RCB3,49,RCB,41,,0,26.0,2000-01-02,100000,2026-06-30,20,1954,0,0.1,0,1.25,13.77,63.21,Italy,['Italy'],right,181,0,False,8.89,6.63,76.39,2.86,51.61,0.32,0.48,0.14,3.5,5.22,0.6900000000000001,0,0.0,0,0.0,1.01,0.0,0,0.0,0.0,0,0.0,10,0.46,0.0,0.0,0.0,1.7000000000000002,45.95,0.09,100.0,1.57,44.12,0.18,0.55,41.67,1.8900000000000001,56.1,0.05,1.52,0.05,29.34,0.37,0.6000000000000001,51.49,79.52,24.0,68.52,3.13,92.65,36.02,89.26,14.0,58.22,26.27,41.65,0.06,0.55,0.05,0.05,0.05,0.0,0.23,11.47,59.44,3.32,41.67,0.64,21.43,0.6000000000000001,0.78,13.5,79.52,89.37,21.23,0,,0,,0,0.0,0.0,0.0,,,1.98,,2.86,0.32,0.05,0.0,0.14,0,0.0
F. Porru,Fabio Porru,-52825,Monastir Kosmoto,Monastir Kosmoto,https://cdn5.wyscout.com/photos/team/public/g-5073_120x120.png,Serie D - Girone G,"LCB, LCB3, RCB",LCB,29,LCB3,24,RCB,20,26.0,2000-01-03,0,2026-06-30,20,1932,1,0.63,0,0.35000000000000003,14.53,58.33,Italy,['Italy'],right,184,78,False,6.89,4.01,70.93,3.73,63.75,0.05,0.07,0.47000000000000003,4.01,6.01,1.02,2,0.09,0,0.0,1.02,0.05,1,0.05,0.03,1,0.05,7,0.33,14.29,14.286,0.0,0.23,20.0,0.23,20.0,0.0,0.0,0.0,1.58,58.82,4.38,44.68,0.51,1.9100000000000001,0.23,22.08,0.75,0.98,39.64,83.43,17.1,72.75,2.0,88.37,33.96,88.61,5.45,53.85,22.04,40.26,0.02,0.14,0.0,0.0,0.0,0.0,0.09,4.7,61.39,0.42,22.22,0.14,33.33,0.0,0.05,7.92,67.06,92.86,16.96,0,,0,,0,0.0,0.0,0.0,,,0.33,,3.73,0.0,0.0,0.0,0.0,0,0.0
M. Cabeccia,Marco Cabeccia,93835,Latte Dolce,Latte Dolce,https://cdn5.wyscout.com/photos/team/public/g25381_120x120.png,Serie D - Girone G,"CB, RCB",CB,86,RCB,10,,0,38.0,1987-05-25,75000,2026-06-30,20,1928,2,2.04,1,0.66,11.72,60.56,Italy,['Italy'],right,185,76,False,8.54,3.9699999999999998,70.59,4.25,54.95,0.0,0.0,0.89,5.74,7.31,0.84,3,0.14,0,0.0,0.79,0.09,0,0.0,0.1,0,0.0,10,0.47000000000000003,50.0,20.0,0.05,0.65,35.71,0.09,50.0,0.56,33.33,0.09,0.51,63.64,1.73,43.24,0.37,1.03,0.05,22.5,0.37,0.89,39.59,79.01,20.12,70.77,2.24,95.83,29.13,87.82,9.9,55.19,24.09,38.57,0.03,0.37,0.0,0.05,0.0,0.0,0.09,7.05,58.28,1.4,46.67,0.37,12.5,0.33,0.23,9.34,64.0,92.31,13.96,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,4.25,0.23,0.19,0.0,0.05,2,100.0
S. Sini,Simone Sini,103175,Atletico Lodigiani,Atletico Lodigiani,https://cdn5.wyscout.com/photos/team/public/g-22282_120x120.png,Serie D - Girone G,"LCB, RCB, CB",LCB,43,RCB,32,CB,18,33.0,1992-04-09,150000,2026-06-30,20,1925,2,2.92,3,1.25,8.6,60.33,Italy,['Italy'],left,184,75,False,7.06,3.88,71.08,2.43,44.23,0.47000000000000003,0.65,0.42,3.83,5.32,0.51,1,0.05,0,0.0,1.08,0.09,0,0.0,0.14,0,0.0,23,1.08,39.13,8.696,0.14,1.22,46.15,0.7000000000000001,33.33,0.42,66.67,0.33,0.23,40.0,0.98,66.67,0.05,0.56,0.0,23.75,0.56,0.37,41.8,81.32,21.32,72.59,1.54,90.91,29.36,91.24,11.36,58.85,26.22,42.58,0.06,0.51,0.05,0.05,0.0,0.0,0.28,6.83,55.48,2.34,48.0,0.79,47.06,0.51,0.61,11.22,71.67,90.73,16.64,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,2.43,2.85,0.75,43.75,1.87,3,66.667
M. Baldan,Marco Baldan,250665,Scafatese,Scafatese,https://cdn5.wyscout.com/photos/team/public/415_120x120.png,Serie D - Girone G,"RCB, CB",RCB,76,CB,17,,0,32.0,1993-11-13,125000,2026-06-30,21,1903,0,0.26,1,0.45,11.07,61.97,Italy,['Italy'],left,182,82,False,7.0,3.93,77.11,4.35,53.26,0.0,0.0,0.38,3.9699999999999998,6.04,1.18,3,0.14,0,0.0,0.19,0.0,0,0.0,0.01,0,0.0,2,0.09,0.0,0.0,0.05,0.19,75.0,0.0,0.0,0.19,75.0,0.0,0.09,50.0,0.66,71.43,0.19,1.1400000000000001,0.0,36.51,0.52,0.33,54.72,88.94,20.15,77.7,2.79,93.22,45.21,94.14,9.32,63.96,25.07,39.71,0.02,0.24,0.05,0.0,0.0,0.0,0.14,7.24,69.28,0.52,36.36,0.24,40.0,0.19,0.19,10.69,77.88,96.07,28.9,0,,0,,0,0.0,0.0,0.0,,,1.56,,4.35,0.0,0.0,0.0,0.0,0,0.0
J. Suhs,Joaquin Suhs,-243010,Scafatese,Scafatese,https://cdn5.wyscout.com/photos/team/public/415_120x120.png,Serie D - Girone G,"LCB, LCB3",LCB,67,LCB3,16,,0,30.0,1995-07-06,100000,2026-06-30,20,1887,3,0.85,0,0.16,16.31,61.7,Argentina,['Argentina'],left,187,0,False,9.16,5.68,73.11,6.15,59.69,0.19,0.29,0.52,4.82,7.23,0.9500000000000001,4,0.19,1,0.05,1.19,0.14,3,0.14,0.04,2,0.1,11,0.52,45.45,27.273,0.0,1.57,45.45,1.57,45.45,0.0,0.0,0.19,0.38,62.5,1.8599999999999999,53.85,0.9500000000000001,1.05,0.0,36.72,1.62,0.67,54.66,81.94,25.37,72.18,2.5300000000000002,94.34,42.88,89.43,10.4,56.42,23.98,40.04,0.01,0.29,0.14,0.0,0.0,0.0,0.0,9.3,63.08,1.76,37.84,0.14,66.67,0.14,0.72,12.83,74.72,91.24,23.42,0,,0,,0,0.0,0.0,0.0,,,1.38,,6.15,0.05,0.0,0.0,0.0,0,0.0
S. Piro,Samuele Piro,-325371,Monastir Kosmoto,Monastir Kosmoto,https://cdn5.wyscout.com/photos/team/public/g-5073_120x120.png,Serie D - Girone G,"LCMF3, RCMF, AMF",LCMF3,27,RCMF,13,AMF,12,17.0,2008-08-27,0,,20,1877,3,3.75,0,0.45,17.84,52.15,Italy,['Italy'],unknown,0,0,True,8.82,6.62,68.84,5.03,45.71,0.1,0.14,0.19,4.17,6.27,1.82,3,0.14,0,0.0,1.25,0.14,3,0.14,0.18,1,0.05,27,1.29,33.33,11.111,0.0,0.29,16.67,0.14,0.0,0.14,33.33,0.0,1.29,59.26,3.4,45.07,2.25,0.48,0.0,11.7,0.86,1.25,20.28,68.79,7.29,54.61,2.9699999999999998,87.1,17.84,71.51,2.16,53.33,16.5,23.68,0.02,0.43,0.0,0.0,0.0,0.0,0.14,3.26,64.71,1.2,40.0,0.19,25.0,0.62,0.05,3.31,69.57,71.97,6.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.03,0.0,0.0,0.0,0.0,0,0.0
M. Bonugli,Marco Bonugli,-146634,Flaminia,Flaminia,https://cdn5.wyscout.com/photos/team/public/1474_120x120.png,Serie D - Girone G,"CB, RCB3, LCB3",CB,46,RCB3,28,LCB3,15,20.0,2005-03-03,0,2026-06-30,20,1874,0,0.18,0,0.0,13.35,57.91,Italy,['Italy'],,0,0,True,9.08,6.1,74.02,3.65,43.42,0.05,0.08,0.38,4.51,7.16,0.86,2,0.1,0,0.0,0.19,0.0,0,0.0,0.01,0,0.0,3,0.14,33.33,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.05,0.14,100.0,0.96,40.0,0.29,0.86,0.05,24.3,0.19,0.29,39.48,84.79,17.48,74.45,2.83,96.61,34.19,91.71,5.19,40.74,21.04,38.48,0.0,0.0,0.0,0.1,0.0,0.0,0.05,5.38,66.07,0.77,25.0,0.43,44.44,0.19,0.0,8.12,66.86,94.79,14.74,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,3.65,0.0,0.0,0.0,0.0,0,0.0
D. Sirbu,Dorin Sirbu,-105463,Flaminia,Flaminia,https://cdn5.wyscout.com/photos/team/public/1474_120x120.png,Serie D - Girone G,"LWF, CF, AMF",LWF,33,CF,28,AMF,19,26.0,1999-08-12,75000,2026-06-30,20,1850,6,6.98,1,3.36,25.64,44.4,Moldova,"['Moldova', 'Romania']",right,0,0,False,6.08,6.23,55.47,2.5300000000000002,42.31,0.05,0.08,0.15,2.58,4.06,1.85,3,0.15,0,0.0,7.35,0.29,6,0.29,0.34,1,0.05,80,3.89,36.25,7.5,0.05,5.79,27.73,2.8200000000000003,22.41,2.87,30.51,1.12,7.98,54.27,14.25,42.66,4.38,4.18,0.97,18.63,3.06,1.12,25.05,60.0,6.03,57.26,3.41,81.43,18.19,71.39,1.4100000000000001,37.93,19.34,32.14,0.16,1.65,0.05,0.05,0.1,0.0,0.54,2.68,47.27,4.57,41.49,0.44,11.11,0.97,1.75,3.89,77.5,56.63,9.54,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.5300000000000002,0.05,0.05,0.0,0.15,0,0.0
D. Maggio,Domenico Maggio,-18050,Scafatese,Scafatese,https://cdn5.wyscout.com/photos/team/public/415_120x120.png,Serie D - Girone G,CF,CF,99,,0,,0,35.0,1990-11-17,150000,2026-06-30,21,1845,11,11.39,4,1.05,27.85,33.63,Italy,['Italy'],left,195,0,False,3.71,3.02,51.61,9.61,45.18,0.24,0.38,0.29,1.9,2.9699999999999998,1.9,5,0.24,0,0.0,1.51,0.54,10,0.49,0.56,5,0.24,59,2.88,42.37,18.644,0.2,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.93,26.32,8.54,22.29,3.95,0.05,0.0,10.78,2.68,1.71,14.73,66.56,3.37,37.68,3.32,88.24,13.85,67.96,0.78,43.75,14.96,17.27,0.05,0.63,0.1,0.1,0.0,0.0,0.34,1.6099999999999999,36.36,0.59,33.33,0.0,0.0,0.59,0.05,1.22,48.0,72.73,4.83,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.61,0.1,0.1,50.0,0.0,2,50.0
