Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Salomón,Oscar Camilo Salomón,-83979,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/1103_120x120.png,Liga Profesional de Fútbol,LCB,LCB,81,,0,,0,26.0,1999-03-22,300000,,35,3475,1,1.73,1,0.0,15.49,68.23,Argentina,"['Argentina', 'Italy']",right,181,81,False,10.77,6.45,76.31,4.38,65.09,1.09,1.51,0.6000000000000001,4.77,6.62,0.52,7,0.18,0,0.0,0.26,0.03,1,0.03,0.04,0,0.0,8,0.21,37.5,12.5,0.03,0.08,66.67,0.03,0.0,0.03,100.0,0.0,0.18,71.43,1.53,54.24,0.5700000000000001,0.23,0.0,14.94,0.31,0.98,29.34,78.46,13.7,64.27,1.55,96.67,23.93,86.15,5.34,44.17,22.22,35.68,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.01,53.55,0.34,23.08,0.23,33.33,0.08,0.03,6.16,56.3,94.08,11.37,0,,0,,0,0.0,0.0,0.0,,,1.01,,4.38,0.0,0.0,0.0,0.0,0,0.0
R. Rey,Rodrigo Francisco Jesús Rey,169059,Independiente,Independiente,https://cdn5.wyscout.com/photos/team/public/101_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,34.0,1991-03-08,1800000,2026-12-31,35,3436,0,0.0,0,0.0,0.81,83.33,Argentina,"['Argentina', 'Italy']",right,190,78,False,1.21,0.13,80.0,0.32,83.33,0.0,0.0,0.0,1.1,2.0,0.05,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,11.77,0.27,0.32,17.29,84.58,10.1,77.6,0.0,0.0,9.99,96.5,7.27,68.52,32.25,46.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,63.64,0.03,0.0,0.0,0.0,0.0,0.0,5.74,70.89,94.69,6.6,25,0.67,110,2.96,16,77.27,30.53,0.8200000000000001,5.53,0.149,0.0,1.27,0.32,,,,0.0,0,0.0
E. Báez,Elías de Jesús Báez,-407484,San Lorenzo,San Lorenzo,https://cdn5.wyscout.com/photos/team/public/106_120x120.png,Liga Profesional de Fútbol,LB,LB,98,,0,,0,21.0,2004-10-18,0,2027-12-31,35,3379,1,1.06,2,0.30000000000000004,17.5,53.13,Argentina,['Argentina'],left,175,61,False,11.0,7.93,62.63,3.5700000000000003,56.92,0.55,0.8300000000000001,0.22,5.49,8.25,0.93,5,0.13,0,0.0,1.34,0.03,1,0.03,0.03,1,0.03,21,0.58,28.57,4.7620000000000005,0.05,1.51,23.64,1.51,23.64,0.0,0.0,0.08,1.48,55.56,3.62,42.42,0.6000000000000001,1.37,0.36,19.64,0.91,0.63,31.6,70.66,16.35,62.42,4.17,91.45,23.18,79.41,7.02,51.17,20.51,34.41,0.01,0.25,0.03,0.03,0.05,0.0,0.08,6.2,58.85,1.8399999999999999,41.79,0.41000000000000003,20.0,0.41000000000000003,0.33,8.61,70.06,76.38,6.97,0,,0,,0,0.0,0.0,0.0,,,0.36,,3.5700000000000003,0.22,0.0,0.0,0.03,0,0.0
F. Pereyra,Fabio Jesús Pereyra,248480,Huracán,Huracán,https://cdn5.wyscout.com/photos/team/public/112_120x120.png,Liga Profesional de Fútbol,RCB,RCB,99,,0,,0,35.0,1990-01-31,175000,,35,3270,2,2.02,0,0.0,13.73,60.92,Argentina,['Argentina'],right,185,84,False,7.51,3.85,66.43,6.74,62.86,0.41000000000000003,0.65,0.61,4.54,7.13,0.8300000000000001,7,0.19,1,0.03,0.28,0.06,2,0.06,0.06,2,0.06,23,0.63,34.78,8.696,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.06,100.0,0.96,31.43,0.85,0.6900000000000001,0.0,18.77,0.22,0.52,32.64,82.38,16.1,70.26,2.2,95.0,26.39,89.05,6.19,54.67,24.29,37.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03,5.12,60.22,0.25,22.22,0.11,25.0,0.06,0.0,8.06,67.58,95.99,12.36,0,,0,,0,0.0,0.0,0.0,,,1.82,,6.74,0.0,0.0,0.0,0.0,0,0.0
C. Paz,Cristian Ignacio Paz,333838,Deportivo Riestra,Deportivo Riestra,https://cdn5.wyscout.com/photos/team/public/g7583_120x120.png,Liga Profesional de Fútbol,"CB, RCB",CB,79,RCB,14,,0,30.0,1995-04-24,350000,2025-12-31,33,3270,1,1.2,0,0.17,11.81,60.37,Argentina,['Argentina'],right,186,80,False,9.25,5.48,72.36,3.06,50.45,0.44,0.5,0.52,4.84,5.54,0.77,9,0.25,0,0.0,0.11,0.03,1,0.03,0.03,0,0.0,6,0.17,33.33,16.667,0.0,0.06,50.0,0.0,0.0,0.06,50.0,0.0,0.11,25.0,0.99,38.89,0.25,0.03,0.0,2.89,0.03,0.28,13.18,63.88,7.71,51.79,0.96,94.29,8.97,74.23,4.16,41.72,23.96,35.87,0.0,0.03,0.0,0.0,0.03,0.0,0.0,1.8399999999999999,47.76,0.30000000000000004,36.36,0.17,50.0,0.17,0.0,4.35,43.67,83.04,3.08,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.06,0.0,0.0,0.0,0.0,0,0.0
O. Gill,Orlando Gill,-113758,San Lorenzo,San Lorenzo,https://cdn5.wyscout.com/photos/team/public/106_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,25.0,2000-06-11,0,2027-12-31,33,3266,0,0.0,0,0.0,0.88,87.1,Paraguay,['Paraguay'],left,0,0,False,1.28,0.09,66.67,0.63,86.36,0.0,0.0,0.0,1.22,1.83,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.03,0.0,0.0,6.73,0.17,0.14,12.9,78.85,8.92,71.34,0.03,100.0,5.99,96.68,6.85,63.9,41.04,54.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,59.66,0.17,0.0,0.23,25.0,0.0,0.0,5.11,80.56,97.62,3.58,22,0.63,93,2.64,16,76.34,24.74,0.7000000000000001,2.74,0.078,0.0,1.73,0.63,,,,0.0,0,0.0
M. Roffo,Manuel Roffo,475707,Instituto,Instituto,https://cdn5.wyscout.com/photos/team/public/1093_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,25.0,2000-04-04,3800000,2026-12-31,33,3258,0,0.0,0,0.0,0.61,90.91,Argentina,"['Argentina', 'Croatia']",right,184,81,False,1.69,0.14,100.0,0.36,92.31,0.0,0.0,0.0,1.55,2.25,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,66.67,0.0,0.0,0.0,8.12,0.19,0.06,15.8,78.67,8.87,65.11,0.0,0.0,9.12,96.67,6.6,54.81,37.03,53.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8200000000000003,44.12,0.30000000000000004,9.09,0.17,16.67,0.03,0.0,4.36,73.42,97.08,6.63,40,1.1,129,3.56,13,68.99,39.54,1.09,-0.46,-0.013000000000000001,0.0,1.44,0.36,,,,0.0,0,0.0
F. Zenobio,Felipe Tomás Zenobio,-210034,Tigre,Tigre,https://cdn5.wyscout.com/photos/team/public/107_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,25.0,2000-05-22,400000,2026-12-31,33,3244,0,0.0,0,0.0,0.53,100.0,Argentina,['Argentina'],right,183,74,False,1.17,0.03,100.0,0.42,100.0,0.0,0.0,0.0,1.1400000000000001,1.52,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,6.55,0.19,0.19,12.21,87.5,7.57,80.59,0.0,0.0,6.46,99.14,5.74,74.4,37.46,51.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,69.57,0.06,0.0,0.14,60.0,0.0,0.0,4.8,86.13,98.74,4.41,27,0.75,107,2.9699999999999998,13,74.77,30.59,0.85,3.59,0.1,0.0,1.55,0.42,,,,0.0,0,0.0
F. Armani,Franco Armani,51301,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/99_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,39.0,1986-10-16,1000000,2026-12-31,32,3191,0,0.0,0,0.0,0.56,75.0,Argentina,['Argentina'],right,189,88,False,1.16,0.14,60.0,0.28,100.0,0.06,0.1,0.0,1.02,1.88,0.03,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.0,0.0,0.0,7.5600000000000005,0.25,0.06,12.78,90.51,6.49,82.61,0.0,0.0,8.55,99.34,4.2,73.15,29.33,41.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,66.67,0.03,0.0,0.03,100.0,0.0,0.0,3.27,72.41,99.51,5.78,21,0.59,103,2.91,16,79.61,30.32,0.86,9.32,0.263,0.0,1.13,0.28,,,,0.0,0,0.0
M. Borgogno,Matías Nahuel Borgogno,-81913,San Martín San Juan,San Martín San Juan,https://cdn5.wyscout.com/photos/team/public/104_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,27.0,1998-08-21,275000,2025-12-31,32,3186,0,0.0,0,0.0,0.79,89.29,Argentina,"['Argentina', 'Italy']",right,187,73,False,1.4100000000000001,0.06,100.0,0.4,100.0,0.0,0.0,0.0,1.3599999999999999,2.05,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.17,66.67,0.0,0.0,0.0,8.39,0.17,0.25,14.83,77.33,10.11,69.55,0.0,0.0,6.38,96.02,8.42,63.42,41.55,53.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,60.43,0.25,11.11,0.14,0.0,0.03,0.0,5.82,79.13,94.81,4.35,34,0.96,130,3.67,11,73.85,36.84,1.04,2.84,0.08,0.0,1.92,0.4,,,,0.0,0,0.0
