Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Turganov,Ali Turganov,-323821,Akademiya Ontustik,Akademiya Ontustik,https://cdn5.wyscout.com/photos/team/public/g-8379_120x120.png,1. Division,"LCB, RCB",LCB,87,RCB,12,,0,21.0,2004-02-15,0,2025-12-31,16,1520,0,1.07,1,0.22,13.22,67.46,Kazakhstan,['Kazakhstan'],right,191,82,False,9.55,5.57,76.14,4.3,69.12,0.44,0.73,0.44,4.87,8.05,0.5700000000000001,3,0.18,1,0.06,0.25,0.0,0,0.0,0.07,0,0.0,8,0.51,37.5,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.71,37.04,1.01,1.45,0.06,15.81,0.38,0.51,35.35,80.68,18.47,71.23,2.5300000000000002,95.0,28.59,87.61,6.77,51.4,23.08,35.5,0.01,0.25,0.06,0.0,0.06,100.0,0.13,6.7,68.87,0.9500000000000001,53.33,0.63,50.0,0.5700000000000001,0.0,9.61,75.0,92.39,11.64,0,,0,,0,0.0,0.0,0.0,,,2.21,,4.3,0.0,0.0,0.0,0.0,0,0.0
D. Kenzhegulov,Doszhan Kenzhegulov,-123129,Altay,Altay,https://cdn5.wyscout.com/photos/team/public/g36010_120x120.png,1. Division,"LCB, CB",LCB,73,CB,20,,0,25.0,2000-01-13,0,2025-12-31,16,1520,2,0.85,0,0.11,12.49,66.35,Kazakhstan,['Kazakhstan'],,185,69,False,10.48,5.15,72.41,3.9699999999999998,65.67,0.24,0.28,1.01,6.51,7.76,0.77,0,0.0,0,0.0,0.30000000000000004,0.12,2,0.12,0.05,0,0.0,4,0.24,50.0,50.0,0.0,0.18,0.0,0.12,0.0,0.06,0.0,0.0,0.24,75.0,1.6,59.26,0.30000000000000004,0.12,0.0,13.32,0.18,1.18,25.16,80.71,12.26,67.63,1.48,100.0,19.84,88.06,5.15,55.17,24.23,37.77,0.01,0.18,0.0,0.0,0.06,0.0,0.06,3.85,61.54,0.41000000000000003,14.29,0.36,16.67,0.06,0.0,5.98,64.36,94.8,10.24,0,,0,,0,0.0,0.0,0.0,,,1.24,,3.9699999999999998,0.0,0.0,0.0,0.0,0,0.0
K. Taipov,Kassymzhan Taipov,214337,Caspiy,Caspiy,https://cdn5.wyscout.com/photos/team/public/g3933_120x120.png,1. Division,RCB,RCB,94,,0,,0,30.0,1995-02-19,0,2025-12-31,17,1519,1,1.52,3,0.67,14.62,61.09,Kazakhstan,['Kazakhstan'],right,180,72,False,8.81,5.14,70.24,4.96,55.56,0.18,0.28,0.55,5.02,7.52,1.22,2,0.12,0,0.0,0.49,0.06,1,0.06,0.09,1,0.06,9,0.55,33.33,11.111,0.18,0.18,33.33,0.0,0.0,0.18,33.33,0.0,0.37,66.67,1.9,64.52,0.67,0.8,0.0,19.76,0.37,1.04,37.26,80.13,17.31,65.72,3.12,94.12,27.78,90.09,9.3,51.32,25.21,41.97,0.04,0.12,0.0,0.0,0.0,0.0,0.18,6.49,55.66,1.16,31.58,1.22,35.0,0.67,0.06,8.69,69.01,94.98,14.62,0,,0,,0,0.0,0.0,0.0,,,2.51,,4.96,0.0,0.0,0.0,0.0,0,0.0
N. Kalmykov,Nikita Kalmykov,82941,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/1361_120x120.png,1. Division,GK,GK,100,,0,,0,35.0,1989-08-24,75000,,16,1511,0,0.0,0,0.0,0.6000000000000001,80.0,Kazakhstan,['Kazakhstan'],right,186,85,False,1.37,0.06,100.0,0.54,77.78,0.0,0.0,0.0,1.31,2.37,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,10.24,0.06,0.06,16.5,86.64,7.27,74.59,0.12,100.0,11.73,97.46,4.71,60.76,30.78,44.33,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.25,57.14,0.12,0.0,0.12,50.0,0.06,0.0,3.63,59.02,96.62,8.82,8,0.48,42,2.5,10,80.95,9.9,0.59,1.9,0.113,0.06,1.49,0.54,,,,0.0,0,0.0
A. Serikbay,Alikhan Serikbay,-444611,Caspiy,Caspiy,https://cdn5.wyscout.com/photos/team/public/g3933_120x120.png,1. Division,RB,RB,95,,0,,0,19.0,2006-06-20,0,2025-12-31,16,1467,0,0.32,1,0.24,13.18,55.17,Kazakhstan,['Kazakhstan'],right,187,0,False,6.3,5.32,65.85,1.82,50.0,0.32,0.49,0.13,2.47,3.7,0.84,0,0.0,1,0.06,1.3599999999999999,0.0,0,0.0,0.02,0,0.0,5,0.32,60.0,0.0,0.06,1.3,30.0,0.0,0.0,1.3,30.0,0.32,1.82,42.86,4.16,46.88,0.97,0.97,0.06,14.74,1.88,0.84,22.99,71.47,10.78,68.07,3.96,88.52,18.44,80.63,3.31,35.29,18.38,30.98,0.02,0.13,0.0,0.0,0.0,0.0,0.13,3.7,66.67,1.75,33.33,0.19,0.0,0.32,0.39,5.91,63.74,62.34,5.0,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.82,0.0,0.0,0.0,0.0,0,0.0
D. Zainetdinov,Daulet Zaynetdinov,419291,Shakhtyor Karagandy,Shakhtyor Karagandy,https://cdn5.wyscout.com/photos/team/public/1362_120x120.png,1. Division,"RCB, LCB",RCB,81,LCB,13,,0,28.0,1997-05-15,0,2025-12-31,15,1460,0,0.47000000000000003,0,0.03,16.34,59.25,Kazakhstan,['Kazakhstan'],right,187,0,False,9.68,6.78,75.45,5.79,44.68,0.12,0.19,0.37,4.44,6.88,0.99,4,0.25,0,0.0,0.06,0.0,0,0.0,0.03,0,0.0,5,0.31,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.9100000000000001,45.16,0.68,0.55,0.06,20.4,0.31,0.68,38.53,76.96,17.45,61.48,2.47,87.5,32.73,83.43,5.79,40.43,21.76,35.91,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.93,53.75,0.25,25.0,0.25,25.0,0.12,0.0,8.82,52.45,93.42,14.98,0,,0,,0,0.0,0.0,0.0,,,1.79,,5.79,0.0,0.0,0.0,0.0,0,0.0
Z. Kukeyev,Zhannur Kukeev,-157381,Altay,Altay,https://cdn5.wyscout.com/photos/team/public/g36010_120x120.png,1. Division,"RB, RB5",RB,78,RB5,18,,0,21.0,2003-09-18,0,2025-12-31,16,1457,0,1.54,1,0.45,17.67,55.59,Kazakhstan,['Kazakhstan'],right,177,0,False,10.69,7.47,60.33,2.41,53.85,0.62,0.73,0.31,5.5600000000000005,6.54,1.24,3,0.19,0,0.0,2.04,0.0,0,0.0,0.09,0,0.0,9,0.56,0.0,0.0,0.06,2.16,42.86,0.0,0.0,2.16,42.86,0.19,2.04,54.55,5.25,51.76,1.3599999999999999,0.8,0.12,12.23,1.11,2.22,21.99,63.48,11.55,56.68,2.7800000000000002,91.11,14.08,74.56,5.8100000000000005,44.68,23.72,33.89,0.03,0.49,0.06,0.0,0.0,0.0,0.19,5.13,48.19,2.22,44.44,0.43,14.29,0.37,0.99,7.17,68.1,64.94,4.76,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.41,0.0,0.0,0.0,0.0,0,0.0
A. Aliakbar,Abylkhair Aliakbar,-567800,Altay,Altay,https://cdn5.wyscout.com/photos/team/public/g36010_120x120.png,1. Division,GK,GK,100,,0,,0,19.0,2006-04-19,0,,15,1433,0,0.0,0,0.0,1.13,83.33,Kazakhstan,['Kazakhstan'],unknown,0,0,False,1.76,0.13,50.0,0.9400000000000001,86.67,0.0,0.0,0.0,1.7000000000000002,2.07,0.06,2,0.13,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.06,100.0,0.0,0.0,0.0,4.33,0.06,0.38,11.68,75.27,7.91,67.46,0.0,0.0,5.4,98.84,6.22,55.56,40.7,55.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,46.51,0.19,0.0,0.13,0.0,0.0,0.0,4.27,75.0,92.73,3.45,10,0.63,44,2.76,8,77.27,12.19,0.77,2.19,0.138,0.0,2.39,0.9400000000000001,,,,0.0,0,0.0
S. Ivanov,Sergey Ivanov,-293653,Altay,Altay,https://cdn5.wyscout.com/photos/team/public/g36010_120x120.png,1. Division,"RCB, RCB3",RCB,78,RCB3,21,,0,21.0,2004-07-05,0,,15,1433,0,0.02,0,0.4,10.61,57.99,Kazakhstan,['Kazakhstan'],right,175,72,False,7.22,5.53,62.5,2.76,59.09,0.13,0.15,0.38,3.64,4.44,1.13,3,0.19,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.25,50.0,0.0,0.0,0.25,50.0,0.0,0.06,0.0,0.6900000000000001,54.55,0.0,0.75,0.0,16.77,0.75,0.25,32.97,75.24,19.6,65.06,2.07,100.0,22.67,86.7,10.11,49.69,25.76,38.27,0.03,0.19,0.0,0.06,0.0,0.0,0.19,7.54,60.83,0.9400000000000001,66.67,0.6900000000000001,72.73,0.38,0.13,10.3,71.95,92.76,9.55,0,,0,,0,0.0,0.0,0.0,,,1.0,,2.76,0.0,0.0,0.0,0.0,0,0.0
S. Tazhikenov,Sultan Tazhikenov,-437195,SD Family,SD Family,https://cdn5.wyscout.com/photos/team/public/g-13908_120x120.png,1. Division,"RWB, RB, RCMF",RWB,26,RB,23,RCMF,10,19.0,2006-04-19,0,2025-12-31,15,1419,0,1.6,0,0.62,21.37,46.59,Kazakhstan,['Kazakhstan'],unknown,171,62,False,8.31,7.29,61.74,4.76,48.0,0.19,0.31,0.13,3.62,5.96,1.97,3,0.19,1,0.06,1.01,0.0,0,0.0,0.1,0,0.0,17,1.08,23.53,0.0,0.0,0.76,33.33,0.06,100.0,0.7000000000000001,27.27,0.0,1.97,25.81,5.9,26.88,0.44,0.51,0.0,7.67,0.38,0.8200000000000001,18.08,57.54,8.94,39.01,2.35,89.19,13.64,65.58,3.81,31.67,21.19,34.94,0.04,0.44,0.0,0.06,0.06,0.0,0.06,4.06,37.5,1.27,35.0,0.25,0.0,0.38,0.25,4.25,50.75,78.87,4.5,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,4.76,0.0,0.0,0.0,0.13,1,0.0
