Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rubén Yáñez,Orlando Rubén Yáñez Alabart,262198,Sporting Gijón,Sporting Gijón,https://cdn5.wyscout.com/photos/team/public/657_120x120.png,Segunda División,GK,GK,100,,0,,0,32.0,1993-10-12,1800000,2028-06-30,24,2410,0,0.0,0,0.0,0.71,78.95,Spain,['Spain'],right,188,85,False,1.42,0.04,100.0,0.45,83.33,0.0,0.0,0.0,1.38,1.67,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,75.0,0.0,0.0,0.0,8.93,0.07,0.15,14.27,75.39,9.82,65.78,0.0,0.0,6.35,95.88,7.92,58.96,36.08,48.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,60.53,0.22,16.67,0.11,0.0,0.07,0.0,6.05,72.84,97.03,3.77,32,1.2,108,4.03,8,70.37,32.04,1.2,0.04,0.001,0.0,1.34,0.45,,,,0.0,0,0.0
J. Mellot,Jérémy Mellot,297865,Castellón,Castellón,https://cdn5.wyscout.com/photos/team/public/772_120x120.png,Segunda División,"RB, RCB3",RB,79,RCB3,19,,0,31.0,1994-03-28,1200000,2027-06-30,24,2403,0,0.19,1,0.21,12.85,59.18,France,['France'],right,178,70,False,8.35,5.96,61.01,1.9100000000000001,62.75,0.45,0.7000000000000001,0.37,4.27,6.67,0.9400000000000001,5,0.19,0,0.0,1.12,0.0,0,0.0,0.01,0,0.0,9,0.34,0.0,0.0,0.04,1.27,38.24,0.04,0.0,1.2,37.5,0.15,0.9400000000000001,68.0,3.18,57.65,0.56,0.97,0.15,32.02,0.49,1.3900000000000001,48.05,82.39,22.96,74.71,5.66,94.04,39.66,89.99,7.19,47.92,20.87,39.55,0.01,0.15,0.04,0.04,0.0,0.0,0.07,9.4,72.91,2.13,45.61,0.41000000000000003,36.36,0.6000000000000001,0.45,10.9,77.32,90.05,14.31,0,,0,,0,0.0,0.0,0.0,,,2.77,,1.9100000000000001,0.19,0.0,0.0,0.04,0,0.0
Guilherme Fernandes,Guilherme Sousa Carvalho Fernandes,-79434,Real Valladolid,Real Valladolid,https://cdn5.wyscout.com/photos/team/public/59_120x120.png,Segunda División,GK,GK,100,,0,,0,24.0,2001-03-28,150000,2027-06-30,24,2391,0,0.0,0,0.0,0.53,57.14,Portugal,['Portugal'],right,191,75,True,1.13,0.08,0.0,0.30000000000000004,75.0,0.0,0.0,0.0,1.13,1.69,0.08,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,0.11,33.33,0.0,0.04,0.0,11.67,0.19,0.0,18.29,80.66,10.65,68.9,0.0,0.0,10.54,95.71,7.72,60.0,36.04,52.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,41.46,0.23,0.0,0.41000000000000003,18.18,0.0,0.0,4.82,75.0,97.38,7.19,27,1.02,86,3.24,6,68.6,25.73,0.97,-1.27,-0.048,0.0,1.32,0.30000000000000004,,,,0.0,0,0.0
Juan Soriano,Juan Soriano Oropesa,335226,Leganés,Leganés,https://cdn5.wyscout.com/photos/team/public/2520_120x120.png,Segunda División,GK,GK,100,,0,,0,28.0,1997-08-23,1500000,2027-06-30,24,2369,0,0.0,0,0.0,0.65,100.0,Spain,['Spain'],right,185,78,False,1.06,0.0,0.0,0.53,100.0,0.0,0.0,0.0,1.06,1.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,14.74,0.5700000000000001,0.19,22.03,83.62,14.51,76.18,0.0,0.0,11.21,97.97,10.83,68.77,35.22,48.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,55.56,0.15,0.0,0.19,40.0,0.0,0.0,8.66,76.32,98.4,7.14,25,0.9500000000000001,94,3.5700000000000003,8,73.4,22.61,0.86,-2.39,-0.091,0.0,1.75,0.53,,,,0.0,0,0.0
Ander Cantero,Ander Cantero Armendáriz,216217,Burgos,Burgos,https://cdn5.wyscout.com/photos/team/public/4080_120x120.png,Segunda División,GK,GK,100,,0,,0,31.0,1995-01-09,1000000,2027-06-30,24,2366,0,0.0,0,0.0,0.30000000000000004,75.0,Spain,['Spain'],left,189,82,False,0.87,0.0,0.0,0.27,85.71,0.0,0.0,0.0,0.87,1.16,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,7.76,0.11,0.04,13.12,86.09,5.97,73.25,0.0,0.0,8.41,97.29,4.68,66.67,33.25,46.86,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.72,63.16,0.0,0.0,0.0,0.0,0.0,0.0,4.18,69.09,97.27,6.96,24,0.91,83,3.16,7,71.08,24.23,0.92,0.23,0.009000000000000001,0.0,1.37,0.27,,,,0.0,0,0.0
Jon Mikel,Jon Mikel Magunagoitia Blasco,476312,Eibar,Eibar,https://cdn5.wyscout.com/photos/team/public/780_120x120.png,Segunda División,GK,GK,100,,0,,0,25.0,2000-08-06,600000,2026-06-30,24,2358,0,0.0,0,0.0,0.5,69.23,Spain,['Spain'],right,183,78,False,1.49,0.11,33.33,0.31,87.5,0.0,0.0,0.0,1.45,1.9,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,0.31,0.04,23.24,86.21,12.48,77.06,0.0,0.0,14.27,98.93,8.93,66.24,31.02,48.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,48.15,0.23,0.0,0.15,25.0,0.04,0.0,6.22,74.85,96.41,9.58,26,0.99,98,3.74,9,73.47,28.74,1.1,2.74,0.105,0.0,1.15,0.31,,,,0.0,0,0.0
Grego Sierra,Gregorio Sierra Pérez,189954,Burgos,Burgos,https://cdn5.wyscout.com/photos/team/public/4080_120x120.png,Segunda División,LCB,LCB,96,,0,,0,32.0,1993-03-05,700000,2026-06-30,24,2351,2,1.23,1,0.38,11.71,62.09,Spain,['Spain'],left,186,74,False,7.85,5.36,71.43,3.41,60.67,0.34,0.46,0.61,3.68,4.88,1.11,4,0.15,0,0.0,0.34,0.08,2,0.08,0.05,0,0.0,8,0.31,25.0,25.0,0.04,0.19,60.0,0.15,50.0,0.04,100.0,0.0,0.19,80.0,0.84,36.36,0.27,1.19,0.0,29.06,0.31,0.31,41.65,86.86,16.61,74.88,1.45,94.74,34.45,93.67,7.01,54.1,22.93,38.49,0.01,0.19,0.04,0.04,0.0,0.0,0.19,4.9,63.28,0.5700000000000001,33.33,0.46,50.0,0.08,0.11,7.27,72.63,96.48,20.67,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.41,0.0,0.0,0.0,0.0,0,0.0
David Torres,David Torres Ortiz,-237193,Real Valladolid,Real Valladolid,https://cdn5.wyscout.com/photos/team/public/59_120x120.png,Segunda División,LCB,LCB,96,,0,,0,22.0,2003-03-05,0,2026-06-30,24,2343,1,1.18,0,0.25,12.91,58.93,Spain,['Spain'],left,182,76,False,6.91,5.8,62.25,3.96,54.37,0.12,0.17,0.77,3.19,4.74,1.08,3,0.12,0,0.0,0.12,0.04,1,0.04,0.05,1,0.04,5,0.19,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.6900000000000001,55.56,0.5,0.61,0.19,27.04,0.42,0.31,40.87,86.37,18.9,77.44,2.0,100.0,36.11,90.11,4.76,58.06,21.54,38.33,0.01,0.08,0.0,0.08,0.0,0.0,0.0,4.72,70.73,0.19,20.0,0.19,20.0,0.08,0.0,8.99,71.79,94.5,16.06,0,,0,,0,0.0,0.0,0.0,,,1.69,,3.96,0.0,0.0,0.0,0.0,0,0.0
Carlos Hernández,Carlos Hernández Alarcón,182510,Ceuta,Ceuta,https://cdn5.wyscout.com/photos/team/public/g22432_120x120.png,Segunda División,RCB,RCB,90,,0,,0,35.0,1990-09-15,100000,2026-06-30,23,2314,1,2.85,0,0.15,17.35,61.21,Spain,['Spain'],right,185,80,False,9.61,5.5600000000000005,72.03,6.92,60.11,0.12,0.18,0.97,5.48,8.25,1.13,4,0.16,0,0.0,0.39,0.04,1,0.04,0.11,1,0.04,22,0.86,40.91,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,14.29,2.06,32.08,1.17,0.23,0.0,17.07,0.27,0.47000000000000003,29.29,86.59,11.24,74.39,2.26,94.83,26.37,90.27,2.92,53.33,18.76,31.32,0.01,0.04,0.0,0.0,0.0,0.0,0.04,2.41,61.29,0.31,25.0,0.0,0.0,0.16,0.0,4.75,57.38,95.6,12.37,0,,0,,0,0.0,0.0,0.0,,,1.71,,6.92,0.0,0.0,0.0,0.0,0,0.0
Alfonso Herrero,Alfonso Herrero Peinador,160233,Málaga,Málaga,https://cdn5.wyscout.com/photos/team/public/770_120x120.png,Segunda División,GK,GK,100,,0,,0,31.0,1994-04-21,400000,2028-06-30,23,2280,0,0.0,0,0.0,0.59,53.33,Spain,['Spain'],right,183,83,False,1.03,0.12,33.33,0.28,71.43,0.04,0.06,0.0,0.9500000000000001,1.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,17.88,0.43,0.16,24.2,85.97,12.28,72.99,0.04,100.0,14.64,99.46,9.55,65.29,33.07,51.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,55.56,0.16,25.0,0.04,0.0,0.04,0.0,6.79,77.91,99.31,11.37,26,1.03,113,4.46,5,76.99,34.83,1.37,8.83,0.34900000000000003,0.0,1.07,0.28,,,,0.0,0,0.0
