Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Petrovic,Igor  Petrovic,-193250,Loznica,Loznica,https://cdn5.wyscout.com/photos/team/public/g3806_120x120.png,Prva Liga,"RCB, LCB",RCB,52,LCB,47,,0,25.0,2000-11-03,0,,24,2322,0,0.48,0,0.64,8.91,64.78,Serbia,['Serbia'],,189,0,False,6.94,2.95,67.11,3.88,68.0,0.08,0.1,0.27,4.88,6.27,0.54,2,0.08,0,0.0,0.12,0.0,0,0.0,0.02,0,0.0,4,0.16,25.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.08,100.0,0.78,55.0,0.39,0.39,0.04,22.83,0.23,0.27,37.98,87.45,13.18,72.65,2.95,98.68,34.69,92.07,3.26,39.29,21.52,37.69,0.02,0.08,0.0,0.0,0.0,0.0,0.04,2.13,45.45,0.12,0.0,0.16,25.0,0.08,0.0,4.8100000000000005,45.97,96.04,18.6,0,,0,,0,0.0,0.0,0.0,,,2.6,,3.88,0.0,0.0,0.0,0.0,0,0.0
A. Stanković,Aleksandar Stanković,385231,OFK Vršac,OFK Vršac,https://cdn5.wyscout.com/photos/team/public/g-16413_120x120.png,Prva Liga,GK,GK,100,,0,,0,28.0,1998-02-17,50000,2026-06-30,23,2222,0,0.0,0,0.0,0.2,100.0,Serbia,['Serbia'],right,191,80,False,1.34,0.04,100.0,0.16,100.0,0.0,0.0,0.04,1.3,2.02,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31,0.24,0.0,26.13,90.08,13.49,83.18,0.16,100.0,17.9,98.87,8.18,70.79,29.92,46.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,52.0,0.08,0.0,0.12,66.67,0.0,0.0,5.67,82.86,97.54,11.5,24,0.97,72,2.92,8,66.67,24.3,0.98,0.30000000000000004,0.012,0.12,1.05,0.16,,,,0.0,0,0.0
A. Simic,Aleksandar Simic,-233647,Trayal Kruševac,Trayal Kruševac,https://cdn5.wyscout.com/photos/team/public/g6759_120x120.png,Prva Liga,GK,GK,100,,0,,0,24.0,2001-04-06,0,,23,2205,0,0.0,0,0.0,0.9,86.36,Serbia,"['Serbia', 'Bosnia and Herzegovina']",right,193,0,False,1.63,0.16,75.0,0.5700000000000001,100.0,0.0,0.0,0.0,1.51,2.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,21.35,0.2,0.2,31.14,87.02,17.47,79.21,0.0,0.0,20.37,98.4,10.78,65.53,31.73,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,47.76,0.29,0.0,0.04,100.0,0.0,0.0,8.0,75.51,97.17,12.98,25,1.02,77,3.14,6,67.53,23.75,0.97,-1.25,-0.051000000000000004,0.0,2.0,0.5700000000000001,,,,0.0,0,0.0
B. Blagojevic,Bozidar Blagojevic,-256569,Smederevo 1924,Smederevo 1924,https://cdn5.wyscout.com/photos/team/public/g22531_120x120.png,Prva Liga,"LCB, RCB",LCB,60,RCB,35,,0,24.0,2002-02-15,0,2026-06-30,23,2195,0,0.32,1,0.32,8.73,58.22,Serbia,['Serbia'],left,188,0,True,6.85,3.65,61.8,2.83,57.97,0.08,0.12,0.74,4.51,6.83,1.03,3,0.12,0,0.0,0.04,0.0,0,0.0,0.01,0,0.0,5,0.21,0.0,0.0,0.04,0.08,50.0,0.04,100.0,0.04,0.0,0.04,0.04,0.0,0.66,50.0,0.25,0.49,0.0,30.79,0.37,0.66,46.17,83.48,20.21,68.36,2.3,98.21,37.72,91.85,8.36,46.08,24.25,41.85,0.01,0.16,0.04,0.0,0.04,0.0,0.04,6.6,55.28,0.53,46.15,0.5700000000000001,14.29,0.25,0.04,9.14,65.02,95.67,20.83,0,,0,,0,0.0,0.0,0.0,,,1.48,,2.83,0.0,0.0,0.0,0.0,0,0.0
P. Popadic,Predrag Popadic,-681460,Dinamo,Dinamo,https://cdn5.wyscout.com/photos/team/public/g-24180_120x120.png,Prva Liga,"LCB, LCB3",LCB,55,LCB3,34,,0,25.0,2000-10-19,0,,22,2146,1,1.03,0,0.05,13.08,60.9,Serbia,['Serbia'],unknown,0,0,False,7.42,4.28,65.69,4.15,64.65,0.46,0.72,0.46,4.15,6.44,1.09,4,0.17,0,0.0,0.46,0.04,1,0.04,0.04,0,0.0,8,0.34,37.5,12.5,0.0,0.13,33.33,0.08,50.0,0.04,0.0,0.04,0.42,70.0,2.18,57.69,0.42,0.34,0.08,15.1,0.21,1.38,30.82,80.41,14.8,70.54,2.35,96.43,24.37,86.92,6.33,56.29,23.15,36.02,0.0,0.13,0.0,0.0,0.0,0.0,0.04,4.36,59.62,0.42,30.0,0.17,25.0,0.08,0.04,6.96,69.88,89.69,10.99,0,,0,,0,0.0,0.0,0.0,,,1.76,,4.15,0.08,0.04,100.0,0.0,0,0.0
F. Stamenkovic,Filip Stamenkovic,508319,Dinamo,Dinamo,https://cdn5.wyscout.com/photos/team/public/g-24180_120x120.png,Prva Liga,"RCB, CB",RCB,60,CB,30,,0,27.0,1998-09-15,175000,,22,2143,0,0.32,1,0.85,10.63,64.82,Serbia,['Serbia'],right,192,79,False,6.51,2.73,72.31,5.29,72.22,0.13,0.2,0.38,4.41,6.88,0.97,7,0.29,0,0.0,0.13,0.0,0,0.0,0.01,0,0.0,4,0.17,50.0,0.0,0.04,0.08,50.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.84,30.0,0.55,0.08,0.0,9.03,0.25,0.67,21.12,75.35,10.42,60.89,1.3900000000000001,96.97,16.55,85.03,4.49,40.19,24.13,39.8,0.04,0.17,0.0,0.0,0.0,0.0,0.04,3.95,42.55,0.38,22.22,0.21,0.0,0.17,0.04,5.25,57.6,87.83,7.94,0,,0,,0,0.0,0.0,0.0,,,1.05,,5.29,0.0,0.0,0.0,0.0,0,0.0
J. Mitrović,Jovan Mitrović,-189486,Smederevo 1924,Smederevo 1924,https://cdn5.wyscout.com/photos/team/public/g22531_120x120.png,Prva Liga,"RCB, LCB",RCB,60,LCB,34,,0,25.0,2001-01-25,0,2026-06-30,22,2126,2,0.74,0,0.2,14.39,56.47,Serbia,['Serbia'],,0,0,False,8.76,5.88,62.59,5.08,56.67,0.17,0.26,0.85,4.91,7.44,1.48,5,0.21,0,0.0,0.34,0.08,2,0.08,0.03,2,0.08,10,0.42,40.0,20.0,0.0,0.25,33.33,0.08,50.0,0.17,25.0,0.04,0.13,66.67,1.44,50.0,0.63,0.93,0.0,34.04,0.51,0.97,51.18,83.21,23.54,72.12,3.77,96.63,42.42,91.22,8.51,44.78,23.75,44.07,0.01,0.13,0.0,0.0,0.0,0.0,0.0,7.75,51.37,1.23,17.24,0.89,14.29,0.17,0.08,10.41,68.29,93.09,20.83,0,,0,,0,0.0,0.0,0.0,,,3.39,,5.08,0.0,0.0,0.0,0.0,0,0.0
M. Živković,Mladen Živković,143430,Zemun,Zemun,https://cdn5.wyscout.com/photos/team/public/1258_120x120.png,Prva Liga,GK,GK,100,,0,,0,36.0,1989-08-26,100000,2026-06-30,22,2119,0,0.0,0,0.0,0.72,94.12,Serbia,['Serbia'],right,188,81,False,1.27,0.04,100.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.23,1.5,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.17,75.0,0.0,0.0,0.0,11.17,0.13,0.38,19.45,80.35,11.51,69.74,0.0,0.0,9.56,98.67,9.9,62.66,35.16,47.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,42.37,0.21,0.0,0.0,0.0,0.0,0.0,5.95,78.57,95.48,7.52,17,0.72,72,3.06,10,76.39,20.1,0.85,3.1,0.132,0.0,1.78,0.47000000000000003,,,,0.0,0,0.0
D. Jovanović,Djordje Jovanović,509761,Zemun,Zemun,https://cdn5.wyscout.com/photos/team/public/1258_120x120.png,Prva Liga,LCB,LCB,98,,0,,0,25.0,2001-01-07,0,2026-06-30,22,2115,0,0.12,0,0.0,11.02,62.55,Serbia,['Serbia'],,0,0,False,8.81,4.04,67.37,4.43,67.31,0.38,0.47000000000000003,0.85,5.7,6.94,1.02,3,0.13,1,0.04,0.0,0.0,0,0.0,0.01,0,0.0,2,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,60.0,0.30000000000000004,0.34,0.0,21.32,0.30000000000000004,0.85,35.96,86.63,12.47,69.97,2.51,96.61,30.81,92.13,5.15,53.72,22.23,34.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,56.45,0.09,0.0,0.04,100.0,0.0,0.0,5.36,51.59,96.13,18.68,0,,0,,0,0.0,0.0,0.0,,,2.04,,4.43,0.0,0.0,0.0,0.0,0,0.0
S. Mitrović,Stefan Mitrović,-99346,Loznica,Loznica,https://cdn5.wyscout.com/photos/team/public/g3806_120x120.png,Prva Liga,"RB, RAMF, RW",RB,62,RAMF,14,RW,10,24.0,2002-01-05,0,2028-12-31,23,2102,0,1.03,4,2.81,16.01,54.81,Serbia,['Serbia'],right,170,61,True,8.69,6.72,69.43,2.44,42.11,0.39,0.49,0.21,3.64,4.64,1.11,5,0.21,0,0.0,1.46,0.0,0,0.0,0.04,0,0.0,13,0.56,30.77,0.0,0.17,2.35,29.09,0.04,0.0,2.31,29.63,0.34,1.07,52.0,4.84,46.9,1.24,0.9,0.21,18.33,2.06,1.46,27.23,73.27,12.16,67.25,4.2,95.92,21.71,82.25,3.3,44.16,18.62,28.13,0.12,0.6900000000000001,0.0,0.0,0.04,100.0,0.39,4.2,62.24,2.27,45.28,0.09,50.0,0.64,0.77,6.8100000000000005,69.18,67.92,6.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.13,,2.44,0.04,0.0,0.0,0.0,0,0.0
