Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Karlström,Jacob Karlström,348451,Molde,Molde,https://cdn5.wyscout.com/photos/team/public/735_120x120.png,Eliteserien,GK,GK,100,,0,,0,28.0,1997-01-09,700000,2025-12-31,21,2095,0,0.0,0,0.0,0.56,84.62,Norway,['Norway'],right,200,90,False,1.42,0.04,0.0,0.43,90.0,0.0,0.0,0.0,1.42,1.96,0.04,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,22.0,0.13,0.13,31.92,87.75,13.19,73.94,0.0,0.0,23.03,98.88,8.81,59.51,29.92,51.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,45.65,0.39,11.11,0.13,0.0,0.04,0.0,5.11,78.15,98.07,17.79,28,1.2,87,3.74,7,67.82,25.61,1.1,-2.39,-0.10300000000000001,0.0,1.46,0.43,,,,0.0,0,0
R. Yttergård Jenssen,Ruben Yttergård Jenssen,7987,Tromsø,Tromsø,https://cdn5.wyscout.com/photos/team/public/733_120x120.png,Eliteserien,DMF,DMF,100,,0,,0,37.0,1988-05-04,150000,2025-12-31,21,2076,1,1.6099999999999999,5,3.15,9.84,51.98,Norway,['Norway'],left,173,71,False,5.55,3.95,61.54,0.87,50.0,0.17,0.19,0.35000000000000003,2.95,3.27,0.65,1,0.04,0,0.0,1.0,0.04,1,0.04,0.07,0,0.0,11,0.48,36.36,9.091,0.22,0.8200000000000001,63.16,0.65,66.67,0.13,33.33,0.17,0.56,38.46,3.42,44.3,1.52,0.65,0.17,39.36,0.26,1.21,51.94,89.32,12.57,76.55,12.44,97.21,48.16,92.26,2.95,48.53,15.14,26.99,0.14,1.3,0.04,0.04,0.13,66.67,0.65,4.99,80.0,2.77,62.5,0.8200000000000001,63.16,1.65,0.52,6.11,75.18,91.27,16.39,0,,0,,0,0.0,0.0,0.0,,,2.47,,0.87,0.13,0.0,0.0,1.26,0,0
J. Haugaard,Jakob Let Haugaard,138556,Tromsø,Tromsø,https://cdn5.wyscout.com/photos/team/public/733_120x120.png,Eliteserien,GK,GK,100,,0,,0,33.0,1992-05-01,600000,2026-12-31,21,2076,0,0.0,0,0.0,0.65,80.0,Denmark,['Denmark'],left,199,87,False,1.21,0.0,0.0,0.52,91.67,0.0,0.0,0.0,1.21,1.35,0.0,3,0.13,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,25.92,0.30000000000000004,0.26,36.33,81.15,23.28,71.88,0.0,0.0,20.64,98.11,15.69,58.84,34.01,52.46,0.0,0.0,0.0,0.0,0.04,100.0,0.0,7.41,49.12,0.52,16.67,0.61,21.43,0.04,0.0,10.45,79.25,97.45,11.88,27,1.17,81,3.51,7,66.67,26.04,1.13,-0.96,-0.042,0.0,0.9500000000000001,0.52,,,,0.0,0,0
N. Haikin,Nikita Haikin,400793,Bodø / Glimt,Bodø / Glimt,https://cdn5.wyscout.com/photos/team/public/730_120x120.png,Eliteserien,GK,GK,100,,0,,0,30.0,1995-07-11,1500000,2026-07-31,21,2071,0,0.0,0,0.0,0.52,91.67,Israel,"['Israel', 'Russia']",right,188,74,False,1.3,0.09,50.0,0.39,100.0,0.0,0.0,0.0,1.26,1.97,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,18.82,0.22,0.09,26.07,88.17,11.78,76.75,0.0,0.0,18.17,98.09,7.91,65.38,29.85,46.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,58.33,0.22,0.0,0.35000000000000003,0.0,0.0,0.0,5.5600000000000005,75.78,98.37,13.3,19,0.8300000000000001,65,2.8200000000000003,10,70.77,20.84,0.91,1.8399999999999999,0.08,0.0,0.87,0.39,,,,0.0,0,0
E. Ødegaard,Emil Gundelach Ødegaard,402256,KFUM,KFUM,https://cdn5.wyscout.com/photos/team/public/g10791_120x120.png,Eliteserien,GK,GK,100,,0,,0,26.0,1999-04-29,350000,,21,2070,0,0.0,0,0.0,0.96,72.73,Norway,['Norway'],right,186,80,False,2.26,0.13,66.67,0.52,91.67,0.0,0.0,0.0,2.17,2.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,75.0,0.0,0.0,0.04,20.74,0.22,0.09,30.96,76.69,18.78,62.96,0.04,100.0,17.96,97.09,12.91,48.48,38.23,56.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,42.28,0.74,29.41,0.96,27.27,0.17,0.0,9.0,71.5,97.76,11.65,26,1.13,57,2.48,7,54.39,18.86,0.8200000000000001,-7.14,-0.31,0.04,1.7000000000000002,0.52,,,,0.0,0,0
H. Falchener,Henrik Sælebakke Falchener,-156155,Viking,Viking,https://cdn5.wyscout.com/photos/team/public/732_120x120.png,Eliteserien,"LCB, RCB",LCB,73,RCB,23,,0,22.0,2003-05-08,0,,21,2070,3,2.51,0,0.0,14.52,64.07,Norway,['Norway'],right,0,0,False,8.13,3.91,71.11,6.43,66.22,0.13,0.18,0.8300000000000001,5.22,7.09,1.0,3,0.13,0,0.0,0.35000000000000003,0.13,3,0.13,0.11,3,0.13,17,0.74,35.29,17.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,1.09,56.0,1.35,0.35000000000000003,0.0,36.43,0.04,0.48,54.7,90.14,16.13,76.01,2.7800000000000002,95.31,50.61,93.73,4.09,45.74,21.13,41.78,0.0,0.0,0.04,0.04,0.0,0.0,0.09,7.39,79.41,0.30000000000000004,14.29,0.13,0.0,0.22,0.0,7.83,71.11,96.94,31.22,0,,0,,0,0.0,0.0,0.0,,,2.3,,6.43,0.0,0.0,0.0,0.0,0,0
D. Ulvestad,Dan Peter Ulvestad,126911,Kristiansund,Kristiansund,https://cdn5.wyscout.com/photos/team/public/g7853_120x120.png,Eliteserien,LCB,LCB,89,,0,,0,36.0,1989-04-04,100000,,21,2062,0,0.8300000000000001,0,0.42,8.69,62.81,Norway,['Norway'],right,189,84,False,9.08,2.49,71.93,4.06,56.99,0.17,0.19,1.09,7.11,7.79,0.17,1,0.04,0,0.0,0.26,0.0,0,0.0,0.04,0,0.0,9,0.39,44.44,0.0,0.0,0.04,100.0,0.04,100.0,0.0,0.0,0.0,0.0,0.0,0.31,71.43,0.52,0.79,0.0,35.53,0.13,0.39,49.5,90.3,15.28,77.14,1.88,93.02,44.69,94.34,4.76,52.29,20.07,40.69,0.02,0.04,0.0,0.0,0.04,100.0,0.0,7.33,72.62,0.79,27.78,0.52,16.67,0.17,0.04,5.98,67.15,97.63,27.58,0,,0,,0,0.0,0.0,0.0,,,1.27,,4.06,0.0,0.0,0.0,0.0,0,0
L. Cornic,Leo Erik Jean Cornic,517467,Tromsø,Tromsø,https://cdn5.wyscout.com/photos/team/public/733_120x120.png,Eliteserien,RB5,RB5,90,,0,,0,24.0,2001-01-02,600000,2027-12-31,21,2057,3,2.58,3,3.22,12.78,57.19,Norway,['Norway'],right,178,66,False,8.31,7.09,67.28,2.2800000000000002,42.31,0.26,0.29,0.04,3.2800000000000002,3.64,1.27,3,0.13,0,0.0,1.44,0.13,3,0.13,0.11,0,0.0,15,0.66,33.33,20.0,0.13,3.15,33.33,0.09,0.0,3.06,34.29,0.39,0.35000000000000003,50.0,1.79,46.34,2.1,0.5700000000000001,0.22,20.48,2.71,0.8300000000000001,27.3,72.6,6.65,51.97,8.18,94.65,22.1,81.19,2.19,40.0,18.13,27.44,0.14,0.74,0.0,0.0,0.04,0.0,0.5700000000000001,0.92,47.62,2.58,49.15,0.09,0.0,0.5700000000000001,1.01,4.94,60.18,74.73,7.96,0,,0,,0,0.0,0.0,0.0,,,0.53,,2.2800000000000002,0.0,0.0,0.0,0.0,0,0
G. Valsvik,Gustav Valsvik,110957,Strømsgodset,Strømsgodset,https://cdn5.wyscout.com/photos/team/public/731_120x120.png,Eliteserien,"LCB, CB",LCB,85,CB,13,,0,32.0,1993-05-26,550000,2026-12-31,21,2050,1,2.18,1,0.35000000000000003,15.59,65.07,Norway,['Norway'],left,196,91,False,9.79,4.3,71.43,6.89,65.61,0.09,0.09,1.23,6.63,7.11,0.7000000000000001,2,0.09,0,0.0,0.44,0.04,1,0.04,0.1,0,0.0,16,0.7000000000000001,31.25,6.25,0.04,0.13,66.67,0.13,66.67,0.0,0.0,0.0,0.13,100.0,1.62,48.65,1.1400000000000001,0.7000000000000001,0.0,35.12,0.35000000000000003,0.66,51.01,85.37,22.04,75.3,2.59,96.61,41.8,91.18,9.09,58.94,23.13,39.66,0.02,0.18,0.0,0.04,0.0,0.0,0.18,7.95,74.03,0.79,38.89,0.35000000000000003,12.5,0.44,0.09,11.99,69.23,93.99,22.65,0,,0,,0,0.0,0.0,0.0,,,2.02,,6.89,0.0,0.0,0.0,0.0,0,0
T. Guddal,Tobias  Guddal,-258175,Tromsø,Tromsø,https://cdn5.wyscout.com/photos/team/public/733_120x120.png,Eliteserien,CB,CB,100,,0,,0,23.0,2002-07-25,0,,21,2040,0,0.19,1,0.0,16.9,64.75,Norway,['Norway'],right,201,88,False,9.71,5.16,70.94,5.21,65.25,0.22,0.25,0.53,5.82,6.49,1.19,3,0.13,0,0.0,0.44,0.0,0,0.0,0.01,0,0.0,4,0.18,50.0,0.0,0.04,0.18,0.0,0.0,0.0,0.18,0.0,0.04,0.62,57.14,2.34,56.6,0.49,0.71,0.13,49.99,0.26,0.49,66.88,89.64,25.54,81.69,2.65,91.67,62.16,92.97,4.54,47.57,18.31,41.75,0.0,0.0,0.09,0.04,0.04,0.0,0.04,8.47,80.73,0.66,46.67,0.4,33.33,0.26,0.0,10.85,67.89,96.98,29.21,0,,0,,0,0.0,0.0,0.0,,,1.63,,5.21,0.0,0.0,0.0,0.0,0,0
