Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Ćetković,Aleksa Ćetković,-157008,Arsenal Tivat,Arsenal Tivat,https://cdn5.wyscout.com/photos/team/public/g4166_120x120.png,First League,"LCMF, LCMF3, RCMF",LCMF,45,LCMF3,17,RCMF,10,22.0,2004-02-13,50000,2026-06-30,28,2639,2,2.12,2,0.8200000000000001,22.13,49.92,Montenegro,['Montenegro'],right,187,78,False,10.06,8.83,61.39,5.49,48.45,0.07,0.08,0.07,4.57,5.58,1.88,2,0.07,0,0.0,0.75,0.07,2,0.07,0.07,0,0.0,20,0.68,15.0,10.0,0.07,0.75,22.73,0.24,28.57,0.51,20.0,0.2,0.92,48.15,5.12,43.33,1.09,0.31,0.07,13.81,0.44,1.57,30.93,73.43,13.03,60.99,4.84,92.25,26.06,78.53,4.16,50.82,17.86,33.43,0.03,0.48,0.0,0.0,0.1,33.33,0.17,5.83,60.82,1.57,45.65,0.34,20.0,0.68,0.17,5.63,61.21,81.4,8.25,0,,0,,0,0.0,0.0,0.0,,,0.31,,5.49,0.0,0.0,0.0,0.0,0,0
A. Kaludjerović,Andrija Kaludjerović,110597,Mornar,Mornar,https://cdn5.wyscout.com/photos/team/public/1993_120x120.png,First League,"LDMF, DMF, RDMF",LDMF,34,DMF,27,RDMF,22,32.0,1993-10-29,300000,2027-06-01,27,2593,0,0.32,0,0.22,21.87,56.51,Montenegro,['Montenegro'],right,169,65,False,12.04,8.5,64.9,2.43,47.14,2.46,3.36,0.14,4.06,5.55,1.7000000000000002,5,0.17,0,0.0,1.08,0.0,0,0.0,0.01,0,0.0,14,0.49,21.43,0.0,0.0,0.38,45.45,0.14,75.0,0.21,33.33,0.0,1.08,67.74,7.36,50.47,0.03,0.56,0.0,25.72,0.14,1.67,45.23,84.73,14.89,72.49,6.98,92.54,40.51,86.98,4.37,66.67,17.31,35.83,0.01,0.24,0.03,0.03,0.07,100.0,0.1,7.36,75.94,0.9400000000000001,51.85,0.21,50.0,0.28,0.21,7.12,69.76,92.05,15.27,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.43,0.03,0.0,0.0,0.0,0,0
A. Čepić,Arsenije Čepić,-324076,Jedinstvo,Jedinstvo,https://cdn5.wyscout.com/photos/team/public/g3219_120x120.png,First League,"DMF, LDMF",DMF,53,LDMF,28,,0,22.0,2003-11-12,0,,27,2556,0,1.01,0,0.37,20.25,55.83,Montenegro,['Montenegro'],,0,0,False,11.2,8.13,68.4,2.01,49.12,0.21,0.27,0.39,5.42,7.03,1.13,3,0.11,0,0.0,1.4100000000000001,0.0,0,0.0,0.04,0,0.0,18,0.63,38.89,0.0,0.0,0.18,40.0,0.04,0.0,0.14,50.0,0.0,1.34,81.58,7.46,49.06,0.39,0.92,0.04,24.12,0.18,1.27,45.67,86.04,15.6,74.94,6.2,95.45,41.09,89.63,4.44,54.76,17.54,38.39,0.01,0.39,0.04,0.0,0.0,0.0,0.11,7.15,71.92,0.85,41.67,0.07,0.0,0.21,0.07,6.94,77.16,91.16,15.53,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.01,0.0,0.0,0.0,0.0,0,0
M. Kordić,Marko Kordić,214363,Petrovac,Petrovac,https://cdn5.wyscout.com/photos/team/public/1996_120x120.png,First League,GK,GK,100,,0,,0,31.0,1995-02-22,175000,2027-06-30,26,2501,1,0.76,0,0.0,0.43,100.0,Montenegro,"['Montenegro', 'Serbia']",right,190,80,False,1.4,0.07,100.0,0.25,100.0,0.0,0.0,0.0,1.33,1.82,0.0,4,0.14,0,0.0,0.04,0.04,0,0.0,0.03,0,0.0,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,17.56,0.72,0.14,28.75,86.61,14.83,76.7,0.0,0.0,17.7,98.78,11.05,67.1,33.63,51.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,51.67,0.58,12.5,0.36,30.0,0.0,0.0,7.66,83.1,97.25,13.06,26,0.9400000000000001,92,3.31,7,71.74,26.1,0.9400000000000001,0.1,0.004,0.0,1.15,0.25,,,,0.0,1,100
N. Jovicić,Nemanja  Jovicić,-92085,Jezero,Jezero,https://cdn5.wyscout.com/photos/team/public/g4191_120x120.png,First League,LCB,LCB,99,,0,,0,26.0,2000-04-13,0,2026-06-30,26,2481,0,0.22,0,0.0,13.78,61.58,Serbia,['Serbia'],left,0,0,False,10.37,5.26,71.03,4.17,60.0,0.51,0.66,0.58,6.13,7.98,1.12,3,0.11,0,0.0,0.33,0.0,0,0.0,0.01,0,0.0,4,0.15,0.0,0.0,0.0,0.07,50.0,0.04,0.0,0.04,100.0,0.0,0.33,88.89,1.74,47.92,0.18,0.87,0.04,32.58,0.18,0.47000000000000003,50.35,85.45,23.76,74.66,3.01,95.18,42.81,92.2,7.47,47.09,22.15,40.69,0.0,0.07,0.0,0.0,0.0,0.0,0.0,4.93,47.06,0.36,0.0,0.4,18.18,0.0,0.04,8.49,65.38,96.09,19.48,0,,0,,0,0.0,0.0,0.0,,,2.07,,4.17,0.0,0.0,0.0,0.0,0,0
A. Osmanović,Abdel Osmanović,517999,Jezero,Jezero,https://cdn5.wyscout.com/photos/team/public/g4191_120x120.png,First League,"RB, RCB",RB,67,RCB,32,,0,25.0,2001-01-12,50000,,27,2466,0,0.2,2,1.3,16.31,52.35,Montenegro,['Montenegro'],right,181,0,False,9.71,6.64,64.29,3.58,48.98,0.36,0.48,0.33,5.07,6.61,0.88,2,0.07,0,0.0,1.35,0.0,0,0.0,0.01,0,0.0,11,0.4,0.0,0.0,0.07,1.9,30.77,0.0,0.0,1.8599999999999999,29.41,0.11,1.53,47.62,4.74,39.23,0.55,0.99,0.18,30.66,1.13,0.8,44.16,81.57,18.72,71.93,3.87,97.17,37.81,87.93,4.6,48.41,19.77,36.24,0.05,0.4,0.11,0.04,0.07,50.0,0.29,4.38,61.67,1.75,39.58,0.36,20.0,0.33,0.58,7.66,65.24,90.39,15.95,0,,0,,0,0.0,0.0,0.0,,,1.06,,3.58,0.04,0.0,0.0,0.0,0,0
V. Giljen,Vladan Giljen,82800,Sutjeska,Sutjeska,https://cdn5.wyscout.com/photos/team/public/1997_120x120.png,First League,GK,GK,100,,0,,0,36.0,1989-12-07,100000,2027-06-01,26,2447,0,0.0,0,0.0,0.29,87.5,Montenegro,['Montenegro'],right,189,91,False,1.69,0.0,0.0,0.15,75.0,0.0,0.0,0.0,1.69,2.32,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,13.35,0.15,0.07,21.77,80.07,13.5,70.3,0.0,0.0,11.77,97.19,10.0,59.93,34.54,49.13,0.0,0.0,0.07,0.0,0.0,0.0,0.0,2.13,36.21,0.15,0.0,0.04,0.0,0.04,0.0,7.25,72.59,96.15,7.65,26,0.96,93,3.42,10,72.04,22.23,0.8200000000000001,-3.77,-0.139,0.0,0.81,0.15,,,,0.0,0,0
J. Drešaj,Jonathan Drešaj,466665,Dečić,Dečić,https://cdn5.wyscout.com/photos/team/public/1992_120x120.png,First League,RB,RB,100,,0,,0,26.0,2000-03-15,500000,2027-06-30,26,2446,0,0.39,3,2.31,15.09,49.76,Montenegro,['Montenegro'],,0,0,False,8.46,7.4,62.19,1.88,31.37,0.11,0.14,0.11,3.75,4.71,0.63,2,0.07,0,0.0,2.54,0.0,0,0.0,0.01,0,0.0,11,0.4,18.18,0.0,0.11,3.05,40.96,0.0,0.0,3.05,40.96,0.55,2.32,52.38,4.71,36.72,0.88,1.51,0.15,20.2,1.18,0.55,31.46,76.26,10.78,67.24,5.63,92.16,24.21,84.19,4.3,56.41,19.63,33.3,0.08,0.66,0.07,0.07,0.04,0.0,0.52,3.31,61.11,2.8,52.63,0.22,33.33,0.63,1.18,7.47,67.98,78.85,10.27,0,,0,,0,0.0,0.0,0.0,,,1.18,,1.88,0.0,0.0,0.0,0.11,0,0
B. Zogović,Bojan Zogović,147876,Arsenal Tivat,Arsenal Tivat,https://cdn5.wyscout.com/photos/team/public/g4166_120x120.png,First League,GK,GK,100,,0,,0,37.0,1989-02-16,50000,2026-06-01,25,2412,0,0.0,0,0.22,0.37,80.0,Montenegro,"['Montenegro', 'Serbia']",right,189,85,False,1.16,0.0,0.0,0.22,83.33,0.0,0.0,0.0,1.16,1.42,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,75.0,0.0,0.0,0.0,7.39,0.0,0.11,14.93,75.5,10.37,66.19,0.0,0.0,5.97,98.13,8.96,60.42,39.34,50.38,0.01,0.04,0.0,0.0,0.0,0.0,0.0,3.25,51.72,0.15,25.0,0.19,40.0,0.04,0.0,5.9,81.65,96.52,4.29,31,1.16,83,3.1,8,62.65,24.49,0.91,-6.51,-0.243,0.0,1.57,0.22,,,,0.0,0,0
L. Uskoković,Luka Uskoković,372967,Mladost DG,Mladost DG,https://cdn5.wyscout.com/photos/team/public/g-11012_120x120.png,First League,LCB,LCB,88,,0,,0,30.0,1996-04-10,200000,2026-06-15,26,2411,1,1.0,0,0.12,12.32,60.0,Montenegro,['Montenegro'],left,193,90,False,8.06,4.96,66.17,3.81,59.8,0.22,0.33,0.71,4.55,6.63,1.34,3,0.11,0,0.0,0.30000000000000004,0.04,1,0.04,0.04,0,0.0,9,0.34,44.44,11.111,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.34,44.44,1.72,43.48,0.6000000000000001,1.57,0.04,29.3,0.34,0.30000000000000004,46.14,85.28,21.28,77.19,2.87,97.4,38.82,91.83,7.24,51.03,22.59,39.9,0.0,0.15,0.0,0.0,0.07,0.0,0.0,6.2,57.83,0.6000000000000001,18.75,0.45,41.67,0.07,0.0,9.26,69.76,92.66,17.81,0,,0,,0,0.0,0.0,0.0,,,2.13,,3.81,0.0,0.0,0.0,0.0,0,0
