Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Corbatto,Luca Corbatto,-309617,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,GK,GK,100,,0,,0,18,2007-04-11,0,,15,1451,0,0.0,0,0.0,0.74,91.67,Italy,['Italy'],,0,0,False,2.05,0.06,0.0,0.56,100.0,0.0,0.0,0.0,2.05,2.65,0.06,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.25,0.43,15.63,84.92,8.68,72.86,0.12,100.0,9.68,98.08,5.95,63.54,33.07,46.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,73.68,100.0,6.57,25,1.55,75,4.65,3,66.67,25.18,1.56,0.18,0.011,0.06,2.05,0.56,,,,0.0,0,0.0
M. Crosara,Manuel Crosara,-147914,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,"RCB3, RCB, LCB",RCB3,32,RCB,29,LCB,24,20,2005-01-10,0,2026-06-30,15,1382,0,1.24,0,0.18,12.11,64.52,Italy,['Italy'],,0,0,False,9.38,4.43,69.12,4.1,58.73,0.13,0.17,0.91,6.19,8.1,1.17,3,0.2,0,0.0,0.26,0.0,0,0.0,0.08,0,0.0,9,0.59,22.22,0.0,0.0,0.13,0.0,0.07,0.0,0.07,0.0,0.0,0.07,100.0,1.17,66.67,0.85,0.26,0.07,16.8,0.26,1.04,33.34,75.78,17.65,65.68,2.08,87.5,23.51,85.87,9.7,52.35,25.43,38.99,0.01,0.13,0.0,0.0,0.07,100.0,0.13,4.88,52.0,0.59,33.33,0.39,50.0,0.26,0.0,8.92,58.39,88.95,11.2,0,,0,,0,0.0,0.0,0.0,,,1.24,,4.1,0.0,0.0,0.0,0.0,0,0.0
R. Pinzi,Riccardo Pinzi,-158329,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,"RCMF3, LW",RCMF3,41,LW,25,,0,22,2003-08-17,0,2026-06-30,14,1312,0,0.5700000000000001,0,0.41000000000000003,19.55,51.93,Italy,['Italy'],right,175,67,False,8.44,6.72,61.22,1.65,29.17,0.75,0.9500000000000001,0.07,3.5700000000000003,4.48,1.3,2,0.14,1,0.07,1.51,0.0,0,0.0,0.04,0,0.0,4,0.27,25.0,0.0,0.0,0.62,44.44,0.41000000000000003,50.0,0.21,33.33,0.14,1.99,58.62,8.92,50.0,0.75,1.58,0.27,11.52,0.8200000000000001,2.81,23.94,82.52,6.45,65.96,5.08,95.95,22.23,85.49,1.1,43.75,15.73,22.42,0.03,0.27,0.0,0.0,0.0,0.0,0.14,1.85,59.26,0.96,57.14,0.0,0.0,0.34,0.21,2.47,58.33,86.36,7.55,0,,0,,0,0.0,0.0,0.0,,,0.21,,1.65,0.0,0.0,0.0,0.21,0,0.0
M. Businarolo,Marco Businarolo,-259066,Legnago Salus,Legnago Salus,https://cdn5.wyscout.com/photos/team/public/2808_120x120.png,Serie D - Girone C,GK,GK,100,,0,,0,20,2005-08-12,0,2026-06-30,13,1252,0,0.0,0,0.0,0.85,81.82,Italy,['Italy'],,0,0,False,1.94,0.0,0.0,0.62,75.0,0.0,0.0,0.08,1.94,3.61,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,17.19,0.46,0.39,28.12,82.09,14.95,70.47,0.0,0.0,16.96,97.72,11.08,58.74,34.23,47.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,46.81,0.31,0.0,0.15,50.0,0.0,0.0,7.82,70.3,94.94,12.24,13,1.01,49,3.8,4,73.47,12.69,0.98,-0.31,-0.024,0.0,1.78,0.62,,,,0.0,0,0.0
A. Munaretto,Andrea Munaretto,-49589,Treviso,Treviso,https://cdn5.wyscout.com/photos/team/public/178_120x120.png,Serie D - Girone C,"RCB, CB",RCB,83,CB,13,,0,33,1992-03-04,150000,2026-06-30,13,1249,0,0.12,1,0.13,10.23,61.97,Italy,['Italy'],right,185,0,False,5.48,3.31,67.39,3.46,62.5,0.14,0.23,0.0,3.1,4.87,1.08,1,0.07,0,0.0,0.29,0.0,0,0.0,0.01,0,0.0,4,0.29,25.0,0.0,0.07,0.29,75.0,0.0,0.0,0.29,75.0,0.07,0.07,0.0,1.08,53.33,0.79,0.36,0.0,26.23,0.72,0.9400000000000001,44.03,85.92,17.73,71.95,1.51,100.0,36.03,93.4,7.71,51.4,24.96,42.36,0.01,0.22,0.0,0.0,0.0,0.0,0.07,6.7,67.74,0.86,50.0,0.58,50.0,0.36,0.22,10.09,73.57,96.21,22.84,0,,0,,0,0.0,0.0,0.0,,,1.15,,3.46,0.0,0.0,0.0,0.0,0,0.0
A. Filiciotto,Alberto Filiciotto,172156,Legnago Salus,Legnago Salus,https://cdn5.wyscout.com/photos/team/public/2808_120x120.png,Serie D - Girone C,"RCMF, LCMF",RCMF,43,LCMF,41,,0,33,1992-10-10,125000,2026-06-30,13,1199,2,1.72,2,2.36,13.23,59.51,Italy,['Italy'],both,179,67,False,9.41,5.76,74.65,1.54,36.84,0.24,0.45,0.24,4.87,9.05,1.3,0,0.0,0,0.0,1.87,0.15,1,0.08,0.14,0,0.0,28,2.27,25.0,7.143,0.16,1.38,47.06,0.65,62.5,0.65,37.5,0.08,1.1400000000000001,57.14,3.81,51.06,0.49,1.79,0.16,36.19,0.5700000000000001,1.1400000000000001,54.37,76.42,21.02,59.46,6.74,92.77,38.14,85.74,15.09,54.84,25.32,40.3,0.19,2.35,0.08,0.16,0.16,0.0,0.49,14.45,55.62,5.11,36.51,2.35,31.03,1.38,0.65,12.09,80.54,87.27,22.32,0,,0,,0,0.0,0.0,0.0,,,2.19,,1.54,1.38,0.41000000000000003,60.0,5.44,1,100.0
G. de Nuzzo,Gabriele de Nuzzo,-61526,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,"RW, RWB, CF",RW,36,RWB,28,CF,16,26,1999-09-12,100000,2026-06-30,15,1197,3,1.8399999999999999,1,1.22,14.21,44.97,Italy,['Italy'],left,183,76,False,4.74,3.83,60.78,1.05,14.29,0.15,0.19,0.0,2.26,2.92,0.9,4,0.30000000000000004,0,0.0,2.7800000000000002,0.23,3,0.23,0.14,0,0.0,29,2.18,31.03,10.345,0.08,2.93,30.77,0.68,33.33,2.26,30.0,0.53,2.56,44.12,7.52,46.0,1.8,1.13,0.15,21.35,2.18,2.18,26.77,65.73,10.23,55.15,4.89,92.31,17.74,76.69,6.32,51.19,24.6,37.89,0.09,1.05,0.0,0.0,0.23,33.33,0.38,6.24,53.01,4.06,33.33,1.28,23.53,0.53,0.75,6.17,76.83,66.04,7.97,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.05,2.48,0.30000000000000004,0.0,1.43,0,0.0
L. Villanovich,Luca Villanovich,160482,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,"DMF, LCMF, RCMF",DMF,43,LCMF,24,RCMF,13,34,1991-03-06,0,2026-06-30,14,1158,0,0.45,1,0.7000000000000001,11.27,64.14,Italy,['Italy'],left,0,0,False,8.16,5.13,69.7,1.79,73.91,0.23,0.29,0.23,4.35,5.35,0.7000000000000001,0,0.0,0,0.0,0.62,0.0,0,0.0,0.04,0,0.0,5,0.39,20.0,0.0,0.08,0.23,33.33,0.08,0.0,0.16,50.0,0.0,0.62,75.0,3.03,53.85,0.08,0.62,0.0,18.81,0.31,0.7000000000000001,34.82,81.7,13.13,67.46,3.34,93.02,29.53,86.05,5.13,57.58,19.74,34.31,0.05,0.47000000000000003,0.0,0.0,0.0,0.0,0.08,5.44,68.57,0.78,70.0,0.62,50.0,0.47000000000000003,0.08,6.99,68.89,92.05,13.68,0,,0,,0,0.0,0.0,0.0,,,0.39,,1.79,0.47000000000000003,0.0,0.0,0.23,0,0.0
N. Verzeni,Nicolò Verzeni,-173099,Legnago Salus,Legnago Salus,https://cdn5.wyscout.com/photos/team/public/2808_120x120.png,Serie D - Girone C,RWB,RWB,61,,0,,0,23,2002-02-06,100000,2026-06-30,13,1139,3,1.4100000000000001,0,1.99,15.96,51.61,Italy,['Italy'],right,179,65,False,5.15,5.06,66.1,1.63,42.11,0.09,0.16,0.17,1.72,3.17,0.6900000000000001,0,0.0,0,0.0,5.83,0.24,3,0.26,0.12,0,0.0,26,2.23,26.92,11.538,0.0,5.15,41.67,0.17,0.0,4.8,42.86,0.77,4.38,68.63,8.15,46.32,2.14,1.46,0.09,19.82,4.03,0.86,29.26,63.64,10.38,57.02,4.63,79.63,20.51,71.97,3.7800000000000002,50.0,20.25,34.53,0.17,1.46,0.0,0.0,0.09,100.0,0.77,2.92,73.53,4.46,51.92,0.26,66.67,0.6900000000000001,2.14,7.98,67.74,65.45,9.44,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,1.63,0.0,0.0,0.0,0.0,0,0.0
L. Legal,Ludovic Charles Legal,-174590,Legnago Salus,Legnago Salus,https://cdn5.wyscout.com/photos/team/public/2808_120x120.png,Serie D - Girone C,LCB3,LCB3,72,,0,,0,27,1998-04-12,75000,2026-06-30,13,1126,0,0.39,1,0.13,19.03,61.64,France,['France'],left,180,0,False,8.77,6.52,65.33,5.39,66.13,0.35000000000000003,0.66,0.0,4.17,7.96,1.3,5,0.4,0,0.0,0.43,0.0,0,0.0,0.03,0,0.0,4,0.35000000000000003,25.0,0.0,0.09,0.26,33.33,0.09,100.0,0.17,0.0,0.0,0.52,50.0,2.7800000000000002,46.88,0.43,2.17,0.17,24.06,1.13,1.13,43.61,82.47,17.64,73.4,3.65,97.62,37.44,87.7,5.91,51.47,20.25,39.4,0.01,0.09,0.0,0.0,0.0,0.0,0.09,5.99,63.77,1.04,41.67,0.0,0.0,0.43,0.09,7.21,66.27,89.06,16.68,0,,0,,0,0.0,0.0,0.0,,,2.43,,5.39,0.0,0.0,0.0,0.09,0,0.0
