Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Salim,Koy Salim,-171346,Boeung Ket,Boeung Ket,https://cdn5.wyscout.com/photos/team/public/g21053_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,23.0,2002-12-10,0,2026-05-31,17,1713,0,0.0,0,0.0,0.68,69.23,Cambodia,['Cambodia'],right,0,0,False,1.05,0.0,0.0,0.42,62.5,0.05,0.07,0.0,1.0,1.3,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.05,7.83,0.26,0.21,13.13,80.8,7.83,71.81,0.0,0.0,8.2,97.44,4.89,53.76,35.57,56.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,43.48,0.32,0.0,0.21,25.0,0.0,0.0,3.36,75.0,94.62,4.89,15,0.79,68,3.5700000000000003,7,77.94,16.95,0.89,1.9500000000000002,0.10200000000000001,0.0,1.42,0.42,,,,0.0,0,0
S. Kelly,Sean Kelly,201704,Boeung Ket,Boeung Ket,https://cdn5.wyscout.com/photos/team/public/g21053_120x120.png,Cambodian Premier League,LCB,LCB,99,,0,,0,32.0,1993-11-01,300000,,17,1713,1,0.4,1,0.75,8.77,64.07,Scotland,['Scotland'],left,188,76,False,6.88,3.52,76.12,3.1,62.71,0.47000000000000003,0.62,0.47000000000000003,3.73,4.86,0.37,0,0.0,0,0.0,0.21,0.05,1,0.05,0.02,0,0.0,6,0.32,33.33,16.667,0.05,0.16,66.67,0.11,50.0,0.05,100.0,0.0,0.0,0.0,0.53,50.0,0.63,0.26,0.0,24.69,0.32,0.26,35.67,84.83,17.23,74.7,1.52,100.0,27.16,93.62,8.35,56.6,25.25,42.21,0.04,0.32,0.05,0.0,0.0,0.0,0.21,6.99,58.65,0.68,23.08,0.74,42.86,0.11,0.11,8.77,78.44,94.01,14.92,0,,0,,0,0.0,0.0,0.0,,,1.05,,3.1,0.16,0.16,66.67,0.42,0,0
R. Lyheng,Reth Lyheng,-172160,Naga World,Naga World,https://cdn5.wyscout.com/photos/team/public/g14926_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,22.0,2004-01-01,0,,17,1689,0,0.0,0,0.0,1.3900000000000001,76.92,Cambodia,['Cambodia'],,0,0,False,3.04,0.11,50.0,0.75,92.86,0.05,0.08,0.0,2.93,4.25,0.05,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.11,50.0,0.0,0.0,0.05,19.66,0.16,0.21,32.29,85.31,14.23,70.41,0.0,0.0,23.13,97.47,9.17,54.65,29.44,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,47.62,0.27,20.0,0.11,0.0,0.05,0.0,6.13,58.26,97.51,17.1,18,0.96,66,3.52,3,72.73,16.03,0.85,-1.97,-0.105,0.0,2.5,0.75,,,,0.0,0,0
Lucas Venuto,Lucas Henrique Ferreira Venuto,228714,Naga World,Naga World,https://cdn5.wyscout.com/photos/team/public/g14926_120x120.png,Cambodian Premier League,"LW, LAMF, CF",LW,33,LAMF,28,CF,16,31.0,1995-01-14,0,,17,1675,3,4.17,5,4.22,19.13,47.47,Brazil,['Brazil'],right,164,60,False,2.69,1.9300000000000002,72.22,0.32,16.67,0.0,0.0,0.05,1.29,1.88,0.21,1,0.05,0,0.0,5.16,0.16,3,0.16,0.22,0,0.0,50,2.69,46.0,6.0,0.27,3.12,29.31,2.26,23.81,0.81,40.0,0.64,5.1,57.89,15.53,45.33,4.3,3.6,0.27,20.26,3.33,2.5300000000000002,27.46,78.86,4.19,75.64,9.83,91.8,23.53,86.3,0.91,52.94,16.09,24.65,0.23,1.56,0.05,0.0,0.11,50.0,0.64,1.34,84.0,2.58,47.92,0.16,33.33,1.24,1.07,3.44,78.13,68.42,7.15,0,,0,,0,0.0,0.0,0.0,,,0.16,,0.32,0.48,0.11,0.0,1.02,0,0
Y. Minagawa,Yusuke Minagawa,330917,Naga World,Naga World,https://cdn5.wyscout.com/photos/team/public/g14926_120x120.png,Cambodian Premier League,CF,CF,99,,0,,0,34.0,1991-10-09,200000,2026-06-30,17,1667,12,8.7,2,1.02,15.6,43.6,Japan,['Japan'],right,185,83,False,3.19,2.43,60.0,5.34,45.45,0.0,0.0,0.16,1.73,2.52,1.08,0,0.0,0,0.0,1.51,0.65,10,0.54,0.47000000000000003,5,0.27,51,2.75,43.14,21.569,0.11,0.27,20.0,0.05,0.0,0.22,25.0,0.0,0.7000000000000001,30.77,5.51,32.35,3.35,0.22,0.05,9.34,1.78,2.05,14.36,68.8,4.32,50.0,2.7,88.0,12.31,75.0,1.78,33.33,18.65,38.12,0.05,0.43,0.05,0.0,0.11,50.0,0.22,2.75,43.14,0.86,50.0,0.11,50.0,0.38,0.11,1.67,64.52,69.14,4.37,0,,0,,0,0.0,0.0,0.0,,,0.05,,5.34,0.0,0.0,0.0,0.0,1,100
R. Feher,Raul Mihai Feher,495229,Phnom Penh Crown,Phnom Penh Crown,https://cdn5.wyscout.com/photos/team/public/g13099_120x120.png,Cambodian Premier League,"LCB3, CB, LCB",LCB3,58,CB,23,LCB,12,28.0,1997-03-12,250000,,16,1657,6,2.54,1,0.45,15.97,62.59,Romania,['Romania'],left,190,82,False,9.18,6.25,74.78,3.96,63.01,0.22,0.32,0.33,4.29,6.3,1.09,3,0.16,0,0.0,1.03,0.33,5,0.27,0.14,2,0.11,14,0.76,64.29,42.857,0.05,0.22,25.0,0.11,0.0,0.11,50.0,0.16,0.87,56.25,3.58,45.45,1.09,1.9,0.22,29.76,0.76,0.65,47.25,88.39,22.43,81.6,3.26,96.67,41.99,92.63,5.05,55.91,21.18,40.64,0.02,0.27,0.0,0.0,0.0,0.0,0.22,6.14,81.42,0.49,66.67,0.27,60.0,0.33,0.05,10.75,74.75,96.08,16.62,0,,0,,0,0.0,0.0,0.0,,,1.19,,3.96,0.0,0.0,0.0,0.0,1,100
Vireak Dara,Dara Vireak,-189049,Svay Rieng,Svay Rieng,https://cdn5.wyscout.com/photos/team/public/g15009_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,22.0,2003-10-30,0,,16,1649,1,0.01,0,0.32,0.55,80.0,Cambodia,['Cambodia'],,0,0,False,1.31,0.05,0.0,0.44,87.5,0.0,0.0,0.0,1.31,2.85,0.0,1,0.05,0,0.0,0.05,0.05,1,0.05,0.0,0,0.0,1,0.05,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,21.45,0.38,0.16,29.25,88.62,12.88,76.27,0.0,0.0,21.89,97.01,7.37,63.7,27.76,45.72,0.02,0.11,0.0,0.0,0.0,0.0,0.11,2.73,52.0,0.22,25.0,0.49,44.44,0.05,0.0,4.8,70.45,99.27,15.01,17,0.93,58,3.17,4,70.69,13.03,0.71,-3.9699999999999998,-0.217,0.0,1.31,0.44,,,,0.0,0,0
P. Dy,Pharunn Dy,-341001,Kompong Dewa,Kompong Dewa,https://cdn5.wyscout.com/photos/team/public/g-24261_120x120.png,Cambodian Premier League,"RDMF, LDMF, RCMF",RDMF,31,LDMF,20,RCMF,17,22.0,2003-05-05,0,,17,1613,1,2.38,1,1.13,15.46,53.79,Cambodia,['Cambodia'],unknown,0,0,False,8.93,7.2,72.09,1.23,36.36,0.33,0.43,0.17,3.4,4.34,0.56,0,0.0,0,0.0,1.62,0.06,1,0.06,0.13,0,0.0,31,1.73,38.71,3.226,0.06,0.78,14.29,0.11,0.0,0.67,16.67,0.11,1.45,53.85,4.91,35.23,0.84,0.73,0.17,23.16,0.39,0.39,31.64,78.66,11.44,64.88,4.18,94.67,26.45,85.86,4.41,46.84,18.96,37.42,0.06,0.39,0.06,0.06,0.22,25.0,0.11,7.25,63.85,1.23,45.45,0.33,50.0,0.33,0.17,5.52,72.73,85.5,11.16,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.23,1.06,0.22,75.0,1.73,0,0
S. Onda,Sonosuke Onda,-459553,Dangkor Senchey,Dangkor Senchey,https://cdn5.wyscout.com/photos/team/public/g26894_120x120.png,Cambodian Premier League,"DMF, CB, LCMF",DMF,26,CB,18,LCMF,17,28.0,1997-05-03,0,2026-05-31,16,1606,1,1.35,3,2.16,15.07,56.51,Japan,['Japan'],unknown,0,0,False,6.89,5.94,61.32,1.9100000000000001,58.82,0.0,0.0,0.39,3.25,5.01,0.9500000000000001,0,0.0,0,0.0,1.01,0.06,0,0.0,0.08,0,0.0,14,0.78,14.29,7.143,0.17,0.78,42.86,0.28,0.0,0.5,66.67,0.17,0.84,60.0,5.6,51.0,0.5,2.47,0.11,30.6,0.34,1.6800000000000002,45.62,84.64,20.12,73.54,3.87,95.65,38.89,89.63,5.94,57.55,21.94,45.78,0.12,0.84,0.06,0.06,0.17,33.33,0.34,10.14,71.27,1.51,59.26,0.5,22.22,0.62,0.39,10.48,80.21,95.16,17.37,0,,0,,0,0.0,0.0,0.0,,,0.78,,1.9100000000000001,0.9,0.17,0.0,0.62,1,100
S. Murata,Shori Murata,473092,Tiffy Army FC,Tiffy Army FC,https://cdn5.wyscout.com/photos/team/public/g15012_120x120.png,Cambodian Premier League,"LCMF, LDMF, RCMF",LCMF,54,LDMF,13,RCMF,12,32.0,1993-09-04,0,,16,1597,0,0.11,1,0.75,10.14,47.78,Japan,['Japan'],,172,0,False,5.52,2.93,69.23,0.96,52.94,0.28,0.35000000000000003,0.23,3.21,4.01,0.34,1,0.06,0,0.0,0.56,0.0,0,0.0,0.01,0,0.0,4,0.23,0.0,0.0,0.06,0.39,42.86,0.06,100.0,0.34,33.33,0.11,0.62,54.55,3.7800000000000002,28.36,0.23,1.01,0.06,36.29,0.51,0.45,50.04,85.36,18.09,72.9,5.13,93.41,43.79,90.86,5.86,47.12,19.95,38.03,0.04,0.45,0.11,0.0,0.23,25.0,0.28,8.57,64.47,1.47,38.46,0.9,25.0,0.45,0.11,7.66,73.53,93.01,20.96,0,,0,,0,0.0,0.0,0.0,,,0.62,,0.96,0.0,0.0,0.0,0.0,0,0
Dida,Wagner Augusto Guimarães dos Santos,-369005,Kompong Dewa,Kompong Dewa,https://cdn5.wyscout.com/photos/team/public/g-24261_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,27.0,1998-04-28,0,,16,1588,0,0.0,0,0.0,1.5899999999999999,71.43,Brazil,['Brazil'],right,197,87,False,1.87,0.4,57.14,0.68,91.67,0.11,0.14,0.0,1.53,1.9300000000000002,0.06,3,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,75.0,0.0,0.0,0.0,10.6,0.17,0.28,18.65,77.2,10.88,61.98,0.0,0.0,11.68,98.54,6.97,41.46,35.55,52.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,36.67,0.34,0.0,0.45,50.0,0.0,0.0,5.16,60.44,98.31,6.69,22,1.25,68,3.85,5,67.65,20.58,1.17,-1.42,-0.08,0.0,1.81,0.68,,,,0.0,0,0
S. Sovanet,Sou Sovanet,-327496,Kirivong Sok Sen Chey,Kirivong Sok Sen Chey,https://cdn5.wyscout.com/photos/team/public/g15013_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,21.0,2004-06-08,0,,16,1587,0,0.0,0,0.0,1.7000000000000002,86.67,Cambodia,['Cambodia'],unknown,0,0,False,1.98,0.17,66.67,1.08,89.47,0.0,0.0,0.0,1.87,1.98,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100.0,0.06,0.0,0.0,7.37,0.0,0.62,16.11,78.52,8.22,64.83,0.06,0.0,10.55,94.62,5.5600000000000005,47.96,32.45,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,25.0,0.06,0.0,0.11,100.0,0.0,0.0,3.5700000000000003,47.62,93.89,7.43,33,1.87,102,5.78,3,67.65,28.01,1.5899999999999999,-4.99,-0.28300000000000003,0.0,3.12,1.08,,,,0.0,0,0
