Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Diouf,Yehvann Diouf,450764,Nice,Nice,https://cdn5.wyscout.com/photos/team/public/63_120x120.png,Ligue 1,GK,GK,100,,0,,0,25,1999-11-16,8000000,2027-06-30,7,716,0,0.0,0,0.0,0.63,80.0,France,"['France', 'Senegal']",right,184,74,False,1.26,0.0,0.0,0.38,100.0,0.0,0.0,0.0,1.26,1.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,50.0,0.0,0.0,0.0,11.19,0.13,0.13,20.11,86.88,9.05,72.22,0.0,0.0,15.21,98.35,4.9,51.28,25.77,40.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.13,0.0,0.0,0.0,0.0,0.0,3.27,53.85,98.72,9.8,12,1.51,33,4.15,1,63.64,10.87,1.37,-1.13,-0.14200000000000002,0.0,1.51,0.38,,,,0.0,0,0.0
L. Abergel,Laurent Abergel,217628,Lorient,Lorient,https://cdn5.wyscout.com/photos/team/public/62_120x120.png,Ligue 1,"LCMF, RCMF, DMF",LCMF,65,RCMF,21,DMF,12,32,1993-02-01,3000000,2029-06-30,7,714,0,0.43,0,0.22,8.95,53.52,France,['France'],right,170,65,False,5.92,4.66,59.46,0.76,66.67,0.13,0.14,0.13,3.03,3.36,1.26,3,0.38,0,0.0,0.38,0.0,0,0.0,0.05,0,0.0,7,0.88,14.29,0.0,0.0,0.25,50.0,0.0,0.0,0.25,50.0,0.0,0.5,0.0,2.65,42.86,0.38,0.5,0.0,42.23,0.38,0.88,55.97,88.29,16.64,77.27,6.43,100.0,49.29,91.82,6.43,62.75,19.26,34.35,0.03,0.5,0.0,0.0,0.25,50.0,0.13,10.34,76.83,1.01,25.0,0.76,33.33,0.0,0.13,7.82,77.42,93.47,25.08,0,,0,,0,0.0,0.0,0.0,,,1.13,,0.76,0.0,0.0,0.0,0.0,0,0.0
M. Talbi,Montassar Talbi,480127,Lorient,Lorient,https://cdn5.wyscout.com/photos/team/public/62_120x120.png,Ligue 1,CB,CB,97,,0,,0,27,1998-05-26,7000000,2027-06-30,7,714,0,0.0,0,0.01,7.94,60.32,France,"['France', 'Tunisia']",right,190,81,False,5.92,3.4,62.96,3.2800000000000002,61.54,0.0,0.0,0.5,3.7800000000000002,4.21,0.13,1,0.13,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.13,100.0,0.13,100.0,0.0,0.0,0.0,0.0,0.0,0.63,20.0,0.5,0.88,0.13,28.11,0.0,0.25,38.19,94.06,14.62,87.93,2.27,88.89,34.92,97.11,3.15,60.0,17.96,33.95,0.0,0.13,0.0,0.0,0.0,0.0,0.0,3.03,83.33,0.5,25.0,0.38,33.33,0.25,0.13,5.04,85.0,99.27,17.27,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
G. Restes,Guillaume Restes,-282143,Toulouse,Toulouse,https://cdn5.wyscout.com/photos/team/public/71_120x120.png,Ligue 1,GK,GK,100,,0,,0,20,2005-03-11,0,,7,712,0,0.0,0,0.0,1.1400000000000001,100.0,France,"['France', ""Côte d'Ivoire""]",left,186,82,False,1.1400000000000001,0.13,100.0,0.76,100.0,0.0,0.0,0.0,1.01,1.16,0.0,2,0.25,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,8.34,0.13,0.51,14.92,84.75,7.84,75.81,0.0,0.0,8.85,98.57,5.94,65.96,32.8,49.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,40.0,0.0,0.0,0.13,0.0,0.0,0.0,4.8,71.05,97.83,5.8100000000000005,12,1.52,22,2.7800000000000002,2,45.45,9.6,1.21,-2.4,-0.303,0.0,1.9,0.76,,,,0.0,0,0.0
C. Cresswell,Charlie Cresswell,-199780,Toulouse,Toulouse,https://cdn5.wyscout.com/photos/team/public/71_120x120.png,Ligue 1,CB,CB,96,,0,,0,23,2002-08-17,4000000,2028-06-30,7,712,1,1.51,0,0.0,12.26,60.82,England,['England'],right,190,75,False,6.95,2.65,76.19,7.96,61.9,0.13,0.14,1.26,4.8,5.51,1.01,1,0.13,0,0.0,0.13,0.13,1,0.13,0.19,0,0.0,6,0.76,16.67,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,16.67,0.76,0.25,0.0,26.17,0.0,0.51,37.04,90.44,13.4,77.36,1.26,100.0,30.72,95.88,6.32,64.0,23.67,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,66.67,0.38,0.0,0.38,33.33,0.0,0.0,6.19,85.71,98.76,20.35,0,,0,,0,0.0,0.0,0.0,,,1.01,,7.96,0.0,0.0,0.0,0.0,0,0.0
M. McKenzie,Mark McKenzie,441064,Toulouse,Toulouse,https://cdn5.wyscout.com/photos/team/public/71_120x120.png,Ligue 1,"RCB3, LCB3",RCB3,70,LCB3,26,,0,26,1999-02-25,6000000,2027-06-30,7,712,0,0.0,0,0.17,11.12,50.0,United States,['United States'],right,184,83,False,9.48,6.19,63.27,3.54,32.14,0.0,0.0,0.88,5.5600000000000005,6.38,1.01,2,0.25,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.25,50.0,0.0,0.0,0.25,50.0,0.0,0.0,0.0,0.51,50.0,0.38,0.25,0.13,25.41,0.25,0.25,34.76,89.82,15.42,81.15,2.2800000000000002,94.44,31.47,93.98,3.16,48.0,18.88,40.13,0.02,0.38,0.0,0.0,0.13,0.0,0.13,3.92,80.65,0.51,25.0,0.51,75.0,0.13,0.13,5.94,80.85,97.03,12.77,0,,0,,0,0.0,0.0,0.0,,,0.51,,3.54,0.0,0.0,0.0,0.0,0,0.0
A. Dønnum,Aron Dønnum,473311,Toulouse,Toulouse,https://cdn5.wyscout.com/photos/team/public/71_120x120.png,Ligue 1,"RWF, RWB, RW",RWF,39,RWB,36,RW,14,27,1998-04-20,3500000,2028-06-30,7,712,1,1.2,1,1.12,15.55,47.15,Norway,['Norway'],left,179,73,False,5.5600000000000005,5.31,54.76,0.25,100.0,0.0,0.0,0.0,2.65,3.04,1.1400000000000001,4,0.51,0,0.0,3.29,0.13,0,0.0,0.15,0,0.0,9,1.1400000000000001,44.44,11.111,0.13,2.4,31.58,0.51,25.0,1.77,35.71,0.51,3.54,57.14,8.97,43.66,1.26,2.15,0.0,21.99,0.76,1.26,31.1,80.08,8.85,65.71,6.57,96.15,25.79,86.27,2.91,65.22,18.25,28.01,0.14,1.01,0.13,0.0,0.38,0.0,0.25,4.3,73.53,3.67,44.83,1.1400000000000001,66.67,1.1400000000000001,0.76,5.5600000000000005,84.09,82.14,10.62,0,,0,,0,0.0,0.0,0.0,,,0.13,,0.25,0.76,0.13,0.0,1.9,1,100.0
M. Mbow,Mamadou Moustapha Mbow,-96644,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/3233_120x120.png,Ligue 1,"RCB, LCB",RCB,80,LCB,16,,0,25,2000-03-08,1000000,2026-06-30,7,707,0,0.15,0,0.0,9.67,59.21,Senegal,['Senegal'],right,192,82,False,5.09,3.18,64.0,2.55,65.0,0.25,0.34,0.76,2.8,3.75,0.76,1,0.13,0,0.0,0.13,0.0,0,0.0,0.02,0,0.0,2,0.25,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,22.22,0.64,0.51,0.13,40.23,0.38,0.38,54.61,92.31,19.09,84.67,4.07,93.75,49.9,95.41,4.71,59.46,22.13,44.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,78.38,0.0,0.0,0.13,0.0,0.0,0.0,5.6,65.91,97.62,26.73,0,,0,,0,0.0,0.0,0.0,,,3.44,,2.55,0.0,0.0,0.0,0.0,0,0.0
M. López,Maxime López,314574,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/3233_120x120.png,Ligue 1,"RCMF, RCMF3, LCMF",RCMF,54,RCMF3,25,LCMF,16,27,1997-12-04,7500000,2027-06-30,7,707,0,0.39,1,1.6400000000000001,7.26,42.11,France,"['France', 'Algeria']",right,167,58,False,3.44,4.58,47.22,0.13,0.0,0.0,0.0,0.13,1.27,1.7000000000000002,1.53,1,0.13,0,0.0,1.78,0.0,0,0.0,0.05,0,0.0,4,0.51,75.0,0.0,0.13,2.04,50.0,0.38,33.33,1.65,53.85,0.25,1.15,33.33,1.65,38.46,1.4,1.78,0.13,62.63,1.27,0.25,76.0,91.96,22.53,85.88,12.35,100.0,67.21,94.89,6.87,75.93,17.48,32.74,0.21,1.9100000000000001,0.25,0.0,0.13,0.0,0.51,11.58,78.02,3.44,66.67,0.38,66.67,1.4,0.76,9.67,88.16,93.69,26.22,0,,0,,0,0.0,0.0,0.0,,,1.15,,0.13,0.76,0.0,0.0,1.53,0,0.0
K. Lala,Kenny Lala,139779,Brest,Brest,https://cdn5.wyscout.com/photos/team/public/3982_120x120.png,Ligue 1,RB,RB,97,,0,,0,34,1991-10-03,3000000,,7,706,0,0.2,1,0.89,13.77,57.41,France,"['France', 'Martinique']",right,178,78,False,8.29,7.39,63.79,2.17,47.06,0.13,0.15,0.38,3.44,4.13,0.13,1,0.13,0,0.0,2.8,0.0,0,0.0,0.03,0,0.0,3,0.38,0.0,0.0,0.13,2.93,69.57,0.0,0.0,2.93,69.57,0.51,0.76,83.33,3.44,48.15,0.38,1.53,0.25,29.7,2.17,1.02,42.2,77.34,17.34,65.44,7.01,94.55,30.47,85.36,8.92,52.86,22.45,37.57,0.11,1.02,0.0,0.0,0.13,100.0,0.51,7.52,57.63,4.59,63.89,0.64,40.0,1.15,2.04,12.49,70.41,88.07,13.9,0,,0,,0,0.0,0.0,0.0,,,2.55,,2.17,1.02,0.0,0.0,0.13,0,0.0
