Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Chao Yang,Yang Chao,-54651,Foshan Nanshi,Foshan Nanshi,https://cdn5.wyscout.com/photos/team/public/g-14384_120x120.png,China League One,GK,GK,100,,0,,0,32.0,1993-08-03,50000,,28,2872,0,0.0,0,0.0,0.9400000000000001,76.67,China PR,['China PR'],,188,0,False,1.72,0.22,42.86,0.53,88.24,0.03,0.04,0.0,1.6,2.16,0.0,4,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,5.55,0.03,0.22,10.69,74.19,8.12,69.11,0.0,0.0,4.61,97.96,6.08,56.19,37.56,50.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,40.74,0.06,0.0,0.03,0.0,0.0,0.0,4.23,65.93,89.04,2.29,44,1.38,117,3.67,5,62.39,38.22,1.2,-5.78,-0.181,0.0,1.47,0.53,,,,0.0,0,0.0
Xu Jizu,Jizu Xu,-53141,Yanbian Longding,Yanbian Longding,https://cdn5.wyscout.com/photos/team/public/g-14027_120x120.png,China League One,CB,CB,80,,0,,0,27.0,1997-11-15,100000,,28,2837,1,0.86,1,0.26,10.72,61.54,China PR,['China PR'],right,188,53,False,7.8,3.43,66.67,4.7,58.78,0.32,0.47000000000000003,0.54,5.2,7.74,0.79,3,0.1,0,0.0,0.22,0.03,1,0.03,0.03,1,0.03,11,0.35000000000000003,36.36,9.091,0.03,0.06,100.0,0.0,0.0,0.03,100.0,0.0,0.03,100.0,0.5700000000000001,72.22,0.41000000000000003,0.1,0.0,23.44,0.13,0.86,38.26,87.98,11.01,74.06,1.1400000000000001,97.22,34.58,91.47,3.62,54.39,21.57,33.04,0.01,0.13,0.06,0.0,0.0,0.0,0.03,1.9,61.67,0.22,14.29,0.13,25.0,0.06,0.03,5.2,48.78,94.89,24.21,0,,0,,0,0.0,0.0,0.0,,,0.73,,4.7,0.16,0.06,50.0,0.0,0,0.0
Li Guanxi,Guanxi Li,437486,Nantong Zhiyun,Nantong Zhiyun,https://cdn5.wyscout.com/photos/team/public/g33018_120x120.png,China League One,GK,GK,100,,0,,0,27.0,1998-09-25,75000,2027-07-31,28,2830,0,0.07,0,0.0,0.92,93.1,China PR,['China PR'],,189,75,False,1.08,0.13,100.0,0.54,94.12,0.0,0.0,0.0,0.9500000000000001,1.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,83.33,0.03,0.0,0.0,6.2,0.1,0.25,12.24,80.0,7.82,73.58,0.0,0.0,7.44,97.01,4.74,54.36,33.92,46.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,34.88,0.16,20.0,0.03,0.0,0.03,0.0,3.63,72.81,92.8,3.98,27,0.86,111,3.5300000000000002,11,75.68,30.82,0.98,3.8200000000000003,0.121,0.0,1.97,0.54,,,,0.0,0,0.0
Liu Weiguo,Weiguo Liu,184899,Liaoning Tieren,Liaoning Tieren,https://cdn5.wyscout.com/photos/team/public/g35844_120x120.png,China League One,GK,GK,100,,0,,0,33.0,1992-05-03,75000,,28,2819,0,0.0,0,0.0,0.61,100.0,China PR,['China PR'],right,197,90,False,0.8300000000000001,0.03,100.0,0.38,100.0,0.0,0.0,0.0,0.8,1.19,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,4.47,0.29,0.26,8.24,83.33,4.76,72.48,0.0,0.0,5.59,97.14,2.65,54.22,31.6,43.07,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.61,15.79,0.06,0.0,0.0,0.0,0.0,0.0,2.01,68.25,98.0,3.19,26,0.8300000000000001,123,3.93,11,78.86,31.01,0.99,5.01,0.16,0.0,1.12,0.38,,,,0.0,0,0.0
Estrela,Valdomiro Tualungo Paulo Lameiras,314070,Suzhou Dongwu,Suzhou Dongwu,https://cdn5.wyscout.com/photos/team/public/g35842_120x120.png,China League One,"DMF, RCMF, LCMF",DMF,35,RCMF,27,LCMF,24,30.0,1995-09-22,375000,2026-06-30,28,2800,2,2.63,2,0.42,17.2,58.13,Angola,"['Angola', 'Portugal']",right,173,70,False,8.78,6.2,67.36,3.2800000000000002,53.92,0.19,0.29,0.29,4.4,6.51,1.32,3,0.1,0,0.0,0.84,0.06,2,0.06,0.08,1,0.03,33,1.06,27.27,6.061,0.06,0.35000000000000003,36.36,0.13,0.0,0.19,50.0,0.1,0.61,63.16,5.21,54.32,0.71,0.71,0.19,21.47,0.16,2.25,36.51,85.48,12.76,73.3,5.43,96.45,33.56,88.12,2.6,58.02,18.62,33.37,0.01,0.32,0.03,0.0,0.06,50.0,0.1,5.27,78.66,1.0,35.48,0.32,30.0,0.35000000000000003,0.16,5.53,72.67,92.67,13.15,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.2800000000000002,0.03,0.0,0.0,0.0,0,0.0
Cheng Yuelei,Yuelei Cheng,29101,Shenzhen Juniors,Shenzhen Juniors,https://cdn5.wyscout.com/photos/team/public/g-21225_120x120.png,China League One,GK,GK,100,,0,,0,37.0,1987-10-28,50000,2025-12-31,28,2796,0,0.0,0,0.29,0.68,80.95,China PR,['China PR'],right,188,78,False,2.0,0.26,50.0,0.29,100.0,0.03,0.05,0.0,1.83,2.68,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,9.21,0.23,0.06,15.68,84.8,8.79,77.29,0.0,0.0,10.08,97.12,5.6,62.64,33.38,49.35,0.01,0.03,0.0,0.0,0.0,0.0,0.0,1.42,56.82,0.1,0.0,0.13,25.0,0.0,0.0,4.44,71.01,95.48,6.41,55,1.77,155,4.99,4,64.52,51.29,1.65,-3.71,-0.11900000000000001,0.0,1.55,0.29,,,,0.0,0,0.0
R. Sadauskas,Rimvydas Sadauskas,275166,Chongqing Tongliang Long,Chongqing Tongliang Long,https://cdn5.wyscout.com/photos/team/public/g-18398_120x120.png,China League One,"CB, RCB",CB,65,RCB,25,,0,29.0,1996-07-21,300000,,27,2765,1,2.81,0,0.48,12.82,63.71,Lithuania,['Lithuania'],right,193,85,False,6.35,2.8,62.79,6.58,69.8,0.23,0.45,0.42,4.36,8.7,1.01,7,0.23,0,0.0,0.52,0.03,1,0.03,0.09,1,0.03,23,0.75,21.74,4.348,0.0,0.39,58.33,0.1,33.33,0.29,66.67,0.03,0.13,100.0,0.88,59.26,0.81,0.52,0.0,24.41,0.13,1.07,41.34,85.04,16.6,72.94,2.5700000000000003,96.2,34.54,91.42,6.44,52.53,23.89,39.43,0.02,0.16,0.07,0.0,0.0,0.0,0.1,6.61,64.04,0.91,35.71,0.36,27.27,0.29,0.16,8.24,77.08,94.54,19.66,0,,0,,0,0.0,0.0,0.0,,,1.82,,6.58,0.03,0.03,0.0,0.0,0,0.0
A. Andrejević,Aleksandar Andrejević,182174,Suzhou Dongwu,Suzhou Dongwu,https://cdn5.wyscout.com/photos/team/public/g35842_120x120.png,China League One,"CB, RCB",CB,46,RCB,43,,0,33.0,1992-03-28,200000,,27,2747,1,1.07,1,0.65,8.71,57.14,Serbia,['Serbia'],right,189,78,False,6.72,3.15,63.54,2.42,64.86,0.29,0.43,0.43,4.42,6.52,0.92,6,0.2,0,0.0,0.39,0.03,1,0.03,0.03,1,0.03,18,0.59,22.22,5.556,0.03,0.33,50.0,0.0,0.0,0.33,50.0,0.03,0.2,50.0,1.28,35.9,0.59,0.39,0.0,24.97,0.16,0.56,40.99,82.25,21.95,73.88,1.08,100.0,28.9,91.61,11.86,59.94,27.66,42.29,0.02,0.16,0.0,0.03,0.0,0.0,0.1,8.16,63.86,0.98,40.0,0.59,27.78,0.33,0.16,12.94,79.24,92.9,15.69,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,2.42,0.1,0.07,0.0,0.0,0,0.0
Yang Yun,Yun Yang,28542,Shijiazhuang Gongfu,Shijiazhuang Gongfu,https://cdn5.wyscout.com/photos/team/public/g-14018_120x120.png,China League One,"RCB, RCB3",RCB,53,RCB3,31,,0,37.0,1988-10-06,25000,,27,2695,1,0.8200000000000001,0,0.79,11.12,58.56,China PR,['China PR'],right,184,76,False,8.85,5.31,67.92,3.17,40.0,0.33,0.47000000000000003,0.2,4.91,6.86,0.63,5,0.17,0,0.0,0.47000000000000003,0.03,1,0.03,0.03,0,0.0,8,0.27,37.5,12.5,0.0,0.5700000000000001,52.94,0.17,20.0,0.4,66.67,0.07,0.07,100.0,0.87,61.54,0.63,0.37,0.0,23.01,0.27,0.87,36.6,88.96,15.76,82.84,2.07,95.16,31.76,92.53,4.27,67.19,21.33,33.53,0.03,0.27,0.03,0.0,0.0,0.0,0.1,4.44,74.44,0.67,55.0,0.13,50.0,0.23,0.33,7.65,79.04,95.56,15.8,0,,0,,0,0.0,0.0,0.0,,,1.37,,3.17,0.0,0.0,0.0,0.0,0,0.0
N. Mushekwi,Nyasha Liberty Mushekwi,132434,Dalian K'un City,Dalian K'un City,https://cdn5.wyscout.com/photos/team/public/g-21220_120x120.png,China League One,CF,CF,99,,0,,0,38.0,1987-08-21,100000,2025-12-31,27,2678,18,14.33,0,1.13,19.96,38.22,Zimbabwe,['Zimbabwe'],left,188,80,False,3.06,2.35,50.0,6.89,47.8,0.07,0.09,0.24,1.81,2.51,1.78,2,0.07,0,0.0,2.08,0.6000000000000001,17,0.5700000000000001,0.48,3,0.1,77,2.59,55.84,23.377,0.0,0.13,0.0,0.07,0.0,0.03,0.0,0.03,1.34,47.5,6.28,29.95,4.34,0.27,0.03,7.19,1.92,1.18,11.59,76.23,1.75,57.69,3.33,90.91,10.92,78.15,0.54,56.25,15.1,18.06,0.04,0.77,0.0,0.0,0.07,0.0,0.27,0.91,66.67,0.74,50.0,0.13,25.0,1.11,0.0,0.6000000000000001,61.11,76.85,3.63,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.89,0.0,0.0,0.0,0.0,1,100.0
