Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Djorkaeff,Oan Djorkaeff,430118,Sanremese Calcio,Sanremese Calcio,https://cdn5.wyscout.com/photos/team/public/2781_120x120.png,Serie D - Girone A,"CF, LW, LWF",CF,55,LW,29,LWF,10,28.0,1997-04-30,100000,2026-06-30,20,1893,4,5.34,5,2.7,25.77,40.41,France,"['France', 'Armenia']",right,178,68,False,3.76,3.85,67.9,2.47,34.62,0.14,0.2,0.0,1.0,1.3900000000000001,1.47,2,0.1,0,0.0,5.04,0.19,3,0.14,0.25,0,0.0,39,1.85,30.77,10.256,0.24,2.71,22.81,2.04,23.26,0.62,23.08,0.48,7.04,54.05,15.55,37.92,4.04,2.5700000000000003,0.38,16.4,2.95,1.81,23.01,75.41,4.14,66.67,5.61,89.83,19.4,82.6,1.05,68.18,17.45,28.94,0.13,1.0,0.05,0.0,0.14,33.33,0.52,1.57,75.76,2.2800000000000002,45.83,0.19,25.0,0.9,0.67,2.5700000000000003,74.07,77.11,7.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.47,0.1,0.0,0.0,0.71,1,100
A. Bellocci,Andrea Bellocci,-151255,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,GK,GK,100,,0,,0,19.0,2006-06-12,0,2026-06-30,19,1847,0,0.0,0,0.47000000000000003,0.8300000000000001,82.35,Italy,['Italy'],,0,0,False,1.32,0.0,0.0,0.34,100.0,0.0,0.0,0.0,1.32,1.8399999999999999,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,87.5,0.0,0.0,0.0,6.14,0.1,0.49,14.91,85.62,8.04,73.94,0.0,0.0,10.43,99.07,4.48,54.35,32.75,50.13,0.02,0.05,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,45.0,0.15,33.33,0.05,100.0,0.1,0.0,3.36,78.26,100.0,5.9,14,0.68,81,3.95,10,82.72,22.04,1.07,8.04,0.392,0.0,1.85,0.34,,,,0.0,0,0
C. Carlini,Cristian Carlini,-382232,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,"LB, LB5, LWB",LB,44,LB5,41,LWB,12,18.0,2007-03-28,0,,18,1734,1,0.58,8,3.08,15.1,52.58,Italy,['Italy'],unknown,0,0,False,7.06,5.97,62.61,1.87,30.56,0.05,0.08,0.31,3.27,4.93,0.62,1,0.05,0,0.0,3.79,0.05,1,0.05,0.03,0,0.0,16,0.8300000000000001,12.5,6.25,0.42,5.35,29.13,5.29,28.43,0.0,0.0,1.1400000000000001,2.96,71.93,5.61,52.78,1.35,1.82,0.42,24.03,1.82,0.78,33.74,70.92,10.64,60.0,6.23,91.67,24.29,83.97,4.46,45.35,22.37,39.69,0.16,0.88,0.0,0.05,0.05,0.0,0.78,2.34,66.67,4.36,40.48,0.31,16.67,0.42,1.56,7.47,59.72,70.8,11.73,0,,0,,0,0.0,0.0,0.0,,,0.73,,1.87,0.0,0.0,0.0,0.0,0,0
A. Bondioli,Andrea Bondioli,449582,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,CB,CB,92,,0,,0,28.0,1997-02-21,100000,2026-06-30,19,1717,1,2.24,0,0.0,15.93,59.21,Italy,['Italy'],right,186,79,False,7.08,6.08,69.83,5.98,64.91,0.26,0.36,0.52,2.5700000000000003,3.5300000000000002,1.52,2,0.1,0,0.0,0.16,0.05,1,0.05,0.12,0,0.0,12,0.63,16.67,8.333,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.05,0.05,100.0,0.47000000000000003,33.33,1.0,0.16,0.05,18.61,0.0,0.42,28.57,89.17,10.22,77.44,0.9400000000000001,100.0,25.0,93.08,3.46,63.64,23.77,35.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.83,51.43,0.31,16.67,0.0,0.0,0.05,0.0,3.51,77.61,96.09,16.09,0,,0,,0,0.0,0.0,0.0,,,0.68,,5.98,0.0,0.0,0.0,0.0,0,0
D. Valenti,Diego Valenti,-25102,Saluzzo,Saluzzo,https://cdn5.wyscout.com/photos/team/public/g-5015_120x120.png,Serie D - Girone A,CF,CF,98,,0,,0,29.0,1996-02-28,125000,2026-06-30,18,1691,6,4.85,0,0.53,22.09,32.53,Italy,['Italy'],,0,0,False,4.15,3.62,60.29,5.85,30.0,0.32,0.55,0.16,1.65,2.86,1.76,2,0.11,0,0.0,1.17,0.32,6,0.32,0.26,4,0.21,35,1.8599999999999999,48.57,17.143,0.0,0.32,16.67,0.11,0.0,0.16,33.33,0.0,0.9,23.53,8.94,22.62,3.73,0.43,0.16,8.04,1.7000000000000002,1.06,14.16,70.3,3.73,42.86,4.36,91.46,12.51,72.34,1.33,64.0,17.51,24.43,0.03,0.32,0.05,0.0,0.05,0.0,0.21,1.97,48.65,0.75,64.29,0.16,33.33,0.43,0.05,1.28,66.67,79.66,3.14,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.85,0.0,0.0,0.0,0.0,0,0
M. Piredda,Marco Piredda,-143293,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,"LCMF3, LCMF, RCMF3",LCMF3,35,LCMF,21,RCMF3,14,20.0,2005-03-27,0,2026-06-30,18,1683,1,1.73,0,1.22,16.47,49.35,Italy,['Italy'],,172,63,False,7.38,6.04,60.18,2.94,50.91,0.16,0.24,0.11,3.58,5.39,1.3900000000000001,4,0.21,0,0.0,1.02,0.05,1,0.05,0.09,0,0.0,22,1.18,22.73,4.545,0.0,0.43,50.0,0.21,75.0,0.21,25.0,0.0,0.53,80.0,5.29,39.39,1.02,1.07,0.48,24.71,0.43,1.82,37.97,81.13,12.3,64.78,7.06,96.97,34.55,84.06,3.05,50.88,19.2,39.77,0.07,0.7000000000000001,0.0,0.16,0.21,50.0,0.27,5.61,63.81,1.3900000000000001,61.54,0.27,60.0,0.75,0.21,5.88,69.09,88.37,13.8,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.94,0.0,0.0,0.0,0.59,0,0
N. Ciccone,Nicola Ciccone,374547,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,RCMF3,RCMF3,83,,0,,0,29.0,1996-04-21,75000,2026-06-30,19,1650,6,2.69,6,6.35,16.75,49.84,Italy,['Italy'],left,180,78,False,4.58,4.69,66.28,0.49,55.56,0.05,0.08,0.05,1.42,1.97,0.65,4,0.22,0,0.0,4.42,0.33,6,0.33,0.15,0,0.0,43,2.35,32.56,13.953,0.33,2.7800000000000002,35.29,0.71,23.08,2.02,40.54,0.49,4.85,53.93,10.36,43.16,1.9100000000000001,2.73,0.38,29.84,1.75,0.76,39.22,72.04,15.38,64.89,5.07,93.55,29.18,81.31,7.36,48.89,23.25,42.25,0.35000000000000003,2.35,0.11,0.05,0.16,33.33,0.71,10.47,64.58,5.62,41.75,1.8,24.24,2.24,1.04,10.42,84.82,74.32,14.02,0,,0,,0,0.0,0.0,0.0,,,0.11,,0.49,1.9100000000000001,0.38,42.86,3.33,0,0
P. Scannapieco,Paolo Scannapieco,431249,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,"LCB3, LCB, CB",LCB3,46,LCB,36,CB,11,28.0,1997-12-13,100000,2027-06-30,17,1605,0,0.46,3,0.47000000000000003,12.5,52.91,Italy,['Italy'],both,180,70,False,7.07,4.43,68.35,3.03,53.7,0.0,0.0,0.56,4.04,6.1,0.79,4,0.22,0,0.0,0.28,0.0,0,0.0,0.03,0,0.0,6,0.34,0.0,0.0,0.17,0.34,33.33,0.17,33.33,0.06,0.0,0.0,0.34,50.0,2.75,28.57,0.5,1.01,0.06,24.62,0.39,0.84,40.37,88.75,17.94,80.94,3.03,94.44,34.82,93.24,5.21,62.37,21.14,36.61,0.03,0.22,0.11,0.0,0.0,0.0,0.11,3.7,75.76,0.67,41.67,0.0,0.0,0.28,0.17,8.36,70.47,94.93,16.6,0,,0,,0,0.0,0.0,0.0,,,1.12,,3.03,0.0,0.0,0.0,0.0,0,0
L. Dellepiane,Luca  Dellepiane,-117897,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,"RB, RB5, RCB3",RB,34,RB5,26,RCB3,24,23.0,2002-10-14,125000,2026-06-30,17,1599,3,1.4100000000000001,1,2.25,17.34,55.19,Italy,['Italy'],right,0,0,False,8.44,7.65,68.38,2.25,40.0,0.06,0.08,0.11,3.15,4.67,0.96,3,0.17,0,0.0,2.2,0.17,3,0.17,0.08,1,0.06,10,0.56,40.0,30.0,0.06,2.25,40.0,0.0,0.0,2.25,40.0,0.34,1.97,54.29,5.07,48.89,1.52,1.8599999999999999,0.23,26.51,1.4100000000000001,1.24,37.54,77.06,16.38,70.45,4.5600000000000005,85.19,30.11,84.11,5.18,52.17,20.29,39.5,0.13,0.68,0.06,0.0,0.06,0.0,0.51,5.12,67.03,2.76,44.9,0.17,33.33,0.39,0.9,8.67,72.08,84.42,11.2,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.25,0.0,0.0,0.0,0.0,0,0
F. Gulinelli,Federico Gulinelli,493419,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,"LCB3, DMF",LCB3,76,DMF,16,,0,25.0,2000-06-02,75000,2026-06-30,19,1594,0,0.18,1,0.56,13.32,61.44,Italy,['Italy'],right,195,84,False,9.15,7.11,72.22,2.48,56.82,0.06,0.08,0.17,3.95,5.61,1.19,3,0.17,0,0.0,0.62,0.0,0,0.0,0.01,0,0.0,4,0.23,0.0,0.0,0.06,0.11,50.0,0.11,50.0,0.0,0.0,0.0,0.79,71.43,2.48,45.45,0.45,1.52,0.0,32.63,1.52,0.45,46.69,85.01,19.82,71.23,2.77,95.92,38.0,91.38,8.58,57.24,22.72,37.58,0.03,0.34,0.06,0.0,0.06,0.0,0.11,7.85,68.35,1.19,28.57,0.79,35.71,0.45,0.06,10.28,74.73,96.88,19.87,0,,0,,0,0.0,0.0,0.0,,,0.4,,2.48,0.06,0.0,0.0,0.06,0,0
