Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Bustos,Brian Matías Bustos,488235,Deportivo Cuenca,Deportivo Cuenca,https://cdn5.wyscout.com/photos/team/public/962_120x120.png,Liga Pro,GK,GK,100,,0,,0,29.0,1996-08-22,150000,,35,3522,0,0.0,0,0.0,0.43,82.35,Argentina,['Argentina'],right,185,81,False,0.72,0.03,100.0,0.28,81.82,0.03,0.03,0.0,0.66,0.9,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,80.0,0.0,0.0,0.0,6.47,0.26,0.15,13.13,84.44,7.28,73.33,0.0,0.0,7.46,97.6,5.65,66.97,32.81,46.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,65.85,0.13,0.0,0.08,0.0,0.0,0.0,4.42,71.1,98.56,5.32,38,0.97,139,3.55,13,72.66,36.21,0.93,-1.79,-0.046,0.0,1.33,0.28,,,,0.0,0,0.0
R. Silva,Rolando David Silva Cabello,-172270,Orense,Orense,https://cdn5.wyscout.com/photos/team/public/g-9563_120x120.png,Liga Pro,GK,GK,100,,0,,0,30.0,1995-06-15,600000,2026-12-31,34,3448,0,0.0,1,0.14,0.84,81.25,Ecuador,['Ecuador'],,0,0,False,1.9100000000000001,0.16,50.0,0.5,84.21,0.05,0.08,0.0,1.77,2.68,0.03,1,0.03,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,8.74,0.13,0.18,16.89,84.39,10.94,79.47,0.0,0.0,9.45,96.96,7.36,69.15,34.86,47.92,0.0,0.03,0.0,0.03,0.0,0.0,0.03,1.57,58.33,0.08,33.33,0.13,60.0,0.03,0.0,5.51,75.83,95.31,5.5600000000000005,41,1.07,154,4.02,9,73.38,48.6,1.27,7.6,0.198,0.0,2.01,0.5,,,,0.0,0,0.0
I. Zambrano,Iván Frangoy Zambrano Vera,487017,Libertad,Libertad,https://cdn5.wyscout.com/photos/team/public/g-15385_120x120.png,Liga Pro,"LCMF, RCMF",LCMF,67,RCMF,24,,0,28.0,1997-04-10,0,2025-12-31,34,3407,3,4.76,2,2.07,13.21,53.0,Ecuador,['Ecuador'],,0,0,False,5.79,4.25,66.46,2.46,50.54,0.08,0.11,0.18,2.88,4.0,0.63,5,0.13,0,0.0,1.06,0.08,3,0.08,0.13,0,0.0,52,1.37,21.15,5.769,0.05,0.4,26.67,0.13,20.0,0.26,30.0,0.08,1.06,62.5,4.83,44.81,2.56,1.22,0.13,18.07,0.63,1.19,27.21,83.88,7.58,69.69,3.54,91.79,24.62,88.41,2.19,43.37,17.7,30.25,0.05,0.66,0.05,0.0,0.13,0.0,0.13,3.46,80.92,0.92,31.43,0.34,0.0,0.6900000000000001,0.08,3.7800000000000002,67.83,91.94,11.46,0,,0,,0,0.0,0.0,0.0,,,0.21,,2.46,0.0,0.0,0.0,0.0,0,0.0
R. Caicedo,Romario Javier Caicedo Ante,166681,Emelec,Emelec,https://cdn5.wyscout.com/photos/team/public/663_120x120.png,Liga Pro,"RB, RWB",RB,84,RWB,11,,0,35.0,1990-05-23,300000,2025-12-30,34,3372,1,2.51,3,3.95,14.97,52.41,Ecuador,['Ecuador'],right,181,74,False,6.83,4.11,67.53,2.83,42.45,0.29,0.42,0.24,3.76,5.39,0.77,1,0.03,1,0.03,2.54,0.03,1,0.03,0.07,0,0.0,25,0.67,24.0,4.0,0.08,3.52,39.39,0.0,0.0,3.52,39.39,0.32,1.52,61.4,5.69,47.42,2.03,1.09,0.03,21.03,2.22,1.49,31.65,74.11,12.06,67.48,4.59,95.93,24.42,83.5,3.87,44.14,19.77,35.62,0.11,0.8300000000000001,0.03,0.0,0.05,100.0,0.43,4.59,59.3,2.83,51.89,0.11,75.0,0.6900000000000001,1.25,6.7,73.71,71.83,8.62,0,,0,,0,0.0,0.0,0.0,,,0.16,,2.83,0.0,0.0,0.0,0.03,0,0.0
P. Ortíz,Pedro Alfredo Ortíz Angulo,432450,Emelec,Emelec,https://cdn5.wyscout.com/photos/team/public/663_120x120.png,Liga Pro,GK,GK,100,,0,,0,35.0,1990-02-19,600000,2026-12-31,33,3365,0,0.0,0,0.0,0.67,84.0,Ecuador,['Ecuador'],right,187,80,False,0.9400000000000001,0.05,0.0,0.37,100.0,0.03,0.04,0.0,0.91,1.29,0.03,3,0.08,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.16,66.67,0.0,0.0,0.0,7.8100000000000005,0.08,0.16,13.61,84.09,9.2,77.33,0.0,0.0,8.02,99.0,5.59,62.68,35.16,49.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6600000000000001,54.84,0.05,0.0,0.05,0.0,0.0,0.0,4.2,77.71,98.05,4.12,34,0.91,155,4.15,11,78.06,38.97,1.04,4.97,0.133,0.0,1.3900000000000001,0.37,,,,0.0,0,0.0
J. Marrufo,José Luis Marrufo Jiménez,290607,Macará,Macará,https://cdn5.wyscout.com/photos/team/public/964_120x120.png,Liga Pro,LCB,LCB,82,,0,,0,29.0,1996-05-12,400000,2025-12-15,34,3348,3,2.36,1,0.43,13.66,63.58,Venezuela,['Venezuela'],left,183,79,False,9.81,5.59,72.12,4.54,65.09,0.43,0.59,0.7000000000000001,5.35,7.36,0.91,9,0.24,0,0.0,0.27,0.08,3,0.08,0.06,2,0.05,12,0.32,33.33,25.0,0.03,0.11,50.0,0.11,50.0,0.0,0.0,0.0,0.16,66.67,1.53,43.86,0.67,0.13,0.0,14.57,0.19,0.59,29.54,79.71,14.6,70.17,1.37,90.2,22.88,85.9,6.5600000000000005,58.61,24.13,38.67,0.01,0.08,0.0,0.0,0.0,0.0,0.13,4.35,60.49,0.35000000000000003,30.77,0.30000000000000004,18.18,0.19,0.05,7.77,64.71,92.74,11.48,0,,0,,0,0.0,0.0,0.0,,,0.81,,4.54,0.0,0.0,0.0,0.0,0,0.0
J. Mina,Jonnathan Gabriel Mina Jara,-173445,Aucas,Aucas,https://cdn5.wyscout.com/photos/team/public/g648_120x120.png,Liga Pro,"LB, LWB, LB5",LB,43,LWB,31,LB5,20,30.0,1995-03-28,1000000,,34,3280,1,1.7000000000000002,11,7.38,9.22,48.21,Ecuador,['Ecuador'],left,178,75,False,5.43,4.2,67.32,1.02,37.84,0.03,0.04,0.05,2.58,3.75,0.33,3,0.08,0,0.0,2.0,0.03,1,0.03,0.05,0,0.0,22,0.6000000000000001,18.18,4.545,0.30000000000000004,4.45,30.25,4.31,29.94,0.11,25.0,0.47000000000000003,0.96,51.43,2.91,33.02,0.71,1.87,0.25,26.89,2.39,0.27,35.95,73.51,13.2,67.36,4.83,90.91,26.2,85.34,5.6,50.49,21.57,38.33,0.2,1.62,0.03,0.03,0.11,50.0,0.52,5.54,65.84,4.23,41.56,0.33,41.67,0.47000000000000003,1.37,9.93,73.76,74.25,11.94,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.02,1.43,0.14,20.0,2.85,0,0.0
E. Raggio,Eugenio Raggio,-339352,Deportivo Cuenca,Deportivo Cuenca,https://cdn5.wyscout.com/photos/team/public/962_120x120.png,Liga Pro,"LCB3, RCB, LB",LCB3,37,RCB,31,LB,15,24.0,2001-08-31,0,2026-12-31,33,3184,0,0.38,1,0.33,12.49,61.54,Argentina,['Argentina'],,0,0,True,10.09,6.47,66.81,2.71,67.71,0.31,0.43,0.59,5.46,7.5,0.73,1,0.03,1,0.03,0.4,0.0,0,0.0,0.01,0,0.0,9,0.25,33.33,0.0,0.03,0.34,41.67,0.11,50.0,0.23,37.5,0.06,0.31,54.55,2.2,38.46,0.14,0.54,0.03,28.07,0.54,0.4,44.24,83.26,22.67,74.94,2.37,97.62,35.79,90.36,8.14,53.82,22.42,38.04,0.01,0.11,0.03,0.03,0.06,0.0,0.03,6.76,63.18,0.54,36.84,0.37,23.08,0.11,0.14,10.46,71.35,93.92,15.35,0,,0,,0,0.0,0.0,0.0,,,1.1,,2.71,0.03,0.0,0.0,0.0,0,0.0
E. Segura,Estalin  Segura,-567942,Aucas,Aucas,https://cdn5.wyscout.com/photos/team/public/g648_120x120.png,Liga Pro,"LCB3, LCB",LCB3,56,LCB,40,,0,25.0,2000-01-22,0,,33,3164,2,2.39,0,0.23,14.96,64.26,Ecuador,['Ecuador'],unknown,0,0,False,9.56,6.74,73.42,4.55,58.75,0.34,0.49,0.43,4.27,6.17,1.19,6,0.17,1,0.03,0.43,0.06,2,0.06,0.07,2,0.06,17,0.48,41.18,11.765,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.23,100.0,1.65,58.62,0.8,0.85,0.0,24.24,0.51,0.51,35.78,86.17,16.61,77.05,1.9300000000000002,95.59,31.03,91.57,4.72,51.2,21.01,36.13,0.01,0.06,0.06,0.03,0.0,0.0,0.0,4.58,69.57,0.34,16.67,0.17,66.67,0.09,0.0,6.94,68.44,95.45,14.36,0,,0,,0,0.0,0.0,0.0,,,1.17,,4.55,0.0,0.0,0.0,0.0,0,0.0
L. Mitre,Lisandro Nicolás Mariano Mitre,-118866,Vinotinto de Ecuador,Vinotinto de Ecuador,https://cdn5.wyscout.com/photos/team/public/g-17977_120x120.png,Liga Pro,GK,GK,100,,0,,0,29.0,1995-12-18,0,2025-12-31,32,3138,0,0.0,0,0.33,0.77,70.37,Argentina,['Argentina'],left,185,82,False,1.8599999999999999,0.14,80.0,0.29,60.0,0.0,0.0,0.0,1.75,2.19,0.03,0,0.0,1,0.03,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,66.67,0.26,77.78,0.0,0.0,0.0,6.54,0.29,0.2,14.02,75.66,8.95,65.38,0.0,0.0,7.08,96.36,6.85,55.23,39.98,54.62,0.01,0.06,0.0,0.06,0.0,0.0,0.03,3.27,48.25,0.34,25.0,0.14,20.0,0.06,0.0,4.65,77.78,94.64,4.82,46,1.32,147,4.22,4,68.71,47.27,1.3599999999999999,1.27,0.036000000000000004,0.0,1.58,0.29,,,,0.0,0,0.0
