Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Pinguet,Alice Pinguet,-197858,Saint-Étienne,Saint-Étienne,https://cdn5.wyscout.com/photos/team/public/g5776_120x120.png,Première Ligue,GK,GK,100,,0,,0,23.0,2002-06-29,0,,21,2106,0,0.0,0,0.0,0.81,73.68,France,['France'],,0,0,False,2.39,0.09,0.0,0.21,100.0,0.04,0.05,0.0,2.35,2.87,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,100.0,0.0,0.0,0.0,12.56,0.17,0.47000000000000003,20.77,81.07,12.14,71.13,0.0,0.0,9.66,97.35,11.07,67.18,33.1,41.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,37.5,0.04,0.0,0.0,0.0,0.0,0.0,7.22,71.6,96.3,8.08,37,1.58,103,4.4,3,64.08,33.32,1.42,-3.68,-0.157,0.0,1.58,0.21,,,,0.0,0,0.0
M. Wahl,Manon Wahl,-186904,Strasbourg,Strasbourg,https://cdn5.wyscout.com/photos/team/public/g-15126_120x120.png,Première Ligue,GK,GK,100,,0,,0,24.0,2001-06-27,0,,21,2080,0,0.0,0,0.14,1.0,78.26,France,['France'],right,170,0,False,2.51,0.26,33.33,0.35000000000000003,100.0,0.04,0.06,0.0,2.38,3.15,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,18.52,0.48,0.35000000000000003,31.07,88.58,15.45,79.83,0.04,100.0,20.9,98.55,10.17,68.09,26.06,38.54,0.01,0.04,0.04,0.0,0.0,0.0,0.0,0.87,30.0,0.09,0.0,0.09,0.0,0.0,0.0,6.79,68.79,97.52,13.98,37,1.6,122,5.28,7,69.67,33.75,1.46,-3.25,-0.14100000000000001,0.04,1.47,0.35000000000000003,,,,0.0,0,0.0
E. Burns,Emily Raechel Burns,-283714,Nantes,Nantes,https://cdn5.wyscout.com/photos/team/public/g32633_120x120.png,Première Ligue,GK,GK,100,,0,,0,28.0,1997-07-24,0,,21,2071,0,0.0,0,0.0,0.74,94.12,Canada,['Canada'],unknown,0,0,False,1.22,0.09,100.0,0.48,90.91,0.0,0.0,0.0,1.13,1.48,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,18.56,0.04,0.43,25.25,90.02,9.52,77.63,0.04,100.0,21.21,97.34,4.04,51.61,22.46,36.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.04,28.57,98.22,14.65,31,1.35,120,5.21,5,74.17,35.6,1.55,4.6,0.2,0.0,1.35,0.48,,,,0.0,0,0.0
C. Picaud,Constance Picaud,401133,Fleury 91,Fleury 91,https://cdn5.wyscout.com/photos/team/public/g39850_120x120.png,Première Ligue,GK,GK,100,,0,,0,27.0,1998-07-05,0,,21,2063,0,0.0,0,0.41000000000000003,0.92,80.95,France,['France'],right,180,0,False,2.18,0.17,50.0,0.39,100.0,0.04,0.05,0.0,2.05,2.55,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,66.67,0.0,0.0,0.0,16.58,0.22,0.26,27.0,83.52,13.57,70.74,0.0,0.0,18.58,96.24,8.42,55.44,27.52,43.6,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.92,19.05,0.0,0.0,0.09,0.0,0.0,0.0,6.28,57.64,95.99,11.95,24,1.05,100,4.36,8,76.0,25.61,1.12,1.6099999999999999,0.07,0.0,2.05,0.39,,,,0.0,0,0.0
M. Earps,Mary Earps,183695,PSG,PSG,https://cdn5.wyscout.com/photos/team/public/g5286_120x120.png,Première Ligue,GK,GK,100,,0,,0,33.0,1993-03-07,0,,21,2052,0,0.0,1,0.0,0.22,80.0,England,['England'],right,173,0,False,1.58,0.09,50.0,0.13,100.0,0.0,0.0,0.0,1.54,2.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.26,0.0,21.27,92.16,8.42,84.38,0.0,0.0,16.62,98.68,4.65,68.87,24.89,40.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.35000000000000003,37.5,0.09,0.0,0.0,0.0,0.0,0.0,2.76,65.08,97.35,11.58,18,0.79,54,2.37,11,66.67,16.52,0.72,-1.48,-0.065,0.0,0.7000000000000001,0.13,,,,0.0,0,0.0
E. Kouache,Eva Kouache,465296,Le Havre,Le Havre,https://cdn5.wyscout.com/photos/team/public/g-9116_120x120.png,Première Ligue,RB,RB,94,,0,,0,26.0,2000-01-07,0,,21,2038,0,0.02,1,0.62,14.44,61.77,France,['France'],,0,0,False,12.63,9.76,68.78,1.46,39.39,0.09,0.09,0.18,5.83,6.0,0.44,1,0.04,0,0.0,1.02,0.0,0,0.0,0.0,0,0.0,2,0.09,0.0,0.0,0.04,1.77,37.5,0.0,0.0,1.77,37.5,0.09,0.62,57.14,2.03,52.17,0.13,0.71,0.13,18.99,0.44,0.79,32.5,64.95,19.08,60.42,2.47,85.71,24.47,72.56,6.27,42.96,20.26,33.22,0.03,0.4,0.0,0.0,0.0,0.0,0.18,6.58,55.03,1.94,45.45,0.44,40.0,0.31,0.66,9.8,62.61,72.79,6.49,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.46,0.09,0.0,0.0,0.0,0,0.0
N. Carage,Noémie Carage,213239,Dijon,Dijon,https://cdn5.wyscout.com/photos/team/public/g16384_120x120.png,Première Ligue,LCB,LCB,89,,0,,0,29.0,1996-09-09,0,,21,2029,0,0.02,0,0.04,10.29,58.62,France,['France'],,0,0,False,9.31,5.8100000000000005,70.23,1.8599999999999999,52.38,0.18,0.2,0.71,5.06,5.77,0.35000000000000003,4,0.18,0,0.0,0.35000000000000003,0.0,0,0.0,0.0,0,0.0,2,0.09,0.0,0.0,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.62,57.14,1.38,38.71,0.09,0.31,0.0,40.94,0.04,0.35000000000000003,57.4,89.18,23.86,79.74,3.55,98.75,51.72,92.54,5.59,59.52,20.1,34.41,0.0,0.13,0.04,0.0,0.0,0.0,0.0,4.08,76.09,0.31,42.86,0.27,50.0,0.13,0.0,9.18,61.35,97.16,26.53,0,,0,,0,0.0,0.0,0.0,,,2.0,,1.8599999999999999,0.0,0.0,0.0,0.0,0,0.0
K. Korošec,Kaja Korošec,467245,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/g39849_120x120.png,Première Ligue,"LDMF, DMF, RDMF",LDMF,49,DMF,32,RDMF,11,24.0,2001-11-17,0,,21,2015,1,2.11,1,0.25,15.72,64.77,Slovenia,['Slovenia'],,0,0,False,10.63,7.73,79.19,3.08,66.67,0.4,0.5700000000000001,0.4,4.11,5.87,0.45,2,0.09,0,0.0,0.85,0.04,1,0.04,0.09,0,0.0,15,0.67,46.67,6.667,0.04,0.49,36.36,0.4,33.33,0.09,50.0,0.0,0.49,63.64,3.39,40.79,0.89,0.18,0.09,26.58,0.22,0.67,43.06,82.68,13.98,63.58,8.4,97.87,36.31,88.56,6.25,52.14,19.63,32.27,0.01,0.31,0.0,0.0,0.04,100.0,0.04,8.0,63.69,1.65,37.84,0.9400000000000001,19.05,0.58,0.13,6.48,72.41,92.77,15.45,0,,0,,0,0.0,0.0,0.0,,,2.1,,3.08,0.0,0.0,0.0,0.0,0,0.0
M. Chavas,Mylène Chavas,323664,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/g39849_120x120.png,Première Ligue,GK,GK,100,,0,,0,28.0,1998-01-07,0,,21,1998,0,0.0,0,0.0,0.81,94.44,France,['France'],right,178,0,False,2.16,0.14,100.0,0.5,100.0,0.05,0.06,0.0,1.98,2.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,0.0,0.0,0.0,18.92,0.27,0.14,27.25,89.42,14.86,82.73,0.0,0.0,19.91,98.42,7.34,65.03,26.07,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,36.36,0.0,0.0,0.0,0.0,0.0,0.0,5.09,56.64,98.02,11.35,12,0.54,65,2.93,12,81.54,16.78,0.76,4.78,0.215,0.0,1.8900000000000001,0.5,,,,0.0,0,0.0
M. Levasseur,Marie Levasseur,333479,Montpellier,Montpellier,https://cdn5.wyscout.com/photos/team/public/g5277_120x120.png,Première Ligue,RB,RB,99,,0,,0,28.0,1997-05-18,0,,20,1983,0,1.17,0,1.7000000000000002,17.02,59.2,Canada,['Canada'],,172,0,False,11.98,9.8,74.07,2.5,45.45,0.9500000000000001,1.23,0.23,3.77,4.84,0.91,4,0.18,0,0.0,1.63,0.0,0,0.0,0.05,0,0.0,10,0.45,30.0,0.0,0.0,2.45,40.74,0.0,0.0,2.45,40.74,0.23,0.68,73.33,3.0,37.88,1.13,1.09,0.05,20.29,1.23,0.64,31.13,73.03,14.84,69.42,3.99,89.77,23.92,81.4,4.8100000000000005,48.11,19.05,32.32,0.08,0.45,0.0,0.0,0.05,0.0,0.23,4.04,64.04,2.09,43.48,0.27,16.67,0.36,0.91,7.99,61.36,73.12,8.44,0,,0,,0,0.0,0.0,0.0,,,1.0,,2.5,0.0,0.0,0.0,0.0,0,0.0
M. Cosson,Maureen Cosson,414954,Nantes,Nantes,https://cdn5.wyscout.com/photos/team/public/g32633_120x120.png,Première Ligue,"LCB3, LCB, LB",LCB3,51,LCB,21,LB,10,29.0,1996-07-11,0,,20,1976,2,1.6400000000000001,0,0.17,14.57,59.38,France,['France'],,0,0,False,10.25,6.74,72.3,2.91,48.44,0.36,0.47000000000000003,0.23,5.01,6.51,0.59,3,0.14,0,0.0,1.23,0.09,2,0.09,0.07,0,0.0,21,0.96,38.1,9.524000000000001,0.0,0.41000000000000003,22.22,0.36,25.0,0.05,0.0,0.05,0.96,71.43,3.42,41.33,0.68,1.1400000000000001,0.0,35.25,0.27,0.64,50.56,82.34,23.73,73.13,4.24,97.85,44.45,88.22,5.69,40.8,20.57,41.33,0.01,0.18,0.0,0.0,0.18,50.0,0.05,7.01,59.74,1.09,37.5,0.87,47.37,0.23,0.09,9.97,59.36,92.5,18.22,0,,0,,0,0.0,0.0,0.0,,,1.96,,2.91,0.05,0.0,0.0,0.0,0,0.0
C. Meffometou,Claudine Falonne Meffometou Tcheno,253469,Fleury 91,Fleury 91,https://cdn5.wyscout.com/photos/team/public/g39850_120x120.png,Première Ligue,"LCB, LCB3, LB",LCB,56,LCB3,31,LB,12,35.0,1990-07-01,0,,20,1965,0,0.75,0,0.06,13.56,62.16,Cameroon,['Cameroon'],,163,64,False,8.84,5.18,78.76,2.38,53.85,0.14,0.17,0.32,4.63,5.79,0.64,4,0.18,0,0.0,0.92,0.0,0,0.0,0.03,0,0.0,4,0.18,0.0,0.0,0.0,0.46,20.0,0.41000000000000003,11.11,0.05,100.0,0.05,1.1,70.83,4.4,46.88,0.41000000000000003,1.19,0.32,26.93,0.14,0.92,44.11,82.14,18.32,69.5,5.18,92.04,39.89,86.34,3.76,45.12,18.5,29.56,0.0,0.05,0.0,0.0,0.14,33.33,0.05,3.48,65.79,0.5,18.18,0.14,0.0,0.0,0.09,7.79,46.47,94.1,15.53,0,,0,,0,0.0,0.0,0.0,,,2.93,,2.38,0.0,0.0,0.0,0.0,0,0.0
J. Rastocle,Jade Rastocle,-283077,Montpellier,Montpellier,https://cdn5.wyscout.com/photos/team/public/g5277_120x120.png,Première Ligue,"RCB, LCB",RCB,73,LCB,20,,0,21.0,2004-07-12,0,,21,1963,0,1.22,0,0.16,13.3,63.45,France,['France'],unknown,0,0,False,8.76,6.65,77.93,2.38,48.08,0.32,0.42,0.41000000000000003,3.26,4.24,1.42,1,0.05,0,0.0,0.5,0.0,0,0.0,0.06,0,0.0,6,0.28,33.33,0.0,0.0,0.23,20.0,0.09,0.0,0.14,33.33,0.0,0.6000000000000001,61.54,2.52,47.27,0.28,0.5,0.0,19.99,0.09,0.87,33.52,82.49,13.89,72.61,3.99,94.25,27.92,89.33,5.41,50.0,20.14,33.71,0.01,0.09,0.0,0.0,0.0,0.0,0.0,3.48,48.68,0.37,25.0,0.23,0.0,0.14,0.0,5.73,57.6,89.96,12.79,0,,0,,0,0.0,0.0,0.0,,,2.52,,2.38,0.05,0.0,0.0,0.0,0,0.0
M. Shore,Margot Shore,-574173,Olympique Marseille,Olympique Marseille,https://cdn5.wyscout.com/photos/team/public/g26976_120x120.png,Première Ligue,GK,GK,100,,0,,0,29.0,1997-03-15,0,,20,1960,0,0.0,0,0.0,0.8300000000000001,72.22,Canada,"['Canada', 'Italy']",unknown,0,0,False,2.16,0.23,40.0,0.6000000000000001,84.62,0.0,0.0,0.0,2.07,2.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53,0.0,0.0,19.56,84.51,9.28,71.29,0.0,0.0,12.99,96.11,6.57,61.54,27.85,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,25.0,0.0,0.0,0.05,0.0,0.0,0.0,4.73,58.25,96.7,9.73,40,1.8399999999999999,93,4.27,5,56.99,39.73,1.82,-0.27,-0.012,0.0,1.42,0.6000000000000001,,,,0.0,0,0.0
L. Philippe,Laëtitia Marie Philippe,19793,Le Havre,Le Havre,https://cdn5.wyscout.com/photos/team/public/g-9116_120x120.png,Première Ligue,GK,GK,100,,0,,0,35.0,1991-04-30,0,,20,1950,0,0.0,0,0.0,0.74,62.5,France,['France'],right,172,59,False,1.71,0.18,50.0,0.42,66.67,0.05,0.05,0.0,1.57,1.62,0.05,4,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,0.0,0.0,0.0,5.03,0.09,0.09,12.51,78.6,8.17,68.93,0.05,100.0,5.86,94.49,6.65,64.58,33.53,41.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,33.33,0.0,0.0,0.0,0.0,0.0,0.0,4.75,69.9,96.47,3.92,42,1.94,108,4.98,1,61.11,35.99,1.6600000000000001,-6.01,-0.277,0.05,1.52,0.42,,,,0.0,0,0.0
R. Enguehard,Romane Enguehard,440436,Le Havre,Le Havre,https://cdn5.wyscout.com/photos/team/public/g-9116_120x120.png,Première Ligue,"LCMF3, LB, LCMF",LCMF3,21,LB,20,LCMF,12,26.0,1999-07-05,0,,20,1950,3,1.74,0,0.75,16.8,47.8,France,['France'],,0,0,False,10.75,7.98,65.9,2.58,30.36,0.28,0.29,0.14,5.22,5.42,0.88,4,0.18,0,0.0,0.97,0.14,3,0.14,0.08,2,0.09,14,0.65,42.86,21.429,0.0,1.25,29.63,0.97,28.57,0.23,20.0,0.0,1.11,29.17,4.62,28.0,0.97,0.51,0.0,17.22,0.97,0.88,30.37,68.09,15.32,59.34,4.02,86.21,26.31,72.98,2.8200000000000003,39.34,16.33,27.85,0.03,0.32,0.0,0.0,0.0,0.0,0.14,4.15,50.0,1.34,41.38,0.05,0.0,0.37,0.42,6.51,59.57,75.94,6.14,0,,0,,0,0.0,0.0,0.0,,,0.14,,2.58,0.05,0.0,0.0,0.0,0,0.0
S. Enge,Sierra  Enge,-239649,Strasbourg,Strasbourg,https://cdn5.wyscout.com/photos/team/public/g-15126_120x120.png,Première Ligue,"RCMF, DMF",RCMF,62,DMF,24,,0,26.0,2000-02-23,0,,20,1946,0,0.87,0,0.7000000000000001,13.92,55.48,United States,['United States'],right,165,0,False,9.43,6.47,68.57,2.17,61.7,0.18,0.25,0.42,4.8100000000000005,6.54,1.11,2,0.09,0,0.0,0.42,0.0,0,0.0,0.04,0,0.0,16,0.74,12.5,0.0,0.0,0.23,0.0,0.05,0.0,0.14,0.0,0.05,0.42,55.56,2.87,32.26,0.37,0.14,0.0,28.35,0.18,0.32,45.28,77.94,14.94,57.59,9.06,94.39,39.31,82.82,5.73,47.58,18.82,36.4,0.03,0.37,0.0,0.05,0.09,100.0,0.05,7.21,53.85,0.74,37.5,0.65,42.86,0.32,0.0,7.35,54.09,90.06,14.89,0,,0,,0,0.0,0.0,0.0,,,1.29,,2.17,0.46,0.05,0.0,0.05,0,0.0
T. Laplacette,Tess Laplacette,401145,Olympique Marseille,Olympique Marseille,https://cdn5.wyscout.com/photos/team/public/g26976_120x120.png,Première Ligue,RB,RB,81,,0,,0,26.0,1999-05-22,0,,20,1925,0,0.24,1,1.51,10.52,51.56,France,['France'],,167,56,False,7.57,5.84,64.8,0.84,11.11,0.0,0.0,0.23,3.79,4.47,0.65,3,0.14,0,0.0,0.65,0.0,0,0.0,0.01,0,0.0,6,0.28,0.0,0.0,0.05,1.4,23.33,0.19,25.0,1.17,24.0,0.19,0.47000000000000003,70.0,2.62,35.71,0.23,0.98,0.05,30.3,1.22,0.7000000000000001,42.03,76.2,18.89,69.31,5.94,95.28,36.37,82.13,4.3,42.39,18.12,36.18,0.07,0.56,0.05,0.0,0.0,0.0,0.14,7.43,64.15,2.1,40.0,0.56,25.0,0.51,0.37,10.99,68.51,79.1,11.41,0,,0,,0,0.0,0.0,0.0,,,0.65,,0.84,0.9400000000000001,0.09,0.0,0.84,0,0.0
M. Bourdieu,Mathilde Bourdieu,427282,Olympique Marseille,Olympique Marseille,https://cdn5.wyscout.com/photos/team/public/g26976_120x120.png,Première Ligue,CF,CF,100,,0,,0,27.0,1999-04-15,0,,20,1918,11,10.35,1,1.12,22.43,31.8,France,['France'],,165,0,False,3.38,4.08,54.02,2.44,26.92,0.09,0.11,0.0,1.08,1.29,1.3599999999999999,6,0.28,0,0.0,2.25,0.52,9,0.42,0.49,0,0.0,63,2.96,41.27,17.46,0.05,0.52,9.09,0.14,0.0,0.33,14.29,0.14,2.06,43.18,13.04,26.26,3.05,1.3599999999999999,0.38,13.47,2.35,1.55,21.12,73.33,3.99,49.41,6.33,83.7,19.47,75.66,1.13,62.5,15.53,25.0,0.05,0.75,0.14,0.05,0.09,100.0,0.47000000000000003,1.88,67.5,1.22,42.31,0.42,44.44,0.7000000000000001,0.0,1.97,66.67,74.8,5.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.44,0.0,0.0,0.0,0.0,2,100.0
L. Bogaert,Lou Valérie Bogaert,-359238,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/g39849_120x120.png,Première Ligue,LB,LB,100,,0,,0,21.0,2004-06-25,0,,21,1899,3,0.9400000000000001,1,0.54,11.75,54.03,France,['France'],unknown,166,0,False,7.77,5.88,69.35,0.9,52.63,0.14,0.2,0.05,3.55,5.03,0.52,1,0.05,0,0.0,1.6099999999999999,0.14,3,0.14,0.04,0,0.0,14,0.66,35.71,21.429,0.05,1.8,34.21,1.8,34.21,0.0,0.0,0.38,1.04,72.73,4.08,31.4,0.9,1.1400000000000001,0.14,35.59,1.94,0.52,46.87,83.01,19.43,74.88,7.35,96.77,41.66,87.6,3.41,52.78,17.15,28.6,0.03,0.24,0.0,0.0,0.0,0.0,0.09,5.26,75.68,2.23,46.81,0.33,42.86,0.47000000000000003,0.66,9.43,70.35,85.94,11.8,0,,0,,0,0.0,0.0,0.0,,,1.42,,0.9,0.05,0.0,0.0,0.0,0,0.0
C. Matéo,Clara Matéo,318964,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/g39849_120x120.png,Première Ligue,"CF, RAMF",CF,52,RAMF,17,,0,28.0,1997-11-28,0,,20,1887,8,7.68,2,3.45,20.41,45.33,France,['France'],right,168,0,False,4.91,4.48,59.57,2.5300000000000002,52.83,0.14,0.2,0.0,2.1,2.98,0.72,0,0.0,0,0.0,4.15,0.38,8,0.38,0.37,2,0.1,59,2.81,38.98,13.559,0.1,1.67,28.57,0.67,28.57,1.0,28.57,0.29,4.24,57.3,11.11,39.91,5.15,3.05,0.38,20.27,2.86,0.76,28.81,68.87,7.49,53.5,6.3,84.85,25.99,72.84,1.19,36.0,14.8,22.26,0.16,1.53,0.14,0.0,0.33,42.86,0.67,2.5300000000000002,39.62,3.43,52.78,0.29,33.33,1.8599999999999999,0.48,3.48,72.6,65.22,7.68,0,,0,,0,0.0,0.0,0.0,,,0.1,,2.5300000000000002,0.0,0.0,0.0,0.0,0,0.0
