Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ž. Frelih,Žiga Frelih,407988,Spartak Trnava,Spartak Trnava,https://cdn5.wyscout.com/photos/team/public/1291_120x120.png,Niké Liga,GK,GK,100,,0,,0,28.0,1998-02-06,450000,2026-06-30,22,2168,0,0.0,0,0.28,0.66,93.75,Slovenia,['Slovenia'],left,197,90,False,1.45,0.0,0.0,0.5,91.67,0.0,0.0,0.0,1.45,2.33,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,16.85,0.17,0.21,24.29,77.44,17.06,68.61,0.04,100.0,12.7,96.73,11.54,56.47,34.7,49.35,0.01,0.04,0.0,0.0,0.0,0.0,0.0,4.9,45.76,0.25,33.33,0.62,26.67,0.08,0.0,8.14,75.0,98.74,6.6,28,1.16,83,3.45,8,66.27,22.75,0.9400000000000001,-5.25,-0.218,0.04,1.25,0.5,,,,0.0,0,0.0
K. Nemanič,Klemen Nemanič,268940,DAC,DAC,https://cdn5.wyscout.com/photos/team/public/1224_120x120.png,Niké Liga,LCB,LCB,93,,0,,0,29.0,1996-11-07,400000,2028-06-30,22,2142,1,1.4100000000000001,0,0.5700000000000001,10.55,60.83,Slovenia,['Slovenia'],left,194,77,False,6.86,3.52,71.25,4.09,65.59,0.04,0.07,0.53,4.31,7.26,0.75,3,0.13,0,0.0,0.31,0.04,1,0.04,0.06,1,0.04,11,0.48,27.27,9.091,0.0,0.31,14.29,0.31,14.29,0.0,0.0,0.04,0.4,33.33,1.54,42.86,0.66,2.33,0.04,51.7,0.66,0.18,68.5,91.53,26.16,85.04,3.74,92.94,62.74,95.02,5.45,55.65,21.9,43.31,0.02,0.4,0.04,0.13,0.0,0.0,0.13,9.06,77.67,0.88,45.0,0.88,50.0,0.48,0.04,10.86,77.33,97.41,33.99,0,,0,,0,0.0,0.0,0.0,,,2.33,,4.09,0.0,0.0,0.0,0.0,0,0.0
R. Begala,Roman Begala,452966,Tatran Prešov,Tatran Prešov,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,Niké Liga,"RCMF, DMF, RCMF3",RCMF,40,DMF,18,RCMF3,15,26.0,1999-07-18,150000,2027-06-30,22,2132,2,1.5899999999999999,1,2.6,16.34,57.36,Slovakia,['Slovakia'],right,175,72,False,9.58,7.77,64.67,1.1400000000000001,33.33,0.34,0.4,0.55,4.22,5.01,1.1,4,0.17,0,0.0,1.73,0.08,2,0.08,0.07,0,0.0,31,1.31,19.35,6.452,0.04,1.1,34.62,0.46,27.27,0.55,46.15,0.17,1.31,77.42,5.15,53.28,1.44,0.93,0.17,14.99,0.30000000000000004,2.07,23.05,78.02,8.19,68.56,3.93,93.55,19.38,83.22,2.66,58.73,20.14,34.84,0.11,1.06,0.0,0.08,0.08,100.0,0.30000000000000004,3.21,67.11,1.22,62.07,0.46,81.82,0.51,0.42,5.11,63.64,84.44,7.6,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.1400000000000001,0.76,0.13,66.67,1.31,0,0.0
P. Lukáč,Patrik Lukáč,256394,Zemplín Michalovce,Zemplín Michalovce,https://cdn5.wyscout.com/photos/team/public/g3237_120x120.png,Niké Liga,GK,GK,100,,0,,0,31.0,1994-12-05,100000,2026-06-30,22,2108,0,0.0,0,0.0,0.9400000000000001,71.43,Slovakia,['Slovakia'],right,191,87,False,1.16,0.09,50.0,0.54,100.0,0.0,0.0,0.0,1.12,1.52,0.04,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.22,40.0,0.0,0.0,0.0,10.88,0.13,0.22,17.32,89.15,11.64,84.23,0.0,0.0,9.17,99.51,8.15,77.47,32.57,45.77,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.97,68.18,0.09,0.0,0.13,33.33,0.0,0.0,6.8,85.53,99.14,5.19,34,1.52,85,3.8,4,60.0,24.01,1.07,-9.99,-0.447,0.0,1.07,0.54,,,,0.0,0,0.0
M. Tuboly,Máté Tuboly,-258953,DAC,DAC,https://cdn5.wyscout.com/photos/team/public/1224_120x120.png,Niké Liga,"RCMF, DMF, RDMF",RCMF,37,DMF,35,RDMF,12,21.0,2004-09-15,0,2028-06-30,22,2095,1,1.1,1,1.33,14.22,49.37,Hungary,['Hungary'],right,182,71,False,7.65,4.73,59.05,3.2,50.7,0.36,0.6000000000000001,0.41000000000000003,4.5,7.5600000000000005,1.31,4,0.17,0,0.0,1.13,0.04,1,0.05,0.05,1,0.05,15,0.68,20.0,6.667,0.05,0.45,70.0,0.09,50.0,0.36,75.0,0.0,0.77,70.59,4.41,38.78,0.81,0.32,0.14,27.5,0.14,0.99,41.76,85.99,12.11,70.26,7.16,94.97,36.99,90.39,4.32,50.0,18.83,33.48,0.06,0.54,0.14,0.0,0.18,75.0,0.27,5.13,73.68,1.04,69.57,0.32,57.14,0.59,0.27,5.76,64.84,93.51,17.33,0,,0,,0,0.0,0.0,0.0,,,1.22,,3.2,0.23,0.0,0.0,0.27,0,0.0
M. Šimko,Martin Šimko,387247,Komárno,Komárno,https://cdn5.wyscout.com/photos/team/public/g29815_120x120.png,Niké Liga,"LCB, DMF, CB",LCB,40,DMF,21,CB,12,27.0,1998-05-24,225000,2026-06-30,21,2059,2,2.3,0,1.22,13.9,58.49,Slovakia,['Slovakia'],right,185,0,False,9.83,4.76,66.06,6.91,56.33,0.8300000000000001,1.01,0.7000000000000001,5.86,7.12,1.27,2,0.09,0,0.0,0.44,0.09,2,0.09,0.1,2,0.09,15,0.66,46.67,13.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.8300000000000001,52.63,1.1400000000000001,0.22,0.09,18.58,0.48,0.48,33.74,83.81,13.46,72.4,2.75,96.83,28.72,88.74,5.03,55.65,20.55,34.52,0.05,0.39,0.0,0.04,0.0,0.0,0.22,4.98,56.14,0.48,36.36,0.44,40.0,0.31,0.0,5.73,70.99,90.94,14.47,0,,0,,0,0.0,0.0,0.0,,,1.09,,6.91,0.0,0.0,0.0,0.0,0,0.0
M. Junas,Martin Junas,295744,Skalica,Skalica,https://cdn5.wyscout.com/photos/team/public/g24757_120x120.png,Niké Liga,GK,GK,100,,0,,0,29.0,1996-03-09,250000,2027-06-30,21,2052,0,0.0,0,0.0,0.8300000000000001,77.78,Slovakia,['Slovakia'],right,184,83,False,1.2,0.05,100.0,0.46,80.0,0.0,0.0,0.0,1.15,1.38,0.05,4,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.23,80.0,0.0,0.05,0.0,10.03,0.18,0.23,18.12,75.63,14.12,70.03,0.0,0.0,6.71,97.26,11.36,63.16,41.03,52.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,54.81,0.51,18.18,0.23,60.0,0.05,0.0,8.42,82.51,95.06,3.73,33,1.52,114,5.24,3,71.05,33.03,1.52,0.03,0.001,0.0,1.6099999999999999,0.46,,,,0.0,0,0.0
M. Bednár,Martin Bednár,411785,Zemplín Michalovce,Zemplín Michalovce,https://cdn5.wyscout.com/photos/team/public/g3237_120x120.png,Niké Liga,"RCB, LCB",RCB,45,LCB,40,,0,26.0,1999-04-22,175000,2028-05-31,22,2026,1,0.8200000000000001,1,0.26,8.38,58.24,Slovakia,['Slovakia'],right,190,79,False,7.78,3.27,69.01,3.08,53.73,0.23,0.31,0.64,5.29,7.16,0.37,4,0.18,0,0.0,0.37,0.04,1,0.05,0.04,1,0.05,9,0.41000000000000003,44.44,11.111,0.05,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.41000000000000003,44.44,0.97,38.1,0.37,1.06,0.14,32.59,0.23,0.23,48.84,87.09,19.2,75.3,2.7199999999999998,94.92,41.34,93.65,7.32,52.2,22.71,46.71,0.01,0.18,0.0,0.09,0.05,0.0,0.09,6.86,60.4,0.78,23.53,0.55,33.33,0.18,0.0,7.73,77.98,95.57,22.88,0,,0,,0,0.0,0.0,0.0,,,1.52,,3.08,0.0,0.0,0.0,0.0,0,0.0
M. Sipľak,Michal Sipľak,318999,Tatran Prešov,Tatran Prešov,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,Niké Liga,"LCB3, LB, LWB",LCB3,48,LB,24,LWB,10,30.0,1996-02-02,300000,2027-06-30,21,2016,1,1.13,4,1.78,11.79,57.58,Slovakia,['Slovakia'],left,184,80,False,8.08,6.03,64.44,2.5,62.5,0.22,0.27,0.31,3.9699999999999998,4.77,0.98,5,0.22,0,0.0,1.07,0.04,0,0.0,0.05,0,0.0,12,0.54,25.0,8.333,0.18,1.65,40.54,1.43,40.63,0.22,40.0,0.13,0.36,75.0,1.6099999999999999,44.44,0.71,0.89,0.0,25.54,0.9400000000000001,0.45,36.16,78.4,17.37,70.44,4.69,95.24,28.88,87.64,5.67,41.73,20.33,34.26,0.08,0.76,0.0,0.04,0.0,0.0,0.13,5.8,70.0,1.92,53.49,0.49,36.36,0.22,0.67,9.6,70.7,85.85,9.46,0,,0,,0,0.0,0.0,0.0,,,0.89,,2.5,0.9400000000000001,0.13,0.0,1.43,1,100.0
L. Bessilé,Loïc Bessilé,426521,Trenčín,Trenčín,https://cdn5.wyscout.com/photos/team/public/3710_120x120.png,Niké Liga,LCB,LCB,96,,0,,0,27.0,1999-02-19,400000,2026-12-31,21,1988,1,2.04,0,1.04,14.03,61.36,France,"['France', 'Togo']",left,185,82,False,9.75,5.32,68.75,5.09,59.81,0.19,0.29,0.86,5.9,9.07,1.0,1,0.05,0,0.0,0.43,0.05,1,0.05,0.1,1,0.05,13,0.62,23.08,7.692,0.0,0.1,50.0,0.05,0.0,0.05,100.0,0.1,0.33,71.43,1.57,45.45,0.71,0.52,0.05,31.47,0.29,0.67,45.26,88.55,18.02,78.36,1.52,96.88,40.46,92.6,4.71,54.55,21.78,40.08,0.05,0.19,0.0,0.0,0.0,0.0,0.05,3.8,62.5,0.33,28.57,0.05,0.0,0.19,0.05,6.32,60.15,96.28,23.01,0,,0,,0,0.0,0.0,0.0,,,1.09,,5.09,0.0,0.0,0.0,0.0,0,0.0
