Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Mcadams,Aidan Mcadams,423867,Arbroath,Arbroath,https://cdn5.wyscout.com/photos/team/public/4269_120x120.png,Championship,GK,GK,100,,0,,0,26.0,1999-03-23,10000,2026-05-31,20,1918,0,0.0,0,0.0,0.52,100.0,Scotland,['Scotland'],right,190,0,False,0.8,0.0,0.0,0.42,100.0,0.0,0.0,0.0,0.8,1.02,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,11.92,0.28,0.05,19.33,74.76,12.53,66.67,0.0,0.0,6.57,95.71,12.67,64.44,40.73,48.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,50.75,0.19,25.0,0.23,40.0,0.0,0.0,8.92,75.79,91.11,6.33,24,1.13,81,3.8,4,70.37,23.87,1.12,-0.13,-0.006,0.0,1.27,0.42,,,,0.0,0,0.0
J. Storer,James Storer,-211799,Greenock Morton,Greenock Morton,https://cdn5.wyscout.com/photos/team/public/1232_120x120.png,Championship,GK,GK,100,,0,,0,21.0,2004-10-04,0,2026-05-31,20,1911,0,0.0,0,0.0,0.38,87.5,England,"['England', 'Republic of Ireland']",right,196,82,False,1.04,0.0,0.0,0.33,85.71,0.0,0.0,0.0,1.04,1.4100000000000001,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,0.0,0.0,19.17,0.14,0.05,28.87,77.49,17.85,64.64,0.0,0.0,13.42,97.89,15.35,60.12,38.62,52.21,0.0,0.0,0.0,0.05,0.0,0.0,0.0,6.26,51.88,0.52,18.18,0.09,0.0,0.05,0.0,11.11,75.42,98.25,10.74,25,1.18,91,4.29,4,72.53,28.77,1.3599999999999999,3.77,0.178,0.0,1.04,0.33,,,,0.0,0,0.0
T. Steward,Toby Peter Gary Steward,-286337,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/1227_120x120.png,Championship,GK,GK,100,,0,,0,20.0,2005-02-12,0,2026-06-30,20,1909,0,0.0,0,0.0,0.66,85.71,England,['England'],,193,83,True,1.74,0.09,50.0,0.47000000000000003,90.0,0.0,0.0,0.0,1.7000000000000002,2.98,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.54,0.33,0.19,26.02,90.22,12.73,81.11,0.0,0.0,18.76,98.24,7.21,69.93,27.0,43.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,31.58,0.09,50.0,0.05,0.0,0.05,0.0,5.75,74.59,98.78,11.55,17,0.8,52,2.45,10,67.31,16.83,0.79,-0.17,-0.008,0.0,1.37,0.47000000000000003,,,,0.0,0,0.0
R. McAlear,Reece McAlear,-57289,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/1227_120x120.png,Championship,"LDMF, RDMF, DMF",LDMF,43,RDMF,27,DMF,15,23.0,2002-02-12,150000,2027-05-31,20,1875,1,0.84,4,2.24,12.82,50.56,Scotland,['Scotland'],right,189,75,False,6.77,4.94,63.11,2.11,43.18,0.43,0.76,0.1,3.22,5.63,1.25,4,0.19,0,0.0,1.3,0.05,1,0.05,0.04,0,0.0,25,1.2,32.0,4.0,0.19,1.06,50.0,0.34,71.43,0.62,38.46,0.29,0.77,50.0,3.98,39.76,0.8200000000000001,1.25,0.0,39.84,0.24,0.91,56.02,85.86,15.65,66.87,9.79,96.57,49.01,90.11,6.05,57.14,19.52,40.68,0.11,0.96,0.05,0.05,0.1,0.0,0.53,8.93,69.35,2.11,54.55,0.38,37.5,0.96,0.48,7.78,78.4,94.71,22.7,0,,0,,0,0.0,0.0,0.0,,,1.97,,2.11,0.8200000000000001,0.1,100.0,1.73,0,0.0
J. Wilkie,Jack Wilkie,-214207,Arbroath,Arbroath,https://cdn5.wyscout.com/photos/team/public/4269_120x120.png,Championship,LB,LB,97,,0,,0,23.0,2002-12-20,0,2026-05-31,20,1824,1,1.2,1,1.57,13.87,54.8,Scotland,['Scotland'],right,188,66,False,9.28,5.08,64.08,4.74,53.13,0.1,0.13,0.59,5.92,7.55,0.49,2,0.1,1,0.05,1.53,0.05,1,0.05,0.06,0,0.0,14,0.6900000000000001,14.29,7.143,0.05,2.52,33.33,2.47,34.0,0.05,0.0,0.39,0.99,60.0,2.5700000000000003,46.15,0.54,1.04,0.1,24.77,1.33,0.64,37.35,69.35,20.63,66.03,3.95,93.75,25.21,81.6,9.82,45.73,22.62,37.38,0.08,0.59,0.1,0.05,0.0,0.0,0.25,9.23,59.89,3.11,39.68,0.39,37.5,0.44,1.09,12.83,73.46,67.2,9.18,0,,0,,0,0.0,0.0,0.0,,,0.2,,4.74,1.28,0.2,25.0,0.49,0,0.0
C. Ferrie,Calum Ferrie,451571,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g1937_120x120.png,Championship,GK,GK,100,,0,,0,27.0,1998-06-16,275000,2027-05-31,19,1823,0,0.0,0,0.0,0.79,62.5,England,['England'],,0,0,False,1.38,0.1,0.0,0.54,72.73,0.05,0.06,0.05,1.33,1.57,0.2,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,12.14,0.2,0.05,19.75,78.75,12.84,69.23,0.0,0.0,8.0,98.15,11.65,66.1,38.86,49.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,48.21,0.0,0.0,0.0,0.0,0.0,0.0,8.39,78.82,98.41,6.22,29,1.43,96,4.74,5,69.79,28.8,1.42,-0.2,-0.01,0.0,1.33,0.54,,,,0.0,0,0.0
J. Longridge,Jackson Longridge,241704,Greenock Morton,Greenock Morton,https://cdn5.wyscout.com/photos/team/public/1232_120x120.png,Championship,LCB,LCB,96,,0,,0,30.0,1995-04-12,50000,2026-05-31,19,1818,2,1.0,0,0.0,19.21,62.37,Scotland,['Scotland'],left,183,79,False,11.68,8.12,72.56,5.2,60.0,0.45,0.6000000000000001,0.89,5.35,7.22,1.53,6,0.30000000000000004,0,0.0,0.4,0.1,2,0.1,0.05,1,0.05,9,0.45,33.33,22.222,0.0,0.2,50.0,0.2,50.0,0.0,0.0,0.0,0.25,60.0,1.88,47.37,0.54,1.19,0.05,24.9,0.2,1.04,44.11,78.11,21.83,64.63,2.67,92.59,36.34,86.65,7.57,37.91,22.53,39.85,0.0,0.0,0.0,0.05,0.0,0.0,0.0,6.04,45.08,0.5,50.0,0.1,0.0,0.05,0.15,10.0,54.95,92.74,15.69,0,,0,,0,0.0,0.0,0.0,,,2.08,,5.2,0.0,0.0,0.0,0.0,0,0.0
C. Diabaté,Cheick Tiemoko Diabaté,-150316,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/1227_120x120.png,Championship,"RCB, LCB",RCB,50,LCB,41,,0,23.0,2002-01-21,0,2027-05-31,19,1813,2,1.9300000000000002,0,0.03,15.84,67.4,England,"['England', 'France']",right,186,78,False,6.4,3.2800000000000002,77.27,7.55,70.39,0.4,0.7000000000000001,0.30000000000000004,3.47,6.1,0.89,3,0.15,1,0.05,0.65,0.1,2,0.1,0.1,2,0.1,17,0.84,23.53,11.765,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.05,0.55,81.82,2.04,48.78,0.79,1.5899999999999999,0.0,45.42,0.55,0.55,65.73,90.03,25.91,80.08,4.72,100.0,61.06,93.5,4.57,45.65,20.07,36.98,0.0,0.05,0.0,0.0,0.0,0.0,0.05,7.2,73.1,0.6000000000000001,33.33,0.05,0.0,0.25,0.0,8.84,73.03,96.72,28.74,0,,0,,0,0.0,0.0,0.0,,,2.68,,7.55,0.0,0.0,0.0,0.0,0,0.0
J. Rae,Josh Rae,460400,Raith Rovers,Raith Rovers,https://cdn5.wyscout.com/photos/team/public/2653_120x120.png,Championship,GK,GK,100,,0,,0,25.0,2000-10-17,200000,2027-05-31,19,1811,0,0.0,1,0.2,0.6000000000000001,91.67,Scotland,['Scotland'],right,188,74,False,1.44,0.0,0.0,0.45,100.0,0.0,0.0,0.0,1.44,1.88,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,16.1,0.05,0.05,24.2,69.2,17.1,58.72,0.0,0.0,7.85,96.2,16.2,56.75,42.06,50.1,0.01,0.05,0.0,0.0,0.0,0.0,0.05,6.46,46.15,0.4,12.5,0.35000000000000003,14.29,0.1,0.0,10.93,72.27,96.24,6.61,20,0.99,72,3.58,9,72.22,22.1,1.1,2.1,0.10400000000000001,0.0,0.8,0.45,,,,0.0,0,0.0
J. Doherty,Jordan Doherty,477625,Raith Rovers,Raith Rovers,https://cdn5.wyscout.com/photos/team/public/2653_120x120.png,Championship,"RB, RCB3",RB,43,RCB3,39,,0,25.0,2000-08-29,200000,2026-05-31,19,1791,0,0.9500000000000001,1,1.19,17.09,60.0,Republic of Ireland,['Republic of Ireland'],right,180,72,False,10.2,6.33,70.63,4.82,62.5,0.25,0.32,0.2,5.48,7.08,0.55,2,0.1,0,0.0,2.66,0.0,0,0.0,0.05,0,0.0,7,0.35000000000000003,57.14,0.0,0.05,3.07,40.98,0.0,0.0,3.07,40.98,0.65,1.56,74.19,4.52,47.78,0.9,1.26,0.2,23.87,1.16,0.45,40.5,74.32,18.09,63.33,5.48,93.58,29.1,86.87,8.44,42.86,22.56,38.45,0.06,0.55,0.05,0.05,0.1,50.0,0.4,7.89,57.96,3.27,44.62,0.65,23.08,0.6000000000000001,1.3599999999999999,10.65,65.09,82.17,12.96,0,,0,,0,0.0,0.0,0.0,,,1.16,,4.82,0.05,0.0,0.0,0.0,0,0.0
