Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Salaydin,Nurimzhan Salaydin,-31898,Kaisar,Kaisar,https://cdn5.wyscout.com/photos/team/public/g1352_120x120.png,Premier League,GK,GK,100,,0,,0,29.0,1995-10-27,50000,,25,2460,0,0.0,0,0.0,0.66,72.22,Kazakhstan,['Kazakhstan'],right,180,75,False,1.6099999999999999,0.15,50.0,0.29,75.0,0.04,0.04,0.0,1.5,1.71,0.07,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,66.67,0.0,0.0,0.0,5.23,0.07,0.26,11.63,80.5,8.27,74.78,0.0,0.0,5.27,95.14,6.33,68.79,39.67,53.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,66.27,0.07,0.0,0.15,25.0,0.04,0.0,5.05,81.88,95.12,3.0,40,1.46,145,5.3,5,72.41,41.6,1.52,1.6,0.059000000000000004,0.0,1.6099999999999999,0.29,,,,0.0,0,0.0
Z. Tevzadze,Zurab Tevzadze,289835,Zhenys,Zhenys,https://cdn5.wyscout.com/photos/team/public/g-13910_120x120.png,Premier League,CB,CB,93,,0,,0,31.0,1994-08-28,150000,,25,2422,2,1.24,0,0.12,14.31,61.82,Georgia,['Georgia'],right,191,88,False,9.4,5.35,75.69,4.64,59.2,0.37,0.55,0.67,4.98,7.32,1.04,2,0.07,0,0.0,0.52,0.07,2,0.07,0.05,1,0.04,10,0.37,50.0,20.0,0.0,0.22,33.33,0.0,0.0,0.22,33.33,0.04,0.33,77.78,1.8599999999999999,38.0,0.52,0.56,0.04,46.56,0.30000000000000004,0.15,62.8,91.01,19.92,79.48,4.31,98.28,55.33,95.37,7.25,59.49,22.21,40.93,0.0,0.15,0.07,0.0,0.0,0.0,0.04,4.57,58.54,0.52,14.29,0.41000000000000003,27.27,0.15,0.07,8.58,70.13,97.53,34.63,0,,0,,0,0.0,0.0,0.0,,,3.01,,4.64,0.0,0.0,0.0,0.0,0,0.0
M. Koval,Maksym Koval,103920,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-17973_120x120.png,Premier League,GK,GK,100,,0,,0,32.0,1992-12-09,450000,2025-12-31,25,2393,0,0.0,1,0.0,0.64,88.24,Ukraine,['Ukraine'],right,188,87,False,1.54,0.11,66.67,0.34,88.89,0.0,0.0,0.0,1.47,2.21,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,8.09,0.26,0.26,13.84,74.46,10.23,67.28,0.0,0.0,5.72,93.42,8.09,61.4,40.99,53.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,54.84,0.30000000000000004,25.0,0.11,33.33,0.08,0.0,6.21,73.94,95.45,3.31,28,1.05,86,3.23,7,67.44,26.01,0.98,-1.99,-0.075,0.0,0.98,0.34,,,,0.0,0,0.0
A. Kenesbek,Adilet Kenesbek,429016,Kaisar,Kaisar,https://cdn5.wyscout.com/photos/team/public/g1352_120x120.png,Premier League,RB,RB,87,,0,,0,29.0,1996-01-05,225000,,24,2352,0,0.29,0,0.38,18.21,56.09,Kazakhstan,['Kazakhstan'],right,180,62,False,10.29,8.38,61.64,3.64,52.63,0.34,0.39,0.15,4.78,5.43,0.99,6,0.23,0,0.0,1.88,0.0,0,0.0,0.01,0,0.0,11,0.42,36.36,0.0,0.0,2.76,36.11,0.19,40.0,2.56,35.82,0.5,1.15,63.33,4.09,46.73,0.5700000000000001,0.6900000000000001,0.23,12.93,1.76,1.49,25.64,66.42,12.74,57.06,2.98,91.03,15.99,77.99,7.08,50.81,23.5,37.06,0.01,0.5,0.0,0.0,0.0,0.0,0.15,6.43,52.98,3.02,43.04,0.54,35.71,0.5,0.92,7.27,72.63,74.11,7.54,0,,0,,0,0.0,0.0,0.0,,,0.31,,3.64,0.0,0.0,0.0,0.0,0,0.0
D. Slambekov,Demiyat Slambekov,316867,Ulytau,Ulytau,https://cdn5.wyscout.com/photos/team/public/g-17974_120x120.png,2. Division,"LCB, LCB3",LCB,43,LCB3,39,,0,28.0,1997-01-13,100000,,24,2351,1,0.8,0,0.30000000000000004,12.21,57.05,Kazakhstan,['Kazakhstan'],right,186,78,False,10.22,5.21,73.53,3.83,45.0,0.15,0.19,0.46,6.24,7.9,0.46,0,0.0,0,0.0,0.27,0.04,1,0.04,0.03,0,0.0,3,0.11,33.33,33.333,0.0,0.08,50.0,0.08,50.0,0.0,0.0,0.04,0.23,83.33,1.6099999999999999,42.86,0.23,0.23,0.11,25.23,0.15,0.5,42.38,81.39,21.28,71.94,2.87,88.0,35.37,88.31,6.93,46.41,20.53,36.1,0.01,0.19,0.0,0.0,0.0,0.0,0.0,4.44,52.59,0.46,33.33,0.34,11.11,0.27,0.04,8.54,59.19,93.63,14.43,0,,0,,0,0.0,0.0,0.0,,,1.72,,3.83,0.04,0.0,0.0,0.0,0,0.0
N. Ćalasan,Nemanja Ćalasan,450317,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-17973_120x120.png,Premier League,"LCB, LCB3, CB",LCB,41,LCB3,36,CB,15,29.0,1996-03-17,900000,,25,2330,0,0.96,2,0.66,13.91,59.72,Serbia,['Serbia'],left,188,82,False,8.77,4.6,70.59,5.6,53.1,0.04,0.06,0.7000000000000001,5.48,8.19,0.81,3,0.12,0,0.0,0.19,0.0,0,0.0,0.04,0,0.0,9,0.35000000000000003,11.11,0.0,0.08,0.19,40.0,0.15,25.0,0.04,100.0,0.04,0.19,40.0,1.2,35.48,0.85,0.27,0.04,24.76,0.31,0.42,42.68,83.35,19.97,73.31,1.82,93.62,34.15,89.48,8.34,59.26,24.43,40.12,0.03,0.19,0.0,0.04,0.0,0.0,0.19,6.8,67.61,0.66,17.65,0.58,26.67,0.19,0.15,10.97,72.89,93.63,18.81,0,,0,,0,0.0,0.0,0.0,,,0.89,,5.6,0.04,0.0,0.0,0.0,0,0.0
A. Abiken,Aybol Abiken,479195,Kaisar,Kaisar,https://cdn5.wyscout.com/photos/team/public/g1352_120x120.png,Premier League,"RCMF, LCMF, DMF",RCMF,44,LCMF,23,DMF,21,29.0,1996-06-01,450000,,24,2302,1,1.8900000000000001,0,0.6000000000000001,16.19,54.59,Kazakhstan,['Kazakhstan'],right,182,65,False,8.29,6.37,54.6,3.99,61.76,0.31,0.35000000000000003,0.23,4.5,5.09,0.9,6,0.23,0,0.0,1.56,0.04,1,0.04,0.07,0,0.0,43,1.6800000000000002,34.88,2.326,0.0,0.78,35.0,0.39,50.0,0.39,20.0,0.35000000000000003,1.21,58.06,4.26,48.62,0.9,0.59,0.2,16.73,0.31,1.49,30.3,74.97,11.61,57.24,4.69,92.5,24.16,82.04,5.4,48.55,21.42,37.68,0.02,0.51,0.0,0.0,0.04,0.0,0.12,6.57,58.33,1.29,27.27,0.78,20.0,0.16,0.27,6.57,65.48,86.52,10.44,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.99,0.78,0.2,80.0,0.7000000000000001,0,0.0
S. Astanov,Sultanbek Astanov,421620,Ordabasy,Ordabasy,https://cdn5.wyscout.com/photos/team/public/1363_120x120.png,Premier League,"RWB, RB5, RB",RWB,68,RB5,16,RB,11,26.0,1999-03-23,300000,2025-12-31,24,2293,2,1.4100000000000001,1,3.6,13.97,49.72,Kazakhstan,['Kazakhstan'],right,179,0,False,5.1,5.06,57.36,1.81,47.83,0.08,0.14,0.12,2.12,3.7199999999999998,1.88,7,0.27,0,0.0,2.32,0.08,2,0.08,0.06,1,0.04,16,0.63,31.25,12.5,0.04,3.61,40.22,0.04,0.0,3.49,41.57,0.35000000000000003,1.22,51.61,5.3,44.44,1.81,1.4100000000000001,0.16,23.98,1.88,1.18,34.93,79.44,10.68,72.79,5.69,92.41,28.61,86.15,2.98,61.84,17.59,27.46,0.14,1.18,0.0,0.0,0.04,100.0,0.67,4.04,77.67,3.45,59.09,0.08,100.0,1.18,1.37,7.97,75.86,80.69,11.38,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.81,0.2,0.04,0.0,0.04,0,0.0
S. Ignatovich,Sergey Ignatovich,135920,Zhenys,Zhenys,https://cdn5.wyscout.com/photos/team/public/g-13910_120x120.png,Premier League,GK,GK,100,,0,,0,33.0,1992-06-29,300000,,24,2278,0,0.0,0,0.0,1.11,78.57,Belarus,['Belarus'],right,192,88,False,1.38,0.08,0.0,0.75,89.47,0.0,0.0,0.0,1.38,2.01,0.04,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.2,100.0,0.0,0.0,0.0,16.79,0.36,0.24,23.31,88.14,11.81,77.59,0.0,0.0,16.36,98.31,6.95,64.2,30.5,48.17,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.62,60.98,0.04,0.0,0.04,100.0,0.0,0.0,5.97,68.87,99.24,10.43,24,0.9500000000000001,77,3.04,9,68.83,21.51,0.85,-2.49,-0.098,0.0,1.94,0.75,,,,0.0,0,0.0
K. Bartolec,Karlo Bartolec,319334,Astana,Astana,https://cdn5.wyscout.com/photos/team/public/2405_120x120.png,2. Division,RB,RB,92,,0,,0,30.0,1995-04-20,350000,,24,2252,0,1.02,5,5.76,15.63,60.61,Croatia,['Croatia'],right,178,78,False,8.63,6.75,73.37,2.56,53.13,0.2,0.32,0.32,3.48,5.61,0.68,2,0.08,0,0.0,3.2800000000000002,0.0,0,0.0,0.04,0,0.0,17,0.68,23.53,0.0,0.2,4.0,53.0,0.0,0.0,3.96,52.53,0.4,1.6,62.5,4.12,45.63,1.44,1.6800000000000002,0.28,39.84,3.08,1.08,50.75,83.39,18.9,75.26,7.23,97.79,42.2,90.53,4.76,43.7,19.1,37.51,0.23,1.6,0.16,0.04,0.08,0.0,1.0,7.71,73.58,4.0,51.0,0.48,16.67,0.72,1.8399999999999999,11.19,75.71,85.68,17.3,0,,0,,0,0.0,0.0,0.0,,,1.52,,2.56,0.12,0.08,0.0,0.0,0,0.0
