Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rafael,Rafael Pires Monteiro,97650,São Paulo,São Paulo,https://cdn5.wyscout.com/photos/team/public/243_120x120.png,Serie A,GK,GK,100,,0,,0,36.0,1989-06-23,800000,2027-12-31,21,2137,0,0.0,0,0.0,0.67,81.25,Brazil,['Brazil'],left,192,81,False,0.84,0.08,50.0,0.51,91.67,0.0,0.0,0.0,0.8,1.09,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,9.81,0.34,0.17,13.73,85.28,7.41,73.3,0.0,0.0,7.79,99.46,5.94,66.67,33.28,48.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,47.83,0.04,100.0,0.04,100.0,0.04,0.0,4.55,75.93,99.31,6.11,21,0.88,80,3.37,7,73.75,26.33,1.11,5.33,0.224,0.0,1.35,0.51,,,,0.0,0,0.0
Tiago Volpi,Tiago Luis Volpi,113642,Grêmio,Grêmio,https://cdn5.wyscout.com/photos/team/public/247_120x120.png,Serie A,GK,GK,100,,0,,0,34.0,1990-12-19,1500000,,21,2119,1,0.76,0,0.0,0.59,78.57,Brazil,['Brazil'],right,189,81,False,1.19,0.13,33.33,0.30000000000000004,85.71,0.0,0.0,0.0,1.15,1.38,0.04,2,0.08,0,0.0,0.08,0.04,0,0.0,0.03,0,0.0,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.13,100.0,0.0,0.0,0.04,10.87,0.17,0.17,18.01,83.49,10.53,74.19,0.0,0.0,9.05,98.12,8.96,68.72,37.14,48.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,54.35,0.13,66.67,0.13,66.67,0.04,0.0,6.16,77.93,97.6,7.09,26,1.1,92,3.91,4,71.74,30.99,1.32,4.99,0.212,0.0,1.27,0.30000000000000004,,,,0.0,1,100.0
Fabricio Bruno,Fabricio Bruno Soares de Faria,438564,Cruzeiro,Cruzeiro,https://cdn5.wyscout.com/photos/team/public/249_120x120.png,Serie A,RCB,RCB,100,,0,,0,29.0,1996-02-12,0,,21,2106,2,0.73,0,0.2,9.57,65.63,Brazil,['Brazil'],right,192,90,False,7.61,3.68,70.93,3.8,67.42,0.17,0.23,0.64,4.83,6.44,0.56,4,0.17,0,0.0,0.30000000000000004,0.09,2,0.09,0.03,2,0.09,6,0.26,50.0,33.333,0.0,0.09,100.0,0.04,100.0,0.04,100.0,0.04,0.09,50.0,0.81,52.63,0.30000000000000004,0.51,0.0,25.68,0.30000000000000004,0.56,38.63,85.4,17.56,74.94,1.71,97.5,32.09,91.74,6.45,53.64,22.27,36.45,0.01,0.04,0.0,0.0,0.04,100.0,0.04,4.53,68.87,0.56,61.54,0.26,50.0,0.21,0.04,7.65,64.25,94.88,16.71,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.8,0.0,0.0,0.0,0.0,0,0.0
Cássio,Cássio Roberto Ramos,17304,Cruzeiro,Cruzeiro,https://cdn5.wyscout.com/photos/team/public/249_120x120.png,Serie A,GK,GK,100,,0,,0,38.0,1987-06-06,400000,2027-05-31,21,2103,0,0.0,0,0.0,0.30000000000000004,100.0,Brazil,['Brazil'],right,196,92,False,1.2,0.13,100.0,0.13,100.0,0.0,0.0,0.0,1.07,1.4100000000000001,0.0,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,4.92,0.09,0.04,10.23,79.92,5.18,65.29,0.0,0.0,6.25,95.21,3.94,56.52,33.65,49.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,66.67,95.45,4.71,15,0.64,77,3.3,10,80.52,21.17,0.91,6.17,0.264,0.0,0.9400000000000001,0.13,,,,0.0,0,0.0
Lucas Arcanjo,Lucas Willians Assis Arcanjo,-28481,Vitória,Vitória,https://cdn5.wyscout.com/photos/team/public/527_120x120.png,Serie A,GK,GK,100,,0,,0,27.0,1998-08-08,1000000,2028-12-31,21,2101,0,0.0,0,0.0,0.21,80.0,Brazil,['Brazil'],right,189,88,False,0.47000000000000003,0.0,0.0,0.09,100.0,0.0,0.0,0.0,0.47000000000000003,0.54,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,9.47,0.04,0.09,16.53,87.31,7.24,74.56,0.0,0.0,11.31,98.48,5.23,63.11,30.61,47.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,56.82,0.04,0.0,0.04,0.0,0.0,0.0,3.47,81.48,97.07,8.78,30,1.29,108,4.63,5,72.22,31.57,1.35,1.57,0.067,0.0,1.16,0.09,,,,0.0,0,0.0
Gabriel Brazão,Gabriel Nascimento Resende Brazão,474967,Santos,Santos,https://cdn5.wyscout.com/photos/team/public/244_120x120.png,Serie A,GK,GK,100,,0,,0,24.0,2000-10-05,0,,21,2098,0,0.0,0,0.0,0.73,88.24,Brazil,['Brazil'],right,192,85,False,1.07,0.13,66.67,0.39,100.0,0.04,0.06,0.0,0.9400000000000001,1.25,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,8.84,0.04,0.09,14.03,83.49,6.91,68.32,0.0,0.0,8.54,98.49,5.45,59.84,30.89,47.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,40.74,0.04,0.0,0.0,0.0,0.0,0.0,3.86,66.67,98.0,6.43,31,1.33,108,4.63,5,71.3,30.1,1.29,-0.9,-0.039,0.0,1.29,0.39,,,,0.0,0,0.0
Agustín Rossi,Agustín Daniel Rossi,331574,Flamengo,Flamengo,https://cdn5.wyscout.com/photos/team/public/246_120x120.png,Serie A,GK,GK,100,,0,,0,30.0,1995-08-21,7000000,2027-12-31,21,2055,0,0.0,0,0.0,0.66,73.33,Argentina,"['Argentina', 'Italy']",right,193,95,False,0.92,0.0,0.0,0.44,70.0,0.0,0.0,0.0,0.92,1.46,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,14.89,0.35000000000000003,0.22,21.28,89.51,9.02,78.16,0.04,100.0,15.85,97.79,5.39,65.85,28.15,44.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,34.62,0.0,0.0,0.13,66.67,0.0,0.0,3.68,69.05,98.82,11.12,10,0.44,61,2.67,12,83.61,18.68,0.8200000000000001,8.68,0.38,0.0,1.75,0.44,,,,0.0,0,0.0
Dieguinho,Jackson Diego Ibraim Fagundes,521897,Ceará,Ceará,https://cdn5.wyscout.com/photos/team/public/493_120x120.png,Serie A,"LDMF, LCMF",LDMF,57,LCMF,22,,0,30.0,1995-03-31,1000000,,21,2026,0,0.14,2,0.66,15.81,59.76,Brazil,['Brazil'],right,175,68,False,8.33,5.29,68.14,1.82,53.85,0.37,0.46,0.37,4.35,5.36,0.75,2,0.09,0,0.0,1.4,0.0,0,0.0,0.01,0,0.0,6,0.28,16.67,0.0,0.09,0.33,57.14,0.19,50.0,0.0,0.0,0.0,1.5,75.0,6.41,61.31,0.0,1.17,0.05,17.26,0.42,2.25,29.38,84.87,8.61,71.2,4.4,94.68,26.29,87.54,2.76,62.71,18.37,35.03,0.03,0.37,0.09,0.0,0.09,50.0,0.19,3.93,69.05,1.08,60.87,0.56,58.33,0.51,0.19,4.16,64.04,91.34,11.88,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.82,0.0,0.0,0.0,0.0,0,0.0
Jemmes,Jemmes Bruno Ribeiro Da Silva,-112887,Mirassol,Mirassol,https://cdn5.wyscout.com/photos/team/public/1643_120x120.png,Serie A,LCB,LCB,90,,0,,0,25.0,2000-04-09,0,,20,2024,1,1.3900000000000001,0,0.03,9.78,55.91,Brazil,['Brazil'],right,187,73,True,7.51,3.74,60.71,3.33,53.33,0.18,0.23,0.53,5.07,6.45,0.84,2,0.09,0,0.0,0.36,0.04,1,0.04,0.06,0,0.0,5,0.22,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,54.55,1.29,48.28,0.31,0.98,0.18,24.01,0.27,0.22,36.82,88.89,15.43,79.83,2.76,93.55,34.51,91.11,2.31,55.77,17.69,31.75,0.0,0.09,0.0,0.04,0.0,0.0,0.0,2.36,75.47,0.09,50.0,0.09,50.0,0.04,0.0,4.76,57.94,97.34,13.38,0,,0,,0,0.0,0.0,0.0,,,1.82,,3.33,0.0,0.0,0.0,0.04,0,0.0
Fábio,Fábio Deivson Lopes Maciel,8961,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/245_120x120.png,Serie A,GK,GK,100,,0,,0,44.0,1980-09-30,200000,2025-12-31,20,2013,0,0.0,0,0.0,0.4,88.89,Brazil,"['Brazil', 'Italy']",right,190,93,False,1.16,0.04,100.0,0.18,75.0,0.0,0.0,0.0,1.12,1.56,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,7.82,0.0,0.04,12.38,88.81,6.57,79.59,0.0,0.0,7.96,98.31,4.43,71.72,29.1,42.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,42.86,0.0,0.0,0.0,0.0,0.0,0.0,3.49,78.21,99.15,5.28,28,1.25,78,3.49,5,64.1,22.01,0.98,-5.99,-0.268,0.0,1.07,0.18,,,,0.0,0,0.0
