Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Blancquart,Gabin Blancquart,-217190,VVV Venlo,VVV Venlo,https://cdn5.wyscout.com/photos/team/public/147_120x120.png,Eerste Divisie,"RCB, LCB",RCB,62,LCB,37,,0,21.0,2004-02-28,0,2026-06-30,14,1367,3,2.51,0,0.01,16.06,61.48,France,['France'],,192,77,False,8.62,5.93,68.89,4.15,52.38,0.26,0.33,0.4,4.28,5.37,0.92,2,0.13,0,0.0,0.66,0.2,3,0.2,0.17,3,0.2,13,0.86,46.15,23.077,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.4,66.67,2.5700000000000003,61.54,1.32,1.51,0.2,27.92,0.0,1.71,41.21,90.42,15.67,81.51,3.49,96.23,37.4,91.9,3.75,77.19,19.22,34.82,0.0,0.13,0.0,0.0,0.0,0.0,0.0,3.36,84.31,0.0,0.0,0.07,100.0,0.0,0.0,5.86,70.79,97.03,17.71,0,,0,,0,0.0,0.0,0.0,,,2.5700000000000003,,4.15,0.0,0.0,0.0,0.0,0,0.0
Y. Schoonderwaldt,Youri Schoonderwaldt,-194754,VVV Venlo,VVV Venlo,https://cdn5.wyscout.com/photos/team/public/147_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,25.0,2000-03-13,125000,2026-06-30,14,1367,0,0.0,0,0.0,0.46,71.43,Netherlands,['Netherlands'],left,195,83,False,1.98,0.0,0.0,0.33,80.0,0.0,0.0,0.0,1.98,2.48,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.46,0.07,0.07,34.7,84.82,21.2,78.57,0.0,0.0,20.54,96.47,14.16,67.91,30.89,44.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,67.8,0.13,0.0,0.4,66.67,0.07,0.0,11.72,75.84,95.31,12.64,20,1.32,65,4.28,3,69.23,22.71,1.5,2.71,0.178,0.0,1.51,0.33,,,,0.0,0,0.0
P. van de Merbel,Pepijn van de Merbel,-54629,Den Bosch,Den Bosch,https://cdn5.wyscout.com/photos/team/public/847_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,23.0,2002-03-18,0,2026-06-30,14,1366,0,0.0,0,0.0,0.26,75.0,Netherlands,['Netherlands'],right,186,82,False,0.99,0.0,0.0,0.2,66.67,0.0,0.0,0.0,0.99,1.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,19.44,0.66,0.07,28.46,77.31,18.32,65.83,0.0,0.0,13.9,98.58,14.56,57.01,36.82,50.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8200000000000003,37.93,0.2,0.0,0.13,0.0,0.0,0.0,9.29,73.76,97.92,9.49,29,1.9100000000000001,88,5.8,3,67.05,21.64,1.43,-7.36,-0.485,0.0,2.04,0.2,,,,0.0,0,0.0
M. Havekotte,Mike Havekotte,215540,TOP Oss,TOP Oss,https://cdn5.wyscout.com/photos/team/public/852_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,30.0,1995-09-12,300000,,14,1362,0,0.0,0,0.0,0.46,71.43,Netherlands,['Netherlands'],right,187,79,False,0.53,0.07,0.0,0.33,80.0,0.0,0.0,0.0,0.53,0.66,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,16.32,0.4,0.07,24.85,87.77,15.59,81.36,0.0,0.0,12.03,99.45,12.75,76.68,38.12,50.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,68.57,0.0,0.0,0.2,100.0,0.07,0.0,10.7,83.33,98.51,8.85,27,1.78,82,5.42,2,67.07,24.34,1.6099999999999999,-2.66,-0.176,0.0,0.79,0.33,,,,0.0,0,0.0
M. Spenkelink,Mark Spenkelink,471327,RKC Waalwijk,RKC Waalwijk,https://cdn5.wyscout.com/photos/team/public/846_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,28.0,1997-01-27,125000,,14,1357,0,0.0,0,0.0,0.66,70.0,Netherlands,['Netherlands'],right,196,86,False,0.8,0.0,0.0,0.46,57.14,0.0,0.0,0.0,0.8,0.92,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,17.18,0.07,0.2,25.4,83.29,16.12,76.13,0.07,0.0,12.67,96.86,12.67,70.16,32.73,45.8,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.6600000000000001,52.0,0.07,0.0,0.13,0.0,0.0,0.0,11.01,72.29,98.4,8.29,22,1.46,56,3.71,1,60.71,18.14,1.2,-3.86,-0.256,0.0,1.5899999999999999,0.46,,,,0.0,0,0.0
T. Jansen,Thijs Jansen,-135790,Cambuur,Cambuur,https://cdn5.wyscout.com/photos/team/public/861_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,23.0,2001-11-29,450000,,14,1349,0,0.0,1,0.0,0.87,69.23,Netherlands,['Netherlands'],right,192,75,False,1.8,0.0,0.0,0.33,100.0,0.0,0.0,0.0,1.8,2.66,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,33.33,0.0,0.0,0.0,20.75,0.07,0.27,32.29,81.82,20.42,73.53,0.0,0.0,17.35,96.15,14.88,65.47,32.91,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.74,39.02,0.2,0.0,0.6000000000000001,11.11,0.07,0.0,12.28,73.37,96.34,10.94,18,1.2,72,4.8,4,75.0,19.55,1.3,1.55,0.10300000000000001,0.0,1.27,0.33,,,,0.0,0,0.0
M. Bergsen,Menno Bergsen,478232,Helmond Sport,Helmond Sport,https://cdn5.wyscout.com/photos/team/public/851_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,26.0,1999-08-26,150000,,14,1347,0,0.0,0,0.0,0.47000000000000003,85.71,Netherlands,['Netherlands'],right,186,76,False,2.0,0.07,100.0,0.27,100.0,0.0,0.0,0.0,1.94,2.49,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.79,0.47000000000000003,0.07,33.21,82.49,18.57,70.14,0.0,0.0,19.18,98.26,13.96,61.24,32.46,47.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,42.86,0.07,0.0,0.0,0.0,0.0,0.0,9.15,72.99,98.5,13.36,19,1.27,51,3.41,3,62.75,19.62,1.31,0.62,0.041,0.0,1.4,0.27,,,,0.0,0,0.0
J. Kruiver,Jay Kruiver,-140302,Roda JC,Roda JC,https://cdn5.wyscout.com/photos/team/public/148_120x120.png,Eerste Divisie,RB,RB,99,,0,,0,24.0,2001-05-02,225000,2026-06-30,14,1344,0,0.25,1,0.91,18.08,52.59,Netherlands,['Netherlands'],right,0,0,False,8.24,7.37,59.09,2.41,55.56,0.27,0.32,0.27,3.62,4.3,0.8,1,0.07,0,0.0,1.94,0.0,0,0.0,0.02,0,0.0,4,0.27,25.0,0.0,0.07,2.08,29.03,0.0,0.0,2.08,29.03,0.54,2.34,51.43,6.5,47.42,0.54,1.27,0.27,29.06,0.74,1.54,40.71,84.54,15.87,75.11,7.1,98.11,35.56,91.34,3.15,42.55,19.68,30.28,0.06,0.54,0.0,0.0,0.07,100.0,0.2,4.89,72.6,2.54,44.74,0.47000000000000003,28.57,0.67,0.6000000000000001,9.31,76.98,89.06,12.86,0,,0,,0,0.0,0.0,0.0,,,1.47,,2.41,0.0,0.0,0.0,0.0,0,0.0
J. Treichel,Justin Treichel,-116547,Roda JC,Roda JC,https://cdn5.wyscout.com/photos/team/public/148_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,22.0,2003-03-04,50000,2026-06-30,14,1344,0,0.0,0,0.0,0.54,87.5,Germany,['Germany'],left,188,79,False,1.81,0.07,100.0,0.33,80.0,0.0,0.0,0.0,1.74,2.07,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,22.37,0.27,0.13,30.54,90.13,12.46,78.49,0.07,100.0,21.63,98.76,8.91,69.17,29.27,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,76.79,99.2,16.74,17,1.1400000000000001,65,4.35,5,73.85,17.49,1.17,0.49,0.033,0.0,1.47,0.33,,,,0.0,0,0.0
J. Müller,Joey Paul Müller,496954,Roda JC,Roda JC,https://cdn5.wyscout.com/photos/team/public/148_120x120.png,Eerste Divisie,"RDMF, DMF, LB",RDMF,58,DMF,14,LB,12,25.0,2000-08-30,450000,2026-06-30,14,1344,1,0.76,0,0.75,11.92,47.75,Germany,['Germany'],right,180,72,False,6.5,4.22,61.9,2.61,51.28,0.0,0.0,0.67,3.88,4.62,0.74,3,0.2,0,0.0,0.9400000000000001,0.07,1,0.07,0.05,0,0.0,13,0.87,23.08,7.692,0.0,0.54,50.0,0.33,40.0,0.2,66.67,0.07,0.9400000000000001,50.0,3.2800000000000002,34.69,0.8,0.47000000000000003,0.0,27.05,0.47000000000000003,0.6000000000000001,39.24,89.59,10.04,76.67,9.04,97.78,36.29,91.51,2.41,69.44,17.33,35.31,0.05,0.47000000000000003,0.0,0.0,0.0,0.0,0.07,4.29,82.81,1.21,61.11,0.13,0.0,0.54,0.33,4.75,66.2,95.81,14.4,0,,0,,0,0.0,0.0,0.0,,,1.21,,2.61,0.0,0.0,0.0,0.0,0,0.0
